source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
陈独秀,article:2c4e4e99971b,WROTE,WROTE,neutral,0,0,,,,陈独秀_000_4825c389,
陈独秀,article:dd153b656811,WROTE,WROTE,neutral,0,0,,,,陈独秀_001_d263aca8,
陈独秀,article:ceac6c275e92,WROTE,WROTE,neutral,0,0,,,,陈独秀_002_69a217f6,
article:ceac6c275e92,segment:0a4aebd39a76,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_002_69a217f6,陈独秀_002_69a217f6_s0006
article:dd153b656811,segment:9839dc26a3b7,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0006
article:ceac6c275e92,segment:4a4591305ed0,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_002_69a217f6,陈独秀_002_69a217f6_s0002
article:2c4e4e99971b,segment:b95d5a36f32b,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0004
article:2c4e4e99971b,segment:5e0642839be0,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0008
article:dd153b656811,segment:01d531690690,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0002
article:ceac6c275e92,segment:58a0af85020d,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_002_69a217f6,陈独秀_002_69a217f6_s0010
article:dd153b656811,segment:325638393b90,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0010
article:ceac6c275e92,segment:1318b1dac9a9,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_002_69a217f6,陈独秀_002_69a217f6_s0014
article:2c4e4e99971b,segment:6f024f0e19af,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0000
article:dd153b656811,segment:837a366c06e1,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0014
segment:6f024f0e19af,entity:eba890199bb8,MENTIONS,MENTIONS,neutral,0,0,,文本开头提到陈独秀作序,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0000
segment:6f024f0e19af,entity:e0b4f168e39b,MENTIONS,MENTIONS,neutral,0,0,,亚东图书馆汇印讨论科学与人生观的文章,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0000
segment:6f024f0e19af,entity:dc4cd08803b6,MENTIONS,MENTIONS,neutral,0,0,,攻击张君劢、梁启超,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0000
segment:6f024f0e19af,entity:9ebe19d4be94,MENTIONS,MENTIONS,neutral,0,0,,攻击张君劢、梁启超,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0000
segment:6f024f0e19af,entity:e1c9e12aed0c,MENTIONS,MENTIONS,neutral,0,0,,范寿康先天的形式说,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0000
segment:6f024f0e19af,entity:6400ddb56f11,MENTIONS,MENTIONS,neutral,0,0,,任叔永人生观的科学是不可能说,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0000
segment:6f024f0e19af,entity:00bca7507ba2,MENTIONS,MENTIONS,neutral,0,0,,主将丁文江大攻击张君劢唯心的见解,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0000
segment:6f024f0e19af,entity:cb40a90881fa,MENTIONS,MENTIONS,neutral,0,0,,适之最近对我说,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0000
segment:6f024f0e19af,entity:25a150305a7a,MENTIONS,MENTIONS,neutral,0,0,,科学与人生观的文章,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0000
segment:6f024f0e19af,entity:43d33459731c,MENTIONS,MENTIONS,neutral,0,0,,科学与人生观的文章,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0000
segment:6f024f0e19af,entity:31881405e51f,MENTIONS,MENTIONS,neutral,0,0,,唯物史观至多只能解释大部分的问题,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0000
segment:b95d5a36f32b,entity:3674af65427b,MENTIONS,MENTIONS,neutral,0,0,,原始文本第一句,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0004
segment:b95d5a36f32b,entity:0134e445e552,MENTIONS,MENTIONS,neutral,0,0,,原始文本多处提及,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0004
segment:b95d5a36f32b,entity:528c0f30e327,MENTIONS,MENTIONS,neutral,0,0,,原始文本第一句,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0004
segment:b95d5a36f32b,entity:fbe440477128,MENTIONS,MENTIONS,neutral,0,0,,原始文本第三段,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0004
segment:b95d5a36f32b,entity:0d35422b0e90,MENTIONS,MENTIONS,neutral,0,0,,原始文本第三段,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0004
segment:b95d5a36f32b,entity:9da6a9ee244b,MENTIONS,MENTIONS,neutral,0,0,,原始文本第三段,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0004
segment:b95d5a36f32b,entity:f83848030fd1,MENTIONS,MENTIONS,neutral,0,0,,原始文本第三段,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0004
segment:b95d5a36f32b,entity:75483285f3ca,MENTIONS,MENTIONS,neutral,0,0,,原始文本第三段,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0004
segment:b95d5a36f32b,entity:2dbed66bffc6,MENTIONS,MENTIONS,neutral,0,0,,原始文本第四段,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0004
segment:b95d5a36f32b,entity:218bb907358e,MENTIONS,MENTIONS,neutral,0,0,,原始文本第四段,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0004
segment:b95d5a36f32b,entity:58d7bbde19c9,MENTIONS,MENTIONS,neutral,0,0,,原始文本第四段,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0004
segment:b95d5a36f32b,entity:754cf8ad304b,MENTIONS,MENTIONS,neutral,0,0,,原始文本第三段括号内,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0004
segment:b95d5a36f32b,entity:013ba1e08aec,MENTIONS,MENTIONS,neutral,0,0,,原始文本第三段,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0004
