source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
颂皋,article:2babd95737ec,WROTE,WROTE,neutral,0,0,,,,颂皋_000_0fffa40d,
entity:0bacf98593d1,entity:d32d43dcf394,RELATES_TO,相关,neutral,0.0,0.0,,近来了在君先生与张君劢先生为科学与玄学之争,1.0,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000
entity:fe901cfcc616,entity:d32d43dcf394,RELATES_TO,相关,neutral,0.0,0.0,,近来了在君先生与张君劢先生为科学与玄学之争,1.0,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000
term:f01cd9e867bb,entity:aa947d3e1682,RELATES_TO,相关,positive,0.8,0.6,援引权威支持,因忆旧读乾姆斯（James）所著哲学问题（Some Problems of Philosophy）书中，有专论“玄学上之问题”一章，颇能将玄学之界说，与夫玄学的问题之性质阐明无遗，爱节译之，以供读者之评览焉。,1.0,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000
entity:ab5f008cd73e,entity:1babf219c2b6,RELATES_TO,定义,neutral,0.0,0.0,概念澄清,易言之：即此种悬而未解决，玄而且深，关于事物之全体或其永久的原素之问题也。,1.0,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000
term:be47f5e76127,entity:6ece55762fc9,RELATES_TO,定义,neutral,0.0,0.0,概念澄清,类此形式之问题，是谓玄学上之问题。,1.0,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002
entity:229015e1f4bc,term:07669c52da4a,RELATES_TO,相关,neutral,0.0,0.0,援引权威,康德尝谓玄学上之重要问题有三，即:,1.0,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002
entity:074f3dfdf7c2,term:6c38e802a8c8,RELATES_TO,相关,neutral,0.0,0.0,援引权威,所谓定义，诚如桓儿夫（C. Wolff）所言，可归纳于下列一句：凡论及事物之可能者，是谓玄学，与备及事物之实在者，显非相同。,1.0,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002
term:444862b1d437,term:5ec6ce0169c8,RELATES_TO,相关,negative,-0.8,0.7,一般批评,原理之意义，既如是之复杂，由原理而完成之科学，又难有实现之望，然则此种定义，推其究竟，直等于一装饰品耳。,1.0,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002
term:444862b1d437,term:1d658863ddad,RELATES_TO,主张,positive,1.0,0.8,不适用,夫玄学之最严重的职务，不在乎他，即在乎研究此种单纯问题。,1.0,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002
term:3648ad838f45,term:69c64027ba02,RELATES_TO,归因于,negative,-0.5,0.6,不适用,吾人不啻已深入玄学之重围，无以解脱,0.8,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0004
term:444862b1d437,entity:8180380cde7f,RELATES_TO,回应,negative,-0.5,0.5,一般批评,即使吾人随斯氏而断定无一起源之形态为可以思议，而断定全部问题为非真实，吾人亦不失为玄学家矣,0.7,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0004
entity:b840a4153eb8,term:3b19cb2f0f3a,RELATES_TO,作为论据支持,positive,1.0,0.8,不适用,"有数种假设，以其自相矛盾之故，令人视之，似为荒谬绝伦。例如“连续的综合，所永不能完成者，是谓无限性”（Infinity),即一明证",0.9,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0004
term:444862b1d437,entity:b840a4153eb8,RELATES_TO,反驳,negative,-1.0,0.9,逻辑反驳,既云无限的矣，则谓为由连续的综合而完成之，岂非一绝大之矛盾而何,0.9,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0004
term:788dbd88f88f,entity:401ed40af89d,RELATES_TO,作为论据支持,positive,1.0,0.8,不适用,分析各项假设，与分析各项问题，均为吾人所应重视，均于玄学之研究，为不可缺少者,0.9,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0004
term:65332fe81fdc,entity:401ed40af89d,RELATES_TO,作为论据支持,positive,1.0,0.8,不适用,分析各项假设，与分析各项问题，均为吾人所应重视，均于玄学之研究，为不可缺少者,0.9,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0004
term:3be764c92aa1,term:2a8deed834ce,RELATES_TO,导致,positive,1.0,0.7,不适用,明乎此理，吾人可以自为玄学家，而将上述各问题，加以详密的讨论矣,0.8,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0004
