node_id,labels,name,node_type,article_id,segment_id,title,text
article:9ba1765f59f7,Article,劳而无功 —— 评丁在君先生口中的科学,Article,张东荪_000_a9bf05ee,,劳而无功 —— 评丁在君先生口中的科学,
author:56a8e92c91b4,Author,张东荪,Author,,,,
segment:4a80f890fbf5,Segment,张东荪_000_a9bf05ee_s0011,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011,,"其理论的基础，实在没有很多的书。我

所看见的只是一个小册子，名曰《人类的效率与智力的层次》，乃是美国研究低能儿大家过达德所著。一提起这个人名，丁先生当然晓得。就美国军队曾试验过，共分七等，而最高等只有百分之四半。若科学确实性的标准在人心的相同，恐怕相对论即要失了科学的资格，因为百人中就未必能有四个人懂相对论的。即以寻常所见的而论，一个幼稚园小学校有儿童六七百人，设若教师不先讲明二加二是四，而即教儿童回答，恐怕能说二加二是四的就未必定占全数。难道数学上的二加二是四，其确实性是基于人心的相同么？最浅的例，如相对论上有“空间弯”，就是我们人类所不能目睹的；并且有人说我们人类可以看见长广阔而不能看见第四量向，正犹海底扁鱼只能看长广而不能看见阔一样。可见若说科学的确实性是基于人心的相同，实在危险得很。现在再说回来，仍讲到智力实验，过达德告诉我们说有一个不因学习而改的先天智力，所测的即是这个抽象的智力而不是具体的学习。我想这个话丁先生听了一定大不高兴，因为不料货真价实的科学方法却背后先有一个玄学的假定。但是削去这个假定，科学的智力实验法亦立不住了。

至于丁先生说凡用科学方法都是科学，于是我们的问题一转而为科学方法的讨论了。科学方法若即是形式论理，则不但玄学用之，宗教用之，乃至小说戏曲亦都用之。于是普天之下莫非科学。科学既早已如此普遍，丁先生大可不必再费九牛二虎之力以提倡了。"
segment:ea770101cf99,Segment,张东荪_000_a9bf05ee_s0008,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,"可见科学自身便有论理，科学不必另外求助于形式论理。这一点我觉得自命担负宣传科学的大责任的丁先生却没有看清楚。林先生说丁先生的论理思想太旧了，真是实获我心的话。若果科学的基础是建筑于形式论理的三段论法之上，则科学的正确性必定完全在视其合乎论理方式与否为断了。但实际上论理学是比较幼稚的，而物理学化学反应比论理学先发达。若把数学归纳在论理里头，则非欧克立德的几何学亦是晚近始出。我尝说亚里士多德的论理与欧克立德的几何一样，到了现在都不够用了。不料丁先生一方面排斥亚里士多德的玄学，而他方面却默采亚氏以来的传统论理思想。

次讲科学确实性的标准，丁先生说:

“科学既然以心理上的现象为内容，对于概念、推论，不能有不严格的审查。（中略）凡常人心理的内容，其性质都是相同的。心理上联想的能力，第一是看一个人觉官感触的经验，第二是他脑经思想力的强弱。换言之，就是一个人的环境同遗传。我的环境同遗传，无论同什么人都不一样；但如果我不是一个反常的人——反常的人我们叫他为疯子痴子——我的思想的工具是同常的一类的机器。机器的效能虽然一样，性质却是相同。觉官的感触相同，所以物质的‘思构’相同，知觉、概念、推论的手续无不相同，科学的真相，才能为人所公认。否则我觉得书柜子是硬的，你觉得是软的；我看他是长方的，你看他是圆的；我说二加二是四，你说是六；还有什么科学方法可言？”"
segment:9f4441746c9e,Segment,张东荪_000_a9bf05ee_s0007,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0007,,"丁先生这种论调，我知道是本于皮尔逊，不过丁先生也太无抉择了罢。所以我不能不立一个代替说以补丁先生的不足，我的话曾附载于梁任公先生文章的骥尾，现在再抄录如下:

“据我所见，科学乃是对于杂乱无章的经验以求其中的‘比较不变的关系’。这个即名为法式或法则（也许是暂定的）。如两个人加两个狗是四，而两个猫加两个鼠亦是四，都可用一个加号来表示。因为经验的内容总是只有一次的，如我今天写字便与昨天写字不同，所以科学并不十分注重于内容，而注重于方式，即是关系，即是关系的定式。所以分类乃仍是初步，而不是最后的。至于得了这个‘比较不变的关系’的定式便用一个简单明白的表号，但这个却不是‘概括这些许多事实’。”

照我这样说，设没有大错，则我们便知道科学的公例不是概括许多事实的一个简明话，乃是表示与内容无甚关系的方式。上文所述的猫狗等都是关系者，都是内容，而科学的目的则不在问任何关系者而求比较不变的关系，不问任何内容而求比较确定的方式。但科学并非对于内容诿为不知，却以为一切

内容都是关系所造。相对论便是顺着这个趋向而得成功的。所以科学能昂首天外，亦正在此。得了这个定式，便可自由操纵一切。

可见科学自身便有论理，科学不必另外求助于形式论理。这一点我觉得自命担负宣传科学的大责任的丁先生却没有看清楚。林先生说丁先生的论理思想太旧了，真是实获我心的话。"
segment:5557427c1c09,Segment,张东荪_000_a9bf05ee_s0006,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0006,,"，这叫做科学公例。凡是事实都可以用科学方法研究，都可以变做科学。”

我现在要求读者重读的即是“对于事实，分类以求其秩序”，与“拿简明的话概括许多事实”这两句。以浅陋如我的人看来，我们的常识就是分类以求秩序和用简明的话以概括许多事实。如我们说“金”、“银”、“铜”、“铁”便可算对于自然的事实

为之分类，并且这四个字便是简明的话可以概括许多事实。设我这个解释没有误会，岂不是科学与常识相同么？但实际上取得科学资格最早的是物理学，物理学就不仅是对于自然的万物分起类来以求他们的秩序。如“金”、“银”等是常识的分类，科学上却只是原子，并且近来电学进步了，知道原子的不同是由于阴电子的数目。若果科学的能事仅是分类，实际上却愈分而类愈不立，换言之，即所谓“类”反而逐渐消灭了，难道科学不亦要跟着消灭么？如晚近的相对论，其生命就在几个公式，我们实在看不出他是对于何种事实分类。科学发达的结果得着了一个“有教无类”，则说科学就是分类未免太初步了罢。再如植物学、动物学，好像是完全基于分类的；其实植物学中另有植物分类学，而这个植物分类学在植物学全体中并不占第一把交椅，则其故可以思了。至于丁先生这种论调，我知道是本于皮尔逊，不过丁先生也太无抉择了罢。所以我不能不立一个代替说以补丁先生的不足，我的话曾附载于梁任公先生文章的骥尾，现在再抄录如下:"
segment:f042ba585dfd,Segment,张东荪_000_a9bf05ee_s0004,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0004,,"le body of wisdom, and lend each other mutual support.）不仅如此，他并且说哲学对于人生非常重要，不能反对。丁先生若不推崇詹姆士，我原不敢拿他来做挡箭牌。只因为丁先生好像是个詹姆士的知己，知道他称赞柏格森是一种虚让，不是由衷之言。但詹姆士的话如上述的，我却不敢包是违心之论，所以仍旧举了出来，请丁先生再鉴定一下。但是我不由得要说一句笑话：就是张先生拉了兰克司德，而偏偏丁先生不争气亦拉了一个詹姆士，真是无独有偶了。虽然，我本来亦晓得哲学与科学的界限是难分的：如牛顿的绝对运动论在当时何尝不是科学，然而马赫便说是哲学而不是科学。而马赫的经验论却被发明量子的濮朗克所讥笑：以为仍是哲学而不是科学。马赫攻牛顿，濮朗克再攻马赫，难保不再有人攻濮朗克么？所以这种争论实是无谓。我以为我们东方人学西方思想却不必并此无谓的东西亦学了来。我现在

更举一个好例，这个例就是丁先生的话。丁先生说柏格森说心的绵延如雪的堆积完全是比喻，不能算数。诚然，但请问丁先生为何对于马赫所说思想和天响雷一样（按原文为We should say ""it thinks"" just as we say ""it lightens"",今照丁先生译文),即不认为比喻呢？难道不是同一比喻么？何以对于一个比喻存而疑之，对于另一个比喻则存而不疑？"
segment:c43071793ebb,Segment,张东荪_000_a9bf05ee_s0013,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0013,,"是不能分家的。这两个东西，如影随形，决不能说我们先提倡科学方法自然而然便发生科学。例如丁先生相信心物是一件东西，试问这见解是由科学方法取得呢，还是由科学取得呢？平心而讲，心物合一论本不是科学乃是哲学，不过现在让一步而即姑认为科学，但亦必是科学的内容而不是科学的方法。总之，我认为科学方法不是科学所穿的衣服可以随便剥下来给别的任何人穿的。我亦是相信心物合一论的，但我仍觉得丁先生的态度却近于武断，为科学家所不宜。罗素说心物是由同一的材料构成的，我很想研究这个问题，所以把他的书看来看去，却除这种简单的说明外并没有见有何等详细的解释。'我对于罗素已抱遗憾了，不料丁先生更奇怪：在他的第二篇第六段“精神与物质”中除了引证断简不完的马赫与罗素的话外，简直可算没有说明，即有一两句说明亦是十分模糊。我们研究哲学的人尚且对于这种大问题不敢轻信，而研究科学的人平素对于这些问题既没有在实验室试验过，又没有做过长期的冥想工夫，而竟轻信如此，似非所宜。

第二点已说完，请说第三点。第三点实在不用多说，因为科学方法不是汉学家的考据为理很显明。科学注重在实验，考据不过在故纸堆中寻生活，至于那个故纸是否可靠尚是问题。

至于存疑的精神，我想除了释迦便要首推笛卡儿了。但这两个人的思想即不是科学。可见仅仅一个“奥康的剃刀”不能即算科学。"
segment:f0a67c912959,Segment,张东荪_000_a9bf05ee_s0005,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005,,"st as we say ""it lightens"",今照丁先生译文),即不认为比喻呢？难道不是同一比喻么？何以对于一个比喻存而疑之，对于另一个比喻则存而不疑？何以对于一个比喻则引为攻击之的，对于另一个比喻则引为攻击之具呢？这种以矛攻盾，是否科学家的态度呢？所以我劝丁先生不必高谈科学，老老实实自认是对于某种哲学因与自己的性质相近而欢喜，对于某种哲学因性质相远而厌恶罢了。近来精神分析学研究人把性情志愿假装为理论以发表，名曰“理由化”。我看丁先生的这种科学论完全是理由化。须知“心”“物”等问题不谈则已，一谈便就到了哲学里头去了。从正面肯定，固然是哲学，而从反面否定，亦离不了哲学。我现在亦学胡适之先生把孙行者与如来佛的比喻，用在我所敬爱的丁先生身上：哲学就好譬如来佛的掌心，丁先生一个舫斗翻了十万八千里，以为出了哲学的范围，其实还在如来佛掌心里。

说到第二点，则是全篇主旨所在了。丁先生对于科学的性质，与科学的确实性，所说的话皆不能使我满意。先讲科学的性质。丁先生在他的第一篇中说了，又在第二篇中重言以申明之。其原文如下:

“科学的方法不外将世界的事实分起类来，求他们的秩序。等到分类秩序弄明白了，再想一句最简单明白话来概括这许多事实，这叫做科学公例。凡是事实都可以用科学方法研究，都可以变做科学。”

我现在要求读者重读的即是“对于事实，分类以求其秩序”，与“拿简明的话概括许多事实”这两句。"
segment:2be09680612c,Segment,张东荪_000_a9bf05ee_s0009,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009,,"无不相同，科学的真相，才能为人所公认。否则我觉得书柜子是硬的，你觉得是软的；我看他是长方的，你看他是圆的；我说二加二是四，你说是六；还有什么科学方法可言？”

依我这个拙笨的脑筋看去，好像是说科学的确实性即基于人心的相同。特此处所谓人心是指感触思构而言。果尔则我的疑心又起了。我现在学丁先生的乖，对于丁先生亦说一句“拿证据来！”丁先生在他的第二篇果然拿了证据来了，他说:

“这是事实，不是理论。自从塞尔登拿统计的方法来研究生物的现象，成功了所谓生物测量学（Biometrics),我们所谓‘常人’已经有了统计上的根据。即如英国的常人是五尺八英寸高：五尺以下的是矮子，六尺六寸以上的是长人。但是矮子同长人的标准完全是随意的：五尺以下的矮子，和六尺六寸以上的长人之间又有许多过渡的人把他们和常人联合在一块。智慧测量的结果同高度是一样。假如我们说痴子的智慧是零，天才的是一百，常人的是五十：一至四十九把痴子同常人联合一气；五十一至九十九又把常人同天才的界限相混合。肢体与高度相称的是常人；若是一个人头异常的长，身异常的短，或是四肢绝对不能相称，他就是一个怪人，同心理上的疯子一样。研究疯人心理的学者，都觉得疯子的性质一部分与天才有几分相似，因为都是感觉特别发展的原故，但是疯子的一部分发展过度，失去了心理的平衡，而天才的各部分发展相称，能保存生活的常态。"
segment:33cf479e856e,Segment,张东荪_000_a9bf05ee_s0001,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001,,"的方面）总不会寂寞了，用不着我来凑热闹。于是我决定对于丁先生来烧一烧冷灶。想不到素来不甚做文

章的林先生居然放了一鸣惊人的响炮，把我的文章十分之九都抢了去了。对于丁先生所应当说的话十分之九既被林先生道破了，我今天所说只是一些余义。既是余义，便是“附言”的性质，所以很难标个题目。若标题为“反诘丁先生”罢，或“对于丁先生的怀疑”罢，则所应反诘的所挟疑问的决不止此数。所以我不得已，便拿我这篇文章的结尾上一句话为题目。这原是由于想不出好题目来的缘故。

为叙述简明计，我先说明我对于丁先生的态度，然后加以理由。现在即列举如下:

(甲）我认为丁先生不是真正拿科学来攻玄学，而只是采取与自己性质相近的一种哲学学说而攻击与自己性质相远的那种哲学学说。

(乙）我认为丁先生对于科学的真正性质没有说明白。

(丙）我认为丁先生对于科学，与汉学家的考据混为一谈，这样宣传科学是有害无益的。

纲领既定，请加以说明。先讲第一点。丁先生第一篇题目是《科学与玄学》，第二篇亦离不了科玄字样，当然以科学为符箓而拘拿那个名叫“玄学”的鬼了。可是玄学这个鬼却亦非常调皮，他一躲便躲在名叫“哲学”的人身上，丁先生投鼠忌器起来，于是枪法就乱了。丁先生对于玄学始终不下一个明切的定义；对于玄学与哲学的关系亦始终无一字提及。敌人尚未认清，就先开炮，我真佩服丁先生的勇敢。要是换了小弟兄，万万办不到。其实玄学的性质亦很易明白。"
segment:1fff26c117b1,Segment,张东荪_000_a9bf05ee_s0016,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0016,,"之错，算不得甚么。不过张先生、丁先生在今天的中国学术界中已不是黄毛丫头，而已跻于命妇的地位，似乎大家何必定要强不知以为知，使社会稍受影响呢？这便是区区的希望了。至于我呢，预先声明：如蒙赐教，恕不答复。其实我作此篇固然是由于闷得受不住了，然亦未尝不是受了丁先生的暗示：丁先生说杜里舒不配反对达尔文（读者注意，我以为反对达尔文与反对《进化论》是两件事，决不能说反对达尔文即是否认《进化论》),于是我一想：以研究生物学数十年的人不配反对达尔文，而研究地质学的人却反而配赞成达尔文，则我们研究哲学的人当然亦配谈科学了。不过我后来再想一想，仍是以“下不为例”为佳。所以附此声明。"
segment:89563a88f905,Segment,张东荪_000_a9bf05ee_s0010,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0010,,"学者，都觉得疯子的性质一部分与天才有几分相似，因为都是感觉特别发展的原故，但是疯子的一部分发展过度，失去了心理的平衡，而天才的各部分发展相称，能保存生活的常态。长人矮子同常人是程度问题不是种类问题，天才痴子同常人的分别，也是比较的，不是绝对的：常人虽然长，然而他的长的程度是为种族能力所限制，所以世界上没有八尺九尺的长人，况且长人的体格的系数（Inder）如头骨的宽长，手臂的比例，等等，还是同寻常人一样。天才的智慧，高出常人的程度，也是为种族能力所限制，他的心理同生理的组织也是同常人的一类的机器。这是近七十年生物学、心理学的根本观念，不是可以随便翻的。”

这段话我看来看去简直不明白丁先生说些什么，因为张君劢先生并没有主张有不学而能的突飞天才者，所以丁先生的话全是文不对题。生物测定学的书，我没有看见过，所以不敢说什么，不过据我看来好像身体的长短不及智慧的高低对于这个科学确实与否的标准性问题来得关切。所以我专讲智力实验。但一讲这一点，则丁先生所谓事实却立刻变为不幸的事实了。何以故呢？因为立刻就把丁先生口口声声所说的“常人”的绝对界限推翻了。所谓 Normal 与 Abnormal 只是程度的差别罢了。讲智力实验而探其理论的基础，实在没有很多的书。我

所看见的只是一个小册子，名曰《人类的效率与智力的层次》，乃是美国研究低能儿大家过达德所著。一提起这个人名，丁先生当然晓得。"
segment:a79f3088931f,Segment,张东荪_000_a9bf05ee_s0014,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0014,,"堆中寻生活，至于那个故纸是否可靠尚是问题。

至于存疑的精神，我想除了释迦便要首推笛卡儿了。但这两个人的思想即不是科学。可见仅仅一个“奥康的剃刀”不能即算科学。牛顿有 Hypotheseses non fingo 的名言，但他自己立有绝对运动与绝对时空，他的假说可就不算少了。可见假说的多少完全是程度的等差而没有性质的不同。总之，丁先生怕西洋玄学投入中国的宋学，来借尸还魂，这个精神不但我原谅丁先生，并且还有些敬服；只可惜丁先生同时却把科学投入汉学，做一个同样的借尸还魂。这样遥遥相对一来，使我们旁观者看了大大提不起兴趣来了。至于以宣传科学而论，我固然看不出张先生的玄学妨碍科学在中国的发展至何程度，然亦实在看不出丁先生这两篇文章促进科学在中国的发展能至何程度。——亦许是我的神经太不灵敏了。若说我对于科学的态度，自信可以不必待丁先生来劝化。但我对于科学却认为是一个大理想。我尝说科学好像一把快刀，一切东西碰着了必迎刃而解，即最神秘的生命、精神、感情、意志无一不受其宰割。但是只有一个东西，仍然在外，即是能宰割一切的刀其自身。换言之，即是伟大的智慧。我们看见一辆汽车，看他内部的机括自然是呆板的死的，但回顾创造汽车者的智慧便不能不说是创造的活的。科学发展之所以无穷无尽即在此。自从淑种学发明以来，对于人类自己的智慧亦可以设法改良。所以科学是最富于活气的。凡把科学认为机括，为呆板，这乃是不懂科学。"
segment:1e5b2e51a4d5,Segment,张东荪_000_a9bf05ee_s0002,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002,,"终不下一个明切的定义；对于玄学与哲学的关系亦始终无一字提及。敌人尚未认清，就先开炮，我真佩服丁先生的勇敢。要是换了小弟兄，万万办不到。其实玄学的性质亦很易明白。哲学向来分三部：即认识论、本体论、宇宙论便是。因旧日的沿习，学者往往名本体论与宇宙论为玄学。可见玄学就是哲学，不过范围较狭而已。哲学中本来有两派：一派始终没有深入本体论的野心；一派有这种野心。丁先生最喜欢听胡适之先生的话，胡先生凡事都取历史的观察态度。我希望丁先生亦学一学胡先生，把自从希腊以来的思想史一看，便是这两派的由来了。我以为这两派的战

如外国人不必参加我们的朱陆异同一样。哲学一天发达一天，玄学的意味早已变迁了。丁先生还要俯拾当时攻击玄学（其实当时的玄学只是神学）的话来说，未免近于无的放矢。丁先生崇拜詹姆士，我请拿詹氏的话来告诉丁先生。詹氏在他的《哲学之几问题》一书第一讲上就说玄学在最初的意思是与科学相反，其实我们应得变更原有的意思。"
entity:0bacf98593d1,人物,丁文江,人物,张东荪_000_a9bf05ee,s0000,,
entity:fe901cfcc616,人物,张君劢,人物,张东荪_000_a9bf05ee,s0000,,
entity:0a5d9170d332,概念,科学,概念,张东荪_000_a9bf05ee,s0000,,
entity:ab5f008cd73e,概念,玄学,概念,张东荪_000_a9bf05ee,s0000,,
entity:e867d428ff3f,人物,林宰平,人物,张东荪_000_a9bf05ee,s0000,,
entity:a5902cbd02aa,概念,哲学,概念,张东荪_000_a9bf05ee,s0001,,
entity:88af6181881a,概念,汉学家的考据,概念,张东荪_000_a9bf05ee,s0001,,
entity:9624496c5828,概念,认识论,概念,张东荪_000_a9bf05ee,s0002,,
entity:b10de826cac7,概念,本体论,概念,张东荪_000_a9bf05ee,s0002,,
entity:7d85d06a9769,概念,宇宙论,概念,张东荪_000_a9bf05ee,s0002,,
entity:343a00408142,人物,詹姆士,人物,张东荪_000_a9bf05ee,s0002,,
entity:bd9d835a69c4,人物,恩斯特·马赫,人物,张东荪_000_a9bf05ee,s0004,,
entity:7099cf24cb86,人物,濮朗克,人物,张东荪_000_a9bf05ee,s0004,,
entity:2e4248bd9b66,人物,艾萨克·牛顿,人物,张东荪_000_a9bf05ee,s0004,,
entity:78b798906628,概念,科学方法,概念,张东荪_000_a9bf05ee,s0005,,
entity:ce2a230ac46c,概念,科学公例,概念,张东荪_000_a9bf05ee,s0005,,
entity:8f6a4ddf5341,概念,心,概念,张东荪_000_a9bf05ee,s0005,,
entity:145ff1410372,概念,物,概念,张东荪_000_a9bf05ee,s0005,,
entity:1b6fb2173d16,概念,科学的确实性,概念,张东荪_000_a9bf05ee,s0005,,
entity:632ac6b5208f,方法,分类,方法,张东荪_000_a9bf05ee,s0005,,
entity:df4100e13958,人物,皮尔逊,人物,张东荪_000_a9bf05ee,s0006,,
entity:9912c6b964ab,概念,分类,概念,张东荪_000_a9bf05ee,s0006,,
entity:336646c6774f,概念,物理学,概念,张东荪_000_a9bf05ee,s0006,,
entity:694c2d37dc19,观点,代替说,观点,张东荪_000_a9bf05ee,s0006,,
entity:8d26f31c1fef,概念,形式逻辑,概念,张东荪_000_a9bf05ee,s0007,,
entity:7570e0cb5ecc,概念,逻辑,概念,张东荪_000_a9bf05ee,s0008,,
entity:012b88644e00,概念,三段论,概念,张东荪_000_a9bf05ee,s0008,,
entity:b0e3eaabdbfc,概念,逻辑学,概念,张东荪_000_a9bf05ee,s0008,,
entity:924036bced5e,概念,亚里士多德的逻辑,概念,张东荪_000_a9bf05ee,s0008,,
entity:23faadf6e9ad,概念,欧几里得几何,概念,张东荪_000_a9bf05ee,s0008,,
entity:d1ee74a5a93a,概念,物质的思构,概念,张东荪_000_a9bf05ee,s0008,,
