node_id,labels,name,node_type,article_id,segment_id,title,text
article:f1078fc56c16,Article,张君劢主张的人生观对科学的五个异点,Article,章演存_000_aa7de44c,,张君劢主张的人生观对科学的五个异点,
author:57c550c37345,Author,章演存,Author,,,,
entity:0bacf98593d1,人物,丁文江,人物,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000,,
entity:fe901cfcc616,人物,张君劢,人物,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000,,
entity:7a184ff14bc1,文章,《玄学与科学》,文章,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000,,
entity:76f276230722,文章,《人生观》,文章,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000,,
entity:65dfdb6e45b4,阵营/群体,青年学生,阵营/群体,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000,,
entity:0a5d9170d332,概念,科学,概念,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000,,
entity:feef3d6e6179,方法,科学的方法,方法,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000,,
entity:c5790a7a1ed5,主义/学说/理论,相对论,主义/学说/理论,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000,,
entity:2b5406142ad4,概念,旧物理学,概念,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000,,
entity:67821481a750,概念,人生观,概念,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000,,
entity:9a186e499bcd,观点,五个异点,观点,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000,,
entity:cb68acf95a13,问题,九个我对我非我的问题,问题,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000,,
entity:80ce66b49c8a,观点,第一个异点,观点,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000,,
entity:556aecbcf16e,概念,情感作用,概念,章演存_000_aa7de44c,章演存_000_aa7de44c_s0001,,
entity:b8f8ffeee8ed,概念,广义的重力作用,概念,章演存_000_aa7de44c,章演存_000_aa7de44c_s0001,,
entity:9ee1f1235059,人物,庄子,人物,章演存_000_aa7de44c,章演存_000_aa7de44c_s0001,,
entity:e75a93ac8695,概念,意见,概念,章演存_000_aa7de44c,章演存_000_aa7de44c_s0001,,
entity:a21fbca9970f,概念,原则,概念,章演存_000_aa7de44c,章演存_000_aa7de44c_s0001,,
entity:c03aa0026ba0,问题,九项问题,问题,章演存_000_aa7de44c,章演存_000_aa7de44c_s0001,,
entity:4d287d302669,概念,国际政治学,概念,章演存_000_aa7de44c,章演存_000_aa7de44c_s0004,,
entity:3c0529812a62,概念,潜心于西方学术之源流,概念,章演存_000_aa7de44c,章演存_000_aa7de44c_s0004,,
entity:1833175dbdc3,概念,因果律,概念,章演存_000_aa7de44c,章演存_000_aa7de44c_s0004,,
entity:a27145641fdd,概念,对象之相同现象,概念,章演存_000_aa7de44c,章演存_000_aa7de44c_s0004,,
entity:a31471b7aa7c,概念,人格之单一性,概念,章演存_000_aa7de44c,章演存_000_aa7de44c_s0004,,
entity:58487709fb00,概念,新物理学,概念,章演存_000_aa7de44c,章演存_000_aa7de44c_s0004,,
