node_id,labels,name,node_type,article_id,segment_id,title,text
article:407925f8a857,Article,人生观与知识论,Article,甘蛰仙_000_6b354fa0,,人生观与知识论,
author:a41f4d050791,Author,甘蛰仙,Author,,,,
segment:0a1b924e1047,Segment,甘蛰仙_000_6b354fa0_s0006,Segment,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0006,,"说，观察是否有当，殊不敢自信；惟吾人于此人生观与知识论之交点上有宜留意者焉：即无论唯理抑经验论，“尊德性”抑“道问学”，要皆以人生观为哲学之主干；孟子固无论已；即荀朱辈之所以“致知”“穷理”，务“知学问之大”，莫不以解决人生问题为要务，而务新建一种健全的人生观，以自为受用之地。——而其先辈仲尼之人生观，兼优美壮美，尤与墨子相辉映焉。吾以为：
“孔子所说的‘征诸空言，不如见诸行事之深切著明’，与墨子‘士虽有学，而行为本’的话，本是同条共贯的。”

孔墨之实行的精神，班孟坚答宾戏中，“孔席不煖，墨突不黔”二语，最形容得妙。吾尝取之，而更附益救世之指，云：
“……且夫先哲之所为栖栖不遑宁处者，岂不自知安佚之足乐哉？诚为爱群之责任心所驱迫，不能不奋然以援天下溺自负也。是以孔席不暇煖，墨突不得黔；各皆行其心之所安，而不恝然解脱于世法之外；斯乃积极的救世之精神，而为吾辈所宜则效者也。……”

孔墨二家之人生观，颇多相殊异之点；要其救世之责任心，则非不相共通者。惟孟轲于墨子深致不满；墨学自身亦呈破绽；故卒一蹶而不复振耳。

孟子荀子之人生观及其对于人生问题之态度，颇有异征：孟子之批评人生问题也，以积极的“正心”（正人心）为前提。其自道其志也，愿学仲尼，而忧乐天下；以为“当今天下，舍我其谁？”其嘐嘐进取，“自任以天下之重如此”；非“为爱群之责任心所驱迫”，而能有如斯高明壮美之人生观乎？"
segment:ba04970f730a,Segment,甘蛰仙_000_6b354fa0_s0000,Segment,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000,,"**上篇 人生观及所谓“我知我行之自由”**

（发端）诸君，欲解决人生问题乎？欲建设新人生观乎？如诚欲之，请先自发其对于人生之疑问矣。余小子初不敢言建设，即解决亦每无能为役；然出其所尝发之疑问及其所试答者，以就正于诸君，或亦诸君之所不弃乎？吾以为其先决问题，殆不外乎人生之鹄的问题矣！

（1）人生目的问题就是“活着为的什么？”我的答案：“我们为什么活着？就是为完成我们做小孩时的一片赤心——生来的良心——而活着。”此言良知之完成，乃人生所应求之鹄的也。

（2）人生途径问题就是“应该怎么干去，才不辜负了过活一辈子？”我的答案：“初面既说了是为完成我们做小孩时的一片赤心而活着，自然我们应走的途径，也就是自己或人们向着可能完满实现我们一团赤心底鹄的而踏实进行底了——换句话说，就是为鹄的而设出底到达目的之正当途径了。于可能的范围内，妥为设法，使吾良知美满实现：此种途径，乃人生所应由之术也。质言之，即‘一到良知完成之路’而已。”

惟为实践此术，贯彻此鹄起见，不能不涉及修养，故复涉及第三步：

（3）人生之修养观前种目的（鹄），先民辄名之曰“至善”；前种途径（术），吾亦尝名之曰“勇于为善之途径”。惟在这条长途上行进之时，须得着力“提起”，切实“培养”。设使不提起自力，培养自己的精神；此条长路，恐难坦然走过。设使对于自己所需之资粮，不先有充分之准备；则安知在半途上不起恐慌？吾故曰："
segment:036c2db21d98,Segment,甘蛰仙_000_6b354fa0_s0010,Segment,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0010,,阳明学说之所赖以传；其在中国人生哲学史上之建设，固已度越常人矣。我辈试深念之：龙溪之在王门，伊川之在太学；其志气为何如？其学养又何如？夫人而无志于做人，斯已耳；如犹有志于做人也，使诚具有龙溪之志气而更取法伊川之学养：安见古今人之不相及耶？天下惟有意志者，能创造崭新之历史；愿吾青年同胞，相与共勉之矣！抑余虽陋劣无似，于平旦内省之余，亦安敢太自暴弃，不从此更向前猛著一鞭也！——近月来张丁二君之玄学科学论战，各皆持之有故，不出乎人生范围之外。余两皆乐观焉！似此兴会淋漓，余或有卷入论战旋涡之一日，亦未可知。特惧外界或疑我将来发言时，于二君有左右袒；而吾之修养力及学力，亦自觉陋劣滋甚，虑不能于二君有所益也；辄于未参战之前，拉杂书其平昔之立脚点如右。
segment:2fae11da977c,Segment,甘蛰仙_000_6b354fa0_s0007,Segment,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0007,,"。其自道其志也，愿学仲尼，而忧乐天下；以为“当今天下，舍我其谁？”其嘐嘐进取，“自任以天下之重如此”；非“为爱群之责任心所驱迫”，而能有如斯高明壮美之人生观乎？荀子之批评人生问题也，以消极的“解蔽”为大纲；其自为学也，务“入乎耳，箸乎心，布乎四体，形乎动静；端而言，蝡而动，一可以为法则。”与孟子书中所称“其为气也，至大至刚，以直养而无害，则塞乎天地之间”，一则为壮美的人格之表现，一则为优美的人格之表现。揆诸孔子“无可无不可”之人生观，盖各得其一义焉。即孟子务积极的尽其救世之责任；而荀子则消极的葆其“修身”之操守也。曰：“使目非是无欲见也，使耳非是无欲闻也，使口非是无欲言也，使心非是无欲虑也。”盖介然有所不为，欲建设一种狷洁优美之人生观焉。

北宋诸子之人生观，若者壮美，若者优美；其说已略见于拙稿“唯美的人格主义”（今年五月四日晨报副镌）篇矣。南宋理学界，自当推朱陆为重要代表。陆子之“先立其大”，得力于孟子；此人所共见也。据我近来所见，其消极的克治工夫，乃多从荀子“解蔽”之说推出：盖适用荀子知识论及人生问题之批评；而移入人生修养之范围内，以为求在外而齐其末者之棒喝也。朱子之“真积力久”近似荀子，此亦人所易喻也。惟其对于物界之知识，务积极的穷究其理，乃颇类于孟子“博学详说，将以反约”之旨：盖适用孟子人生理想之步骤，暂时渡入知识之范围；而以明吾心之体用为人生最后之目的也。"
segment:844b17c2bcc8,Segment,甘蛰仙_000_6b354fa0_s0002,Segment,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0002,,"善恶不知所择”（同上）故；以强迫作用，能使人忘其“强为善”之责任心，而无繇自下批判故。顾此批判的自由及选择的自由，属道德论耶？抑属本体论耶？于是涉及第四步：

（4）道德的自由论之所从出，窃尝申论之云：
似乎这种自由论，是建筑在道德的基础上的，不妨说为道德的自由论。
我所自信的，是肯定良心的自由，道德上的自由，所以我的道德论底根本观念，是本体论中的自由论！（拙稿，载创造一期五九叶，十一年三月，诚学会出版。）

鄙意欲率自由意志以通本体论与道德学之邮，犹先民所谓“为仁由己”也。我当时之见解，以为从事本体之学，务必以道德学为之辅，乃能按切人生之实际，乃能新建一种健全的人生观。宋明时代的理学家，无自名其学为玄学者，由能“即体为用”；不肯披其坦荡荡之“儒者”胸襟，以当往昔清谈者流所畅之玄风也。——彼“尊德性”之说，似较“道问学”之义，为切于本体矣；然此所谓“尊”，即是对于“德性”所下的工夫：犹前所谓“致”，即是对于“良知”所下的工夫也。——夫人之生也，果何所求而何所由？吾则曰：亦无所为而为之耳。即为“良知”而“致良知”，为“德性”而“尊德性”，即本体以为工夫，亦将不外乎率其一副无所为而为的精神，以从事“学问”；而未见其所“道”者，终不能与其“尊”者，同归一致也。

**中国先哲之人生观及其知识论底一班**

（5）由知识论略释孔孟荀朱陆王诸家之学说："
segment:30d7e4f32c29,Segment,甘蛰仙_000_6b354fa0_s0009,Segment,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0009,,"何时也？彼手定大难，巍然树再造之功，乃不免忧谗畏讥以终其身；岂茫茫大宙，竟不能容阳明先生人格的量美之实现耶？虽然，不容亦何病？仲尼不云乎？“不愤不启，不悱不发。”我阳明先生历史上之人格的力美，或终有以启后学之愤而发且悱者也！

明乎此，则吾对于中国先哲之人生观，自仲尼以迄阳明，其所最服膺者，略可睹矣。

**总结**

综以上六节所言，不外：
（1）人生之目的——良知之完成。
（2）人生之途径——到良知完成之路。
（3）人生之修养——致良知之工夫，不可不做；我知我行之真自由，不可不保持：提起自觉心，运用其选择力及批判力。
（4）道德的自由之所从出——本体论中的自由论。其引伸之义，在肯定良心的自由。
（5）由知识论略释先哲学说——以知识论为从事研究或解决人生问题者所宜知故。
（6）由人生观略释先哲之人格态度——以人格态度为从事建设新人生观者所宜知故。

抑最后尚有言者：我甚自愧修养力与学力均极浅薄，殊不足以了解先哲之粹言懿行，及其广大精明之人生观！即晦庵之高挹群言，阳明之领袖一代，亦断非余小子所敢望其万一。惟窃自念：人生之修养，每植本于治学时代。在“理学”界，如宋之程伊川，明之王龙溪，一则晦庵学说之所从出，一则阳明学说之所赖以传；其在中国人生哲学史上之建设，固已度越常人矣。我辈试深念之：龙溪之在王门，伊川之在太学；其志气为何如？其学养又何如？夫人而无志于做人，斯已耳；"
entity:67821481a750,概念,人生观,概念,甘蛰仙_000_6b354fa0,s0000,,
entity:7d2b89c42b42,概念,修养,概念,甘蛰仙_000_6b354fa0,s0000,,
