source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
陆志韦,article:b8d5a5bcc0c2,WROTE,WROTE,neutral,0,0,,,,陆志韦_000_44275f1b,
entity:f23057156aa4,term:8fdd70e60b3d,RELATES_TO,导致,negative,-0.5,0.5,不适用,科学与玄学的冲突，心理学者看了大不高兴。,1.0,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
term:3ac303ef7186,term:e1ce158068b8,RELATES_TO,区分,neutral,0.0,0.5,概念澄清,丁在君先生所说的心理学完全不是张君劢先生所说的心理学。,1.0,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
term:3ac303ef7186,entity:bd45b9b82b9b,RELATES_TO,相关,negative,-0.8,0.7,一般批评,一是唯感觉主义的哲学家的口头禅。,1.0,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
entity:0bacf98593d1,entity:ed0f505d7516,RELATES_TO,相关,neutral,0.0,0.3,援引权威,丁先生明说是Pearson传授的。,1.0,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
term:444862b1d437,term:d474ca764471,RELATES_TO,反对,negative,-1.0,0.8,一般批评,Pearson我们不承认是心理学家。,1.0,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
entity:0bacf98593d1,entity:26e8a7558311,RELATES_TO,相关,neutral,0.0,0.3,援引权威,丁先生引了几句Mach的话,1.0,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
term:67b4d9fe2c45,term:541fddf653c2,RELATES_TO,质疑,negative,-0.5,0.5,事实质疑,"丁先生引了几句Mach的话，丁先生的主张,Mach未必都能赞同。",1.0,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
term:1dfb0ea5fadf,term:b62eb523a9ce,RELATES_TO,属于,neutral,0.0,0.3,不适用,张先生的心理学，看来他的位置介乎 Brentano 与 Wurzburg 学派之间。,1.0,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
term:bcb62f91b527,term:9d322ee4491d,RELATES_TO,相关,mixed,-0.3,0.5,部分肯定,这种学派原不无一部分的势力，然而决不能代表一切心理学。,1.0,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
term:62f41e8df04e,term:8c2fdd43d50d,RELATES_TO,相关,negative,-0.8,0.7,一般批评,所以两先生的心理学都是一偏之见。,1.0,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
entity:c8b98890c241,entity:5816ba338131,RELATES_TO,相关,negative,-0.8,0.7,一般批评,心理学只算得三十六着中最后一着的护身符。,1.0,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
entity:0bacf98593d1,entity:c8b98890c241,RELATES_TO,批评,negative,-0.8,0.8,讽刺,丁先生呼心理学说，“走狗来”，走狗有时偏不来，于是破口说，“你也造反了，你这哲学的走狗”。,1.0,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
