source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
范寿康,article:9bfd9ecc020f,WROTE,WROTE,neutral,0,0,,,,范寿康_000_14d2ac72,
article:9bfd9ecc020f,segment:64428c7fad9b,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0003
article:9bfd9ecc020f,segment:e852ff6e15fb,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0009
article:9bfd9ecc020f,segment:2452eddc0e2f,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0001
article:9bfd9ecc020f,segment:f0d357e501d4,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0013
article:9bfd9ecc020f,segment:5c2fafc33e80,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0010
article:9bfd9ecc020f,segment:67d0e3147921,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0015
article:9bfd9ecc020f,segment:4878b513c0be,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0008
article:9bfd9ecc020f,segment:0ee706c27680,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0004
article:9bfd9ecc020f,segment:7677a6b32a44,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0014
article:9bfd9ecc020f,segment:efb97c2853be,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0012
article:9bfd9ecc020f,segment:f2d0598a4581,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0016
article:9bfd9ecc020f,segment:f68e1bcaf533,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0005
article:9bfd9ecc020f,segment:329bb7f9c796,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0007
article:9bfd9ecc020f,segment:4d40cb67bf28,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0011
article:9bfd9ecc020f,segment:ddb8b2ba8fa0,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0006
segment:2452eddc0e2f,entity:9ebe19d4be94,MENTIONS,MENTIONS,neutral,0,0,,文本中多次提及梁氏评论论战,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0001
segment:2452eddc0e2f,entity:bba83fe2e490,MENTIONS,MENTIONS,neutral,0,0,,文本中提及伏园氏提案,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0001
segment:2452eddc0e2f,entity:4f7d7b0056b7,MENTIONS,MENTIONS,neutral,0,0,,文本中提及王星拱论《科学与人生观》,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0001
segment:2452eddc0e2f,entity:d0a13b8fc27c,MENTIONS,MENTIONS,neutral,0,0,,文本中讨论玄学定义,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0001
segment:2452eddc0e2f,entity:25a150305a7a,MENTIONS,MENTIONS,neutral,0,0,,文本中讨论科学定义,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0001
segment:2452eddc0e2f,entity:43d33459731c,MENTIONS,MENTIONS,neutral,0,0,,文本中讨论人生观定义,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0001
segment:2452eddc0e2f,entity:887e1787a656,MENTIONS,MENTIONS,neutral,0,0,,伏园氏提出哲学定义问题,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0001
segment:64428c7fad9b,entity:dc4cd08803b6,MENTIONS,MENTIONS,neutral,0,0,,原文多次提及,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0003
