node_id,labels,name,node_type,article_id,segment_id,title,text
article:0557e2c0461f,Article,玄学科学论战杂话,Article,孙伏园_000_50fcd0d8,,玄学科学论战杂话,
author:4321995f3a68,Author,孙伏园,Author,,,,
entity:ab5f008cd73e,概念,玄学,概念,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000,,
entity:0a5d9170d332,概念,科学,概念,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000,,
entity:67821481a750,概念,人生观,概念,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000,,
entity:a5902cbd02aa,概念,哲学,概念,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000,,
entity:b358136b4695,阵营/群体,丁文江 + 张君劢,阵营/群体,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000,,
entity:1e4d928503a0,阵营/群体,观战人,阵营/群体,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000,,
entity:09a74904a0b2,阵营/群体,参战人,阵营/群体,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000,,
entity:208bf0d99c76,概念,玄学是整个地研究宇宙,概念,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000,,
entity:935ecd892d4a,概念,科学是分别地研究宇宙,概念,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000,,
entity:8a958eb3bd82,概念,人生观是某一个人（或某一派人）对于人生的见解与态度,概念,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000,,
entity:fa4ce2bd1b90,概念,哲学是整个地和分别地研究人生,概念,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000,,
entity:27469967bfb4,概念,哲学的内容应该是(一) 整个地研究人生 —— 人生哲学;(二) 分别地研究人生——社会学，心理学，教育学，等等,概念,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000,,
entity:e82c734cfca7,概念,晚出的科学,概念,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000,,
entity:f486a2254f9d,问题,第一个问题,问题,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000,,
entity:50513bf14e2e,问题,第二个问题,问题,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000,,
entity:5464f7dbb99c,问题,第三个问题,问题,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000,,
entity:6afdedfba20d,问题,哲学是什么,问题,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000,,
entity:dff2e629a329,方法,科学方法,方法,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002,,
entity:09d93e258179,人物,任鸿隽,人物,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002,,
entity:0bacf98593d1,人物,丁文江,人物,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002,,
entity:0fdbff86b803,概念,思想,概念,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002,,
entity:ca4a101ccd00,概念,文学美术上极有价值的空想,概念,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002,,
entity:5e8fdb635a0d,概念,汉学,概念,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002,,
entity:801d9a635d67,概念,宋学,概念,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002,,
entity:ec9a781461ff,人物,程、朱、陆、王,人物,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002,,
entity:a8d4d6f2ba05,人物,陆王,人物,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002,,
entity:fe901cfcc616,人物,张君劢,人物,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002,,
entity:9f7f6d236124,阵营/群体,两军主帅及学术界诸君子,阵营/群体,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002,,
claim:aa1a388e44dc,Claim,我对于玄学科学都是外行，对于丁张两君的论点也还没有完全捉到，本不应该轻妄说话,Claim,孙伏园_000_50fcd0d8,,,我对于玄学科学都是外行，对于丁张两君的论点也还没有完全捉到，本不应该轻妄说话
claim:eba556384c73,Claim,因为两方似乎并不攻守一个要塞，未免令观战人不十分痛快，参战人也不十分踊跃,Claim,孙伏园_000_50fcd0d8,,,因为两方似乎并不攻守一个要塞，未免令观战人不十分痛快，参战人也不十分踊跃
claim:ca4d8ad29a84,Claim,现在两方都还没有注意到首先应该注意的三个问题,Claim,孙伏园_000_50fcd0d8,,,现在两方都还没有注意到首先应该注意的三个问题
claim:a74f9adcbbc2,Claim,双方都应该宣布自己对于这三个名词的定义,Claim,孙伏园_000_50fcd0d8,,,双方都应该宣布自己对于这三个名词的定义
claim:936202381b5e,Claim,人生观对于玄学或科学的关系，远不如对于哲学的那样重要,Claim,孙伏园_000_50fcd0d8,,,人生观对于玄学或科学的关系，远不如对于哲学的那样重要
claim:52b16d185080,Claim,有许多人把哲学与玄学看作几乎是一个东西，哲学的对象只是研究宇宙构成的根本材料,Claim,孙伏园_000_50fcd0d8,,,有许多人把哲学与玄学看作几乎是一个东西，哲学的对象只是研究宇宙构成的根本材料
claim:0e12bcdba3c9,Claim,这未免太狭了,Claim,孙伏园_000_50fcd0d8,,,这未免太狭了
claim:3dfe9b2607a4,Claim,人生观可以受科学的影响，也可以不受科学的影响。,Claim,孙伏园_000_50fcd0d8,,,人生观可以受科学的影响，也可以不受科学的影响。
claim:418e2f60ab3a,Claim,人生观受不受科学的影响是一问题，人生观统一不统一又是一问题。,Claim,孙伏园_000_50fcd0d8,,,人生观受不受科学的影响是一问题，人生观统一不统一又是一问题。
