node_id,labels,name,node_type,article_id,segment_id,title,text
article:66d3b6ba1819,Article,玄学与科学 ——评张君劢的《人生观》,Article,丁文江_000_3ba07a5e,,玄学与科学 ——评张君劢的《人生观》,
author:8060a178c99a,Author,丁文江,Author,,,,
article:c877e9637f82,Article,玄学与科学——答张君劢,Article,丁文江2_000_e838922e,,玄学与科学——答张君劢,
article:946c66858cb0,Article,“玄学与科学”论争的余兴,Article,丁文江3_000_94b5c2f9,,“玄学与科学”论争的余兴,
entity:ab5f008cd73e,概念,玄学,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000,,
entity:fe901cfcc616,人物,张君劢,人物,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000,,
entity:0a5d9170d332,概念,科学,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000,,
entity:25c5067ce74c,比喻/类比,玄学鬼,比喻/类比,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000,,
entity:1bae12afe940,阵营/群体,学科学的人,阵营/群体,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000,,
entity:67821481a750,概念,人生观,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000,,
entity:7ffe974d5497,概念,论理学,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000,,
entity:65dfdb6e45b4,阵营/群体,青年学生,阵营/群体,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000,,
entity:1c7b557a5a8b,文章,张君劢的《人生观》,文章,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000,,
entity:0e39ade55bbf,概念,客观的论理同事实,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000,,
entity:fc5b91a8e3c0,概念,定义,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000,,
entity:5c2c57f05336,概念,方法,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000,,
entity:20049f533ca6,概念,论理学的公例,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000,,
entity:b2d579c4894c,比喻/类比,庚子年联军的枪炮火器,比喻/类比,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000,,
entity:84637423ce4b,比喻/类比,义和团,比喻/类比,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000,,
entity:7646df082500,文章,这篇文章,文章,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000,,
entity:a20f0a2d2842,概念,物质科学,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0004,,
entity:36c98fff1f00,概念,精神科学,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0004,,
entity:136161be5ee9,概念,知识论,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0004,,
entity:145ff1410372,概念,物,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0004,,
entity:94241147e41a,概念,质,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0004,,
entity:a0731ce786cb,例证,书柜子,例证,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0004,,
entity:c8c7a60612ef,概念,觉官感触,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0004,,
entity:c3290e5df355,概念,物质,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0004,,
entity:4bfab47ba94a,概念,结构,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0004,,
entity:045f5b2a5500,人物,冒根,人物,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0004,,
entity:5a0c88a79068,著作,《动物生活与聪明》,著作,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0004,,
entity:f3cf5766ef40,概念,觉官的感触,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0004,,
entity:e782d6bd76ea,概念,无意的举动,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0004,,
entity:0fdbff86b803,概念,思想,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0005,,
entity:d4877b845f1e,概念,自觉,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0005,,
entity:e7bc6af3cc4b,概念,有意的,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0005,,
entity:600e623be0b4,阵营/群体,玄学家,阵营/群体,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0005,,
entity:4797eaa2ea6d,概念,原子,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0005,,
entity:9fccbd94f28b,阵营/群体,理化学者,阵营/群体,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0005,,
entity:0e802e1049dc,概念,自觉现象,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006,,
entity:dff2e629a329,方法,科学方法,方法,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006,,
entity:2be5f36264be,概念,觉官,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006,,
entity:685bec27a6c1,概念,心理上的内容,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006,,
entity:4b30d802e3b4,概念,科学的材料,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006,,
entity:fe5c12995248,概念,知觉,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006,,
entity:83980c4d7d26,概念,概念,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006,,
entity:53325e539564,概念,推论,概念,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006,,
