source_id,target_id,type,relation,polarity,evidence,confidence,article_id,segment_id
author_aa08de6be9d7fb18,article_a22385adf8ac1967,WROTE,WROTE,neutral,,,颂皋_000_0fffa40d,
article_a22385adf8ac1967,segment_76adc07331c145fe,HAS_SEGMENT,HAS_SEGMENT,neutral,,,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000
article_a22385adf8ac1967,segment_cf815dd36ad5114a,HAS_SEGMENT,HAS_SEGMENT,neutral,,,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0001
article_a22385adf8ac1967,segment_8debebbd9cb0abb4,HAS_SEGMENT,HAS_SEGMENT,neutral,,,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002
article_a22385adf8ac1967,segment_8a91f7200b879215,HAS_SEGMENT,HAS_SEGMENT,neutral,,,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0003
article_a22385adf8ac1967,segment_1a7b8ee14340a74b,HAS_SEGMENT,HAS_SEGMENT,neutral,,,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0004
segment_76adc07331c145fe,entity_7848e17f97774e9f,MENTIONS,MENTIONS,neutral,文本中提及'在君先生'，即丁文江,,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000
segment_76adc07331c145fe,entity_91765cd30cbb3870,MENTIONS,MENTIONS,neutral,文本中明确提及,,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000
segment_76adc07331c145fe,entity_3876116d214462b1,MENTIONS,MENTIONS,neutral,文本中提及'乾姆斯（James）'，即威廉·詹姆斯,,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000
segment_76adc07331c145fe,entity_140f0db0280dac99,MENTIONS,MENTIONS,neutral,文本末尾署名,,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000
segment_76adc07331c145fe,entity_726166053d9dd87e,MENTIONS,MENTIONS,neutral,文本中提及'科学与玄学之争',,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000
segment_76adc07331c145fe,entity_4555a7a39b660133,MENTIONS,MENTIONS,neutral,文本中多次提及,,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000
segment_76adc07331c145fe,entity_8459c276e24ba06f,MENTIONS,MENTIONS,neutral,文本中提及,,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000
segment_76adc07331c145fe,entity_2584c0a4f898ebcb,MENTIONS,MENTIONS,neutral,文本中提及'哲学问题（Some Problems of Philosophy）',,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000
segment_76adc07331c145fe,entity_b34790f62ad7acf9,MENTIONS,MENTIONS,neutral,文本中提及'何谓思想？',,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000
segment_76adc07331c145fe,entity_5f1611d207546569,MENTIONS,MENTIONS,neutral,文本中提及'何谓事物？',,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000
segment_76adc07331c145fe,entity_36d0996ccf14ecbd,MENTIONS,MENTIONS,neutral,文本中提及'吾人所云“真理”',,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000
segment_76adc07331c145fe,entity_4b059049ab401fa0,MENTIONS,MENTIONS,neutral,文本中提及'一切事实均由材质（Stuff）而成',,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000
segment_76adc07331c145fe,entity_ba95d33d4273ad27,MENTIONS,MENTIONS,neutral,文本中提及'世界究竟由何而来？',,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000
segment_76adc07331c145fe,entity_398705a1fa34a74b,MENTIONS,MENTIONS,neutral,文本中提及'何者为本体中之最真实者？',,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000
segment_76adc07331c145fe,entity_9ca395c5f1788a22,MENTIONS,MENTIONS,neutral,文本中提及'凡百事物果如何而并合成一字宙？',,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000
segment_8debebbd9cb0abb4,entity_bd3b9319711e8c07,MENTIONS,MENTIONS,neutral,康德尝谓玄学上之重要问题有三,,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002
segment_8debebbd9cb0abb4,entity_c58fca0576b3a1af,MENTIONS,MENTIONS,neutral,诚如桓儿夫（C. Wolff）所言,,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002
segment_8debebbd9cb0abb4,entity_d8384cff3903c6c9,MENTIONS,MENTIONS,neutral,美与善是否只系一种意见,,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002
segment_8debebbd9cb0abb4,entity_a730e19214b0d525,MENTIONS,MENTIONS,neutral,有否一种客观的证实,,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002
segment_8debebbd9cb0abb4,entity_6abac119ca7ae09e,MENTIONS,MENTIONS,neutral,是谓玄学上之问题,,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002
segment_8debebbd9cb0abb4,entity_8714d6bffb8cb4b3,MENTIONS,MENTIONS,neutral,何为我所能知者,,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002
