source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
甘蛰仙,article:407925f8a857,WROTE,WROTE,neutral,0,0,,,,甘蛰仙_000_6b354fa0,
entity:e5a2f5b37393,entity:031a78e6cbfb,RELATES_TO,包含,neutral,0.0,0.0,不适用,吾以为其先决问题，殆不外乎人生之鹄的问题矣！,0.9,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000
entity:e5a2f5b37393,entity:58bf1dbf54db,RELATES_TO,包含,neutral,0.0,0.0,不适用,（2）人生途径问题就是“应该怎么干去，才不辜负了过活一辈子？”,0.9,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000
entity:e5a2f5b37393,entity:e380d3d7ec17,RELATES_TO,包含,neutral,0.0,0.0,不适用,惟为实践此术，贯彻此鹄起见，不能不涉及修养，故复涉及第三步：,0.9,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000
term:444862b1d437,entity:031a78e6cbfb,RELATES_TO,定义,positive,1.0,0.8,概念澄清,我们为什么活着？就是为完成我们做小孩时的一片赤心——生来的良心——而活着。,0.9,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000
term:444862b1d437,entity:58bf1dbf54db,RELATES_TO,定义,positive,1.0,0.8,概念澄清,初面既说了是为完成我们做小孩时的一片赤心而活着，自然我们应走的途径，也就是自己或人们向着可能完满实现我们一团赤心底鹄的而踏实进行底了——换句话说，就是为鹄的而设出底到达目的之正当途径了。,0.9,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000
term:444862b1d437,entity:e380d3d7ec17,RELATES_TO,定义,positive,1.0,0.8,概念澄清,（3）人生之修养观前种目的（鹄），先民辄名之曰“至善”；前种途径（术），吾亦尝名之曰“勇于为善之途径”。,0.9,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000
term:444862b1d437,term:2a092036c6e0,RELATES_TO,主张,positive,1.0,0.8,不适用,我们为什么活着？就是为完成我们做小孩时的一片赤心——生来的良心——而活着。,0.9,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000
term:444862b1d437,term:3cb99f093c7d,RELATES_TO,主张,positive,1.0,0.8,不适用,此言良知之完成，乃人生所应求之鹄的也。,0.9,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000
term:444862b1d437,term:31f792505210,RELATES_TO,主张,positive,1.0,0.8,不适用,初面既说了是为完成我们做小孩时的一片赤心而活着，自然我们应走的途径，也就是自己或人们向着可能完满实现我们一团赤心底鹄的而踏实进行底了——换句话说，就是为鹄的而设出底到达目的之正当途径了。,0.9,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000
term:444862b1d437,term:03d41c694487,RELATES_TO,主张,positive,1.0,0.8,不适用,于可能的范围内，妥为设法，使吾良知美满实现：此种途径，乃人生所应由之术也。,0.9,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000
term:444862b1d437,term:05671d3321dd,RELATES_TO,主张,positive,1.0,0.8,不适用,惟为实践此术，贯彻此鹄起见，不能不涉及修养，故复涉及第三步：,0.9,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000
term:444862b1d437,term:3148dda2b692,RELATES_TO,主张,negative,-0.5,0.5,不适用,设使不提起自力，培养自己的精神；此条长路，恐难坦然走过。,0.9,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000
term:444862b1d437,term:5aac0df1beee,RELATES_TO,主张,negative,-0.5,0.5,不适用,设使对于自己所需之资粮，不先有充分之准备；则安知在半途上不起恐慌？,0.9,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000
