source_id,target_id,type,relation,polarity,evidence,confidence,article_id,segment_id
author_fa82e189725694e0,article_d896784a0a988003,WROTE,WROTE,neutral,,,吴稚晖_000_7d60d047,
author_fa82e189725694e0,article_b20a10f7ff28148f,WROTE,WROTE,neutral,,,吴稚晖_001_b4c0e810,
article_d896784a0a988003,segment_c620b6ad32fd5f88,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0000
article_d896784a0a988003,segment_b8149c0ac50d25b8,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0001
article_d896784a0a988003,segment_afc3e6176a8f614e,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0002
article_d896784a0a988003,segment_5d50e6f90acbb78c,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0003
article_d896784a0a988003,segment_8bfa51fa23c1517c,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0004
article_d896784a0a988003,segment_3ad914721ac0d5f5,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0005
article_d896784a0a988003,segment_a5290345fcc4a05b,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0006
article_d896784a0a988003,segment_f50da9ddb4b8a7bf,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0007
article_b20a10f7ff28148f,segment_e3c9935ecb688419,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0000
article_b20a10f7ff28148f,segment_deb9c32e3a6b4e1a,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0001
article_b20a10f7ff28148f,segment_37c76fc37205bffc,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0002
article_b20a10f7ff28148f,segment_9fe873cb4d47e5dc,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0003
article_b20a10f7ff28148f,segment_aa991dea1ebbce2c,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0004
article_b20a10f7ff28148f,segment_5ec81eb8bd830c77,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0005
article_b20a10f7ff28148f,segment_240ddd1c36d6f102,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0006
article_b20a10f7ff28148f,segment_90ed5d0edb37d312,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0007
article_b20a10f7ff28148f,segment_01641a605e27cbb5,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0008
article_b20a10f7ff28148f,segment_70e86080227ab59e,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0009
article_b20a10f7ff28148f,segment_e5ed7798fb8c9cb8,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0010
article_b20a10f7ff28148f,segment_7eae30033be68562,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0011
article_b20a10f7ff28148f,segment_b8a68ed16a5a713c,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0012
article_b20a10f7ff28148f,segment_685dd432c02ce689,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0013
article_b20a10f7ff28148f,segment_ca2071320d251cae,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0014
article_b20a10f7ff28148f,segment_4014e88a05e78e1f,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0015
article_b20a10f7ff28148f,segment_9c99eea79df17ea0,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0016
article_b20a10f7ff28148f,segment_1503138123d041c9,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0017
article_b20a10f7ff28148f,segment_51225ca6fa85528b,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0018
article_b20a10f7ff28148f,segment_f40a26874243b8fd,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0019
article_b20a10f7ff28148f,segment_32500a695d2b6bae,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0020
article_b20a10f7ff28148f,segment_5ec5c3d378414c2e,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0021
article_b20a10f7ff28148f,segment_0a91eb58f601e39c,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0022
article_b20a10f7ff28148f,segment_d8b2e3d263e2879e,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0023
article_b20a10f7ff28148f,segment_3450be109b614875,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0024
article_b20a10f7ff28148f,segment_bd59c57b6bdf37d3,HAS_SEGMENT,HAS_SEGMENT,neutral,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0025
