node_id,labels,name,node_type,article_id,segment_id,title,text
article:2babd95737ec,Article,玄学上之问题,Article,颂皋_000_0fffa40d,,玄学上之问题,
author:0d0e8dd66bb0,Author,颂皋,Author,,,,
entity:0bacf98593d1,人物,丁文江,人物,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000,,
entity:fe901cfcc616,人物,张君劢,人物,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000,,
entity:d32d43dcf394,历史事件,科学与玄学之争,历史事件,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000,,
entity:6f787da15ee3,阵营/群体,国内知名之士,阵营/群体,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000,,
entity:ab5f008cd73e,概念,玄学,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000,,
entity:aa947d3e1682,人物,乾姆斯（James）,人物,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000,,
entity:169f77c3aad8,著作,哲学问题（Some Problems of Philosophy）,著作,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000,,
entity:ce7438c0c3e1,文章,玄学上之问题,文章,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000,,
entity:6a060d1617b4,概念,玄学之界说,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000,,
entity:048ccc317aad,概念,玄学的问题之性质,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000,,
entity:e46bc0ffa4bf,概念,空虚的抽象的普遍的问题,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000,,
entity:e502c786c381,概念,科学与人生所未能解决者,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000,,
entity:1babf219c2b6,概念,悬而未解决玄而且深关于事物之全体或其永久的原素之问题,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000,,
entity:0fdbff86b803,概念,思想,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000,,
entity:6dfd8bbc4ada,概念,事物,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000,,
entity:fbacb7e05de3,概念,真理,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000,,
entity:cb1a4aab87a3,概念,材质（Stuff）,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000,,
entity:8f76e93e05af,概念,本体中之最真实者,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000,,
entity:f5908f1b0392,概念,宇宙,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000,,
entity:6ece55762fc9,概念,玄学上之问题,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0001,,
entity:624ee09ef748,概念,整一,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0001,,
entity:95997c8e315e,概念,分异,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0001,,
entity:0dbb4a8020dd,概念,上帝,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0001,,
entity:a7a2e5d7a7c6,概念,一切神,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0001,,
entity:fc99c6ea9743,概念,空间,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0001,,
entity:a7f45bbc77b9,概念,时间,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0001,,
entity:7b77cdce406a,概念,真有,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0001,,
entity:9269b831f3b9,概念,普遍的观念,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0001,,
entity:2329b115e079,概念,特殊的观念,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0001,,
entity:3ced1e2837b0,概念,推考之种种原则,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0001,,
entity:4fa15774cb56,概念,美,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0001,,
entity:6b67ed623d5a,概念,善,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0001,,
entity:8f080822ec3d,概念,客观的证实,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0001,,
entity:e8c6241843f7,概念,吾人之意志,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0001,,
entity:8e23305c25ac,概念,美与善,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002,,
entity:e75a93ac8695,概念,意见,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002,,
entity:229015e1f4bc,人物,康德,人物,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002,,
entity:3ada1cd216e6,问题,何为我所能知者?,问题,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002,,
entity:ff18ebd88994,问题,何为我所应为者?,问题,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002,,
entity:495e2ac91b02,问题,何为我可期望者?,问题,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002,,
entity:fc5b91a8e3c0,概念,定义,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002,,
entity:074f3dfdf7c2,人物,桓儿夫（C. Wolff）,人物,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002,,
entity:433962f82daa,概念,凡论及事物之可能者，是谓玄学,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002,,
entity:315f348bfef2,概念,备及事物之实在者,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002,,
entity:41a3679eb329,概念,玄学者乃所以探究一切事物之原因、本质、意义，及其结果者,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002,,
entity:3353a180042f,概念,玄学实为研究本体之最普遍之原理之学,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002,,
entity:5dfb929b4f64,概念,原理,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002,,
entity:814a59a2e7a7,主义/学说/理论,原子灵魂之说,主义/学说/理论,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002,,
entity:dfa9e02f0ba6,观点,凡物非存在即为存在,观点,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002,,
entity:5247704d126e,观点,凡物必须于已存在之后乃能有所作用,观点,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002,,
entity:3b769bd37433,比喻/类比,装饰品,比喻/类比,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002,,
entity:d9ff22fb2538,概念,玄学之最严重的职务,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002,,
entity:fa7ebd8ae5e9,问题,此种单纯问题,问题,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002,,
entity:8180380cde7f,人物,斯氏,人物,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0004,,
entity:4a46a975cfd8,概念,无一起源之形态,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0004,,
entity:c5e59878d8d7,问题,全部问题,问题,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0004,,
entity:600e623be0b4,阵营/群体,玄学家,阵营/群体,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0004,,
entity:b840a4153eb8,概念,无限性,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0004,,
entity:df25766f4e51,概念,无限的,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0004,,
entity:8332843da5d6,概念,各项假设,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0004,,
entity:9c4e2634f8b1,问题,各项问题,问题,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0004,,
entity:401ed40af89d,概念,玄学之研究,概念,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0004,,
entity:a1cfc854a683,问题,上述各问题,问题,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0004,,
claim:d0ff87857829,Claim,近来了在君先生与张君劢先生为科学与玄学之争，发表许多文章，引起学术界之注意。,Claim,颂皋_000_0fffa40d,,,近来了在君先生与张君劢先生为科学与玄学之争，发表许多文章，引起学术界之注意。
claim:a6ae14ccd774,Claim,一时起而招辩者，类皆国内知名之士，对于专门之学，皆有深造，故其所发言论，自多价值。,Claim,颂皋_000_0fffa40d,,,一时起而招辩者，类皆国内知名之士，对于专门之学，皆有深造，故其所发言论，自多价值。
claim:c971755d5777,Claim,但亦有主张偏激，思想之间，发生绝大缺陷者，考其所以致此之由，大率对于玄学之所以为玄学，不无稍欠了解。,Claim,颂皋_000_0fffa40d,,,但亦有主张偏激，思想之间，发生绝大缺陷者，考其所以致此之由，大率对于玄学之所以为玄学，不无稍欠了解。
claim:365ddba12d31,Claim,欲于玄学（Metaphysics）一词，加以明确之定义，诚为不可能之事。,Claim,颂皋_000_0fffa40d,,,欲于玄学（Metaphysics）一词，加以明确之定义，诚为不可能之事。
claim:d1683b3e88a6,Claim,如欲将玄学所涉及之问题，一一加以说明，则最妙方法，莫如即先探索其意义之所在。,Claim,颂皋_000_0fffa40d,,,如欲将玄学所涉及之问题，一一加以说明，则最妙方法，莫如即先探索其意义之所在。
claim:7a1bbb4947eb,Claim,原夫玄学，乃所以讨论各种空虚的（Obscure）抽象的（Abstract）普遍的（General）问题，而为科学与人生所未能解决者。,Claim,颂皋_000_0fffa40d,,,原夫玄学，乃所以讨论各种空虚的（Obscure）抽象的（Abstract）普遍的（General）问题，而为科学与人生所未能解决者。
claim:756adde00152,Claim,易言之：即此种悬而未解决，玄而且深，关于事物之全体或其永久的原素之问题也。,Claim,颂皋_000_0fffa40d,,,易言之：即此种悬而未解决，玄而且深，关于事物之全体或其永久的原素之问题也。
claim:75f5629d563d,Claim,类此形式之问题，是谓玄学上之问题。,Claim,颂皋_000_0fffa40d,,,类此形式之问题，是谓玄学上之问题。
claim:5569b263979b,Claim,美与善是否只系一种意见，有否一种客观的证实（Objective Validity)? 设曰然，则所谓客观的证实，又作何解?,Claim,颂皋_000_0fffa40d,,,美与善是否只系一种意见，有否一种客观的证实（Objective Validity)? 设曰然，则所谓客观的证实，又作何解?
claim:38b33f9b72af,Claim,玄学上之重要问题有三，即: (1) 何为我所能知者?(What can I know?) (2) 何为我所应为者?(What Should I do?) (3),Claim,颂皋_000_0fffa40d,,,玄学上之重要问题有三，即: (1) 何为我所能知者?(What can I know?) (2) 何为我所应为者?(What Should I do?) (3) 何为我可期望者?(What May I hope?)
claim:df45be036309,Claim,欲于玄学一词，假定一相当之定义，尚非难事。,Claim,颂皋_000_0fffa40d,,,欲于玄学一词，假定一相当之定义，尚非难事。
claim:4335c685ae0b,Claim,凡论及事物之可能者，是谓玄学，与备及事物之实在者，显非相同。,Claim,颂皋_000_0fffa40d,,,凡论及事物之可能者，是谓玄学，与备及事物之实在者，显非相同。
claim:0056f42514c3,Claim,玄学者乃所以探究一切事物之原因、本质、意义，及其结果者。,Claim,颂皋_000_0fffa40d,,,玄学者乃所以探究一切事物之原因、本质、意义，及其结果者。
claim:5975b60132fc,Claim,玄学实为研究本体之最普遍之原理之学；而所谓原理，不特彼此衔接一起，即于吾人知识之能力，亦发生关系焉。,Claim,颂皋_000_0fffa40d,,,玄学实为研究本体之最普遍之原理之学；而所谓原理，不特彼此衔接一起，即于吾人知识之能力，亦发生关系焉。
claim:7d4a6d48a21b,Claim,夫此处所谓原理，在吾人观之显有不同之意义可以想见。,Claim,颂皋_000_0fffa40d,,,夫此处所谓原理，在吾人观之显有不同之意义可以想见。
claim:7c712e139665,Claim,原理之意义，既如是之复杂，由原理而完成之科学，又难有实现之望，然则此种定义，推其究竟，直等于一装饰品耳。,Claim,颂皋_000_0fffa40d,,,原理之意义，既如是之复杂，由原理而完成之科学，又难有实现之望，然则此种定义，推其究竟，直等于一装饰品耳。
claim:41f33f00278e,Claim,夫玄学之最严重的职务，不在乎他，即在乎研究此种单纯问题。,Claim,颂皋_000_0fffa40d,,,夫玄学之最严重的职务，不在乎他，即在乎研究此种单纯问题。
claim:559ff7b0a797,Claim,吾人不啻已深入玄学之重围，无以解脱,Claim,颂皋_000_0fffa40d,,,吾人不啻已深入玄学之重围，无以解脱
claim:e4a64bc81026,Claim,无一起源之形态为可以思议,Claim,颂皋_000_0fffa40d,,,无一起源之形态为可以思议
