source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
唐钺,article:ceb19a8021b7,WROTE,WROTE,neutral,0,0,,,,唐钺_000_b5cd146b,
唐钺,article:85df12bc7941,WROTE,WROTE,neutral,0,0,,,,唐钺_001_c4e36ba4,
唐钺,article:58ae12f69245,WROTE,WROTE,neutral,0,0,,,,唐钺_002_5e996979,
唐钺,article:a9c89b9230d3,WROTE,WROTE,neutral,0,0,,,,唐钺_003_1292971a,
唐钺,article:7605b71c781d,WROTE,WROTE,neutral,0,0,,,,唐钺_004_0712956a,
article:a9c89b9230d3,segment:9e5700c5f373,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,唐钺_003_1292971a,唐钺_003_1292971a_s0001
article:ceb19a8021b7,segment:60c41feca7a6,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0010
article:a9c89b9230d3,segment:82d764185d8e,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,唐钺_003_1292971a,唐钺_003_1292971a_s0000
article:a9c89b9230d3,segment:cc6eb748f06e,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,唐钺_003_1292971a,唐钺_003_1292971a_s0003
article:58ae12f69245,segment:7183b22296f4,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,唐钺_002_5e996979,唐钺_002_5e996979_s0003
article:ceb19a8021b7,segment:607b140505f6,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0004
article:58ae12f69245,segment:ad17e87804ab,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,唐钺_002_5e996979,唐钺_002_5e996979_s0006
article:ceb19a8021b7,segment:693c574c8c24,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0000
article:7605b71c781d,segment:a80c93061738,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,唐钺_004_0712956a,唐钺_004_0712956a_s0005
article:85df12bc7941,segment:972f03c027c0,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,唐钺_001_c4e36ba4,唐钺_001_c4e36ba4_s0004
article:85df12bc7941,segment:c520a85b04c5,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,唐钺_001_c4e36ba4,唐钺_001_c4e36ba4_s0002
article:a9c89b9230d3,segment:1dff6bc12659,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,唐钺_003_1292971a,唐钺_003_1292971a_s0002
article:7605b71c781d,segment:eec33dd11665,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,唐钺_004_0712956a,唐钺_004_0712956a_s0000
article:ceb19a8021b7,segment:791b2148818a,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0008
article:ceb19a8021b7,segment:528692c9d446,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
article:ceb19a8021b7,segment:0645d743861c,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0003
article:a9c89b9230d3,segment:b0a9f0776959,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,唐钺_003_1292971a,唐钺_003_1292971a_s0004
article:7605b71c781d,segment:cbbd22683574,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,唐钺_004_0712956a,唐钺_004_0712956a_s0003
article:7605b71c781d,segment:8f8c40ccfab6,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,唐钺_004_0712956a,唐钺_004_0712956a_s0001
article:58ae12f69245,segment:bc80eefcfe9b,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,唐钺_002_5e996979,唐钺_002_5e996979_s0007
article:ceb19a8021b7,segment:3e9af9d12de5,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0005
segment:693c574c8c24,entity:1833175dbdc3,MENTIONS,MENTIONS,neutral,0,0,,我所谓因果律，就是说：一切现象，都有原因。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0000
segment:693c574c8c24,entity:b4059de00b68,MENTIONS,MENTIONS,neutral,0,0,,一切心理现象是受因果律所支配的,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0000
segment:693c574c8c24,entity:2113d0c5f791,MENTIONS,MENTIONS,neutral,0,0,,无因论者（为便利起见，我称主张心理现象是不受因果律所支配的人做无因论者,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0000
segment:693c574c8c24,entity:872e98bc545e,MENTIONS,MENTIONS,neutral,0,0,,初民及幼儿每每不知道有因果律,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0000
segment:693c574c8c24,entity:30397cea5ef9,MENTIONS,MENTIONS,neutral,0,0,,初民及幼儿每每不知道有因果律,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0000
segment:693c574c8c24,entity:182758fef115,MENTIONS,MENTIONS,neutral,0,0,,牛顿的万有引力公式，就是如此。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0000
segment:693c574c8c24,entity:a7c89e4e9e3e,MENTIONS,MENTIONS,neutral,0,0,,浅显的例，就如雪见日光就溶化，日光是雪化的因,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0000
segment:528692c9d446,entity:1833175dbdc3,MENTIONS,MENTIONS,neutral,0,0,,因果律是从经验得来的。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
segment:528692c9d446,entity:4bd48527275b,MENTIONS,MENTIONS,neutral,0,0,,初民及幼儿每每不知道有因果律，所以往往有可笑的幻想同奢望。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
segment:528692c9d446,entity:2113d0c5f791,MENTIONS,MENTIONS,neutral,0,0,,无因论者（为便利起见，我称主张心理现象是不受因果律所支配的人做无因论者；下文仿此）,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
segment:528692c9d446,entity:6d2d9b48aba1,MENTIONS,MENTIONS,neutral,0,0,,无因论者一定要引康德的主张，说因果律是理性中所固有的，是先乎经验的范畴。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
segment:528692c9d446,entity:65500ea8e3a0,MENTIONS,MENTIONS,neutral,0,0,,说因果律是理性中所固有的，是先乎经验的范畴。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
segment:528692c9d446,entity:d9a257f6a96c,MENTIONS,MENTIONS,neutral,0,0,,主张心理现象是不受因果律所支配的人做无因论者,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
segment:528692c9d446,entity:5ff3049cb89a,MENTIONS,MENTIONS,neutral,0,0,,康德说一切现象，都是受因果范畴的支配，心理现象当然不能除外。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
segment:528692c9d446,entity:794c1f8372bd,MENTIONS,MENTIONS,neutral,0,0,,因为他主张本体不可经验，所经验者都是现象。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
segment:528692c9d446,entity:4c72802e7bcc,MENTIONS,MENTIONS,neutral,0,0,,心理现象，是经验内的事，当然不是本体。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
segment:528692c9d446,entity:68651d863e64,MENTIONS,MENTIONS,neutral,0,0,,因果律的来源，与本题无大关系,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
segment:528692c9d446,entity:aeda53266606,MENTIONS,MENTIONS,neutral,0,0,,我不赞成康德的因果观，也不屑把他来驳无因论。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
segment:528692c9d446,entity:1e18d90f72bd,MENTIONS,MENTIONS,neutral,0,0,,我们知道甲因生乙果，并用不着知道甲乙的详情细节。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
segment:528692c9d446,entity:9cdac42abb98,MENTIONS,MENTIONS,neutral,0,0,,可以断定火因必有烧纸之果。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
segment:528692c9d446,entity:737af2f0c415,MENTIONS,MENTIONS,neutral,0,0,,若用罗素的说法，就是因果的关系，不是说同一个因必有同一个果，乃说同一种的因必有同一种的果。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
segment:528692c9d446,entity:5dade5020657,MENTIONS,MENTIONS,neutral,0,0,,因果的关系，不是说同一个因必有同一个果，乃说同一种的因必有同一种的果。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
segment:528692c9d446,entity:7eadf07ee1d6,MENTIONS,MENTIONS,neutral,0,0,,有时我们明明知道一现象有因果，而不能由因推果或由果推因：这是因为因果过于复杂的缘故。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
segment:528692c9d446,entity:883dad8c3a03,MENTIONS,MENTIONS,neutral,0,0,,这是因为因果过于复杂的缘故。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
segment:528692c9d446,entity:fe4b3c41631b,MENTIONS,MENTIONS,neutral,0,0,,所以不能以我们不会推知为该现象无因的理由。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
segment:528692c9d446,entity:9b9546ee9735,MENTIONS,MENTIONS,neutral,0,0,,譬如瀑布击石时喷出无数浪花，这种浪花，我们知道是依着力学公式的，并且这种公式是精密的。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
segment:528692c9d446,entity:98d04a0723f8,MENTIONS,MENTIONS,neutral,0,0,,然而我却不能因此说浪花的情状是无因的。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
segment:528692c9d446,entity:b4059de00b68,MENTIONS,MENTIONS,neutral,0,0,,心理现象，是经验内的事，当然不是本体。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
segment:0645d743861c,entity:008aab4a43d3,MENTIONS,MENTIONS,neutral,0,0,,比方，火会烫伤皮肤，是完全证实的。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0003
segment:0645d743861c,entity:7a21d6109fcb,MENTIONS,MENTIONS,neutral,0,0,,因此我们可以相信一切心理现象都是如此。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0003
segment:0645d743861c,entity:5d4cf34e9b05,MENTIONS,MENTIONS,neutral,0,0,,其实一切物质现象有因的根据，也不过如是，而我们都深信不疑，何以独独疑到心理现象呢？,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0003
segment:0645d743861c,entity:82c508b01eeb,MENTIONS,MENTIONS,neutral,0,0,,我可以设一譬喻。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0003
segment:0645d743861c,entity:7e795e0f4272,MENTIONS,MENTIONS,neutral,0,0,,假如我们在一条长路上走，据已往的经验，那条路每距一丈就有一棵树。我们走了几百里，都是这样。现在我们望见前路远处还有排列整齐，像树的样子的东西。我们就预测他们也是树了。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0003
segment:0645d743861c,entity:2113d0c5f791,MENTIONS,MENTIONS,neutral,0,0,,所以除非无因论者能举实在的例，证明某种心理现象没有一点原因，我们总相信一切心理现象是有因的。,1.0,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0003
