source_id,target_id,type,relation,polarity,evidence,confidence,article_id,segment_id
author_ad7173f528b7cae6,article_35e1b6ff50a47671,WROTE,WROTE,neutral,,,张君劢_000_e090c0d2,
author_ad7173f528b7cae6,article_79f35068598edf58,WROTE,WROTE,neutral,,,张君劢_001_688ab8ae,
author_ad7173f528b7cae6,article_427f18118f9527b0,WROTE,WROTE,neutral,,,张君劢_002_c870d202,
author_ad7173f528b7cae6,article_b9a24308cbd846cc,WROTE,WROTE,neutral,,,张君劢_003_cd868ad5,
article_35e1b6ff50a47671,segment_303d74591994102f,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000
article_35e1b6ff50a47671,segment_b231f17306f2d36a,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0001
article_35e1b6ff50a47671,segment_78e6e0ed3f4adc96,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0002
article_35e1b6ff50a47671,segment_866ffe0e3fadeaab,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0003
article_35e1b6ff50a47671,segment_d60e6ef35bee14c5,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0004
article_35e1b6ff50a47671,segment_01f9b3bcc9757fb3,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0005
article_35e1b6ff50a47671,segment_61d780d8dfe34035,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0006
article_35e1b6ff50a47671,segment_aa9c30044e9d970f,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0007
article_35e1b6ff50a47671,segment_1504f12f7d5066d4,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0008
article_79f35068598edf58,segment_3290643cf88ce4e7,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0000
article_79f35068598edf58,segment_62ff71a7d0969b02,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0001
article_79f35068598edf58,segment_b5fbbf2f3cd65ca9,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0002
article_79f35068598edf58,segment_e83abfd77dc5e479,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0003
article_79f35068598edf58,segment_022d7cff3bb238f6,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0004
article_79f35068598edf58,segment_b66392c33a207a69,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0005
article_79f35068598edf58,segment_3353720914d5b0ba,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0006
article_79f35068598edf58,segment_b8a265f62b56ca92,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0007
article_79f35068598edf58,segment_e1db65c01f223cd4,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0008
article_79f35068598edf58,segment_d0ef59de881927a1,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0009
article_79f35068598edf58,segment_b6d6056bef9eaa8e,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0010
article_79f35068598edf58,segment_d2d36ddf8b380249,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0011
article_79f35068598edf58,segment_d81f924909efd3e1,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0012
article_79f35068598edf58,segment_19d511aac0a75078,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0013
article_79f35068598edf58,segment_b10b156e2e2bc2a7,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0014
article_79f35068598edf58,segment_0775a3e04c7d40c7,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0015
article_79f35068598edf58,segment_bb1702047d73e8a5,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0016
article_79f35068598edf58,segment_904dad28e6a17000,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0017
article_79f35068598edf58,segment_9a28294c374ee56d,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0018
