source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
菊农,article:22d8af5001cc,WROTE,WROTE,neutral,0,0,,,,菊农_000_b90d5dfb,
term:853a1500f535,entity:726541309faa,RELATES_TO,主张,neutral,0.0,0.0,不适用,最近丁在君先生和张君劢先生忽然提出人生观与科学的问题来讨论,1.0,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000
entity:fe901cfcc616,entity:2d8aca9731d1,RELATES_TO,主张,neutral,0.0,0.0,不适用,君勋先生的文章上提到教育问题,1.0,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000
entity:fe901cfcc616,entity:b27398ba7df7,RELATES_TO,相关,negative,-0.5,0.5,一般批评,他对于现代教育表示不满意的态度,1.0,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000
term:d231c4141f96,entity:fe901cfcc616,RELATES_TO,相关,positive,0.8,0.6,部分肯定,君勋先生的文章上提到教育问题，他对于现代教育表示不满意的态度；这真是实际上极重要的问题，对于人类之未来有极重要的关系,1.0,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000
term:164cda3fc995,term:e1e9d41e7285,RELATES_TO,导致,negative,-0.8,0.7,不适用,以为现代的悲哀、人生的烦闷、文化的停滞都是由西方文艺复兴的两种精神所酿成,1.0,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000
entity:413b327e785d,entity:bc8fa8a49c27,RELATES_TO,导致,neutral,0.0,0.0,不适用,假如我们听了历史家的话承认现代文明是文艺复兴的产物,1.0,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000
term:32e33c5fadfa,term:64a392e0631a,RELATES_TO,导致,negative,-0.6,0.6,不适用,个人主义与机械主义是近数百年来文艺复兴以后一般人对于生活的态度，这两种态度便形成了近数百年来的历史,1.0,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000
entity:fb922f26806c,term:4cfdfbcf5b9c,RELATES_TO,导致,neutral,0.0,0.0,不适用,一个人的生活态度便足以规定他的一生,1.0,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000
term:9c0ae2ce286d,term:9a5396de4319,RELATES_TO,导致,neutral,0.0,0.0,不适用,一时代的生活态度亦可以规定他各方面的社会制度和社会活动,1.0,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000
term:d231c4141f96,entity:413b327e785d,RELATES_TO,相关,mixed,0.0,0.7,混合评价,文艺复兴在艺术、文学与哲学，乃至于科学上的成功我们不能亦不愿意否认。但是他所酿成的痛苦与烦闷却亦不容不承认,1.0,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000
entity:413b327e785d,entity:20786e059500,RELATES_TO,导致,negative,-0.8,0.7,不适用,但是他所酿成的痛苦与烦闷却亦不容不承认,1.0,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000
entity:413b327e785d,term:87e61c4463a7,RELATES_TO,导致,negative,-0.8,0.7,不适用,吃苦最利害的当然要算经济方面和教育方面了,1.0,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000
entity:7d643a2e17d1,term:9c85de71a16e,RELATES_TO,相关,positive,1.0,0.9,,改良现代的教育决不仅是形式的改革，科目的增删；须要根本上打破个人主义机械主义的人生观，建设新的人生哲学,0.9,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0002
entity:706a0a8ae93d,entity:799ddd8beb58,RELATES_TO,属于,neutral,0.0,0.3,,教育不过是社会活动的一方面,0.9,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0002
term:d231c4141f96,term:c024da831e7c,RELATES_TO,批评,negative,-0.8,0.7,一般批评,这样的答案老实说实在不能使我们满意,0.9,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0002
term:d231c4141f96,term:9108d162eecd,RELATES_TO,归谬,negative,-0.9,0.8,归谬,如此说来，教育事业不过是“邮便事业”,0.9,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0002
term:1480b26f430f,term:12cc2f0f41f6,RELATES_TO,对比,mixed,-0.5,0.6,,他们的教育，目的在保存过去，我们的目的在创造将来,0.9,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0002
entity:706a0a8ae93d,entity:7aa09f62ec18,RELATES_TO,定义,positive,1.0,0.8,概念澄清,教育不仅是经验界以内事，更有其精神的意义在,0.9,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0002
entity:706a0a8ae93d,entity:d215c1b9382b,RELATES_TO,主张,positive,1.0,0.8,,但教育原是为将来，不是为过去的,0.9,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0002
entity:706a0a8ae93d,term:da724b8273f4,RELATES_TO,主张,positive,1.0,0.7,,谈到教育便决不能没有一种理想,0.9,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0002
entity:d2a0f134b252,entity:f321a7429fa3,RELATES_TO,主张,neutral,0.0,0.3,,他们的理想，便是要个个人都养成他心目中的公民,0.9,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0002
entity:46ee522e51e7,entity:706a0a8ae93d,RELATES_TO,导致,positive,1.0,0.6,不适用,所以我们可以说因为要使理想实现，所以要教育。,0.9,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0003
term:d231c4141f96,entity:f422b5ab74ba,RELATES_TO,批评,negative,-0.8,0.7,一般批评,现代的教育便是硬将个人和社会分开，定一些标准说社会要合乎这些标准的个人，否则社会不敢欢迎，而这些标准，却并不能算做标准。,0.9,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0003
entity:8257ae7d030e,entity:2f7b6e5a639e,RELATES_TO,定义,positive,1.0,0.6,概念澄清,我们以为人生的理想便是教育的理想,0.9,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0003
entity:19137f8a306b,entity:38ee6f3411c2,RELATES_TO,定义,positive,1.0,0.6,概念澄清,理想的教育实现，便是理想的人生实现。,0.9,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0003
entity:5a8639b9551a,entity:57258d6f36fc,RELATES_TO,定义,positive,1.0,0.6,概念澄清,人生的各方面便是教育的方面,0.9,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0003
entity:d8b52ba932ef,entity:ecb170274204,RELATES_TO,包含,positive,1.0,0.5,不适用,我们所谓人生不仅是那物质方面的生活，物质生活之上更有精神生活；,0.9,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0003
entity:d8b52ba932ef,entity:8c16e8d39667,RELATES_TO,包含,positive,1.0,0.5,不适用,物质生活之上更有精神生活；,0.9,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0003
entity:d8b52ba932ef,entity:b7cb6b7153e6,RELATES_TO,包含,positive,1.0,0.5,不适用,不仅是外生活，更有内生活。,0.9,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0003
entity:d8b52ba932ef,entity:0ccb2bf0514f,RELATES_TO,包含,positive,1.0,0.5,不适用,不仅是外生活，更有内生活。,0.9,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0003
entity:706a0a8ae93d,entity:f23cf2296e62,RELATES_TO,定义,positive,1.0,0.5,概念澄清,用极普通的话说，教育是求进步,0.9,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0003
entity:797bc8f89278,entity:f1015b252e9d,RELATES_TO,定义,positive,1.0,0.5,概念澄清,宇宙的行历，便是生活的创新,0.9,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0003
