source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
陆志韦,article:b8d5a5bcc0c2,WROTE,WROTE,neutral,0,0,,,,陆志韦_000_44275f1b,
张东荪,article:875a00a9bdf4,WROTE,WROTE,neutral,0,0,,,,陆志韦_001_941e994c,
entity:23aab0ef8c3e,entity:0bacf98593d1,RELATES_TO,批评,negative,0,0,一般批评,丁在君先生所说的心理学完全不是张君劢先生所说的心理学。,1.0,陆志韦_000_44275f1b,s0000
entity:0bacf98593d1,entity:c8b98890c241,RELATES_TO,批评,negative,0,0,一般批评,丁先生呼心理学说，“走狗来”,0.9,陆志韦_000_44275f1b,s0001
entity:23aab0ef8c3e,entity:e867d428ff3f,RELATES_TO,批评,negative,0,0,一般批评,近来还有一位林宰平先生自己尝了自己的吐涎还没有知道，倒说电流直接引起味觉,1.0,陆志韦_000_44275f1b,s0001
entity:c8b98890c241,entity:0a5d9170d332,RELATES_TO,属于,neutral,0,0,不适用,心理学为哲学与科学开一条来往的路线,0.8,陆志韦_000_44275f1b,s0001
entity:62fe7e6b89d5,entity:9586a72edc13,RELATES_TO,相关,negative,0,0,不适用,智力测验，除了玄学的假定，就立不住,1.0,陆志韦_000_44275f1b,s0002
entity:23aab0ef8c3e,entity:ac0864d806e7,RELATES_TO,批评,negative,0,0,一般批评,诸公是当代名流，发言轻重，我们但愿诸公不要强不知以为知,1.0,陆志韦_000_44275f1b,s0002
entity:c8b98890c241,entity:ece3a2fe5a1d,RELATES_TO,类比,neutral,0,0,不适用,心理学就是那球,1.0,陆志韦_000_44275f1b,s0002
entity:a5d9f1eb114e,entity:23aab0ef8c3e,RELATES_TO,回应,mixed,0,0,一般批评,志韦老友的话是很对，不过我说没有几本书是以我所看见的为限，不然下句便不通了,1.0,陆志韦_001_941e994c,s0000
entity:a5d9f1eb114e,entity:23aab0ef8c3e,RELATES_TO,批评,negative,0,0,一般批评,至于志韦先生这篇文章我亦有引为遗憾的地方：即他始终只说“不是什么”，而没有说“是什么”,1.0,陆志韦_001_941e994c,s0000
entity:a5d9f1eb114e,entity:0bacf98593d1,RELATES_TO,相关,neutral,0,0,不适用,我举过达德是因为丁先生曾对我说过这个人很好的话,0.9,陆志韦_001_941e994c,s0000
entity:ec1da6d15fd6,entity:d79cf2d54d17,RELATES_TO,类比,positive,0,0,不适用,现在用一个比喻：例如导淮，非请专门家不可。若是这个专门家来了，只说这个方案不对，那个方案又不对，始终自己不另说一个对的，而只以“是则是，非则非，无从辩论”为结果，这个淮河是导不成了。所以凡不学这一科的人固然不可强不知以为知，而学这一类的人则宜大谈而特谈,0.9,陆志韦_001_941e994c,s0000
entity:22a2acfa80c2,entity:d79cf2d54d17,RELATES_TO,对比,neutral,0,0,一般对比,凡不学这一科的人固然不可强不知以为知，而学这一类的人则宜大谈而特谈,1.0,陆志韦_001_941e994c,s0000
entity:23aab0ef8c3e,term:a565d5861cf8,RELATES_TO,承接,neutral,0,0,不适用,前段批评丁文江和张君劢的心理学观点都是一偏之见，后段直接承接并明确主张两先生都没有了解心理学。,0.95,,s0000
entity:23aab0ef8c3e,term:91d29c274e1d,RELATES_TO,承接,neutral,0,0,不适用,前段指出心理学被当作护身符，后段进一步主张他们原不必牵涉心理学。,0.9,,s0000
entity:23aab0ef8c3e,term:dc928adb1e25,RELATES_TO,承接,neutral,0,0,不适用,前段批评诸公强不知以为知，后段解释心理学名词太普通导致滥用。,0.85,,s0001
entity:23aab0ef8c3e,entity:a5d9f1eb114e,RELATES_TO,回应,neutral,0,0,一般批评,前段批评张东荪出言不慎，后段张东荪直接回应陆志韦的批评。,0.95,,s0001
entity:a5d9f1eb114e,entity:23aab0ef8c3e,RELATES_TO,反驳,neutral,0,0,逻辑反驳,张东荪反驳陆志韦的批评，解释自己说没有几本书是以所见为限，并指出陆志韦只说不是什么而不说是什么。,0.9,,s0001
entity:23aab0ef8c3e,entity:a5d9f1eb114e,RELATES_TO,回应,neutral,0,0,一般批评,前段陆志韦批评诸公强不知以为知，后段张东荪回应并引用陆志韦的批评。,0.85,,s0002
