node_id,labels,name,node_type,article_id,segment_id,title,text
article:407925f8a857,Article,人生观与知识论,Article,甘蛰仙_000_6b354fa0,,人生观与知识论,
author:a41f4d050791,Author,甘蛰仙,Author,,,,
entity:83935efc1931,问题,人生问题,问题,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000,,
entity:a5fa4053cdd8,概念,新人生观,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000,,
entity:e5a2f5b37393,问题,人生之鹄的问题,问题,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000,,
entity:031a78e6cbfb,问题,人生目的问题,问题,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000,,
entity:017fdf6b3be1,问题,活着为的什么,问题,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000,,
entity:2547966e805d,概念,良知之完成,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000,,
entity:58bf1dbf54db,问题,人生途径问题,问题,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000,,
entity:72a742d8ea01,问题,应该怎么干去，才不辜负了过活一辈子,问题,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000,,
entity:8a5bc9a6365b,概念,一到良知完成之路,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000,,
entity:7d2b89c42b42,概念,修养,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000,,
entity:e380d3d7ec17,概念,人生之修养观,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000,,
entity:322293d5d9d4,概念,至善,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000,,
entity:872cf70e0a89,概念,勇于为善之途径,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000,,
entity:05eded506e49,阵营/群体,先民,阵营/群体,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000,,
entity:f64266daf054,阵营/群体,诸君,阵营/群体,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000,,
entity:81e231b97930,概念,良知,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:89dcaee32da3,概念,善端,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:6bfb0534d798,概念,自由意志,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:b10de826cac7,概念,本体论,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:658973ad58cf,概念,道德学,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:02d479977ba7,概念,道德论,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:55cb20a476f4,概念,知行合一,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:259ddc7f972c,概念,真自由,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:5d3b0d391619,概念,强迫作用,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:1b53370740c9,概念,为仁由己,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:036c13e8f9fc,概念,自觉心,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:23eac5cfd072,概念,选择力,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:b8ce4986a743,概念,批判力,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:a40ee66b97ff,概念,善念,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:da180859692b,概念,气拘物蔽,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:897514f20dac,阵营/群体,行者,阵营/群体,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:dbdf200c35b4,概念,他界,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:27dabb8fd146,概念,责任心,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:cab89bf7106a,比喻/类比,至善之路从此去,比喻/类比,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:bf70b0d30850,比喻/类比,指路碑,比喻/类比,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:787dd1e00eae,比喻/类比,此条长路,比喻/类比,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:599c4a730437,比喻/类比,半途上,比喻/类比,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:37cc9c1c85e1,比喻/类比,资粮,比喻/类比,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:ae8c57074a19,比喻/类比,心地,比喻/类比,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:ada6d159b5f2,概念,善端之累,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:b3912ab34b50,概念,强为善,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:4821d0931de8,阶段,第四步,阶段,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,
entity:7fe035bd60c3,概念,道问学,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0003,,
entity:9f25a2d6bb7a,概念,尊德性,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0003,,
entity:59bdf8cca07e,人物,孟荀,人物,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0003,,
entity:39d6d7cef6a6,人物,朱陆,人物,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0003,,
entity:136161be5ee9,概念,知识论,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0003,,
entity:67821481a750,概念,人生观,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0003,,
entity:e66859167b0c,主义/学说/理论,经验论,主义/学说/理论,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0003,,
entity:ee8ca2591327,主义/学说/理论,唯理论,主义/学说/理论,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0003,,
entity:a6d91aea35b3,人物,荀朱,人物,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0003,,
entity:45a29431d3d2,人物,孟陆阳明,人物,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0003,,
entity:898ff035fa1c,人物,仲尼,人物,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0003,,
entity:507f5828498e,人物,孔子,人物,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0003,,
entity:5d8239635807,概念,性相近,概念,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0003,,
