source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
吴稚晖,article:4fbfde5f963e,WROTE,WROTE,neutral,0,0,,,,吴稚晖_000_7d60d047,
吴稚晖,article:e8dae33287d6,WROTE,WROTE,neutral,0,0,,,,吴稚晖_001_b4c0e810,
article:e8dae33287d6,segment:b7a4633732f8,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0056
article:e8dae33287d6,segment:eee5e3d0c898,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0072
article:e8dae33287d6,segment:2fb14ce95839,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0008
article:e8dae33287d6,segment:90d3d4b551f0,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0064
article:4fbfde5f963e,segment:09529b0daa5d,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0000
article:e8dae33287d6,segment:14cedc533c7a,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0016
article:e8dae33287d6,segment:26e6bac91b62,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0048
article:e8dae33287d6,segment:b2c4ec9ea5f8,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0040
article:e8dae33287d6,segment:63835df7afb6,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0024
article:e8dae33287d6,segment:742214cfc859,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0032
segment:09529b0daa5d,entity:dc4cd08803b6,MENTIONS,MENTIONS,neutral,0,0,,张先生,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0000
segment:09529b0daa5d,entity:00bca7507ba2,MENTIONS,MENTIONS,neutral,0,0,,丁先生,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0000
segment:09529b0daa5d,entity:e537c4da88a6,MENTIONS,MENTIONS,neutral,0,0,,林宰平先生,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0000
segment:09529b0daa5d,entity:984f681ca8c3,MENTIONS,MENTIONS,neutral,0,0,,威廉第二的绿气炮,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0000
segment:09529b0daa5d,entity:89d4c4a4d3ba,MENTIONS,MENTIONS,neutral,0,0,,孙美瑶,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0000
segment:09529b0daa5d,entity:25a150305a7a,MENTIONS,MENTIONS,neutral,0,0,,科学之争,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0000
segment:09529b0daa5d,entity:d0a13b8fc27c,MENTIONS,MENTIONS,neutral,0,0,,玄学鬼,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0000
segment:09529b0daa5d,entity:eb9cc3554d7c,MENTIONS,MENTIONS,neutral,0,0,,物质文明,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0000
segment:09529b0daa5d,entity:43d33459731c,MENTIONS,MENTIONS,neutral,0,0,,人生观,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0000
segment:09529b0daa5d,entity:a048a61152ee,MENTIONS,MENTIONS,neutral,0,0,,欧战,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0000
segment:09529b0daa5d,entity:fa88a9671e5b,MENTIONS,MENTIONS,neutral,0,0,,无政府主义者,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0000
segment:09529b0daa5d,entity:4cb8f1b22f60,MENTIONS,MENTIONS,neutral,0,0,,宋明理学,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0000
segment:09529b0daa5d,entity:03007ca7243f,MENTIONS,MENTIONS,neutral,0,0,,《程氏遗书》,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0000
segment:09529b0daa5d,entity:448c03452443,MENTIONS,MENTIONS,neutral,0,0,,《朱子全书》,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0000
segment:09529b0daa5d,entity:34dffdef08ea,MENTIONS,MENTIONS,neutral,0,0,,抱犊谷,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0000
segment:09529b0daa5d,entity:59d7693ae613,MENTIONS,MENTIONS,neutral,0,0,,临城,,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0000
segment:2fb14ce95839,entity:03702e54acd6,MENTIONS,MENTIONS,neutral,0,0,,文本中自称,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0008
segment:2fb14ce95839,entity:f4653d6ffb28,MENTIONS,MENTIONS,neutral,0,0,,文本中多次提及,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0008
segment:2fb14ce95839,entity:343a17ac2471,MENTIONS,MENTIONS,neutral,0,0,,文本中多次提及,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0008
segment:2fb14ce95839,entity:5e26d885eb61,MENTIONS,MENTIONS,neutral,0,0,,文本中作为修辞性指称,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0008
segment:2fb14ce95839,entity:4bb55cd474b6,MENTIONS,MENTIONS,neutral,0,0,,文本中作为修辞性指称,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0008
segment:2fb14ce95839,entity:897d08cb4566,MENTIONS,MENTIONS,neutral,0,0,,文本中核心概念，指活物或本体,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0008
segment:2fb14ce95839,entity:0cbe51d1bc12,MENTIONS,MENTIONS,neutral,0,0,,文本中列举的世界类型,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0008
segment:2fb14ce95839,entity:79fcd0ccf5ce,MENTIONS,MENTIONS,neutral,0,0,,文本中列举的世界类型,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0008
segment:2fb14ce95839,entity:927613f475f4,MENTIONS,MENTIONS,neutral,0,0,,文本中列举的世界类型,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0008
segment:2fb14ce95839,entity:f6e35ba2a6f4,MENTIONS,MENTIONS,neutral,0,0,,文本中列举的世界类型,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0008
segment:14cedc533c7a,entity:0fdb6531cb1f,MENTIONS,MENTIONS,neutral,0,0,,中国古代的玄学鬼,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0016
segment:14cedc533c7a,entity:87fb4f79efb0,MENTIONS,MENTIONS,neutral,0,0,,戴上科学面具,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0016
segment:14cedc533c7a,entity:19a878a865b6,MENTIONS,MENTIONS,neutral,0,0,,毛厕里的石头亦有感觉,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0016
segment:14cedc533c7a,entity:442dc4a969ad,MENTIONS,MENTIONS,neutral,0,0,,神经系失其营养,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0016
segment:14cedc533c7a,entity:81d691195267,MENTIONS,MENTIONS,neutral,0,0,,脑质纤维,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0016
segment:14cedc533c7a,entity:e5a7e1f2e76c,MENTIONS,MENTIONS,neutral,0,0,,血液枯竭,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0016
segment:14cedc533c7a,entity:d0b34e6fb217,MENTIONS,MENTIONS,neutral,0,0,,失其感觉,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0016
segment:14cedc533c7a,entity:2304d5d298c7,MENTIONS,MENTIONS,neutral,0,0,,爱情冲动,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0016
segment:14cedc533c7a,entity:ff53051f0048,MENTIONS,MENTIONS,neutral,0,0,,亲和力,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0016
segment:14cedc533c7a,entity:cc01856f97d6,MENTIONS,MENTIONS,neutral,0,0,,受理性的节制,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0016
segment:14cedc533c7a,entity:097a3f954759,MENTIONS,MENTIONS,neutral,0,0,,意志的坚强,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0016
segment:14cedc533c7a,entity:9cb74c072893,MENTIONS,MENTIONS,neutral,0,0,,我的宇宙观,,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0016
