source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
朱经农,article:bca810c63769,WROTE,WROTE,neutral,0,0,,,,朱经农_000_bb34b81c,
entity:67821481a750,entity:2347ab411dd3,RELATES_TO,导致,neutral,0,0,不适用,文化转移之枢纽，不外乎人生观,1.0,朱经农_000_bb34b81c,s0000
term:8a10510e5f47,term:a635c248ef3d,RELATES_TO,作为论据支持,positive,0,0,肯定性支持,人生观既为文化之枢纽，则文化之有益或有害即为人生观是非真伪之标准,1.0,朱经农_000_bb34b81c,s0000
entity:9f9ade1871bd,entity:fe901cfcc616,RELATES_TO,质疑,negative,0,0,学术质疑,何以君劢判断善恶这样的勇敢，辨别是非又这样的踌躇呢?,1.0,朱经农_000_bb34b81c,s0001
entity:fe901cfcc616,entity:67821481a750,RELATES_TO,主张,neutral,0,0,不适用,君劢说：“人生观超于科学以上。”,1.0,朱经农_000_bb34b81c,s0001
entity:c5790a7a1ed5,entity:91519da56f86,RELATES_TO,反驳,negative,0,0,逻辑反驳,引“相对论”来证明牛顿的学说不适用于光折之实验,0.9,朱经农_000_bb34b81c,s0002
entity:fe901cfcc616,term:4dba16216761,RELATES_TO,主张,negative,0,0,不适用,现在君劢说：“人生观问题之解决决非科学所能为力，”,1.0,朱经农_000_bb34b81c,s0003
entity:fe901cfcc616,term:1fe753e3a13d,RELATES_TO,主张,negative,0,0,不适用,君劢说：“纯粹心理，顷刻万变，非科学方法所能支配。”,1.0,朱经农_000_bb34b81c,s0003
entity:fe901cfcc616,term:e9f0ed393f5c,RELATES_TO,主张,positive,0,0,不适用,君劢说：“人生之所谓善者皆精神之表现……其所谓恶者皆物质之接触。,1.0,朱经农_000_bb34b81c,s0003
entity:59c42a2cdcb9,entity:2347ab411dd3,RELATES_TO,导致,positive,0,0,不适用,人类的文化不能不受环境的影响,1.0,朱经农_000_bb34b81c,s0004
entity:945a9f2ac602,entity:690b08998525,RELATES_TO,导致,negative,0,0,不适用,爱斯克模人（Eskimo）的天才并不低于其他民族，然而他们的文化不能发达到极高的地位，实因自然环境使然。,1.0,朱经农_000_bb34b81c,s0004
entity:c3290e5df355,entity:2347ab411dd3,RELATES_TO,导致,negative,0,0,不适用,在热带温湿之区，物质极丰，谋生过易，不劳而获，人皆习于懒惰，不愿有所作为，故不能产生极高的文化。,1.0,朱经农_000_bb34b81c,s0004
entity:9f9ade1871bd,term:59645c723d2b,RELATES_TO,主张,positive,0,0,不适用,可见人类的文化，不能不受气候物产种种自然环境的影响。,0.9,朱经农_000_bb34b81c,s0005
entity:9f9ade1871bd,term:b43fac16fcb2,RELATES_TO,主张,positive,0,0,不适用,可见文化的高低与物质上的设备也有密切的关系。,0.9,朱经农_000_bb34b81c,s0005
entity:9f9ade1871bd,entity:fe901cfcc616,RELATES_TO,以外,neutral,0,0,不适用,我要声明一句，我所谓“物质”，完全照君劢所下定义“凡我以外皆属之”。,1.0,朱经农_000_bb34b81c,s0005
entity:9f9ade1871bd,entity:fe901cfcc616,RELATES_TO,回应,neutral,0,0,一般批评,我现在诚诚恳恳的寻求真理，对于君劢并没有挑战的意思；不过把我的浅见老老实实写出来，请君劢指教。,1.0,朱经农_000_bb34b81c,s0005
entity:9f9ade1871bd,entity:14d40a1df182,RELATES_TO,批评,negative,0,0,一般批评,无论何种文明，我们不把他的物质方面一笔抹杀，单单叫他做精神文明。,0.9,朱经农_000_bb34b81c,s0005
entity:9f9ade1871bd,entity:9f9ade1871bd,RELATES_TO,承接,neutral,0,0,不适用,s0000末尾提出‘怎样还说不受因果律的支配呢？’的疑问，s0001开头直接承接此疑问继续论述。,0.95,,s0000
entity:9f9ade1871bd,entity:9f9ade1871bd,RELATES_TO,承接,neutral,0,0,不适用,s0001末尾讨论科学分类问题，s0002开头继续讨论一元论与科学分类。,0.9,,s0001
entity:9f9ade1871bd,entity:9f9ade1871bd,RELATES_TO,承接,neutral,0,0,不适用,s0002末尾引用张君劢‘但论现在不问将来’，s0003开头继续对此进行反驳。,0.95,,s0002
entity:9f9ade1871bd,entity:9f9ade1871bd,RELATES_TO,承接,neutral,0,0,不适用,s0003末尾引用张君劢关于善恶的定义，s0004开头继续对此进行质疑。,0.95,,s0003
entity:9f9ade1871bd,entity:9f9ade1871bd,RELATES_TO,承接,neutral,0,0,不适用,s0004末尾以爱斯克模人和热带地区为例说明环境对文化的影响，s0005开头继续这一例证并总结。,0.9,,s0004
