source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
张君劢,article:4747e4851762,WROTE,WROTE,neutral,0,0,,,,张君劢_000_e090c0d2,
张君劢,article:5c69c7e34e3c,WROTE,WROTE,neutral,0,0,,,,张君劢_001_688ab8ae,
张君劢,article:7d716e6825f8,WROTE,WROTE,neutral,0,0,,,,张君劢_002_c870d202,
张君劢,article:e8cb82cf2f29,WROTE,WROTE,neutral,0,0,,,,张君劢_003_cd868ad5,
article:7d716e6825f8,segment:02f05b7511f2,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0012
article:4747e4851762,segment:94155e988a6e,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0005
article:7d716e6825f8,segment:9b338505de00,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0002
article:7d716e6825f8,segment:0ae10f323d42,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0024
article:e8cb82cf2f29,segment:c9156049e453,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_003_cd868ad5,张君劢_003_cd868ad5_s0003
article:7d716e6825f8,segment:ae18f657d815,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0004
article:5c69c7e34e3c,segment:3b3a55007631,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0003
article:7d716e6825f8,segment:66fd951c436d,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0019
article:5c69c7e34e3c,segment:33ff89960c0b,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0009
article:5c69c7e34e3c,segment:a60b8c91955a,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0020
article:7d716e6825f8,segment:a4c75ee5152c,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0023
article:7d716e6825f8,segment:86d16ce3f938,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0021
article:7d716e6825f8,segment:d86eaceb7bba,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0033
article:7d716e6825f8,segment:4f2b58f0f224,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0044
article:e8cb82cf2f29,segment:cddc5f857feb,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_003_cd868ad5,张君劢_003_cd868ad5_s0005
article:5c69c7e34e3c,segment:e48c5701fc4d,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0012
article:7d716e6825f8,segment:e490f084633b,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0043
article:7d716e6825f8,segment:dd2c83e41407,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0041
article:7d716e6825f8,segment:bd3d0d88dfa8,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0035
article:5c69c7e34e3c,segment:63b6f85ec57a,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0011
article:7d716e6825f8,segment:1b96b4699b20,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0036
article:5c69c7e34e3c,segment:789504e041c7,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0004
article:7d716e6825f8,segment:f5a7c4e0e208,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0010
article:7d716e6825f8,segment:1d8cd9e7e1ee,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0029
article:e8cb82cf2f29,segment:316f829a040d,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_003_cd868ad5,张君劢_003_cd868ad5_s0000
article:4747e4851762,segment:1fd35d29f626,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0004
article:5c69c7e34e3c,segment:6c1798b60f24,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0002
article:7d716e6825f8,segment:102e76c35c7b,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0032
article:7d716e6825f8,segment:d6ee649eb1af,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0027
article:7d716e6825f8,segment:ec3299e75da2,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0000
article:7d716e6825f8,segment:c4ff704e534f,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0014
article:4747e4851762,segment:17a8949bdef4,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0003
article:7d716e6825f8,segment:396d54d9dea2,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0013
article:7d716e6825f8,segment:c2b90da06a26,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0016
article:7d716e6825f8,segment:6996b2084ad8,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0034
