node_id,labels,name,node_type,article_id,segment_id,title,text
article:4fbfde5f963e,Article,箴洋八股化之理学,Article,吴稚晖_000_7d60d047,,箴洋八股化之理学,
author:195b5048c986,Author,吴稚晖,Author,,,,
article:e8dae33287d6,Article,一个新信仰的宇宙观及人生观,Article,吴稚晖_001_b4c0e810,,一个新信仰的宇宙观及人生观,
segment:d057d73e4bca,Segment,吴稚晖_001_b4c0e810_s0070,Segment,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0070,,的原则，洋溢于新文学之篇章，及新艺术之出品。就是国故先生，亦东南学府，京津文坛，弦诵《关雎》，阐扬乾坤，协助进行。懿钦休哉，新诗赋，洋八股，轶明清，而驾唐宋矣。惟爱情之定则，恋爱之原理，不能不使乘神工鬼斧之潮流，倒灌逆卷而来，终夺美感之席，盛开丑化之门。学狗之徒又复公然打油诗篇，评花文章，助麻将乌烟，在胡同公园作一般之普及。新文化钦，旧国粹钦，老江湖钦，胶粘在一片，还我戊戌前“说空话”之旧物，乃现象所不能讳也。此坐先以生小孩为神秘，摇身一变而为爱情。摇身再变而为美学两性化。摇身再变而为神工鬼斧之创作，使精虫孕蛋，居改造世界之中心。然创造宇宙的原始，亦不过拿神工鬼斧，做一过程。意志生情感，情感起理智，理智定意志，循环为联合，不曾有中心。生小孩之精虫孕蛋相盲撞，自是情感之表现。但分贮两瓶等之作用，又理智之表现。故不必但有爱情之恋爱，尽可尚有科学之恋爱。且神工鬼斧之手段，合以生小孩之始愿，我们漆黑老祖，已以神工鬼斧，造成星辰日月飞潜动植的奇观了。我们亦何不可以神工鬼斧，造成铣质炉，以太线，开火星航路，结月球探队，帮他老人家，生些机械性的小孩，助着万有的热闹呢？你说地球有时而毁灭，即造成了火星航路，必有如横滨为断港。即结成了月球探队，必有如东京为绝地。我应曰，此言是也。然你的令郎几十年后反正要入木，你现在造之之勇，何为竟兴奋如此乎？万物方成方毁，如刍狗然，陈即撤去。
segment:2c56bc5c1267,Segment,吴稚晖_001_b4c0e810_s0059,Segment,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0059,,"们还怕麻烦，贪图省事，不顾伤天害理罢了。却已不是我们没有办法。有了办法，自然将来蚕国里的浩劫，可以避免。将来恒河沙数的蚕公公、蚕婆婆，都应到科学庙里去磕头谢神。我想我们暂时承认牛乳羊毛破茧，于牛于羊于蚕，为最是无用，他的不关痛痒，几同金石一般。但做起我们衣食的供给来，又最是得力。我们倘要不看见相斫世界，我们如何不在科学上努力，把研究科学，看做宇宙间第一义务呢？

第四条的，例如死体遗蜕：这个但拿我们人来说，不必多赘。人死七日不殓，便蛆出于户。足见第一把我们的废物，先可做蛆的美餐，真是惠而不费。照例不给为蛆粮，亦可得油若干，提盐若干，骨灰充肥料若干，我亦何为而不许？而且纵使竟费材木，并灾土石，建筑了山陵，亦不过早晚之间，毕竟是虫蚁之点心。倘投牒阎罗王，讼将来的虫蚁为相斫，阎罗王必掷状地下，命牛头马面扶出。所以这个死体遗蜕，当然确可承认为无用之物。但此种品物，什八九皆有碍卫生，不合我们供给。除是科学家能消毒利用，则巨额之废物甚可惜矣。所以也是念念不忘了科学。

至此而我清风明月的吃饭人生观，略已说明。我们再来生小孩，造百姓。

#### （乙）神工鬼斧的生小孩人生观

把生小孩子，着个神工鬼斧四字，这个题目，就使不算七扯八扭，无理得可笑；便被冬烘先生看做生小孩是名词，加上神工鬼斧的形容词，也就无赖得可以。他定然大吃一惊，预料这神工鬼斧般，生出来的小孩，决非区区徐树铮或吴佩孚。"
segment:94b27064b85e,Segment,吴稚晖_001_b4c0e810_s0063,Segment,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0063,,"，如环无端，变动而已，绵延不可划分。起二百兆条精虫，去撞一孕蛋，或尽一孕蛋，去撞二百兆条内到底能满意否的一条精虫，其瞎撞之程度，自然过高。而情感之盛，自然可惊。一撞不已，盲目再撞，亦自然不肯自己限制。漆黑一团的能变为万有，且永远绵延，永远瞎撞，全同精虫孕蛋的性格一样。

但情感由你去盛，而制造精虫孕蛋的原料，却自有限制。制造原料不足时，精虫孕蛋为暂停细细。停止细细，或发生细细，其时间的久暂，及间歇的疏密，大约都看原料供给的来源，及醇化时消耗的状况，为各物之不同。所以他种动物皆每年止有一定的细细期。惟人则常年随时能起细细。故我上文说，两性常易细细，又为人类所特别。推原所以致此之故，照我嗜说，一定他的重要原因，其一必为原料的供给较丰，其二必为醇化的消耗较当（恰恰合度，不浪费也）。又推原消耗较当的一端而言，必是由于人的神经系发达，理智较为细密之故。疏漏点说说，在单纯男女的情感中，又加多了节适生命的理智。因节适则供给富，故细细可频。因细细频，将消耗多，故节适更密。因需要而循环促进，为宇宙惟一方法。

由此转入夫妇正文，不难说明其高尚。高尚者，一是他们的精虫孕蛋，不肯盲目多撞而无限制也。二是因性欲节啬，而以夫妇名义之道义，以准乎朋友之声气与术方，相与补充也。二者加入男女，遂得夫妇之真。现在男女未到废婚姻程度，故需夫妇之名，需其名，而又行其真，恰合时宜，斯推为高尚矣。"
segment:a478dfa7615c,Segment,吴稚晖_001_b4c0e810_s0019,Segment,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0019,,"有真打仗。想来就是他们真打起来，设或添了无数的好角儿进去，也离不了玄学科学，搬弄许多名词，点点鬼，引引断烂朝报，做个秀才造反罢了。本来没有我们柴积上日黄中的事。可是，我现在要同灵魂算账，倒可以借他来插说一说。

张先生的一篇清华讲演的《人生观》，我本不曾有机会拜读。现在《晨报》也把他披露起来了。他反攻丁先生的下篇也发表完了。及读了他的《人生观》，我方才微微觉着张、丁之战，便延长了一百年，也不会得到究竟。因为张先生岂但不无赖，而且不单是个玄学鬼，简直是一个科学大神。所差的，他小心谨慎，不敢排斥空中楼阁的上帝，他意中定然有个“灵魂”。我想丁先生的意中，灵魂是不存在的。然而他也定然想不着专门与张先生的灵魂轰斗。

我这篇文章的动机，虽已酝酿了五年，最简单的几句话，也尝看见了什么朋友，都扯着乱谈。本来以为写也好，不写也好。自从有什么新文化运动，中国人谈宇宙观人生观的日多。（文学家的，照例可以信口开河，不能与之计较者除外。）接着有什么东方文明，西方文明，物质文明，于是谈着宇宙观人生观的更多。虽然学问是愈俐愈进步，可是，头脑却愈闹愈昏暗。我做这篇文章之先，意中有四位先生，认他们是最近时代中国思潮的代表者。一是胡适之先生，我批评他是一个中国学者而有西洋思想。于我的新信仰，虽无具体的相同，却也不曾寻出他的异点来，丁在君先生怒打玄学鬼，也定是同胡先生携手着奋斗的。"
segment:11453de47882,Segment,吴稚晖_001_b4c0e810_s0021,Segment,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0021,,无不首肯，这就是一个变相名词的灵魂罢了。张先生引欧氏之语曰：“第三曰精神元素之作用，此为一种深远能力，非常人所能察知。”这正用得着丁先生所谓无赖玄学鬼的鬼攀谈。他不过有了一张社会哲学家的牌子，否则什么“深远能力非常人所能察知”的语气，何异南池子口头文王八卦摊上的话。高等一点看，也不过福音堂里外国先生的讲道理一样呀。我辈固是常人，欧先生难道便是天人，既不曾察知，如何老了面皮，竟“大摇大摆”把“精神元素”一个名词写了出来。但是我们要原谅欧先生。他是一个绅士。在欧洲社会里不信上帝，无异在我们社会里不信有天。我们说到道学先生对了屋漏，在那里寅畏，什么人都悚然起敬。他们若举念动足，说有上帝鉴观了他，也庶几像一个穿燕尾服的人物。这正可以如陶渊明所谓“不求甚解”的呀。因为反正终是解不透彻，不如不解，落得保存着身分。否则成了无法无天的“狂徒”，便不能在中国绅士队里厮混。做了不信神的“恶汉”，也便不能在西洋上等社会里存身。因为认有上帝，就不能不连带认有灵魂。认有灵魂，更不能不说“人为万物之灵”。横了此等魔障，于是进化确亦可以言有所谓向上，可惜不免上其所谓上。创造确亦可以有所谓超人，可惜不免超其所谓超。而张先生等的人生观，一若含无穷悲悯，本着欧先生的精神元素作用，起而救世；果适类于抱薪救火乎，张先生等未计其责任也。其实精神元素自身的没有着落，止是一种绅士应酬上帝，有麻醉性的谰言，岂但欧氏独为之；
segment:3b42d4a372e4,Segment,吴稚晖_001_b4c0e810_s0046,Segment,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0046,,"爷叫供养他的增多劳苦，皆阻碍人家吃饭。）

（三）是化了劳力吃不到饭，还是不愿意夺别人的饭来吃，也便算做难能可贵。

（四）是能够想出许多饭来给人吃，自然最好。但反过来，夺了许多人的饭，给我亲爱的去不劳而吃，那就更不对。

第一条吃饭要用自己劳力换来，其原理是：宇宙万有，都从漆黑一团变出。维持各个体的存在，原无从再到宇宙以外去想法。止是采用此有，供给彼有。但其原则，应希望取于无用，以供有用。虽取于异类，亦难免因不能尽知，误取有用者自给。然实出一时所不知，自可相恕。至对同类，既深信自己为有用，即应推知同类，皆为有用，不当互相供给。所以同类相残，什么东西都不肯干。劳力即为生命的一部分。吃饭不用自己劳力，一定牺牲别人的劳力，供养自己，却犯第二条的阻碍别人吃饭。间接消耗人家一部分的生命，无异同类相残。故第一条便是救济第二条。但是尽管遵着轨道而行，仍不免于失败，亦是宇宙变动中所不可避免的事实。因为万有杂然自由出发，各自进行，并不受有划一强制之命令。所共同遵守之大法，惟不许有意为无故的相斫罢了。（以其愿变万有，不愿吞并为漆黑一团而知之。）然惟其甚自由，故无意中之互相阻碍极多。宇宙永无至极的真美善，亦就因为如此。所以个体尽了劳力，竟换不到吃饭，或吃亦不能饱，乃是道理上的寻常之事。到此劳力既尽，吃饭艰难之际，若定要强吃，亦必生有阻碍别人吃饭的影响。"
segment:eee5e3d0c898,Segment,吴稚晖_001_b4c0e810_s0072,Segment,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0072,,"妄在，舍身入梦，救使隆盛。然后再把隆盛之世涅槃，使归正觉。正与我说现在佛法废话，姑可暂予妄在。执笔做梦，救使入世，使主张科学，烧却亡国灭种之佛经，造成物质文明。然后再把物质文明毁灭，共返正觉式的漆黑一团。彼我固同一主张。若笑造物质文明是妄，则造隆盛之世间妄。又是半斤八两之争。我当结以谐语，使彼此同发一笑。吾十四岁时在苏州玄妙观听“小热昏”唱瞎话，他说，“先生吃饭像真珠，吃子下来就变屎，胡勿吃子屎？”这小热昏都比我们彻底。饭便是隆盛之世，及物质文明。屎才是正觉，及漆黑一团。我们若爱正觉及漆黑一团，正应吃屎。吃饭乃是吃妄。但小热昏自己也止是嚼蛆罢了，也不肯吃屎。小热昏罢，吴稚晖罢，王先生罢，欧阳先生罢，皆止管吃饭。有时还偶尔要上禅悦斋呀，六味斋呀，吃至好之饭。因此看来，我们本此精神，止管隆盛之世，止管造物质文明，也不算太愚。物质文明的破产，还是远哩，好比现在正是烧饭，出恭还要到夜分哪。（这一段很像着谤佛，因为在“生小孩人生观”的文章后，微微触犯着不肯生小孩的出家人，也是顺了口收不住，得罪的很。）

上面两个人生观，都是所谓人欲横流的人生观。岂知说穿了，也不见得同道德有多少的冲突。现在且把天理流行的人生观，叫做《覆天载地的招呼朋友人生观》者，再在《太平洋杂志》下一期上拉杂来说说，安慰了别人的精神文明，贡献了理想的物质文明，于是便把一个新信仰，从而结束。再会再会。"
