source_id,target_id,type,relation,polarity,evidence,confidence,article_id,segment_id
author_00ca4f7f7171c1b9,article_960f9b37b3f3eab9,WROTE,WROTE,neutral,,,朱经农_000_bb34b81c,
article_960f9b37b3f3eab9,segment_506cb9f5b80543b6,HAS_SEGMENT,HAS_SEGMENT,neutral,,,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0000
article_960f9b37b3f3eab9,segment_048fcbacf1305379,HAS_SEGMENT,HAS_SEGMENT,neutral,,,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001
article_960f9b37b3f3eab9,segment_c44fca8f46ba926b,HAS_SEGMENT,HAS_SEGMENT,neutral,,,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0002
article_960f9b37b3f3eab9,segment_9dc814932d2a582a,HAS_SEGMENT,HAS_SEGMENT,neutral,,,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0003
article_960f9b37b3f3eab9,segment_b05be4eb5d77d594,HAS_SEGMENT,HAS_SEGMENT,neutral,,,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0004
article_960f9b37b3f3eab9,segment_f6c7c3c2f94b9981,HAS_SEGMENT,HAS_SEGMENT,neutral,,,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005
entity_96592052bdb28cd4,entity_f7bddc9c16ecc3fc,RELATES_TO,导致,neutral,文化转移之枢纽，不外乎人生观,1,朱经农_000_bb34b81c,s0000
term_e9876bce16dd07ac,term_b09d32294c883aed,RELATES_TO,作为论据支持,positive,人生观既为文化之枢纽，则文化之有益或有害即为人生观是非真伪之标准,1,朱经农_000_bb34b81c,s0000
entity_9adfecb48256c3b1,entity_32517cfe84af2270,RELATES_TO,质疑,negative,何以君劢判断善恶这样的勇敢，辨别是非又这样的踌躇呢?,1,朱经农_000_bb34b81c,s0001
entity_32517cfe84af2270,entity_96592052bdb28cd4,RELATES_TO,主张,neutral,君劢说：“人生观超于科学以上。”,1,朱经农_000_bb34b81c,s0001
entity_5203ab485cbcea36,entity_c4c31460d5232809,RELATES_TO,反驳,negative,引“相对论”来证明牛顿的学说不适用于光折之实验,0.9,朱经农_000_bb34b81c,s0002
entity_32517cfe84af2270,term_d7d11c6d40d46034,RELATES_TO,主张,negative,现在君劢说：“人生观问题之解决决非科学所能为力，”,1,朱经农_000_bb34b81c,s0003
entity_32517cfe84af2270,term_9c3aebd9a202736b,RELATES_TO,主张,negative,君劢说：“纯粹心理，顷刻万变，非科学方法所能支配。”,1,朱经农_000_bb34b81c,s0003
entity_32517cfe84af2270,term_da76190d4106e0f0,RELATES_TO,主张,positive,君劢说：“人生之所谓善者皆精神之表现……其所谓恶者皆物质之接触。,1,朱经农_000_bb34b81c,s0003
entity_70d107bb72c7c9ee,entity_f7bddc9c16ecc3fc,RELATES_TO,导致,positive,人类的文化不能不受环境的影响,1,朱经农_000_bb34b81c,s0004
entity_6dc77c7df1a7ecde,entity_5042eb8d3794e0da,RELATES_TO,导致,negative,爱斯克模人（Eskimo）的天才并不低于其他民族，然而他们的文化不能发达到极高的地位，实因自然环境使然。,1,朱经农_000_bb34b81c,s0004
entity_a1dc0d1ba13bebbd,entity_f7bddc9c16ecc3fc,RELATES_TO,导致,negative,在热带温湿之区，物质极丰，谋生过易，不劳而获，人皆习于懒惰，不愿有所作为，故不能产生极高的文化。,1,朱经农_000_bb34b81c,s0004
entity_9adfecb48256c3b1,term_b707f746bf29b170,RELATES_TO,主张,positive,可见人类的文化，不能不受气候物产种种自然环境的影响。,0.9,朱经农_000_bb34b81c,s0005
entity_9adfecb48256c3b1,term_d6a7d1897cb0f17a,RELATES_TO,主张,positive,可见文化的高低与物质上的设备也有密切的关系。,0.9,朱经农_000_bb34b81c,s0005
entity_9adfecb48256c3b1,entity_32517cfe84af2270,RELATES_TO,相关,neutral,我要声明一句，我所谓“物质”，完全照君劢所下定义“凡我以外皆属之”。,1,朱经农_000_bb34b81c,s0005
entity_9adfecb48256c3b1,entity_32517cfe84af2270,RELATES_TO,回应,neutral,我现在诚诚恳恳的寻求真理，对于君劢并没有挑战的意思；不过把我的浅见老老实实写出来，请君劢指教。,1,朱经农_000_bb34b81c,s0005
entity_9adfecb48256c3b1,entity_3d506c4d60f07b93,RELATES_TO,批评,negative,无论何种文明，我们不把他的物质方面一笔抹杀，单单叫他做精神文明。,0.9,朱经农_000_bb34b81c,s0005
entity_9adfecb48256c3b1,entity_9adfecb48256c3b1,RELATES_TO,承接,neutral,s0000末尾提出‘怎样还说不受因果律的支配呢？’的疑问，s0001开头直接承接此疑问继续论述。,0.95,,s0000
entity_9adfecb48256c3b1,entity_9adfecb48256c3b1,RELATES_TO,承接,neutral,s0001末尾讨论科学分类问题，s0002开头继续讨论一元论与科学分类。,0.9,,s0001
entity_9adfecb48256c3b1,entity_9adfecb48256c3b1,RELATES_TO,承接,neutral,s0002末尾引用张君劢‘但论现在不问将来’，s0003开头继续对此进行反驳。,0.95,,s0002
entity_9adfecb48256c3b1,entity_9adfecb48256c3b1,RELATES_TO,承接,neutral,s0003末尾引用张君劢关于善恶的定义，s0004开头继续对此进行质疑。,0.95,,s0003
entity_9adfecb48256c3b1,entity_9adfecb48256c3b1,RELATES_TO,承接,neutral,s0004末尾以爱斯克模人和热带地区为例说明环境对文化的影响，s0005开头继续这一例证并总结。,0.9,,s0004
