node_id,labels,name,node_type,article_id,segment_id,title,text
article_3bc79bb307d377c6,Article,张君劢主张的人生观对科学的五个异点,Article,章演存_000_aa7de44c,,张君劢主张的人生观对科学的五个异点,
author_59934c803a81724d,Author,章演存,Author,,,,
segment_9c6cad91421f8f79,Segment,章演存_000_aa7de44c_s0000,Segment,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000,,"一日看见吾友丁在君《玄学与科学》一文，便想去索张君劢君的原文一读。后由在君寄来，并函云：“弟对张君劢《人生观》提倡玄学与科学为敌，深恐有误青年学生，不得已而为此文。……弟与张君劢交情甚深，此次出而宣战，纯粹为‘真理’起见，初无丝毫意见；亦深望同人加入讨论。兄能分著述余暇，作此宣传事业否？”余本来不是十分满足现在的科学的；就是他的方法，也还不敢说是无所不能；只看现在爱因斯坦的“相对论”，他入手的方法，便和旧物理学完全不同的了。这样看来，科学的方法，也不是丝毫没有改造的余地。再回过来看看张君的“人生观”，却论得太浑沌一点；并且他对于科学，又觉得稍隔膜一点；所以像我最怕说话的，也免不得要说几句话。但我自问决不是为丁君作辩护的；也并不敢担当宣传的责任。

张君说人生的问题，决不是科学所能解决的；因为人生观和科学比较起来，有五个异点。他还从人生观里举出九个“我”对“非我”的问题来，说是“东西万国，上下古今，无一定之解决”的。我们首先要和张君讨论的，就是人生观和科学的五个异点是对不对？有没有疑问?

第一个异点:科学为客观的，人生观为主观的。这种分别，好像是很久的了；但是现在有了“相对论”，却不能说科学纯为客观的，并且可以说是主观的了。张君说：“同为人生，因彼此观察点不同而意见各异；”“相对论”也说：“同一件事情，因

彼此观察点不同而所见各异；这不是一样的吗？"
segment_4074505b7f41d6f2,Segment,章演存_000_aa7de44c_s0001,Segment,章演存_000_aa7de44c,章演存_000_aa7de44c_s0001,,"为客观的，并且可以说是主观的了。张君说：“同为人生，因彼此观察点不同而意见各异；”“相对论”也说：“同一件事情，因

彼此观察点不同而所见各异；这不是一样的吗？现在物理学上一个时间和一个空间，各人的观察都是不同的；一个人前后的地点不同，观察所得的结果也还是不同的。为什么这样不同的现象还能求出一个原则来呢？这不是像张君说的“就一般现象而求其平均数”原则去观察还是很远，不是这样容易求得出来的。人生观里最不容易统一的，就是一种情感作用；科学里边也有一种不容易统一的，就是广义的重力作用。但依“相对论”，在一切重力作用场里，要能分析到和没有重力一样的地步，原则还是存在；那末，人生观在一切情感作用场里，要能分析到和没有情感一样的地步，原则也一定还是存在。庄子说：“有人之形，无人之情，”这就是去求人生原则的方法。我们不是提倡无情的人生观，不过人生的原则不能不用这样方法去求的。张君往往把对于人生的意见和科学的原则去比较，其实意见自意见，原则自原则，不能相提并论的，我们可以用张君答在君的话来说明：张君说：“常求所以变革之，以达于至善之境。”“人类目的屡变不已；虽变也，不趋于恶而必趋于善。”“据既往以测将来，其有持改革之说者，大抵图所以益世而非所以害世。”这都可以算张君假定的人生的原则。至张君罗举的九项问题，还只是各个意见。意见和原则，性质完全不是一样的，所以不能比较。"
segment_83aeca330fd88bc8,Segment,章演存_000_aa7de44c_s0002,Segment,章演存_000_aa7de44c,章演存_000_aa7de44c_s0002,,"革之说者，大抵图所以益世而非所以害世。”这都可以算张君假定的人生的原则。至张君罗举的九项问题，还只是各个意见。意见和原则，性质完全不是一样的，所以不能比较。

第二个 异点:科学为论理的方法所支配，人生观起于直觉。张君解释“直觉”，就是“自身良心之所命起而主张之”一句，这依然还是意见一类，所以未曾达到可以用论理方法去讨论的地步。丁君说：“凡不可以用论理学批评研究的，不是真知识”；我们可以说：“从主张再进一步，就要用论理学去批评研究。”至云“以为天下后世表率”，未免说得太过。无论是叔本华、哈德门的悲观主义，兰勃尼 孽、黑格尔的乐观主义，孔子的修身齐家主义，释迦的出世主义，或是孔、孟的亲疏远近等级分

明，或是墨子、耶稣的泛爱，恐都还没有这样深远普遍的功效。要是有一说可以做天下后世的表率，不是人生观早已统一了吗?

第三个 异点:科学可以分析方法入手，而人生观则为综合的。张君对于释迦的人生观，刚刚求出一点动机来，便说“动机为一事，人生观又为一事；人生观者全体也，不容于分割中求之也”。又对于叔本华之人生观，刚刚寻出一个理由来，便说“理由为一事，人生观又为一事；人生观之是非，不因所包含之动机而定。何也？人生观者全体也，不容于分割中求之也”。这是张君告诉我们“人生观也一样可以分析出动机和理由来的，不过分析出来还是无用的”；但张君没有告诉我们人生观是全体的——不能分割的理由。"
segment_d9d539d9964b840d,Segment,章演存_000_aa7de44c_s0003,Segment,章演存_000_aa7de44c,章演存_000_aa7de44c_s0003,,"也，不容于分割中求之也”。这是张君告诉我们“人生观也一样可以分析出动机和理由来的，不过分析出来还是无用的”；但张君没有告诉我们人生观是全体的——不能分割的理由。我们也只得说玄学原来是怕泄漏玄机的，也许玄学和科学不同的地方就在这一点罢?

第四 个异点:科学为因果律所支配，而人生观则为自由意志的。张君已经把释迦的人生观和叔本华的人生观分析出一种动机和理由来了，推到孔、墨、耶稣，也何尝没有动机，没有理由？动机和理由就是因，他们的人生观就是果，这好像张君已经承认过人生观也是“为因果律所支配”的，不是自由意志的了。但他偏又说“孔席何以不暇暖，墨突何以不得黔，耶稣何以死于十字架，释迦何以苦身修行：凡此者皆于良心之自动，而非有使之然者也。乃至就一人言之，所谓悔也，改过自新也，责任心也，亦非因果律所能解释，而为之主体者，则在自身而已。”张君竟不怕前后自相矛盾吗？或者玄学本来不受论理学的支配，可以说“矛盾是一件事，人生观又是一件事”吗？我再把张君自身来作一个例证：张君答在君说：“及访倭伊铿，一见倾心，于是将吾国际政治学束之高阁。何也？胸中有所触，不发舒不快矣。自是以来，方潜心于西方学术之源流。”张君自承“见倭伊铿”“胸中有所触”是因：“将国际政治学束之高阁”。

“潜心于西方学术之源流”是果。这不是张君的人生观已经受了因果律的支配吗？但是我想张君一定要说“因果律是一件事，人生观又是一件事”。"
segment_518fa8657424f008,Segment,章演存_000_aa7de44c_s0004,Segment,章演存_000_aa7de44c,章演存_000_aa7de44c_s0004,,"国际政治学束之高阁”。

“潜心于西方学术之源流”是果。这不是张君的人生观已经受了因果律的支配吗？但是我想张君一定要说“因果律是一件事，人生观又是一件事”。

第五个异点：科学起于对象之相同现象，人生观起于人格之单一性。张君也知道现在新物理学里边，只是去求对象的相同原则，并没有对象的相同现象吗？但是我们觉得不应该把科学上的新理去和玄学家纠缠，只能就张君所说的去和他讨论。张君早已再三声明：“人生观者全体也，不容于分割中求之也。”这回偏要大大的分割起来，他说：“测验与统计施之一般群众，固无不可；若夫特别之人物，亦谓由统计或测验而得，则断断不然。……人生观者，殊特的也，个性的也，有一无二者也。见于甲者不得而求之于乙；见于乙者不得而求之于丙。”这样说来，甲乙丙……等的人生观，还算得都是全体的吗？张君又说：“自然界现象之特征，则在其互同；人类界之特征，则在其互异。惟其各异，吾国旧名词曰先觉，曰豪杰，西方之名曰创造，曰天才，无非表示人格之特性而已。”张君这段文字，实在不甚明白；从前后推想起来，一定是把人类中之先觉，豪杰，创造，天才来代表人格的单一性。张君既说“人生观起于人格之单一性”，那末，只许先觉，豪杰，创造，天才有人生观，不许一般群众都有人生观吗？张君提倡人生观，就是证明张君是先觉，豪杰，创造，天才吗？科学不能解决人生观，就是证明一般科学家是群众，不是先觉，豪杰，创造，天才吗？"
segment_6d5ce2dd664e7273,Segment,章演存_000_aa7de44c_s0005,Segment,章演存_000_aa7de44c,章演存_000_aa7de44c_s0005,,"，不许一般群众都有人生观吗？张君提倡人生观，就是证明张君是先觉，豪杰，创造，天才吗？科学不能解决人生观，就是证明一般科学家是群众，不是先觉，豪杰，创造，天才吗？我不知道张君的意思是这样否？但从张君的文字解释起来，确是这样的。

张君举出来的人生观对科学的五个异点，我们既然还有疑问，此外他说的“我”对“非我”九个问题，也就无从去讨论了。不过我对于张君说的“诸家之言，是非各执，绝不能施以一种试验，以证甲之是与乙之非”这几句话，还要根究一番。这个是非从什么地方产出来的？就是从张君“皆以我为中心”一句话产

出来的。《庄子》的《齐物论》说：“物无非彼，物无非是，自彼则不见，自知则知之。……是亦彼也，彼亦是也。彼亦一是非，此亦一是非。果且有彼是乎哉？果且无彼是乎哉？”“是”就是“我”，“彼”是“非我”；一切是非，都从“彼是”出来，——就是都从“我”和“非我”的分别出来。张君要是换句话说，“凡此九项，皆以‘真’为中心”，这个是非立刻就解决了。即不然，稍稍把“我”字放松一点，这个是非，还可以比较的去解决。"
entity_32517cfe84af2270,人物,张君劢,人物,,,,
entity_36498d59f2e2c022,概念,科学,概念,,,,
