node_id,labels,name,node_type,article_id,segment_id,title,text
article:297330952ca6,Article,关于玄学科学论战之“战时国际公法”,Article,梁启超_000_da81f70e,,关于玄学科学论战之“战时国际公法”,
author:06cd5c2f8873,Author,梁启超,Author,,,,
article:6f5207d5b3cd,Article,人生观与科学,Article,梁启超_001_4a5e589a,,人生观与科学,
article:176c9bb9fec7,Article,东荪按,Article,梁启超_002_40d1afac,,东荪按,
author:56a8e92c91b4,Author,张东荪,Author,,,,
segment:97e8560707db,Segment,梁启超_002_40d1afac_s0002,Segment,梁启超_002_40d1afac,梁启超_002_40d1afac_s0002,,"式，即是关系，即是关系的定式。所以分类乃仍是初步，而不是最后的。至于得了这个“不变的关系”的定式便用一个简单明白的符号以表示之，但这却不是“概括这些许多事实”。这个与其谓是科学方法，毋宁谓是科学的目的。科学以此目的，对于所取的对象可以各取各的方法。如天文学便不能离了望远镜，又如生物学中分出细胞学。可见以来的统一科学则关系科学的各有方法与分枝发展皆无妨碍。否则只是一个所谓科学方法（即分类与归纳等）高悬于上，决不能统一各科学。可见科学之所以为科学不在方法的相同，而在目的的一致。科学既各有方法，而普通所谓科学方法又不外乎论理，于是，我根据这个理由大胆宣告汉学家考据方法不能即算就是科学方法。我承认汉学家有点儿科学精神，但不能以一点的相同，即谓完全相同。本来考古学只是历史地理的一个分支，自有其地位。若把考古学的方法推广而用于其他地方，科学家即承认这个就是科学方法，似乎未免太自贬了。丁先生说爱因斯坦的相对论是科学，梁先生的历史研究法是科学，胡先生的《红楼梦考证》是科学，这话亦似乎犯了笼统的毛病罢。以上所说我未敢自信，所以不敢用专篇发表，特写在此处以求教于梁先生。

—— 转录《时事新报·学灯》——"
segment:c827ddb92d75,Segment,梁启超_001_4a5e589a_s0004,Segment,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0004,,"是怎样的内容，我还没有十分清楚。照字面看来，总应该是超器官的一种作用。若我猜得不错，那么，他说的“有所观察而甲乙丙时或以为善或以为不善”，便纯然不是直觉的范围。为什么“甲时以为善乙时以为不善”，因为“常有所观察”，因观察而以为不善，跟着生出主张、希望、要求。不观察便罢，观察离得了科学程序吗？“以为善不善”，正是理智产生之结果。一涉理智，当然不能逃科学的支配。若说到自由意志吗？他的适用，当然该有限制。我承认人类所以贵于万物者在有自由意志；又承认人类社会所以日进，全靠他们的自由意志。但自由意志之所以可贵，全在其能选择于善不善之间而自己作主以决从违。所以自由意志是要与理智相辅的。若像君劢全抹杀客观以谈自由意志，这种盲目的自由，恐怕没有什么价值了。（君劢清华讲演所列举人生观五项特征，第一项说人生观为主观的，以与客观的科学对立，这话毛病很大。我以为人生观最少也要主观和客观结合才能成立。）

然则我全部赞成在君的主张吗？又不然。在君过信科学万能，正和君劢之轻蔑科学同一错误。在君那篇文章，很像专制宗教家口吻，殊非科学者态度，这是我替在君可惜的地方，但亦无须一一指摘了。在君说：“我们有求人生观统一的义务。”又说：“用科学方法求出是非真伪，将来也许可以把人生观统一。”（他把医学的进步来做比喻。）我说人生观的统一，非惟不可能，而且不必要。非惟不必要，而且有害。"
segment:4c7e613d91cb,Segment,梁启超_001_4a5e589a_s0000,Segment,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0000,,"对于张丁论战的批评（其一）

### （一）

张君劢在清华学校演说一篇《人生观》，惹起丁在君做了一篇《玄学与科学》和他宣战。我们最亲爱的两位老友，忽然在学界上变成对垒的两造。我不免也见猎心喜，要把我自己意见写点出来助兴了。

当未写以前，要先声叙几句话:

第一：我不是加在那一造去“参战”；也不是想斡旋两造做“调人”；尤其不配充当“国际法庭的公断人”。我不过是一个观战的新闻记者，把所视察得来的战况随手批评一下便了。读者还须知道：我是对于科学、玄学都没有深造研究的人。我所批评的一点不敢自以为是。我两位老友以及其他参战人观战人把我的批评给我一个心折的反驳，我是最欢迎的。

第二：这回战争范围，已经蔓延得很大了，几乎令观战人应接不暇。我为便利起见，打算分项批评。做完这篇之后，打算还跟着做几篇：（一）科学的智识论与所谓“玄学鬼”。（二）科学教育与超科学教育。（三）论战者之态度……等等。但到底作几篇，要看我趣味何如。万一兴尽，也许不作了。

第三：听说有几位朋友都要参战，本来想等读完了各人大文之后再下总批评。但头一件因技痒起来等不得了。第二件，再多看几篇，也许“崔颢题诗”叫我搁笔，不如随意见到那里说到那里。所以这一篇纯是对于张丁两君头一次交绥的文章下批评，他们二次彼此答辩的话，好留待下次。其余陆续参战的文章，我很盼早些出现。或者我也有继续批评的光荣。"
segment:af62abf0ef0a,Segment,梁启超_001_4a5e589a_s0002,Segment,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002,,"本身并为一谈。）

我解释这两个名词的内容，不敢说一定对。假定拿以上所说做个标准，我的答案便如下:

“人生问题，有大部分是可以——而且必要用科学方法来解决的。却有一小部分——或者还是最重要的部分是超科学的。”

因此我对于君劢、在君的主张，觉得他们各有偏宕之处。今且先驳君劢。

君劢既未尝高谈“无生”，那么，无论尊重心界生活到若何程度，终不能说生活之为物能够脱离物界而单独存在。既涉到物界，自然为环境上——时间空间——种种法则所支配，断不能如君劢说的那么单纯，专凭所谓“直觉的”、“自由意志的”来片面决定。君劢列举“我对非我”之九项，他以为不能用科学方法解答者，依我看来什有八九倒是要用科学方法解答。他说“忽君主忽民主，忽自由贸易忽保护贸易……等等，试问论理学公例何者能证其合不合乎？”其意以为这类问题既不能骤然下一个笼统普遍的断案，便算屏逐在科学范围以外。殊不知科学所推寻之公例乃是：（一）在某种条件之下，会发生某种现象。（二）欲变更某种现象，当用某种条件。笼统普遍的断案，无论其不能，即能，亦断非科学之所许。若仿照君劢的论调，也可以说：“忽衣裘忽衣葛，忽附子玉桂忽大黄芒硝……试问论理学公例何者能证其合不合乎？”然则连衣服饮食都无一定公例可以支配了，天下有这种理吗？殊不知科学之职务不在绝对的普遍的证明衣裘衣葛之孰为合孰为不合，他却能证明某种体气的人在某种温度之下非衣裘或衣葛不可。"
segment:a34504dff71a,Segment,梁启超_002_40d1afac_s0001,Segment,梁启超_002_40d1afac,梁启超_002_40d1afac_s0001,,"以求秩序”这句话是不足以概括科学的性质。以科学的大忠臣的丁先生，其攻击玄学，未尝对于玄学下明切的定义，诚有可原，乃对于科学亦不能使我们满意，便不能不有些失望了。至于说“凡用科学方法的都是科学”这句话我亦怀疑。因为科学果有一个唯一无二的方法，则始可说凡用这个方法的都是科学，可惜科学在今天，据我看来，还是各有各的方法。如心理学有观察实验内省三法，无论如何，不能排斥其二而仅留其一，使与物理学相等。至于法学的方法与化学的方法即不相同，决不能说法学的比较即是化学的解析。若说各种科学各有各的方法虽是事实，然而这些各别的方法都是二次的与派生的。另外还有原始的与根本的。但我想来想去，所谓根本的不外乎归纳、演绎等论理方法，果尔则“凡用科学方法的都是科学”可改为“凡用论理方法的都是科学”，岂不是失了意味么？所以我对于科学的性质不妨妄加说明如下。

据我所见，科学乃是对于杂乱无章的经验以求其中的“不变的关系”。这个即名为法式或法则（也许是暂定的）。如两个人加两个狗是四，而两个狗加两个鼠亦是四，都可用加号来表达。事实上经验的内容总是只有一次的。如我今天写字便与昨天写字不同。所以科学并不十分注重于内容，而注重于方式，即是关系，即是关系的定式。所以分类乃仍是初步，而不是最后的。至于得了这个“不变的关系”的定式便用一个简单明白的符号以表示之，但这却不是“概括这些许多事实”。"
