source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
王平陵,article:a1cc96cc2268,WROTE,WROTE,neutral,0,0,,,,王平陵_000_d1d9c442,
王星拱,article:2e2a0f76d038,WROTE,WROTE,neutral,0,0,,,,王星拱_000_4d6fdc04,
穆,article:aa08800b1bb6,WROTE,WROTE,neutral,0,0,,,,穆_000_d6755881,
范寿康,article:9bfd9ecc020f,WROTE,WROTE,neutral,0,0,,,,范寿康_000_14d2ac72,
article:9bfd9ecc020f,segment:4878b513c0be,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0008
article:2e2a0f76d038,segment:f58af0071f24,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002
article:9bfd9ecc020f,segment:7677a6b32a44,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0014
article:9bfd9ecc020f,segment:efb97c2853be,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0012
article:9bfd9ecc020f,segment:329bb7f9c796,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0007
article:2e2a0f76d038,segment:da1cac99ce33,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
article:2e2a0f76d038,segment:8795e117df44,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0010
article:2e2a0f76d038,segment:34533f22d59a,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0014
article:9bfd9ecc020f,segment:38bacffcf31e,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000
article:a1cc96cc2268,segment:399e3f2f9e87,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0002
article:9bfd9ecc020f,segment:2452eddc0e2f,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0001
article:9bfd9ecc020f,segment:5c2fafc33e80,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0010
article:9bfd9ecc020f,segment:0ee706c27680,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0004
article:2e2a0f76d038,segment:8a1f7bc36f6a,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0005
article:aa08800b1bb6,segment:1ef3e5bf1d58,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,穆_000_d6755881,穆_000_d6755881_s0002
article:aa08800b1bb6,segment:9ca9508cc340,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,穆_000_d6755881,穆_000_d6755881_s0004
article:9bfd9ecc020f,segment:4d40cb67bf28,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0011
article:9bfd9ecc020f,segment:f0d357e501d4,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0013
article:a1cc96cc2268,segment:aa9f7833f81f,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001
article:2e2a0f76d038,segment:087af9180a21,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0006
