node_id,labels,name,node_type,article_id,segment_id,title,text
article:7962bdd8d2f5,Article,序二,Article,胡适_000_993249d7,,序二,
author:ff0cf17a6d6f,Author,胡适,Author,,,,
article:cd7db21f2039,Article,附注 答陈独秀先生,Article,胡适_001_295ca4dc,,附注 答陈独秀先生,
article:efa5da409fea,Article,孙行者与张君劢,Article,胡适_002_c6a0c3b5,,孙行者与张君劢,
segment:20c492bb8f6b,Segment,胡适_001_295ca4dc_s0000,Segment,胡适_001_295ca4dc,胡适_001_295ca4dc_s0000,,"陈独秀先生在他的序文的结论里说：

> “我们相信只有客观的物质原因可以变动社会，可以解释历史，可以支配人生观，这便是‘唯物的历史观’。我们现在要请问丁在君先生和胡适之先生：相信‘唯物的历史观’为完全真理呢，还是相信唯物以外像张君劢等类人所主张的唯心观也能够超科学而存在？”

我不知道丁先生要如何回答他；但我个人的意见先要说明：（1）独秀说的是一种“历史观”，而我们讨论的是“人生观”。人生观是一个人对于宇宙万物和人类的见解；历史观是“解释历史”的一种见解，是一个人对于历史的见解。历史观只是人生观的一部分。（2）唯物的人生观是用物质的观念来解释宇宙万物及心理现象。唯物的历史观是用“客观的物质原因”来说明历史。（狭义的唯物史观则用经济的原因来说明历史。）

说明了以上两层，然后我可以回答独秀了。我们信不信唯物史观，全靠“客观的物质原因”一个名词怎样解说。关于这一点，我觉得独秀自己也不曾说的十分明白。独秀在这篇序里曾说，“心即是物之一种表现”（序页十），那么，“客观的物质原因”似乎应该包括一切“心的”原因了，——即是智识、思想、言论、教育等事。这样解释起来，独秀的历史观就成了“只有客观的原因（包括经济组织、知识、思想等等）可以变动社会，可以解释历史，可以支配人生观”。这就是秃头的历史观，用不着戴什么有色彩的帽子了。这种历史观，我和丁在君都可以赞成的。

然而独秀终是一个不彻底的唯物论者。"
segment:fe1b050102aa,Segment,胡适_000_993249d7_s0009,Segment,胡适_000_993249d7,胡适_000_993249d7_s0009,,"愿”，并不是说他们怯懦不敢，只是说他们对于那科学家的人生观还不能像吴稚晖先生那样明显坚决的信仰，所以还不能公然出来主张。这一点确是这一次大论争的一个绝大的弱点。若没有吴老先生把他的“漆黑一团”的宇宙观和“人欲横流”的人生观提出来做个押阵大将，这一场大战争真成了一场混战，只闹得个一哄散场！

关于这一点，陈独秀先生的序里也有一段话，对于作战的先锋大将丁在君先生表示不满意。独秀说：

> “他（丁先生）自号存疑的唯心论，这是沿袭了赫胥黎、斯宾塞诸人的谬误；你既承认宇宙间有不可知的部分而存疑，科学家站开，且让玄学家来解疑。此所以张君劢说，‘既已存疑，则研究形而上界之玄学，不应有丑诋之词’。其实我们对于未发见的物质固然可以存疑，而对于超物质而独立存在并且可以支配物质的什么心（心即是物之一种表现），什么神灵与上帝，我们已无疑可存了。说我们武断也好，说我们专制也好，若无证据给我们看，我们断然不能抛弃我们的信仰。”

关于存疑主义的积极的精神，在君自己也曾有明白的声明。（《答张君劢》，页二一一二三。“拿证据来！”一句话确然是有积极精神的。但赫胥黎等在当用这种武器时，究竟还只是消极的防御居多。在十九世纪的英国，在那宗教的权威不曾打破的时代，明明是无神论者也不得不挂一个“存疑”的招牌。"
segment:d5599dca4153,Segment,胡适_000_993249d7_s0019,Segment,胡适_000_993249d7,胡适_000_993249d7_s0019,,"种新人生观是建筑在二三百年的科学常识之上的一个大假设，我们也许可以给他加上“科学的人生观”的尊号。但为避免无谓的争论起见，我主张叫他做“自然主义的人生观”。

在那个自然主义的宇宙里，在那无穷之大的空间里，在那无穷之长的时间里，这个平均高五尺六寸，上寿不过百年的两手动物——人——真是一个藐乎其小的微生物了。在那个自然主义的宇宙里，天行是有常度的，物变是有自然法则的，因果的大法支配着他——人——的一切生活，生存竞争的惨剧鞭策着他的一切行为，——这个两手动物的自由真是很有限的了。然而那个自然主义的宇宙里的这个渺小的两手动物却也有他的相当的地位和相当的价值。他用他的两手和一个大脑，居然能做出许多器具，想出许多方法，造成一点文化。他不但驯伏了许多禽兽，他还能考究宇宙间的自然法则，利用这些法则来驾驭天行，到现在他居然能叫电气给他赶车，以太给他送信了。他的智慧的长进就是他的能力的增加；然而智慧的长进却又使他的胸襟扩大，想像力提高。他也曾拜物拜畜生，也曾怕神怕鬼，但他现在渐渐脱离了这种种幼稚的时期，他现在渐渐明白：空间之大只增加他对于宇宙的美感；时间之长只使他格外明了祖宗创业之艰难；天行之有常只增加他制裁自然界的能力。甚至于因果律的笼罩一切，也并不见得束缚他的自由，因为因果律的作用一方面使他可以由因求果，由果推因，解释过去，预测未来；一方面又使他可以运用他的智慧，创造新因以求新果。"
segment:9e1a828a05a5,Segment,胡适_000_993249d7_s0007,Segment,胡适_000_993249d7,胡适_000_993249d7_s0007,,"的文章也都走上那可能与不可能的笼统讨论上去了。例如丁在君的《玄学与科学》的主要部分只是要证明：

> “凡是心理的内容，真的概念推论，无一不是科学的材料。”

然而他却始终没有说出什么是“科学的人生观”。从此以后，许多参战的学者都错在这一点上。如张君劢《再论人生观与科学》只主张：

> “人生观超于科学以上”，“科学决不能支配人生。”

如梁任公的《人生观与科学》只说：

> “人生关涉理智方面的事项，绝对要用科学方法来解决，关于情感方面的事项，绝对的超科学。”

如林宰平的《读丁在君先生的玄学与科学》只是一面承认“科学的方法有益于人生观”，一面又反对科学包办或管理“这个最古怪的东西”——人类。如丁在君答张君劢也只是说明：

> “这种（科学）方法，无论用在知识界的那一部分，都有相当的成绩，所以我们对于知识的信用，比对于没有方法的情感要好；凡有情感的冲动都要想用知识来指导他，使他发展的程度提高，发展的方向得当。”

如唐钺《心理现象与因果律》只证明：

> “一切心理现象都是有因的。”

他的《一个痴人的说梦》只证明：

> “关于情感的事项，要就我们的知识所及，尽量用科学方法来解决的。”

王抚五的《科学与人生观》也只是说：

> “科学是凭藉‘因果’和‘齐一’两个原理而构造起来的；人生问题无论为生命之观念，或生活之态度，都不能逃出这两个原理的金刚圈，所以科学可以解决人生问题。"
segment:9ee9da1badf0,Segment,胡适_002_c6a0c3b5_s0002,Segment,胡适_002_c6a0c3b5,胡适_002_c6a0c3b5_s0002,,"害世。此可以深信而不疑者也。”

请问“据既往以测将来”是不是“以已成之例推算未来？”

然而张君劢又说：

【矛三】“人生观不为论理方法与因果律所支配。”

【盾三】（大前提）“夫事之可以预测者，必为因果律所支配者也。”（小前提）“人类目的，屡变不已；然据既往以测将来，……可以深信而不疑”。（结论）故张君劢深信而不疑“人类目的”（人生观）必为因果律所支配者也！

张君劢翻了二十七十四天的觔斗，原来始终不曾脱离逻辑先生的一件小小法宝——矛盾律——的笼罩之下！哈！哈！

十二，五，十一，上海。

君劢吾兄：

南下二十天，无一日不病；在西湖四日，有两日竟不能走路。现借一个外国朋友家养病，病中读你和在君打的笔墨官司，未免有点手痒，所以写这篇短文，给你们助助兴。文虽近于游戏，而意则甚庄。我希望你不至于见怪罢。

适

---"
segment:12213de2e36e,Segment,胡适_000_993249d7_s0013,Segment,胡适_000_993249d7,胡适_000_993249d7_s0013,,"地：

> “开除了上帝的名额，放逐了精神元素的灵魂。”（页二九）

很大胆地宣言：

> “我以为动植物且本无感觉，皆止有其质力交推，有其辐射反应，如是而已。譬之于人，其质构而为如是之神经系，即其力生如是之反应。所谓情感、思想、意志等等，就种种反应而强为之名，美其名曰心理，神其事曰灵魂，质直言之曰感觉，其实统不过质力之相应。”（页二二一二三）

他在《人生观》里，很“恭敬地又好像滑稽地”说：

> “人便是外面止剩两只脚，却得到了两只手，内面有三斤二两脑髓，五千零四十八根脑筋，比较占有多额神经系质的动物。”（页三九）

> “生者，演之谓也，如是云尔。”（页四十）

> “所谓人生，便是用手用脑的一种动物，轮到‘宇宙大剧场’的第亿垓八京六兆五万七千幕，正在那里出台演唱。”（页四七）

他老先生五年的思想和讨论的结果，给我们这样一个“新信仰的宇宙观及人生观”。他老先生很谦逊地避去“科学的”的尊号，只叫他做“柴积上，日黄中的老头儿”的新信仰。他这个新信仰正是张君劢先生所谓“机械主义”，正是梁任公先生所谓“纯物质的纯机械的人生观”。他一笔勾销了上帝，抹煞了灵魂，戳穿了“人为万物之灵”的玄秘。这才是真正的挑战。我们要看那些信仰上帝的人们出来替上帝向吴老先生作战。我们要看那些信仰灵魂的人们出来替灵魂向吴老先生作战。我们要看那些信仰人生的神秘的人们出来向这“两手动物演戏”的人生观作战。"
