source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
菊农,article:22d8af5001cc,WROTE,WROTE,neutral,0,0,,,,菊农_000_b90d5dfb,
article:22d8af5001cc,segment:aedfb7fbc7d5,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0008
article:22d8af5001cc,segment:a037279e40c9,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0011
article:22d8af5001cc,segment:b9b2563172e7,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0009
article:22d8af5001cc,segment:7b105ccddf28,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0001
article:22d8af5001cc,segment:3c2703aa030b,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000
article:22d8af5001cc,segment:8d86bcac7b25,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0007
article:22d8af5001cc,segment:1bb640ca50c6,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0012
article:22d8af5001cc,segment:205336dc50eb,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0003
article:22d8af5001cc,segment:e393609ac3df,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0010
article:22d8af5001cc,segment:4d3bced28715,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0002
segment:3c2703aa030b,entity:00bca7507ba2,MENTIONS,MENTIONS,neutral,0,0,,文本中提及丁在君先生,,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000
segment:3c2703aa030b,entity:dc4cd08803b6,MENTIONS,MENTIONS,neutral,0,0,,文本中提及张君劢先生,,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000
segment:3c2703aa030b,entity:03b423300c37,MENTIONS,MENTIONS,neutral,0,0,,文本中提及人生观与科学的问题,,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000
segment:3c2703aa030b,entity:3aa755b381c2,MENTIONS,MENTIONS,neutral,0,0,,文本中提及教育问题,,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000
