node_id,labels,name,node_type,article_id,segment_id,title,text
article:0557e2c0461f,Article,玄学科学论战杂话,Article,孙伏园_000_50fcd0d8,,玄学科学论战杂话,
author:4321995f3a68,Author,孙伏园,Author,,,,
article:0a09528227d2,Article,东荪按,Article,孙伏园_001_119b038d,,东荪按,
author:56a8e92c91b4,Author,张东荪,Author,,,,
entity:ab5f008cd73e,概念,玄学,概念,孙伏园_000_50fcd0d8,s0000,,
entity:0a5d9170d332,概念,科学,概念,孙伏园_000_50fcd0d8,s0000,,
entity:67821481a750,概念,人生观,概念,孙伏园_000_50fcd0d8,s0000,,
entity:a5902cbd02aa,概念,哲学,概念,孙伏园_000_50fcd0d8,s0000,,
entity:fe901cfcc616,人物,张君劢,人物,孙伏园_000_50fcd0d8,s0001,,
entity:09d93e258179,人物,任鸿隽,人物,孙伏园_000_50fcd0d8,s0001,,
entity:0bacf98593d1,人物,丁文江,人物,孙伏园_000_50fcd0d8,s0002,,
entity:da4572fa708f,人物,孙伏园,人物,孙伏园_001_119b038d,s0000,,
entity:ff84491eb68c,概念,形而上学,概念,孙伏园_001_119b038d,s0000,,
entity:9624496c5828,概念,认识论,概念,孙伏园_001_119b038d,s0000,,
entity:7d85d06a9769,概念,宇宙论,概念,孙伏园_001_119b038d,s0000,,
entity:b6aa967fc434,阵营/群体,英美经验派,阵营/群体,孙伏园_001_119b038d,s0000,,
entity:0013d0e3f252,阵营/群体,大陆理性派,阵营/群体,孙伏园_001_119b038d,s0000,,
entity:ff64cde28949,人物,胡适,人物,孙伏园_001_119b038d,s0000,,
entity:a5d9f1eb114e,人物,张东荪,人物,孙伏园_001_119b038d,,,
claim:ef099428248f,Claim,两方似乎并不攻守一个要塞,Claim,孙伏园_000_50fcd0d8,,,两方似乎并不攻守一个要塞
claim:ca4d8ad29a84,Claim,现在两方都还没有注意到首先应该注意的三个问题,Claim,孙伏园_000_50fcd0d8,,,现在两方都还没有注意到首先应该注意的三个问题
claim:a74f9adcbbc2,Claim,双方都应该宣布自己对于这三个名词的定义,Claim,孙伏园_000_50fcd0d8,,,双方都应该宣布自己对于这三个名词的定义
claim:936202381b5e,Claim,人生观对于玄学或科学的关系，远不如对于哲学的那样重要,Claim,孙伏园_000_50fcd0d8,,,人生观对于玄学或科学的关系，远不如对于哲学的那样重要
claim:1728a181c4f7,Claim,有许多人把哲学与玄学看作几乎是一个东西,Claim,孙伏园_000_50fcd0d8,,,有许多人把哲学与玄学看作几乎是一个东西
claim:848c403c3451,Claim,哲学的对象只是研究宇宙构成的根本材料，这未免太狭了,Claim,孙伏园_000_50fcd0d8,,,哲学的对象只是研究宇宙构成的根本材料，这未免太狭了
claim:25240c641940,Claim,哲学的范围可以定宽一点，将用自然科学的方法分别地研究人生的晚出科学都收容进来,Claim,孙伏园_000_50fcd0d8,,,哲学的范围可以定宽一点，将用自然科学的方法分别地研究人生的晚出科学都收容进来
claim:d3a1f6d402c4,Claim,哲学介乎科学与玄学之间，人生观包在哲学范围以内,Claim,孙伏园_000_50fcd0d8,,,哲学介乎科学与玄学之间，人生观包在哲学范围以内
claim:58c0d778e0ec,Claim,人生观问题的讨论必须注重哲学一方面，而不应该斤斤于关系较轻的玄学与科学,Claim,孙伏园_000_50fcd0d8,,,人生观问题的讨论必须注重哲学一方面，而不应该斤斤于关系较轻的玄学与科学
claim:7a4e56d911b8,Claim,人生观是某一个人（或某一派）对于人生的见解与态度,Claim,孙伏园_000_50fcd0d8,,,人生观是某一个人（或某一派）对于人生的见解与态度
claim:20abbfbcf013,Claim,张君第一篇文中所举的九条中只有第八条是人生观，其余八条或属宗教，或属玄学，或属科学，或与人生观同属哲学，但都不是人生观,Claim,孙伏园_000_50fcd0d8,,,张君第一篇文中所举的九条中只有第八条是人生观，其余八条或属宗教，或属玄学，或属科学，或与人生观同属哲学，但都不是人生观
claim:a762041e5ab0,Claim,人生观可以受科学的影响，也可以不受科学的影响,Claim,孙伏园_000_50fcd0d8,,,人生观可以受科学的影响，也可以不受科学的影响
claim:418e2f60ab3a,Claim,人生观受不受科学的影响是一问题，人生观统一不统一又是一问题。,Claim,孙伏园_000_50fcd0d8,,,人生观受不受科学的影响是一问题，人生观统一不统一又是一问题。
claim:abd8eb9fb0e8,Claim,人生观受科学方法的影响，我是极以为然的。,Claim,孙伏园_000_50fcd0d8,,,人生观受科学方法的影响，我是极以为然的。
claim:64a26cd7b5c1,Claim,人生观将来能不能统一是一事，言外是说人生观将来能统一的，我是不很希望的。,Claim,孙伏园_000_50fcd0d8,,,人生观将来能不能统一是一事，言外是说人生观将来能统一的，我是不很希望的。
claim:323cf2da5b4e,Claim,人生观受科学影响与受科学支配并不是一件事。,Claim,孙伏园_000_50fcd0d8,,,人生观受科学影响与受科学支配并不是一件事。
claim:1650403b556f,Claim,如果人生观是思想方面的东西，那末我替他要求绝对的自由。,Claim,孙伏园_000_50fcd0d8,,,如果人生观是思想方面的东西，那末我替他要求绝对的自由。
claim:8105c2d04cc6,Claim,如果凡属思想都要受科学的支配，那么许多文学美术上极有价值的空想，都要宣告死刑了。,Claim,孙伏园_000_50fcd0d8,,,如果凡属思想都要受科学的支配，那么许多文学美术上极有价值的空想，都要宣告死刑了。
claim:df9e5e3a85a1,Claim,如果各个人的人生观都要统一起来，那么思想没有自由发展的余地，人生只是呆板的干燥的单调的动物生活罢了。,Claim,孙伏园_000_50fcd0d8,,,如果各个人的人生观都要统一起来，那么思想没有自由发展的余地，人生只是呆板的干燥的单调的动物生活罢了。
