node_id,labels,name,node_type,article_id,segment_id,title,text
article:9ba1765f59f7,Article,劳而无功 —— 评丁在君先生口中的科学,Article,张东荪_000_a9bf05ee,,劳而无功 —— 评丁在君先生口中的科学,
author:56a8e92c91b4,Author,张东荪,Author,,,,
article:f1078fc56c16,Article,张君劢主张的人生观对科学的五个异点,Article,章演存_000_aa7de44c,,张君劢主张的人生观对科学的五个异点,
author:57c550c37345,Author,章演存,Author,,,,
article:2babd95737ec,Article,玄学上之问题,Article,颂皋_000_0fffa40d,,玄学上之问题,
author:0d0e8dd66bb0,Author,颂皋,Author,,,,
segment:18d4124b9b09,Segment,颂皋_000_0fffa40d_s0001,Segment,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0001,,"，试问究竟有否此种普通之材质?

(4) 世界究竟由何而来？往昔或竟不如是乎?

(5) 何者为本体中之最真实者?

(6) 凡百事物果如何而并合成一字宙?

(7) 整一（Unity）与分异（Diversity）孰为根本的?

(8) 凡百事物只有一源欤，抑为多源欤?

(9) 一切事物均为前定的欤，抑有数种事物为自由的欤？——例如吾人之意志然。

(10) 试由全部以观，世界是否无限止的（Infinite), 抑为有限止的（Finite)?

(11) 世界之各个部分，是否相互接连，抑有空隙之处?

(12) 上帝是谁？一切神又是谁?

(13) 身与心果如何连合者？二者是否相互发生动作?

(14) 凡一事一物如何能由别一事物之中发生变化或自产生?

(15) 任何事物，对于任何其他事物，如何发生动作?

(16) 空间与时间果为“真有”乎？藉曰否，则二者果作何解?

(17) 就知识言，物体如何感入心中？心又如何触及物体?

(18）吾人藉普遍的观念而知一切，然则此种普遍的观念果为真实乎？藉曰否，则是否只有特殊的观念真实?

(19) 何谓事物?

(20) 推考之种种原则为天赋者乎，抑为后天所得者乎?

(21) 美与善是否只系一种意见，有否一种客观的证实（Objective Validity)? 设曰然，则所谓客观的证实，又作何解?

类此形式之问题，是谓玄学上之问题。"
segment:4a80f890fbf5,Segment,张东荪_000_a9bf05ee_s0011,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011,,"其理论的基础，实在没有很多的书。我

所看见的只是一个小册子，名曰《人类的效率与智力的层次》，乃是美国研究低能儿大家过达德所著。一提起这个人名，丁先生当然晓得。就美国军队曾试验过，共分七等，而最高等只有百分之四半。若科学确实性的标准在人心的相同，恐怕相对论即要失了科学的资格，因为百人中就未必能有四个人懂相对论的。即以寻常所见的而论，一个幼稚园小学校有儿童六七百人，设若教师不先讲明二加二是四，而即教儿童回答，恐怕能说二加二是四的就未必定占全数。难道数学上的二加二是四，其确实性是基于人心的相同么？最浅的例，如相对论上有“空间弯”，就是我们人类所不能目睹的；并且有人说我们人类可以看见长广阔而不能看见第四量向，正犹海底扁鱼只能看长广而不能看见阔一样。可见若说科学的确实性是基于人心的相同，实在危险得很。现在再说回来，仍讲到智力实验，过达德告诉我们说有一个不因学习而改的先天智力，所测的即是这个抽象的智力而不是具体的学习。我想这个话丁先生听了一定大不高兴，因为不料货真价实的科学方法却背后先有一个玄学的假定。但是削去这个假定，科学的智力实验法亦立不住了。

至于丁先生说凡用科学方法都是科学，于是我们的问题一转而为科学方法的讨论了。科学方法若即是形式论理，则不但玄学用之，宗教用之，乃至小说戏曲亦都用之。于是普天之下莫非科学。科学既早已如此普遍，丁先生大可不必再费九牛二虎之力以提倡了。"
segment:042c66bc13ea,Segment,张东荪_000_a9bf05ee_s0012,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012,,"论了。科学方法若即是形式论理，则不但玄学用之，宗教用之，乃至小说戏曲亦都用之。于是普天之下莫非科学。科学既早已如此普遍，丁先生大可不必再费九牛二虎之力以提倡了。可见科学方法决不仅是形式论理。然则是归纳演绎么？归纳演绎在性质上与三段论法又所差几何呢？所以我不得不立一个代替说如下:

“科学果有一个唯一无二的方法，则始可说凡用这个方法的都是科学，可惜科学在今天，据我看来，还是各有各的方法。如心理学有观察、实验、内省三法，无论如何，不能排斥其二而仅留其一，使与物理学相等。至于法学的方法与化学的方法即不相同，决不能说法学的比较即是化学的

解析。科学对于所取的对象可以各取各的方法。如天文学便不能离了望远镜，又如生物学中分出细胞学。可见科学各有方法与分枝发展，只由一个所谓科学方法（即分类与归纳等）高悬于上，决不能统一。”

我这句话的意思如下：科学各应其对象而各取特殊的方法，这些方法虽是二次的（即林先生所谓的实质论理),却是非常重要。若抽离这些各别的二次的方法以成根本的方法，势必愈普遍而愈失其独到的精神。我们要真心提倡科学便不能仅仅注目于空洞的根本的抽象的方法。

最后我还有一句话：就是科学方法与科学是不能分家的。这两个东西，如影随形，决不能说我们先提倡科学方法自然而然便发生科学。例如丁先生相信心物是一件东西，试问这见解是由科学方法取得呢，还是由科学取得呢？"
segment:ff08a3df0d6d,Segment,颂皋_000_0fffa40d_s0002,Segment,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002,,"美与善是否只系一种意见，有否一种客观的证实（Objective Validity)? 设曰然，则所谓客观的证实，又作何解?

类此形式之问题，是谓玄学上之问题。康德尝谓玄学上之重要问题有三，即:

(1) 何为我所能知者?(What can I know?)

(2) 何为我所应为者?(What Should I do?)

(3) 何为我可期望者?(What May I hope?)

试观上述各问题，可知欲于玄学一词，假定一相当之定义，尚非难事。所谓定义，诚如桓儿夫（C. Wolff）所言，可归纳于下列一句：凡论及事物之可能者，是谓玄学，与备及事物之实在者，显非相同。何则？盖后者所涉及之问题，大半关于实际的事实故也。或曰：玄学者乃所以探究一切事物之原因、本质、

意义，及其结果者。或曰：玄学实为研究本体之最普遍之原理之学；而所谓原理，不特彼此衔接一起，即于吾人知识之能力，亦发生关系焉。

夫此处所谓原理，在吾人观之显有不同之意义可以想见。谓为真“有”乎，则原子灵魂之说尚矣。谓为逻辑的定例乎，则“凡物非存在即为存在”之说是已。谓为普遍化的事实乎，则“凡物必须于已存在之后乃能有所作用”，即其例矣。原理之意义，既如是之复杂，由原理而完成之科学，又难有实现之望，然则此种定义，推其究竟，直等于一装饰品耳。夫玄学之最严重的职务，不在乎他，即在乎研究此种单纯问题。"
segment:2be09680612c,Segment,张东荪_000_a9bf05ee_s0009,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009,,"无不相同，科学的真相，才能为人所公认。否则我觉得书柜子是硬的，你觉得是软的；我看他是长方的，你看他是圆的；我说二加二是四，你说是六；还有什么科学方法可言？”

依我这个拙笨的脑筋看去，好像是说科学的确实性即基于人心的相同。特此处所谓人心是指感触思构而言。果尔则我的疑心又起了。我现在学丁先生的乖，对于丁先生亦说一句“拿证据来！”丁先生在他的第二篇果然拿了证据来了，他说:

“这是事实，不是理论。自从塞尔登拿统计的方法来研究生物的现象，成功了所谓生物测量学（Biometrics),我们所谓‘常人’已经有了统计上的根据。即如英国的常人是五尺八英寸高：五尺以下的是矮子，六尺六寸以上的是长人。但是矮子同长人的标准完全是随意的：五尺以下的矮子，和六尺六寸以上的长人之间又有许多过渡的人把他们和常人联合在一块。智慧测量的结果同高度是一样。假如我们说痴子的智慧是零，天才的是一百，常人的是五十：一至四十九把痴子同常人联合一气；五十一至九十九又把常人同天才的界限相混合。肢体与高度相称的是常人；若是一个人头异常的长，身异常的短，或是四肢绝对不能相称，他就是一个怪人，同心理上的疯子一样。研究疯人心理的学者，都觉得疯子的性质一部分与天才有几分相似，因为都是感觉特别发展的原故，但是疯子的一部分发展过度，失去了心理的平衡，而天才的各部分发展相称，能保存生活的常态。"
segment:e3281aa15ee2,Segment,张东荪_000_a9bf05ee_s0015,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0015,,"造的活的。科学发展之所以无穷无尽即在此。自从淑种学发明以来，对于人类自己的智慧亦可以设法改良。所以科学是最富于活气的。凡把科学认为机括，为呆板，这乃是不懂科学。丁先生抱定宣传科学的宗旨自是前途远大，但无端把个“考据”拉了来混在一起，则丁先生在中国科学史的功罪他日恐怕要成问题了罢。我现在重诵林先生的话以为结束：林先生说以这样拿烧酒濂水愈冲愈淡的办法而提倡科学乃是糟蹋科学，我则说是劳而无功。

我这篇本来完了，但我一想大家都是好朋友，不妨再进一步说说。我以为这个问题本是一个大问题，以玩皮的态度虽无

伤大雅，然于社会究不很好；并且亦可不必再争论下去了，因为争论下去必定强学哲学的人来临时抱佛脚谈科学，同时强学科学的人来临时抱佛脚谈哲学，这当中便难免不有疏忽。这事太不经济，还是其次，而给社会以恶影响，则为害却大。例如张先生文中阿顿与原子并举，这个漏洞被丁先生吹求出来了。丁先生第二篇中把杜威列入否认思想的行为派心理学中，我想这个漏洞将来一定亦要被张先生吹求出来的。丁先生只根据罗素的《心之分析》，其实杜威、詹姆士、席勒都是机能派，而行为派对于他们攻击甚力，不能因为罗素的一句话即为定谳。然而这些都是无心之错，算不得甚么。不过张先生、丁先生在今天的中国学术界中已不是黄毛丫头，而已跻于命妇的地位，似乎大家何必定要强不知以为知，使社会稍受影响呢？这便是区区的希望了。"
segment:8730e4d35671,Segment,章演存_000_aa7de44c_s0000,Segment,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000,,"一日看见吾友丁在君《玄学与科学》一文，便想去索张君劢君的原文一读。后由在君寄来，并函云：“弟对张君劢《人生观》提倡玄学与科学为敌，深恐有误青年学生，不得已而为此文。……弟与张君劢交情甚深，此次出而宣战，纯粹为‘真理’起见，初无丝毫意见；亦深望同人加入讨论。兄能分著述余暇，作此宣传事业否？”余本来不是十分满足现在的科学的；就是他的方法，也还不敢说是无所不能；只看现在爱因斯坦的“相对论”，他入手的方法，便和旧物理学完全不同的了。这样看来，科学的方法，也不是丝毫没有改造的余地。再回过来看看张君的“人生观”，却论得太浑沌一点；并且他对于科学，又觉得稍隔膜一点；所以像我最怕说话的，也免不得要说几句话。但我自问决不是为丁君作辩护的；也并不敢担当宣传的责任。

张君说人生的问题，决不是科学所能解决的；因为人生观和科学比较起来，有五个异点。他还从人生观里举出九个“我”对“非我”的问题来，说是“东西万国，上下古今，无一定之解决”的。我们首先要和张君讨论的，就是人生观和科学的五个异点是对不对？有没有疑问?

第一个异点:科学为客观的，人生观为主观的。这种分别，好像是很久的了；但是现在有了“相对论”，却不能说科学纯为客观的，并且可以说是主观的了。张君说：“同为人生，因彼此观察点不同而意见各异；”“相对论”也说：“同一件事情，因

彼此观察点不同而所见各异；这不是一样的吗？"
segment:ea770101cf99,Segment,张东荪_000_a9bf05ee_s0008,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,"可见科学自身便有论理，科学不必另外求助于形式论理。这一点我觉得自命担负宣传科学的大责任的丁先生却没有看清楚。林先生说丁先生的论理思想太旧了，真是实获我心的话。若果科学的基础是建筑于形式论理的三段论法之上，则科学的正确性必定完全在视其合乎论理方式与否为断了。但实际上论理学是比较幼稚的，而物理学化学反应比论理学先发达。若把数学归纳在论理里头，则非欧克立德的几何学亦是晚近始出。我尝说亚里士多德的论理与欧克立德的几何一样，到了现在都不够用了。不料丁先生一方面排斥亚里士多德的玄学，而他方面却默采亚氏以来的传统论理思想。

次讲科学确实性的标准，丁先生说:

“科学既然以心理上的现象为内容，对于概念、推论，不能有不严格的审查。（中略）凡常人心理的内容，其性质都是相同的。心理上联想的能力，第一是看一个人觉官感触的经验，第二是他脑经思想力的强弱。换言之，就是一个人的环境同遗传。我的环境同遗传，无论同什么人都不一样；但如果我不是一个反常的人——反常的人我们叫他为疯子痴子——我的思想的工具是同常的一类的机器。机器的效能虽然一样，性质却是相同。觉官的感触相同，所以物质的‘思构’相同，知觉、概念、推论的手续无不相同，科学的真相，才能为人所公认。否则我觉得书柜子是硬的，你觉得是软的；我看他是长方的，你看他是圆的；我说二加二是四，你说是六；还有什么科学方法可言？”"
segment:c50d8947ec84,Segment,张东荪_000_a9bf05ee_s0000,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0000,,"丁在君先生为反对张君劢先生的“人生观”，于是拿了“科学”来打“玄学”。迄至昨日止，我已拜读了他的洋洋大文两篇了。我读了他的第一篇文章时候，就觉得有许多话非说不可，但我仍是暂时忍着。后来看见林宰平先生一篇文章，我真跳起来。凡我所蓄于肚里，所要说的话差不多都被林先生说出来了。我十分佩服林先生，却又十分感激林先生，因为这一下我既可不闷得难受，又可不必写得手酸。我肚里的意思虽经林先生发泄了十分之九，然尚有一分，似乎亦应得吐出，方能痛快。所以我看见林先生的文章后即加了一些按语；继而一想，按语总不十分畅达。因此我把按语拿来改编，以成此篇。

我于开始以前有一个重要的声明：就是我对于丁、张两先生都是朋友；我今天只驳丁先生而不驳张先生并不是由于友谊有厚薄。只因为我有个脾气是不欢喜锦上添花而只欢喜雪中送炭。在丁先生第一篇文章初发表时，就有人来报告于我，说丁先生方面已预备有许多人对于张先生一个人来“群起而攻之”。（这个话本是谣言，不过《努力周报》迄至今日却除张先生自己的文章外，所有谈到“科玄之战”的无一不是反对张先生的。）我当时听了这个传闻，虽明知不可靠，但却预料丁先生方面（即攻击张君劢的方面）总不会寂寞了，用不着我来凑热闹。于是我决定对于丁先生来烧一烧冷灶。想不到素来不甚做文

章的林先生居然放了一鸣惊人的响炮，把我的文章十分之九都抢了去了。"
segment:33cf479e856e,Segment,张东荪_000_a9bf05ee_s0001,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001,,"的方面）总不会寂寞了，用不着我来凑热闹。于是我决定对于丁先生来烧一烧冷灶。想不到素来不甚做文

章的林先生居然放了一鸣惊人的响炮，把我的文章十分之九都抢了去了。对于丁先生所应当说的话十分之九既被林先生道破了，我今天所说只是一些余义。既是余义，便是“附言”的性质，所以很难标个题目。若标题为“反诘丁先生”罢，或“对于丁先生的怀疑”罢，则所应反诘的所挟疑问的决不止此数。所以我不得已，便拿我这篇文章的结尾上一句话为题目。这原是由于想不出好题目来的缘故。

为叙述简明计，我先说明我对于丁先生的态度，然后加以理由。现在即列举如下:

(甲）我认为丁先生不是真正拿科学来攻玄学，而只是采取与自己性质相近的一种哲学学说而攻击与自己性质相远的那种哲学学说。

(乙）我认为丁先生对于科学的真正性质没有说明白。

(丙）我认为丁先生对于科学，与汉学家的考据混为一谈，这样宣传科学是有害无益的。

纲领既定，请加以说明。先讲第一点。丁先生第一篇题目是《科学与玄学》，第二篇亦离不了科玄字样，当然以科学为符箓而拘拿那个名叫“玄学”的鬼了。可是玄学这个鬼却亦非常调皮，他一躲便躲在名叫“哲学”的人身上，丁先生投鼠忌器起来，于是枪法就乱了。丁先生对于玄学始终不下一个明切的定义；对于玄学与哲学的关系亦始终无一字提及。敌人尚未认清，就先开炮，我真佩服丁先生的勇敢。要是换了小弟兄，万万办不到。其实玄学的性质亦很易明白。"
segment:b0d9f481d600,Segment,颂皋_000_0fffa40d_s0000,Segment,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000,,"近来了在君先生与张君劢先生为科学与玄学之争，发表许多文章，引起学术界之注意。一时起而招辩者，类皆国内知名之士，对于专门之学，皆有深造，故其所发言论，自多价值。但亦有主张偏激，思想之间，发生绝大缺陷者，考其所以致此之由，大率对于玄学之所以为玄学，不无稍欠了解。因忆旧读乾姆斯（James）所著哲学问题（Some Problems of Philosophy）书中，有专论“玄学上之问题”一章，颇能将玄学之界说，与夫玄学的问题之性质阐明无遗，爱节译之，以供读者之评览焉。

颂皋。七，二，苏州。

欲于玄学（Metaphysics）一词，加以明确之定义，诚为不可能之事。如欲将玄学所涉及之问题，一一加以说明，则最妙方法，莫如即先探索其意义之所在。原夫玄学，乃所以讨论各种空虚的（Obscure）抽象的（Abstract）普遍的（General）问题，而为科学与人生所未能解决者。易言之：即此种悬而未解决，玄而且深，关于事物之全体或其永久的原素之问题也。欲明此义，请举例如左:

(1) 何谓思想？何谓事物？思想与事物之间如何发生关系?

(2) 吾人所云“真理”，果作何解?

(3) 一切事实均由材质（Stuff）而成，试问究竟有否此种普通之材质?

(4) 世界究竟由何而来？往昔或竟不如是乎?

(5) 何者为本体中之最真实者?

(6) 凡百事物果如何而并合成一字宙?"
segment:1fff26c117b1,Segment,张东荪_000_a9bf05ee_s0016,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0016,,"之错，算不得甚么。不过张先生、丁先生在今天的中国学术界中已不是黄毛丫头，而已跻于命妇的地位，似乎大家何必定要强不知以为知，使社会稍受影响呢？这便是区区的希望了。至于我呢，预先声明：如蒙赐教，恕不答复。其实我作此篇固然是由于闷得受不住了，然亦未尝不是受了丁先生的暗示：丁先生说杜里舒不配反对达尔文（读者注意，我以为反对达尔文与反对《进化论》是两件事，决不能说反对达尔文即是否认《进化论》),于是我一想：以研究生物学数十年的人不配反对达尔文，而研究地质学的人却反而配赞成达尔文，则我们研究哲学的人当然亦配谈科学了。不过我后来再想一想，仍是以“下不为例”为佳。所以附此声明。"
segment:89563a88f905,Segment,张东荪_000_a9bf05ee_s0010,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0010,,"学者，都觉得疯子的性质一部分与天才有几分相似，因为都是感觉特别发展的原故，但是疯子的一部分发展过度，失去了心理的平衡，而天才的各部分发展相称，能保存生活的常态。长人矮子同常人是程度问题不是种类问题，天才痴子同常人的分别，也是比较的，不是绝对的：常人虽然长，然而他的长的程度是为种族能力所限制，所以世界上没有八尺九尺的长人，况且长人的体格的系数（Inder）如头骨的宽长，手臂的比例，等等，还是同寻常人一样。天才的智慧，高出常人的程度，也是为种族能力所限制，他的心理同生理的组织也是同常人的一类的机器。这是近七十年生物学、心理学的根本观念，不是可以随便翻的。”

这段话我看来看去简直不明白丁先生说些什么，因为张君劢先生并没有主张有不学而能的突飞天才者，所以丁先生的话全是文不对题。生物测定学的书，我没有看见过，所以不敢说什么，不过据我看来好像身体的长短不及智慧的高低对于这个科学确实与否的标准性问题来得关切。所以我专讲智力实验。但一讲这一点，则丁先生所谓事实却立刻变为不幸的事实了。何以故呢？因为立刻就把丁先生口口声声所说的“常人”的绝对界限推翻了。所谓 Normal 与 Abnormal 只是程度的差别罢了。讲智力实验而探其理论的基础，实在没有很多的书。我

所看见的只是一个小册子，名曰《人类的效率与智力的层次》，乃是美国研究低能儿大家过达德所著。一提起这个人名，丁先生当然晓得。"
segment:a79f3088931f,Segment,张东荪_000_a9bf05ee_s0014,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0014,,"堆中寻生活，至于那个故纸是否可靠尚是问题。

至于存疑的精神，我想除了释迦便要首推笛卡儿了。但这两个人的思想即不是科学。可见仅仅一个“奥康的剃刀”不能即算科学。牛顿有 Hypotheseses non fingo 的名言，但他自己立有绝对运动与绝对时空，他的假说可就不算少了。可见假说的多少完全是程度的等差而没有性质的不同。总之，丁先生怕西洋玄学投入中国的宋学，来借尸还魂，这个精神不但我原谅丁先生，并且还有些敬服；只可惜丁先生同时却把科学投入汉学，做一个同样的借尸还魂。这样遥遥相对一来，使我们旁观者看了大大提不起兴趣来了。至于以宣传科学而论，我固然看不出张先生的玄学妨碍科学在中国的发展至何程度，然亦实在看不出丁先生这两篇文章促进科学在中国的发展能至何程度。——亦许是我的神经太不灵敏了。若说我对于科学的态度，自信可以不必待丁先生来劝化。但我对于科学却认为是一个大理想。我尝说科学好像一把快刀，一切东西碰着了必迎刃而解，即最神秘的生命、精神、感情、意志无一不受其宰割。但是只有一个东西，仍然在外，即是能宰割一切的刀其自身。换言之，即是伟大的智慧。我们看见一辆汽车，看他内部的机括自然是呆板的死的，但回顾创造汽车者的智慧便不能不说是创造的活的。科学发展之所以无穷无尽即在此。自从淑种学发明以来，对于人类自己的智慧亦可以设法改良。所以科学是最富于活气的。凡把科学认为机括，为呆板，这乃是不懂科学。"
