source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
穆,article:aa08800b1bb6,WROTE,WROTE,neutral,0,0,,,,穆_000_d6755881,
entity:cff568fa034a,term:e00b5875accd,RELATES_TO,相关,neutral,0,0,不适用,丁、张两先生的辩论,0.9,穆_000_d6755881,s0000
entity:fe901cfcc616,term:2b787a0b3eab,RELATES_TO,主张,neutral,0,0,不适用,张先生说：科学是给人类利用的，不是用人类的东西,0.9,穆_000_d6755881,s0000
entity:fe901cfcc616,term:bd950dc2ee3d,RELATES_TO,主张,neutral,0,0,不适用,张先生又说：各人有各人的人生观，彼此无从统一,0.9,穆_000_d6755881,s0000
entity:f0e3a9838a47,entity:05bd094e4d0b,RELATES_TO,主张,positive,0,0,不适用,科学家最重要的精神，是承认事实而尊重事实,0.9,穆_000_d6755881,s0000
entity:f0e3a9838a47,term:fb85c3c80ebf,RELATES_TO,解释,positive,0,0,概念澄清,科学家把许多事实列举出来，告诉我们说，人类和下等生物本来是同祖的一原的,0.9,穆_000_d6755881,s0000
entity:f0e3a9838a47,term:fb85c3c80ebf,RELATES_TO,主张,neutral,0,0,不适用,科学家把许多事实列举出来，告诉我们说，人类和下等生物本来是同祖的一原的,1.0,穆_000_d6755881,s0001
entity:f0e3a9838a47,term:b57a74edbaf1,RELATES_TO,主张,neutral,0,0,不适用,科学家列举事实，证明人类在宇宙中的渺小,1.0,穆_000_d6755881,s0001
entity:05bd094e4d0b,entity:6177495d598e,RELATES_TO,属于,positive,0,0,不适用,正当的科学家的人生观，第一条件便应该是尊重事实,1.0,穆_000_d6755881,s0001
entity:fb54230f4e4c,entity:6177495d598e,RELATES_TO,属于,positive,0,0,不适用,科学家的人生观，确有与众不同的第二条件，便是对于事实之平等观,1.0,穆_000_d6755881,s0001
entity:f0e3a9838a47,entity:207dbeb464c4,RELATES_TO,对比,positive,0,0,优劣对比,"神秘派的感情派的伦理派的人们，对于外界事实,往往有一种直率的口吻，说这是自然有的，或是说道是不应该有的；但是在科学家的口里，他们决不如此说。",1.0,穆_000_d6755881,s0002
entity:fe901cfcc616,entity:0a5d9170d332,RELATES_TO,反对,negative,0,0,一般反对,张先生反对科学，说近世国家主义也是科学之流弊所致,0.9,穆_000_d6755881,s0005
entity:fe901cfcc616,entity:f6148da8773f,RELATES_TO,主张,neutral,0,0,不适用,s0000提到张君劢主张各人有各人的人生观，s0003明确说张君劢提倡宋明理学来力挽颓风，这是对前文主张的具体化。,0.9,,s0000
entity:0bacf98593d1,term:b779382110b8,RELATES_TO,主张,neutral,0,0,不适用,s0003提到丁文江说玄学是鬼怪，科学是神仙，s0004明确说丁文江主张科学可以把人生观统一，这是对前文立场的明确化。,0.9,,s000
entity:fe901cfcc616,term:0ef748d281d7,RELATES_TO,主张,neutral,0,0,不适用,s0004提到张君劢反对科学并说国家主义是科学流弊，s0005重复并确认此观点。,0.95,,s0004
entity:6d321e499b50,entity:0bacf98593d1,RELATES_TO,回应,neutral,0,0,一般批评,s0000提出科学家应尊重事实，s0004批评丁文江不肯低首下心承认事实，这是对丁文江态度的回应。,0.85,,s0000
entity:6d321e499b50,entity:0bacf98593d1,RELATES_TO,质疑,neutral,0,0,学术质疑,s0003提到丁文江说玄学是鬼怪，s0004质疑丁文江是否用神秘派感情派口吻，这是对丁文江态度的质疑。,0.9,,s0003
entity:6d321e499b50,entity:28a0dda43fd5,RELATES_TO,承接,neutral,0,0,不适用,s0001末尾提到条理密察，s0002开头继续阐述条理密察，这是明显的承接。,0.95,,s0001
