node_id,labels,name,node_type,article_id,segment_id,title,text
article:7e0b1b8e59b3,Article,读丁在君先生的《玄学与科学》,Article,林宰平_000_acbbe922,,读丁在君先生的《玄学与科学》,
author:ac8cb1c4aaed,Author,林宰平,Author,,,,
segment:0c7d9f1dcb8d,Segment,林宰平_000_acbbe922_s0029,Segment,林宰平_000_acbbe922,林宰平_000_acbbe922_s0029,,"看轻东方道德，以为惟有科学的教育，才够得上讲修养。我们也不能不举出一个反证：如达尔敦（Dalton）、波赛里约（Berzelius）之固执，他是个有名的化学家；伦布洛梭（Rombroso）、利赛（Richet）之迷信，他是个有名之人类学者及生理学者。在君先生又不满于尼采、叔本华的人格，以此证明科学教育对于人格之影响。其实培根那样的贪墨，他在文艺复兴时代对于科学方法观念之改革，是极重要的一个人；霍布士那样的崇拜权力，他是个大数学家，又于当时

意、法两国科学界关系极深，他的哲学完全是法国科学的表现；笛卡儿那样的害怕教会势力，他于数学、论理学、物理学造诣甚深。科学教育与人格不一定发生影响，这也是一种证明。在君先生啊！你说：活泼泼地心境，只有拿望远镜显微镜的人。但是要仔细望远镜显微镜失手掉了的时候。

在君先生又因为崇拜科学，把“良心”都看做同洪水猛兽一样，这真是我们所万想不到的了。良心何以就见得:

“书也不必读，字也不必求，知识经验都无用？”

又谓:

“假如张献忠这种妖孽，忽然显起魂来，对我们说：他的杀人主义，是以‘我自身良心之所命起而主张之，以为天下后世表率’，我们也只好当他是叔本华、马克思一类的大人物，是‘一部长夜漫漫历史中秉烛以导吾人之先路者’，这还从何说起？”

我对于在君先生这些话，也觉得这还从何说起。以在君先生平日之讲究做人，他的本意，我知道必不是这样。"
segment:4d45637c76c0,Segment,林宰平_000_acbbe922_s0004,Segment,林宰平_000_acbbe922,林宰平_000_acbbe922_s0004,,"}\right.\end{aligned}\right. 

自然科学研究客观的经验，精神科学研究主观直接的经验，这种分类在在君先生看来恐怕总有一半玄学的嫌疑。又近如德国西南派哲学，他就否认冯德的分类，即反对自然科学和精神科学之分。但是他们仍于自然科学外，别立所谓历史科学，文化科学，而宗教等亦列入文化科学中。最近德国学者又有反对史的科学与自然科学对立者；亦有非难心理学归入自然科学一类者；总之：分类标准，虽然言人人殊，要像在君先生那样简单的讲法，似乎很少见的了。即如乌尔夫（Wolff）主张凡用科学方法所研究者，皆可谓为“科学的”，然严格说来，科学的究不是科学，换句话说：就是科学方法，究不是科学自身。譬如一步一步的先搜集材料，次假定公例，又次试验证明，这样诚实有条理，固然应用到那一方面都相宜，然科学若仅指这种空空洞洞的方法，那么凡做人能够诚实有条理的，都可称他是个科学家么？假如科学方法即是科学自身，然则几何学的方法应用于绘画音乐等，能否即将绘画音乐叫做几何学；数学方法应用到无线电上，能否说无线电就是数学；物理学应用到医学上，能否说医学就是物理学？这种举例，原是笑话，然亦可见科学方法应用在其他科学上，尚且有各自地位之不同，何况应用到人生观等问题，硬要说他们不能分家，这种理由岂不很近于牵强么？"
segment:f5d0365f501c,Segment,林宰平_000_acbbe922_s0024,Segment,林宰平_000_acbbe922,林宰平_000_acbbe922_s0024,,"定速率时，他的赤道处，会射出油若干，成一个环，这环也跟着油珠旋转。因此得一个定律：就是凡流体珠旋转的时候，他的离心力随速率而增加，可以使此球的赤道射出若干流体。再假定太阳为流体旋转不已，当他绕轴自转的时候，赤道处也会射出流体，先成环，后成断片，后成圆球，圆球自转公转，和中心太阳旋转的方向一样。如地球为扁圆形，土星有三环，皆因赤道射出流体之故，可为这个定律的证明。但是这一类小型的试验，可以适用于心理界么，能够用甚么物质替代思想、意志、情绪等等来做试验么?

如谓纯粹心理现象，虽然不尽能适用天然律；但是还有思想律可以管理他，思想律和天然定律一样，也是一定的，普遍的，凡情境相同的其思想亦无不同。然如黎朋（Gustare Le Bon）在他意见及信仰上，他主张有生物、感情、群众、神秘、理性各种的论理，他以为我们对于生物论理及感情论理，若能明白其构造，则我们必知完全支配之法，不过今日科学尚未能解决此问题，而且其距离尚非常之辽远。又谓理性论理于知识之构成所关甚巨，所有科学之发展皆基于此，然有其不能超越之

限度，理性论理之范围，大致限于物质界内，此是无可讳言的。又如失勒，他批评形式论理，简直不信任思想律。我们现在且不管那些学者的高论，但问思想所走的路径，难道彼此绝对不同？何以人们的意见如是其不一致，所谓一定的普遍的思想律，他的效力究竟在那里?

## (七)"
segment:2e82757b893f,Segment,林宰平_000_acbbe922_s0017,Segment,林宰平_000_acbbe922,林宰平_000_acbbe922_s0017,,"我们能承认他们是天才是豪杰，正是因为他们的知觉、概念、推论的方法，完全与我们相同。不然我们安晓得自命为天才豪杰的人，不是反常，不是疯子？”

可惜看了大失望了。这一段只是前条的说明，实在看不出是原则而且是“很重要的”。

其三条审查的方法，字数不多，全抄如下:

“第一：凡概念推论若是自相矛盾，科学不承认他是真的。”

“第二：凡概念不能从不反常的人的知觉推断出来的，科学不承认他是真的。”

“第三：凡推论不能使寻常有论理训练的人，依了所根据的概念也能得同样的推论，科学不承认是真的。”

此三条中，第一，无问题。第二，要和上文第一个原则合起来讨论。第三，推论当然离不了论理，不过论理若趋重形式理论，他和事实还是两事。新康德派中如马堡学派,(Die Marburger Schule）只为要贯彻其论理的见解，他们所注重专在思想的形式，至于不承认有所谓觉官感触。

现在回过头来，要把上文所表示我们不能赞成第一个原则的意思，在这里大略一说:

科学在十九世纪，已经占了非常的势力，何以神秘的潜在意识，以及诸种变态心理，反发达于二十世纪之今日？科学家正要反省是否从前科学方法对于这种现象还有不适用，或有欠缺的地方，断不是骂他疯子，不理会他，就算完事。"
segment:84dfd4feba2f,Segment,林宰平_000_acbbe922_s0025,Segment,林宰平_000_acbbe922,林宰平_000_acbbe922_s0025,,"我们现在且不管那些学者的高论，但问思想所走的路径，难道彼此绝对不同？何以人们的意见如是其不一致，所谓一定的普遍的思想律，他的效力究竟在那里?

## (七)

在君先生又讲到科学教育和修养的问题。他以为:

“了然于宇宙生物心理种种的关系，才能真知道生活的乐趣。这种活泼泼的心境，只有拿望远镜仰察过天空的虚漠、用显微镜俯视过生物的幽微的人，方能参领得透彻，又岂是枯坐谈禅妄言玄理的人所能梦见。诸君只要拿我所举的科学家如达尔文、斯宾塞、赫胥黎、詹姆士、皮尔逊的人格来同甚么叔本华、尼采比一比，就知道科学教育对于人格影响的重要了。”

在君先生文章原是对君劢先生的清华讲演而作，故问题中心应在科学和人生观，现在到了中心的论点了。我们此刻希望在相离不远的共同基础之上——不涉本体论问题，——讨论,(一）科学的方法是否有益于人生观。（二）人生是否完全为科学所支配。

我记得前几年为亡友黄远庸编订他的遗稿的时候，临了写一篇编辑的感想当作序文，中间有一段说到科学对于人生的种种好处。那时候杜威先生刚到北京，他常常这样说的，我实在很受了感动，一直到了现在，我对于这部分思想，还是没有变更。我的朋友屠正叔先生他也说：“科学的精神在于抛除成见，服从客观真理。研究科学的人一定是平心静气拿极公平的态度，极细密的眼光，去处理他们所研究的对象。因为不如此便

不能得很好的结果。"
segment:2497753f3bd9,Segment,林宰平_000_acbbe922_s0032,Segment,林宰平_000_acbbe922,林宰平_000_acbbe922_s0032,,"本不配大胆评论,

然却应当出来说几句话。我从前听见杜威讲到进化论在欧洲不知引起多少的争论，一直到今还没有完全停止，欧洲之学术思想，也因此生出极大的变革和进步。但是此说到了中国以后，却无声无臭毫不发生影响，这的确是东方和西方大大不同的地方。这段话我听时觉得沉痛极了。研究讨论批评的精神，若是一天不振作，一切学术思想断不能望有进步。所以我认为我们应各就所知道的范围以内，有忠实研究并发表的责任。

我只顾说我对于在君先生这篇文章所怀疑的地方，把我所不疑的，以为可以不说了，写完此作之后，才觉得完全变成反对我的在君先生，然我又知道他一定不会不高兴。

—— 转录《时事新报·学灯》——"
segment:d8ca7e6a6cc9,Segment,林宰平_000_acbbe922_s0019,Segment,林宰平_000_acbbe922,林宰平_000_acbbe922_s0019,,"想的,

实在复杂得多而且广大得多。英国心理学界居然有“下意识学派”之发生；又如新南西学派（New Nancy School),对于下意识亦非常热心的予以研究。即心理学家以外之科学家，如斯底华特、克路克斯都是有名之物理学者，哇利巴洛奇是个化学者，黎休是个生理学者，他们都早已知道心的作用，在事实上决不止现在所已知的表面这种现象。我以为像这种反常的——照在君先生的话——心理现象，正要科学家去研究他，然后许多无聊的错误或迷信，才可以逐渐减少消灭。若是都照在君先生这样深闭固拒的办法，只把“神秘”两字罪名，永远把他监禁在疯人院里，似乎不是我们所应取的态度。并且这种消极的办法，其结果只有把心理界弄成越萎缩越退化罢了。我想这决不是在君先生所愿意的。汤姆生在他《科学大纲》绪言上说：“生理学和心灵的研究之新接触，儿童和野蛮人行为之研究，以及心理分析家所用的新方法，皆吾人所当注意，因为这些都是现在新心理学所从出。至于灵学的主张，虽然不免近于怪诞，而在不成见的科学家看来，也未尝没有承认的价值。”对于灵学的承认呢，这样重大的问题，固然各人有详审的余地。至于汤姆生所持之“不存成见”的态度，实在比在君先生强得多，我们以为凡是真的科学家应当如此。

(六)

纯粹心理现象，是否在因果律之外，这又是一个问题。在君先生但说:

“科学回答道，科学的材料，原都是心理的现象，若是你所说的现象是真的，决逃不出科学的范围。"
segment:871871eff021,Segment,林宰平_000_acbbe922_s0000,Segment,林宰平_000_acbbe922,林宰平_000_acbbe922_s0000,,"在君先生平日的议论，我是很喜欢听他的；他是地质学家而有文学的天才；他又是热心寻求真理的人；他和张君劢先生一向因为这个问题彼此辩论不止一次了，这回在君先生在《努力周报》上发表了这篇文章，算是正式和君劢先生开谈判的第一次。我们对于君劢先生的主张，往常也时有怀疑的地方，可是现在读了在君先生这篇文章，却把我弄得莫名其妙地。我现在不得不把我怀疑的眼光——也许是我的错误——移转来估量在君先生这篇的大作。

## (一)

原文题目是《玄学与科学》，他所批评的却是张君劢的人生观，一开头就很奇怪了。玄学是专讲本体论的，君劢先生在清华讲演对不对另一个问题，但是他明明是讲他的人生观，并没有提到什么玄学。在君先生在这篇文章里，也说玄学家单讲他的本体论，我们决不荒废光阴来攻击他。然则在君先生现在所攻击的，究竟是个什么东西？本体论方面既不加攻击了，难道除了讲本体论之外，还有一个什么叫做玄学么?

还有很奇怪的，就是学者的野心。在君先生说:

“人生观现在没有统一是一件事，永久不能统一又是一件事，除非你能

提出事实理由来证明他是永远不能统一的，我们总有求他统一的义务。”

我记得杜威在北京讲演时，他批评柏格森的哲学，起头就说：“詹姆士反对哲学系统，始终没有组织系统的野心，从历史上看来，我们总以为自康德、黑格尔以后，世界上不会再有想组织有系统的哲学了，那里知道先有斯宾塞尔，最近又有柏格森，居然有了这样的野心。"
