source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
任叔永,article:1db0a759c06b,WROTE,WROTE,neutral,0,0,,,,任叔永_000_7ab49e99,
entity:0bacf98593d1,term:b8f1f29200a4,RELATES_TO,主张,positive,1.0,0.8,不适用,丁君的科学智识论，是要证明“凡是心理的内容，真的概念推论，无一不是科学的材料”。,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001
entity:0bacf98593d1,term:4b08dd4f5174,RELATES_TO,主张,positive,1.0,0.8,不适用,人生观要是不外乎心理推论的作用，也当然要受科学的支配。,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001
term:444862b1d437,entity:fe901cfcc616,RELATES_TO,批评,negative,-0.8,0.7,概念混淆批评,张君所说的人生观，既然是一个浑沌囫囵的东西，科学方法自然用不上去。,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001
term:444862b1d437,entity:0bacf98593d1,RELATES_TO,批评,negative,-0.9,0.9,讽刺,丁君乃研究地质的科学家，偏要拿科学来和张君的人生观捣乱，真是“牛头不对马嘴”了。,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001
entity:dff2e629a329,entity:9fc33e299ed7,RELATES_TO,区分,neutral,0.0,0.5,概念澄清,（读者注意，我说的是科学方法，不是科学万能),1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001
entity:24e7630f59cf,entity:5bd4d7f6258e,RELATES_TO,定义,neutral,0.0,0.5,概念澄清,我们所说的限度，就是指那经过分析而确实清楚的事实,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001
entity:0bacf98593d1,entity:fe901cfcc616,RELATES_TO,批评,negative,-0.8,0.7,讽刺,丁君乃研究地质的科学家，偏要拿科学来和张君的人生观捣乱，真是“牛头不对马嘴”了,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0002
entity:3caf2bd63ed6,entity:67821481a750,RELATES_TO,属于,neutral,0.0,0.0,,浑沌复杂的人生观，当然不受科学的支配,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0002
entity:3caf2bd63ed6,entity:0a5d9170d332,RELATES_TO,反对,negative,-0.5,0.5,不适用,浑沌复杂的人生观，当然不受科学的支配,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0002
entity:dff2e629a329,term:ded7fd4251fa,RELATES_TO,导致,negative,-0.5,0.5,不适用,有勉强拿科学方法去部勒他的，不免终归于失败,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0002
entity:0d8d15b5044e,term:ded7fd4251fa,RELATES_TO,作为论据支持,negative,-0.5,0.5,不适用,如像张君劢的演说，就是宣布这种失败的结果,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0002
entity:fd7178afbeb1,entity:0a5d9170d332,RELATES_TO,反对,negative,-0.5,0.5,不适用,人生观的科学是不可能的事,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0002
entity:e24def7be56b,entity:0a5d9170d332,RELATES_TO,支持,positive,0.5,0.5,不适用,科学的人生观却是可能的事,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0002
entity:67821481a750,entity:b114de0e5c2f,RELATES_TO,定义,positive,0.5,0.5,概念澄清,人生观的种类，虽然很多，但有一个公共的出发点，就是要求外物与内心的调和,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0002
entity:5f25bdcac81a,entity:67821481a750,RELATES_TO,导致,positive,0.5,0.5,不适用,物质界的智识愈进，人生观当然亦从而生变动,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0002
entity:5f25bdcac81a,entity:e24def7be56b,RELATES_TO,导致,positive,0.5,0.5,不适用,物质界的智识愈进于科学事，而人生观之进于科学的，亦与之为比例,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0002
entity:fe901cfcc616,entity:12644e00834d,RELATES_TO,反对,negative,-0.5,0.5,不适用,达尔文的学说，是张君所不认为完全成立的,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0002
entity:fe901cfcc616,entity:d5f5e1be2aca,RELATES_TO,相关,neutral,0.0,0.5,援引权威,张君并且引杜里舒的话来证明达尔文学说的不成立,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0002
entity:d5f5e1be2aca,entity:12644e00834d,RELATES_TO,作为论据支持,negative,-0.5,0.5,不适用,张君并且引杜里舒的话来证明达尔文学说的不成立,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0002
entity:12644e00834d,entity:2fe9b15d2a6c,RELATES_TO,区分,neutral,0.0,0.0,概念澄清,达尔文的学说成立与否为一事，进化论的成立与否又为一事,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0002
entity:fe901cfcc616,entity:df705c8a7412,RELATES_TO,相关,negative,-0.5,0.5,援引权威反驳,张君并且引杜里舒的话来证明达尔文学说的不成立。,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0003
term:444862b1d437,entity:12644e00834d,RELATES_TO,区分,neutral,0.0,0.3,概念澄清,但达尔文的学说成立与否为一事，进化论的成立与否又为一事。,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0003
term:444862b1d437,entity:2fe9b15d2a6c,RELATES_TO,区分,neutral,0.0,0.3,概念澄清,但达尔文的学说成立与否为一事，进化论的成立与否又为一事。,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0003
entity:2fe9b15d2a6c,entity:3fd2cd830149,RELATES_TO,导致,positive,0.8,0.7,不适用,进化论发明之后，所生的人生观的影响，至少有下列几件：第一是表明人类在自然界的位置,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0003
entity:2fe9b15d2a6c,entity:d9c8323a2787,RELATES_TO,导致,positive,0.8,0.7,不适用,第二是打破宗教上的创造说和玄学上的前定论,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0003
entity:2fe9b15d2a6c,entity:8d2a531edd44,RELATES_TO,导致,positive,0.8,0.7,不适用,第二是打破宗教上的创造说和玄学上的前定论,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0003
entity:2fe9b15d2a6c,entity:1aa294bf6cfb,RELATES_TO,导致,positive,0.8,0.7,不适用,第三是张君所举的生存竞争论。,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0003
entity:4f0601e5c11d,entity:3dfc7df69c67,RELATES_TO,对比,positive,0.8,0.6,不适用,总不能不承认近世的人生观，比中古时代的固定的消极的人生观进步多了。,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0003
entity:2fe9b15d2a6c,entity:4f0601e5c11d,RELATES_TO,导致,positive,0.8,0.7,不适用,但是这一点人生观的进步，还是从那“未经解决”的进化论得来的呵!,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0003
entity:a20f0a2d2842,entity:67821481a750,RELATES_TO,导致,positive,0.7,0.5,不适用,不但是因物质科学的进步，间接的把人生观改变,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0003
entity:0a5d9170d332,entity:67821481a750,RELATES_TO,导致,positive,0.8,0.6,不适用,直接的 科学自己还可以造出一种人生观来。,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0003
term:ed8333485602,entity:0a5d9170d332,RELATES_TO,质疑,negative,-0.5,0.4,证据不足批评,这一层在以科学为客观的，机械的，物质的的人，未免有些不信。,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0003
entity:aa25df6f88dc,entity:1b6bf6f8f873,RELATES_TO,反对,negative,-0.6,0.5,不适用,人人都晓得研究科学的人，大半是不信宗教的,1.0,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0003
