node_id,labels,name,node_type,article_id,segment_id,title,text
article:aa08800b1bb6,Article,旁观者言,Article,穆_000_d6755881,,旁观者言,
author:baeb614006ba,Author,穆,Author,,,,
entity:f0e3a9838a47,阵营/群体,科学家,阵营/群体,穆_000_d6755881,穆_000_d6755881_s0002,,
entity:1510da51543f,阵营/群体,神秘派的感情派的伦理派的人们,阵营/群体,穆_000_d6755881,穆_000_d6755881_s0002,,
entity:ad38bcab81b9,概念,事实,概念,穆_000_d6755881,穆_000_d6755881_s0002,,
entity:f6e2c6d3cc11,概念,原因,概念,穆_000_d6755881,穆_000_d6755881_s0002,,
entity:806b36d9ebc4,概念,条件,概念,穆_000_d6755881,穆_000_d6755881_s0002,,
entity:67821481a750,概念,人生观,概念,穆_000_d6755881,穆_000_d6755881_s0002,,
entity:78c97a1a2d65,问题,家庭问题,问题,穆_000_d6755881,穆_000_d6755881_s0002,,
entity:5246faf96b14,概念,家庭的组织,概念,穆_000_d6755881,穆_000_d6755881_s0002,,
entity:796047125b61,概念,中国家庭新旧交代的现状,概念,穆_000_d6755881,穆_000_d6755881_s0002,,
entity:4d3f34b5e895,概念,物质生活之流弊,概念,穆_000_d6755881,穆_000_d6755881_s0002,,
entity:711d4488ee89,概念,科学教育之传主母,概念,穆_000_d6755881,穆_000_d6755881_s0002,,
entity:0a5d9170d332,概念,科学,概念,穆_000_d6755881,穆_000_d6755881_s0002,,
entity:2ac025e1c0b1,概念,因果的观念,概念,穆_000_d6755881,穆_000_d6755881_s0002,,
entity:91c8715e0ef7,概念,事实的善恶,概念,穆_000_d6755881,穆_000_d6755881_s0002,,
entity:0819a73853ed,概念,吾心之好恶,概念,穆_000_d6755881,穆_000_d6755881_s0002,,
entity:8ba074e292b5,概念,科学家人生观的第三条件,概念,穆_000_d6755881,穆_000_d6755881_s0002,,
entity:28a0dda43fd5,概念,条理密察,概念,穆_000_d6755881,穆_000_d6755881_s0002,,
entity:850aa375b113,阵营/群体,一般人,阵营/群体,穆_000_d6755881,穆_000_d6755881_s0002,,
entity:ab5f008cd73e,概念,玄学,概念,穆_000_d6755881,穆_000_d6755881_s0004,,
entity:0fdb6531cb1f,概念,玄学鬼,概念,穆_000_d6755881,穆_000_d6755881_s0004,,
entity:03b3d30f9fcc,阵营/群体,西洋的科学家,阵营/群体,穆_000_d6755881,穆_000_d6755881_s0004,,
entity:0bacf98593d1,人物,丁文江,人物,穆_000_d6755881,穆_000_d6755881_s0004,,
entity:34bb50a34a53,阵营/群体,神秘派感情派,阵营/群体,穆_000_d6755881,穆_000_d6755881_s0004,,
entity:d0b772ec0a5c,概念,神仙的法宝——拿证据来,概念,穆_000_d6755881,穆_000_d6755881_s0004,,
entity:6e47d6abea03,方法,拿证据来,方法,穆_000_d6755881,穆_000_d6755881_s0004,,
entity:65aee8160ea6,概念,法宝,概念,穆_000_d6755881,穆_000_d6755881_s0004,,
entity:5816ba338131,比喻/类比,护身符,比喻/类比,穆_000_d6755881,穆_000_d6755881_s0004,,
entity:00bef48442ce,阵营/群体,心理学家,阵营/群体,穆_000_d6755881,穆_000_d6755881_s0004,,
entity:bbe68998b13b,概念,科学家应有之态度,概念,穆_000_d6755881,穆_000_d6755881_s0004,,
entity:fe901cfcc616,人物,张君劢,人物,穆_000_d6755881,穆_000_d6755881_s0004,,
entity:8ca0142bb90d,主义/学说/理论,近世国家主义,主义/学说/理论,穆_000_d6755881,穆_000_d6755881_s0004,,
entity:690c386a12c2,概念,形上的内心生活,概念,穆_000_d6755881,穆_000_d6755881_s0004,,
claim:f46dfc50093f,Claim,事实是自然有的，或是不应该有的,Claim,穆_000_d6755881,,,事实是自然有的，或是不应该有的
claim:9c8fefdfaf68,Claim,事实的出现，定有他出现的原因，不能说他自然有；既有他出现的原因，便也不应说他不应该有,Claim,穆_000_d6755881,,,事实的出现，定有他出现的原因，不能说他自然有；既有他出现的原因，便也不应说他不应该有
claim:97361018f025,Claim,在如何条件之下，某事实便会有，在如何条件之下，某事实便会无,Claim,穆_000_d6755881,,,在如何条件之下，某事实便会有，在如何条件之下，某事实便会无
claim:ae91ac81c04d,Claim,科学家的态度应用人生观上，当正可有绝大之影响,Claim,穆_000_d6755881,,,科学家的态度应用人生观上，当正可有绝大之影响
claim:4be93e9dbfc4,Claim,说家庭是天然的，便懒了人们改革的心愿,Claim,穆_000_d6755881,,,说家庭是天然的，便懒了人们改革的心愿
claim:077b44429a46,Claim,晓得家庭的组织并不是天生如此，并不是理所当然，鼓动起人们改革的希望和勇气,Claim,穆_000_d6755881,,,晓得家庭的组织并不是天生如此，并不是理所当然，鼓动起人们改革的希望和勇气
claim:80e31199dc6b,Claim,家庭之间充满了厌恶咒咀和冲突，儿子觉得父亲是可厌恶的，丈夫觉得妻室是可咒咀的，人们的集合，便是罪恶苦痛，感情之流露便是冲突,Claim,穆_000_d6755881,,,家庭之间充满了厌恶咒咀和冲突，儿子觉得父亲是可厌恶的，丈夫觉得妻室是可咒咀的，人们的集合，便是罪恶苦痛，感情之流露便是冲突
claim:62ab036b4f07,Claim,家庭问题是物质生活之流弊，是科学教育之传主母,Claim,穆_000_d6755881,,,家庭问题是物质生活之流弊，是科学教育之传主母
claim:d0e18089037e,Claim,科学那肯承受呢？,Claim,穆_000_d6755881,,,科学那肯承受呢？
claim:7f2ea677d1ca,Claim,科学家对于家庭问题，一定能根据事实，描出他的来因去果，求一个圆满解决的方法,Claim,穆_000_d6755881,,,科学家对于家庭问题，一定能根据事实，描出他的来因去果，求一个圆满解决的方法
claim:20dd51bdb7ac,Claim,科学家因果的观念深了，所以不看得事实的善恶，不见得吾心之好恶,Claim,穆_000_d6755881,,,科学家因果的观念深了，所以不看得事实的善恶，不见得吾心之好恶
claim:dfbe7e579e38,Claim,科学家人生观的第三条件，应该是条理密察,Claim,穆_000_d6755881,,,科学家人生观的第三条件，应该是条理密察
claim:10e363cf6dec,Claim,他说玄学是鬼怪，科学俨然是神仙，很可惜这是价值之评判而不是事实之叙说,Claim,穆_000_d6755881,,,他说玄学是鬼怪，科学俨然是神仙，很可惜这是价值之评判而不是事实之叙说
claim:a28c6cdfd2bc,Claim,玄学鬼在西洋到底有没有一碗饭吃啊,Claim,穆_000_d6755881,,,玄学鬼在西洋到底有没有一碗饭吃啊
claim:2f3ff59318df,Claim,西洋的科学家用什么方法打逃这个玄学鬼的,Claim,穆_000_d6755881,,,西洋的科学家用什么方法打逃这个玄学鬼的
claim:841a71ccfd7e,Claim,我们只要把西洋人的老法术来参考应用，不愁中国的玄学鬼打不逃,Claim,穆_000_d6755881,,,我们只要把西洋人的老法术来参考应用，不愁中国的玄学鬼打不逃
claim:8dee4327f39c,Claim,西洋的玄学鬼，是不是给科学家骂他们是鬼怪，所以没有饭吃选择的呢,Claim,穆_000_d6755881,,,西洋的玄学鬼，是不是给科学家骂他们是鬼怪，所以没有饭吃选择的呢
claim:86c8045a3410,Claim,丁先生站在科学的地位，而用神秘派感情派的口吻,Claim,穆_000_d6755881,,,丁先生站在科学的地位，而用神秘派感情派的口吻
claim:a55cee273743,Claim,拿证据来，丁先生说是科学家的法宝,Claim,穆_000_d6755881,,,拿证据来，丁先生说是科学家的法宝
claim:2bb26c0e3637,Claim,法宝虽灵，依我看来，至多把来做一个护身符，不给玄学鬼迷上，若要收服玄学鬼，恐怕还非这件法宝的能事,Claim,穆_000_d6755881,,,法宝虽灵，依我看来，至多把来做一个护身符，不给玄学鬼迷上，若要收服玄学鬼，恐怕还非这件法宝的能事
claim:a5b5018d2de3,Claim,丁先生有意要替科学前途打倒玄学鬼，最妙的方法不在乎说玄学鬼不应该存在，而在乎细细研究出玄学鬼怎样出现的道理来,Claim,穆_000_d6755881,,,丁先生有意要替科学前途打倒玄学鬼，最妙的方法不在乎说玄学鬼不应该存在，而在乎细细研究出玄学鬼怎样出现的道理来
claim:1571bc35a065,Claim,心理学家断不应说你不应该发狂，他只应该研究人家发狂之原由而想一个力法来破除,Claim,穆_000_d6755881,,,心理学家断不应说你不应该发狂，他只应该研究人家发狂之原由而想一个力法来破除
claim:8d9089bf3d32,Claim,丁先生说科学可以把人生观统一,Claim,穆_000_d6755881,,,丁先生说科学可以把人生观统一
claim:cdbc73a35aab,Claim,丁先生自己先不肯低首下心的承认事实，平心静气的把事实研究，而想一个合理的解决方法来,Claim,穆_000_d6755881,,,丁先生自己先不肯低首下心的承认事实，平心静气的把事实研究，而想一个合理的解决方法来
claim:22ad29e5b306,Claim,对于科学家应有之态度已经缺憾了,Claim,穆_000_d6755881,,,对于科学家应有之态度已经缺憾了
claim:cba882c9c839,Claim,张先生反对科学,Claim,穆_000_d6755881,,,张先生反对科学
claim:86e8ebbd3d71,Claim,近世国家主义也是科学之流弊所致,Claim,穆_000_d6755881,,,近世国家主义也是科学之流弊所致
claim:67650f24aa58,Claim,要提出形上的内心生活来补偏救弊,Claim,穆_000_d6755881,,,要提出形上的内心生活来补偏救弊
term:65def9fee5db,观点,事实是自然有的，或是不应该有的,观点,,,,
term:8274d305dbb3,观点,在如何条件之下，某事实便会有，在如何条件之下，某事实便会无,观点,,,,
term:fbabb0136e43,概念,科学家的态度,概念,,,,
term:60f574b27f2c,观点,说家庭是天然的,观点,,,,
term:ca51aab08ae9,概念,懒了人们改革的心愿,概念,,,,
term:83b5cb490814,观点,晓得家庭的组织并不是天生如此，并不是理所当然,观点,,,,
term:308a21dc9fa5,概念,鼓动起人们改革的希望和勇气,概念,,,,
term:e6735f90bd72,观点,家庭问题是物质生活之流弊，是科学教育之传主母,观点,,,,
term:444862b1d437,人物,作者,人物,,,,
term:494a1df88656,概念,因果的观念深了,概念,,,,
term:16b9cde7fc33,观点,不看得事实的善恶，不见得吾心之好恶,观点,,,,
term:ecedda90c862,观点,科学家人生观的第三条件，应该是条理密察,观点,,,,
term:a1e5a69a0712,观点,要提出形上的内心生活来补偏救弊,观点,,,,
