source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
张君劢,article:4747e4851762,WROTE,WROTE,neutral,0,0,,,,张君劢_000_e090c0d2,
张君劢,article:5c69c7e34e3c,WROTE,WROTE,neutral,0,0,,,,张君劢_001_688ab8ae,
张君劢,article:7d716e6825f8,WROTE,WROTE,neutral,0,0,,,,张君劢_002_c870d202,
张君劢,article:e8cb82cf2f29,WROTE,WROTE,neutral,0,0,,,,张君劢_003_cd868ad5,
article:7d716e6825f8,segment:3c8adf873079,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0018
article:4747e4851762,segment:415dc57d331f,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0008
article:5c69c7e34e3c,segment:de771ef9f688,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0015
article:5c69c7e34e3c,segment:d4288647aea6,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0007
article:e8cb82cf2f29,segment:cddc5f857feb,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_003_cd868ad5,张君劢_003_cd868ad5_s0005
article:7d716e6825f8,segment:9b338505de00,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0002
article:7d716e6825f8,segment:6996b2084ad8,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0034
article:7d716e6825f8,segment:f5a7c4e0e208,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0010
article:7d716e6825f8,segment:a8fdf67b8f52,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0042
article:4747e4851762,segment:ef8f22dc7f4e,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000
article:7d716e6825f8,segment:0599444ccac4,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张君劢_002_c870d202,张君劢_002_c870d202_s0026
segment:ef8f22dc7f4e,entity:0a5d9170d332,MENTIONS,MENTIONS,neutral,0,0,,诸君平日所学，皆科学也,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000
segment:ef8f22dc7f4e,entity:e5e347ce9e2d,MENTIONS,MENTIONS,neutral,0,0,,科学之中，有一定之原理原则,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000
segment:ef8f22dc7f4e,entity:f3a13102f89b,MENTIONS,MENTIONS,neutral,0,0,,此原理原则，皆有证据,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000
segment:ef8f22dc7f4e,entity:06cbc0baa856,MENTIONS,MENTIONS,neutral,0,0,,二加二等于四，三角形中三角之度数之和等于两直角，此数学上之原理原则也,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000
segment:ef8f22dc7f4e,entity:03b233afab0b,MENTIONS,MENTIONS,neutral,0,0,,速度等于以时间除距离，故其公式为 S = d/t，水之元素为 H₂O，此物理化学上之原则也,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000
segment:ef8f22dc7f4e,entity:1833175dbdc3,MENTIONS,MENTIONS,neutral,0,0,,天下事皆有公例，皆为因果律所支配,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000
segment:ef8f22dc7f4e,entity:d8b52ba932ef,MENTIONS,MENTIONS,neutral,0,0,,是为人生,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000
segment:ef8f22dc7f4e,entity:67821481a750,MENTIONS,MENTIONS,neutral,0,0,,天下古今之最不统一者，莫若人生观,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000
segment:ef8f22dc7f4e,entity:85ce092eaf7b,MENTIONS,MENTIONS,neutral,0,0,,人生观之中心点，是曰我,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000
segment:ef8f22dc7f4e,entity:c4165cc7bb18,MENTIONS,MENTIONS,neutral,0,0,,与我对待者，则非我也,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000
segment:ef8f22dc7f4e,entity:5d34ff512227,MENTIONS,MENTIONS,neutral,0,0,,就其生育我者言之，则为父母,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000
segment:ef8f22dc7f4e,entity:802aa63c16e1,MENTIONS,MENTIONS,neutral,0,0,,就其与我为配偶者言之，则为夫妇,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000
segment:ef8f22dc7f4e,entity:f26da51a9564,MENTIONS,MENTIONS,neutral,0,0,,就我所属之团体言之，则为社会为国家,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000
segment:ef8f22dc7f4e,entity:44c5bf05e239,MENTIONS,MENTIONS,neutral,0,0,,就我所属之团体言之，则为社会为国家,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000
segment:ef8f22dc7f4e,entity:b2d0466e66ae,MENTIONS,MENTIONS,neutral,0,0,,就财产支配之方法言之，则有私有财产制公有财产制,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000
segment:ef8f22dc7f4e,entity:31cd23b32643,MENTIONS,MENTIONS,neutral,0,0,,就财产支配之方法言之，则有私有财产制公有财产制,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000
segment:ef8f22dc7f4e,entity:14d40a1df182,MENTIONS,MENTIONS,neutral,0,0,,就重物质或轻物质言之，则有精神文明与物质文明,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000
segment:ef8f22dc7f4e,entity:02b3cb30f8b7,MENTIONS,MENTIONS,neutral,0,0,,就重物质或轻物质言之，则有精神文明与物质文明,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000
segment:ef8f22dc7f4e,entity:7501b5172035,MENTIONS,MENTIONS,neutral,0,0,,就我与我之亲族之关系……大家族主义,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000
segment:ef8f22dc7f4e,entity:b1dbb71d0514,MENTIONS,MENTIONS,neutral,0,0,,就我与我之亲族之关系……小家族主义,,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000
