node_id,labels,name,node_type,article_id,segment_id,title,text
article:bca810c63769,Article,读张君劢论人生观与科学的两篇 文章后所发生的疑问,Article,朱经农_000_bb34b81c,,读张君劢论人生观与科学的两篇 文章后所发生的疑问,
author:3607ae2430a0,Author,朱经农,Author,,,,
entity:07fa8b55004b,历史事件,科学与玄学的战争,历史事件,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0000,,
entity:ab5f008cd73e,概念,玄学,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0000,,
entity:0a5d9170d332,概念,科学,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0000,,
entity:3e7f7139f721,比喻/类比,君劢的枪法,比喻/类比,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0000,,
entity:67821481a750,概念,人生观,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0000,,
entity:2347ab411dd3,概念,文化,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0000,,
entity:2967abfad9af,概念,文化转移之枢纽,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0000,,
entity:b67737f6bb86,概念,是非真伪之标准,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0000,,
entity:5c2c57f05336,概念,方法,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0000,,
entity:1833175dbdc3,概念,因果律,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0000,,
entity:8039e11f38a5,概念,正当之人生观,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0000,,
entity:a20f0a2d2842,概念,物质科学,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001,,
entity:36c98fff1f00,概念,精神科学,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001,,
entity:a5902cbd02aa,概念,哲学,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001,,
entity:20c332938cdd,概念,公例,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001,,
entity:a154f6e16ab5,概念,悲观主义,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001,,
entity:bd9643690964,概念,乐观主义,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001,,
entity:4f3c72308f7c,概念,修身齐家主义,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001,,
entity:5a31d3c8626b,概念,出世主义,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001,,
entity:ac5e1a088411,主义/学说/理论,一元论,主义/学说/理论,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001,,
entity:1775639cb58b,概念,自然科学,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001,,
entity:33b483bd7eec,概念,文化科学,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001,,
entity:4b7d4cc8947c,概念,社会科学,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001,,
entity:6b67ed623d5a,概念,善,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001,,
entity:c1d15b160936,概念,恶,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001,,
entity:f23e65a773d4,概念,是,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001,,
entity:cf84575c1bb6,概念,非,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001,,
entity:652bfd16c1fa,概念,人类之目的,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001,,
entity:dcdd58806312,概念,论理学之公例,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001,,
entity:fe901cfcc616,人物,张君劢,人物,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0003,,
entity:4dba16216761,观点,人生观问题之解决决非科学所能为力,观点,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0003,,
entity:f93b11d0c3ba,概念,决,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0003,,
entity:4693b67d46f5,概念,尚,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0003,,
entity:96817c3a6330,概念,纯粹心理,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0003,,
entity:1fe753e3a13d,观点,纯粹心理，顷刻万变，非科学方法所能支配,观点,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0003,,
entity:c8b98890c241,概念,心理学,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0003,,
entity:e9f0ed393f5c,观点,人生之所谓善者皆精神之表现,观点,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0003,,
entity:4747ce3f6ea2,观点,其所谓恶者皆物质之接触,观点,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0003,,
entity:58294749d595,概念,精神,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0003,,
entity:c3290e5df355,概念,物质,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0003,,
entity:c4ecba6f8730,阵营/群体,全世界的大心理学家,阵营/群体,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0004,,
entity:dff2e629a329,方法,科学方法,方法,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0004,,
entity:9194091e4f46,概念,人心,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0004,,
entity:d6cce93e98b2,概念,孝,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0004,,
entity:e12ea3464c1e,概念,爱国爱群的精神,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0004,,
entity:14d40a1df182,概念,精神文明,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0004,,
entity:02b3cb30f8b7,概念,物质文明,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0004,,
entity:7a06677bcb68,概念,内修,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0004,,
entity:c51911f0783c,阵营/群体,爱斯克模人,阵营/群体,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0004,,
entity:59c42a2cdcb9,概念,环境,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0004,,
entity:322cbabb5f0b,概念,物质的关系,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0004,,
entity:945a9f2ac602,概念,自然环境,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0004,,
entity:962b354788d9,概念,衣食问题,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0004,,
entity:e39668432582,概念,极高的文化,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0004,,
entity:65dd0e56b5de,概念,热带温湿之区,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0004,,
entity:936530ccf5b5,概念,懒惰,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0004,,
entity:59e72f003833,概念,全副精神都消磨在衣食问题中间,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005,,
entity:b594d90b6456,概念,物质极丰,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005,,
entity:a9534447e115,概念,谋生过易,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005,,
entity:355555234ae2,概念,气候物产种种自然环境,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005,,
entity:c02eba82a501,概念,人类的文化,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005,,
entity:f59183264286,概念,交通便利，图书馆，博物院种种设备完善的地方,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005,,
entity:92d16567b9a2,概念,文化往往很高,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005,,
entity:1d0c00911421,概念,穷乡僻壤，交通不便，耳目闭塞，无书可读的地方,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005,,
entity:5681f6472691,概念,文化大概不十分发达,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005,,
entity:243e45489622,概念,文化的高低与物质上的设备,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005,,
entity:61d74e141d1b,概念,密切的关系,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005,,
entity:9aec86010909,概念,文明的产生,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005,,
entity:2f547f2ee1ec,概念,精神作用,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005,,
entity:413274ff94e8,概念,环境的影响,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005,,
entity:b3bcdd4f689f,概念,凡我以外皆属之,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005,,
entity:08216f67a2fd,概念,国家社会,概念,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005,,
entity:ea8908df9602,著作,《清华周刊》,著作,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005,,
entity:76f276230722,文章,《人生观》,文章,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005,,
entity:90fcfd2f0b6e,著作,《努力》,著作,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005,,
entity:916743f0e19b,文章,《人生观与科学》上篇,文章,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005,,
entity:c18b255abbd0,问题,疑问,问题,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005,,
claim:d47b0af4edcd,Claim,我并没有思想加入科学与玄学的战争,Claim,朱经农_000_bb34b81c,,,我并没有思想加入科学与玄学的战争
claim:817e7cb6d455,Claim,我的天性与玄学太不相近,Claim,朱经农_000_bb34b81c,,,我的天性与玄学太不相近
claim:e04a267d3935,Claim,对于科学也没有精深的研究,Claim,朱经农_000_bb34b81c,,,对于科学也没有精深的研究
claim:f82ddc70fa46,Claim,君劢的枪法另有一种门径，看了半天，竟摸不着头脑,Claim,朱经农_000_bb34b81c,,,君劢的枪法另有一种门径，看了半天，竟摸不着头脑
claim:8e846e7f0026,Claim,人生观“漫无是非真伪之标准”,Claim,朱经农_000_bb34b81c,,,人生观“漫无是非真伪之标准”
claim:8c35c2e8d810,Claim,人生观“初无论理学公例以限制之”,Claim,朱经农_000_bb34b81c,,,人生观“初无论理学公例以限制之”
claim:ed7bc105b662,Claim,人生观“无所谓方法”,Claim,朱经农_000_bb34b81c,,,人生观“无所谓方法”
claim:31f80a5c3804,Claim,人生观“不为因果律所支配”,Claim,朱经农_000_bb34b81c,,,人生观“不为因果律所支配”
claim:55528dfa085b,Claim,文化转移之枢纽，不外乎人生观,Claim,朱经农_000_bb34b81c,,,文化转移之枢纽，不外乎人生观
claim:19686c99a3c2,Claim,西洋之有益者如何采之，其有害者如何避之；吾国之有益者如何存之，有害者如何革除之；凡此取舍之间，皆决于观点,Claim,朱经农_000_bb34b81c,,,西洋之有益者如何采之，其有害者如何避之；吾国之有益者如何存之，有害者如何革除之；凡此取舍之间，皆决于观点
claim:993c6978dd42,Claim,人生观既为文化之枢纽，则文化之有益或有害即为人生观是非真伪之标准,Claim,朱经农_000_bb34b81c,,,人生观既为文化之枢纽，则文化之有益或有害即为人生观是非真伪之标准
claim:cc8a61de7cd6,Claim,凡人生观能发生有益之文化者，则我采之存之，换一句话说，就认他为是的,Claim,朱经农_000_bb34b81c,,,凡人生观能发生有益之文化者，则我采之存之，换一句话说，就认他为是的
claim:80eace484b96,Claim,凡人生观发生有害之文化者，则我避之除之，换一句话说，就认他为非的,Claim,朱经农_000_bb34b81c,,,凡人生观发生有害之文化者，则我避之除之，换一句话说，就认他为非的
claim:ab264567d911,Claim,因有益有害而定存革取舍，明明是有方法的,Claim,朱经农_000_bb34b81c,,,因有益有害而定存革取舍，明明是有方法的
claim:879eb59dd960,Claim,因其所生文明之有益或有害，而知人生观之是非，明明就是从前所谓“种好因，得好果；种恶因，得恶果”,Claim,朱经农_000_bb34b81c,,,因其所生文明之有益或有害，而知人生观之是非，明明就是从前所谓“种好因，得好果；种恶因，得恶果”
claim:a8a1803ba9cd,Claim,怎样还说不受因果律的支配呢,Claim,朱经农_000_bb34b81c,,,怎样还说不受因果律的支配呢
claim:033e12a6df67,Claim,何者为正当之人生观……乃不能答复之问题,Claim,朱经农_000_bb34b81c,,,何者为正当之人生观……乃不能答复之问题
claim:964ae90e46c3,Claim,彼此各执一词，决无绝对之是与非,Claim,朱经农_000_bb34b81c,,,彼此各执一词，决无绝对之是与非
claim:c98b50ca71b6,Claim,人类之目的……虽变也，不趋于恶。而必趋于善,Claim,朱经农_000_bb34b81c,,,人类之目的……虽变也，不趋于恶。而必趋于善
claim:0a1c83376c9c,Claim,既没有是非，怎样会有善恶？,Claim,朱经农_000_bb34b81c,,,既没有是非，怎样会有善恶？
claim:37531dcbd445,Claim,“善”即为“是”，“恶”即为“非”,Claim,朱经农_000_bb34b81c,,,“善”即为“是”，“恶”即为“非”
