source_id,target_id,type,relation,polarity,evidence,confidence,article_id,segment_id
author_34b4d23ca60cd96c,article_ad4abc78fd2c4352,WROTE,WROTE,neutral,,,唐钺_000_b5cd146b,
author_34b4d23ca60cd96c,article_0626d50277d85060,WROTE,WROTE,neutral,,,唐钺_001_c4e36ba4,
author_34b4d23ca60cd96c,article_9d57c34488cccfc3,WROTE,WROTE,neutral,,,唐钺_002_5e996979,
author_34b4d23ca60cd96c,article_979dd07f85a80b34,WROTE,WROTE,neutral,,,唐钺_003_1292971a,
author_34b4d23ca60cd96c,article_ae6d1757200deceb,WROTE,WROTE,neutral,,,唐钺_004_0712956a,
article_ad4abc78fd2c4352,segment_9be5f9adcb3852a5,HAS_SEGMENT,HAS_SEGMENT,neutral,,,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0000
article_ad4abc78fd2c4352,segment_20d459481d6e6ca4,HAS_SEGMENT,HAS_SEGMENT,neutral,,,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001
article_ad4abc78fd2c4352,segment_d838f0232d6f56d5,HAS_SEGMENT,HAS_SEGMENT,neutral,,,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0002
article_ad4abc78fd2c4352,segment_46bde37e79605aa1,HAS_SEGMENT,HAS_SEGMENT,neutral,,,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0003
article_ad4abc78fd2c4352,segment_0b8a604ee546a480,HAS_SEGMENT,HAS_SEGMENT,neutral,,,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0004
article_ad4abc78fd2c4352,segment_2cdb7af7073d5394,HAS_SEGMENT,HAS_SEGMENT,neutral,,,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0005
article_ad4abc78fd2c4352,segment_6312e77b7701b099,HAS_SEGMENT,HAS_SEGMENT,neutral,,,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0006
article_ad4abc78fd2c4352,segment_9cff1f48bbd296da,HAS_SEGMENT,HAS_SEGMENT,neutral,,,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0007
article_ad4abc78fd2c4352,segment_611ccfc4b5760dad,HAS_SEGMENT,HAS_SEGMENT,neutral,,,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0008
article_ad4abc78fd2c4352,segment_7a3a2dfae5b5d5bb,HAS_SEGMENT,HAS_SEGMENT,neutral,,,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0009
article_ad4abc78fd2c4352,segment_cdc5723e890755e8,HAS_SEGMENT,HAS_SEGMENT,neutral,,,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0010
article_0626d50277d85060,segment_b12bc22a852f8993,HAS_SEGMENT,HAS_SEGMENT,neutral,,,唐钺_001_c4e36ba4,唐钺_001_c4e36ba4_s0000
