source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
王平陵,article:a1cc96cc2268,WROTE,WROTE,neutral,0,0,,,,王平陵_000_d1d9c442,
entity:c368371717dd,entity:35cad5063fbf,RELATES_TO,反驳,negative,0,0,事实质疑,第一，科学的一元论（实证论）的见解，于事实上及历史上显然是不能成立。,0.9,王平陵_000_d1d9c442,s0000
entity:c368371717dd,entity:c0019d8522b7,RELATES_TO,支持,positive,0,0,肯定性支持,第二，补合的二元论之见解，却有可取的地方了。,0.9,王平陵_000_d1d9c442,s0000
entity:0a5d9170d332,entity:a5902cbd02aa,RELATES_TO,区分,positive,0,0,概念澄清,科学乃分观宇宙间一部分的事实，而探究其原理的；哲学乃合观宇宙，取天地间一切事实，合一炉而穷究其本根的。,0.9,王平陵_000_d1d9c442,s0000
entity:0a5d9170d332,entity:a5902cbd02aa,RELATES_TO,作为论据支持,positive,0,0,肯定性支持,科学是哲学的基础，哲学是科学的综合。,0.9,王平陵_000_d1d9c442,s0000
entity:0a5d9170d332,entity:a5902cbd02aa,RELATES_TO,属于,neutral,0,0,不适用,科学是哲学的基础，哲学是科学的综合。,1.0,王平陵_000_d1d9c442,s0001
entity:a5902cbd02aa,entity:0a5d9170d332,RELATES_TO,包含,neutral,0,0,不适用,科学是哲学的基础，哲学是科学的综合。,1.0,王平陵_000_d1d9c442,s0001
entity:a5902cbd02aa,entity:6156d89352c0,RELATES_TO,包含,neutral,0,0,不适用,所以哲学的方法，是思辩法论理法与直觉法之总全，科学的方法，则专为经验的，归纳的。,1.0,王平陵_000_d1d9c442,s0001
entity:a5902cbd02aa,entity:d60b4c6bbd7f,RELATES_TO,包含,neutral,0,0,不适用,所以哲学的方法，是思辩法论理法与直觉法之总全，科学的方法，则专为经验的，归纳的。,1.0,王平陵_000_d1d9c442,s0001
entity:a5902cbd02aa,entity:59d4ba143990,RELATES_TO,包含,neutral,0,0,不适用,所以哲学的方法，是思辩法论理法与直觉法之总全，科学的方法，则专为经验的，归纳的。,1.0,王平陵_000_d1d9c442,s0001
entity:0a5d9170d332,entity:3e7036aa3d9f,RELATES_TO,包含,neutral,0,0,不适用,所以哲学的方法，是思辩法论理法与直觉法之总全，科学的方法，则专为经验的，归纳的。,1.0,王平陵_000_d1d9c442,s0001
entity:0a5d9170d332,entity:fc038197b9b5,RELATES_TO,包含,neutral,0,0,不适用,所以哲学的方法，是思辩法论理法与直觉法之总全，科学的方法，则专为经验的，归纳的。,1.0,王平陵_000_d1d9c442,s0001
entity:a5902cbd02aa,entity:c0019d8522b7,RELATES_TO,包含,neutral,0,0,不适用,所以说科学哲学为补合的二元论，就是这个缘故了。,1.0,王平陵_000_d1d9c442,s0001
entity:0a5d9170d332,entity:c0019d8522b7,RELATES_TO,包含,neutral,0,0,不适用,所以说科学哲学为补合的二元论，就是这个缘故了。,1.0,王平陵_000_d1d9c442,s0001
entity:1a8259a3f8ac,entity:a5902cbd02aa,RELATES_TO,属于,neutral,0,0,不适用,要之，科学与哲学的关系，为全体与部分之关系，哲学由科学而得材料，以充实其内容，可免踏于空虚的流弊；科学则由哲学而巩固其目的与基础，以获得论理的确实性。,1.0,王平陵_000_d1d9c442,s0001
entity:e223c6580ad8,entity:0a5d9170d332,RELATES_TO,属于,neutral,0,0,不适用,要之，科学与哲学的关系，为全体与部分之关系，哲学由科学而得材料，以充实其内容，可免踏于空虚的流弊；科学则由哲学而巩固其目的与基础，以获得论理的确实性。,1.0,王平陵_000_d1d9c442,s0001
entity:0a5d9170d332,entity:a5902cbd02aa,RELATES_TO,导致,positive,0,0,不适用,是以二者的进步，为相互关联的，科学进步，则哲学亦必进步；哲学发达，则科学亦必有同样的发达，两者各尽其职能，于是人生便得完全的进步了。,1.0,王平陵_000_d1d9c442,s0001
entity:a5902cbd02aa,entity:0a5d9170d332,RELATES_TO,导致,positive,0,0,不适用,是以二者的进步，为相互关联的，科学进步，则哲学亦必进步；哲学发达，则科学亦必有同样的发达，两者各尽其职能，于是人生便得完全的进步了。,1.0,王平陵_000_d1d9c442,s0001
entity:a5902cbd02aa,entity:0a5d9170d332,RELATES_TO,区分,neutral,0,0,概念澄清,综上所述科学与哲学的异同，现在为明了起见，分别条举于左,1.0,王平陵_000_d1d9c442,s0002
entity:a5902cbd02aa,entity:ad9f16a70c48,RELATES_TO,包含,neutral,0,0,不适用,哲学以实有的全体性及直接性为对象,1.0,王平陵_000_d1d9c442,s0002
entity:0a5d9170d332,entity:b050c3d1cf41,RELATES_TO,包含,neutral,0,0,不适用,科学则以实有之部分性及间接性为对象,1.0,王平陵_000_d1d9c442,s0002
entity:a5902cbd02aa,entity:f1bf22963376,RELATES_TO,包含,neutral,0,0,不适用,哲学的目标，在创造其规范及价值,1.0,王平陵_000_d1d9c442,s0002
entity:0a5d9170d332,entity:0a8b5537cd26,RELATES_TO,包含,neutral,0,0,不适用,科学的目标，在说明或运用其法则与事实,1.0,王平陵_000_d1d9c442,s0002
entity:a5902cbd02aa,entity:187f57c031a4,RELATES_TO,包含,neutral,0,0,不适用,哲学以满足全我的要求为目的,1.0,王平陵_000_d1d9c442,s0002
entity:0a5d9170d332,entity:b01bbe0ff390,RELATES_TO,包含,neutral,0,0,不适用,科学则惟以满足知的要求，及功利的要求为目的,1.0,王平陵_000_d1d9c442,s0002
entity:0a5d9170d332,entity:afa9d6739fdb,RELATES_TO,包含,neutral,0,0,不适用,科学则惟以满足知的要求，及功利的要求为目的,1.0,王平陵_000_d1d9c442,s0002
entity:a5902cbd02aa,entity:2dd83a7266a2,RELATES_TO,包含,neutral,0,0,不适用,哲学的机能，为人格的根本性质,1.0,王平陵_000_d1d9c442,s0002
entity:0a5d9170d332,entity:d0ba05da148a,RELATES_TO,包含,neutral,0,0,不适用,而科学的机能，则为理知作用,1.0,王平陵_000_d1d9c442,s0002
entity:a5902cbd02aa,entity:5b8aa1c20566,RELATES_TO,包含,neutral,0,0,不适用,故哲学为“自我之学”，或“主观之学”,1.0,王平陵_000_d1d9c442,s0002
entity:a5902cbd02aa,entity:9f87ebb885ea,RELATES_TO,包含,neutral,0,0,不适用,故哲学为“自我之学”，或“主观之学”,1.0,王平陵_000_d1d9c442,s0002
entity:0a5d9170d332,entity:27c2536f7c28,RELATES_TO,包含,neutral,0,0,不适用,故科学为“非我之学”或“客观之学”,1.0,王平陵_000_d1d9c442,s0002
entity:0a5d9170d332,entity:e3cd7facefd3,RELATES_TO,包含,neutral,0,0,不适用,故科学为“非我之学”或“客观之学”,1.0,王平陵_000_d1d9c442,s0002
entity:a5902cbd02aa,entity:bb50eb4e6a50,RELATES_TO,包含,neutral,0,0,不适用,哲学以解决根本疑问，满足根本要求为职能,1.0,王平陵_000_d1d9c442,s0002
entity:a5902cbd02aa,entity:4a1141b1b512,RELATES_TO,包含,neutral,0,0,不适用,哲学以解决根本疑问，满足根本要求为职能,1.0,王平陵_000_d1d9c442,s0002
entity:0a5d9170d332,entity:b494c2c68932,RELATES_TO,包含,neutral,0,0,不适用,科学则以解决实用疑问，满足实用要求为职能,1.0,王平陵_000_d1d9c442,s0002
entity:0a5d9170d332,entity:972f0831c9cf,RELATES_TO,包含,neutral,0,0,不适用,科学则以解决实用疑问，满足实用要求为职能,1.0,王平陵_000_d1d9c442,s0002
entity:d154e30b64f0,entity:d154e30b64f0,RELATES_TO,承接,neutral,0,0,不适用,s0000末尾提出'科学是哲学的基础'，s0001开头重复并展开论述科学如何作为基础（如物理学、心理学假定对象）。,0.95,,s0000
entity:c0019d8522b7,entity:c0019d8522b7,RELATES_TO,解释,neutral,0,0,概念澄清,s0000提出补合的二元论'有可取的地方'，s0001末尾明确解释'科学哲学为补合的二元论'并给出理由。,0.9,,s0000
term:2977566dddc8,term:3e42a2aff083,RELATES_TO,承接,neutral,0,0,不适用,s0001末尾提出科学与哲学相互促进，s0002开头重复并继续论述'两者各尽其职能，于是人生便得完全的进步'。,0.95,,s0001
term:02e08e09310e,term:39e197ecbe1a,RELATES_TO,承接,neutral,0,0,不适用,s0000提出科学与哲学对象差异（部分vs全体），s0002以更精确术语（全体性/部分性）重申并展开。,0.9,,s0000
entity:35cad5063fbf,entity:8dc8943f363d,RELATES_TO,反对,neutral,0,0,一般批评,s0000反驳科学一元论（实证论），s0002提及'科哲之战'，暗示该论战背景。,0.7,,s0000
