source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
张东荪,article:9ba1765f59f7,WROTE,WROTE,neutral,0,0,,,,张东荪_000_a9bf05ee,
entity:0bacf98593d1,term:9fc371de0e4d,RELATES_TO,反对,negative,-0.5,0.5,不适用,丁在君先生为反对张君劢先生的“人生观”，于是拿了“科学”来打“玄学”。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0000
entity:0bacf98593d1,entity:0a5d9170d332,RELATES_TO,支持,positive,0.5,0.5,不适用,丁在君先生为反对张君劢先生的“人生观”，于是拿了“科学”来打“玄学”。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0000
entity:0bacf98593d1,entity:ab5f008cd73e,RELATES_TO,反对,negative,-0.5,0.5,不适用,丁在君先生为反对张君劢先生的“人生观”，于是拿了“科学”来打“玄学”。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0000
term:444862b1d437,entity:e867d428ff3f,RELATES_TO,相关,positive,1.0,0.8,部分肯定,我十分佩服林先生，却又十分感激林先生,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0000
term:444862b1d437,entity:0bacf98593d1,RELATES_TO,回应,negative,-0.5,0.5,不适用,我今天只驳丁先生而不驳张先生并不是由于友谊有厚薄。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0000
term:444862b1d437,entity:0e199dc59124,RELATES_TO,回应,negative,-0.5,0.5,不适用,于是我决定对于丁先生来烧一烧冷灶。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0000
entity:26b1f09d5343,entity:fe901cfcc616,RELATES_TO,反对,negative,-0.5,0.5,不适用,不过《努力周报》迄至今日却除张先生自己的文章外，所有谈到“科玄之战”的无一不是反对张先生的。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0000
term:444862b1d437,entity:e867d428ff3f,RELATES_TO,相关,positive,1.0,0.8,部分肯定,想不到素来不甚做文章的林先生居然放了一鸣惊人的响炮，把我的文章十分之九都抢了去了。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0000
entity:0bacf98593d1,entity:0a5d9170d332,RELATES_TO,批评,negative,-0.8,0.7,概念混淆批评,我认为丁先生不是真正拿科学来攻玄学，而只是采取与自己性质相近的一种哲学学说而攻击与自己性质相远的那种哲学学说,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001
entity:0bacf98593d1,entity:88af6181881a,RELATES_TO,混淆,negative,-0.9,0.8,概念混淆批评,我认为丁先生对于科学，与汉学家的考据混为一谈,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001
entity:0bacf98593d1,entity:ab5f008cd73e,RELATES_TO,批评,negative,-0.7,0.6,概念混淆批评,丁先生对于玄学始终不下一个明切的定义,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001
entity:0bacf98593d1,entity:e855f10abe6e,RELATES_TO,批评,negative,-0.7,0.6,证据不足批评,对于玄学与哲学的关系亦始终无一字提及,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001
entity:a5d9f1eb114e,entity:0bacf98593d1,RELATES_TO,相关,negative,-0.6,0.5,讽刺,敌人尚未认清，就先开炮，我真佩服丁先生的勇敢,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001
term:444862b1d437,entity:0bacf98593d1,RELATES_TO,批评,negative,-0.9,0.8,一般批评,敌人尚未认清，就先开炮，我真佩服丁先生的勇敢,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002
entity:ab5f008cd73e,entity:a5902cbd02aa,RELATES_TO,定义,neutral,0.0,0.5,概念澄清,可见玄学就是哲学，不过范围较狭而已,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002
entity:a5902cbd02aa,entity:9624496c5828,RELATES_TO,包含,neutral,0.0,0.0,不适用,哲学向来分三部：即认识论、本体论、宇宙论便是,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002
entity:a5902cbd02aa,entity:b10de826cac7,RELATES_TO,包含,neutral,0.0,0.0,不适用,哲学向来分三部：即认识论、本体论、宇宙论便是,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002
entity:a5902cbd02aa,entity:7d85d06a9769,RELATES_TO,包含,neutral,0.0,0.0,不适用,哲学向来分三部：即认识论、本体论、宇宙论便是,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002
term:444862b1d437,entity:343a00408142,RELATES_TO,相关,positive,0.8,0.6,援引权威支持,丁先生崇拜詹姆士，我请拿詹氏的话来告诉丁先生,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002
term:444862b1d437,entity:8786e30460fb,RELATES_TO,相关,positive,0.8,0.6,援引权威支持,詹氏在他的《哲学之几问题》一书第一讲上就说玄学在最初的意思是与科学相反,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002
entity:0bacf98593d1,entity:343a00408142,RELATES_TO,相关,positive,0.5,0.5,援引权威支持,丁先生崇拜詹姆士,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0003
entity:343a00408142,term:c9eb029b8615,RELATES_TO,主张,neutral,0.0,0.3,不适用,玄学在最初的意思是与科学相反,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0003
entity:343a00408142,term:b69739dc85c4,RELATES_TO,主张,positive,0.5,0.4,不适用,其实我们应得变更原有的意思,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0003
entity:343a00408142,term:53c050733b7f,RELATES_TO,主张,positive,0.8,0.7,不适用,他并且说哲学对于人生非常重要，不能反对,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0003
entity:a5d9f1eb114e,entity:343a00408142,RELATES_TO,相关,positive,0.8,0.6,援引权威支持,但詹姆士的话如上述的，我却不敢包是违心之论，所以仍旧举了出来，请丁先生再鉴定一下。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0004
entity:a5d9f1eb114e,entity:0bacf98593d1,RELATES_TO,批评,negative,-0.8,0.7,讽刺,就是张先生拉了兰克司德，而偏偏丁先生不争气亦拉了一个詹姆士，真是无独有偶了。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0004
entity:a5d9f1eb114e,term:dc6aa92ebe93,RELATES_TO,相关,negative,-0.7,0.6,一般批评,所以这种争论实是无谓。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0004
entity:91519da56f86,entity:f770bce48ebc,RELATES_TO,批评,negative,-0.5,0.5,概念混淆批评,如牛顿的绝对运动论在当时何尝不是科学，然而马赫便说是哲学而不是科学。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0004
entity:e63dc5e44473,entity:e66859167b0c,RELATES_TO,批评,negative,-0.5,0.5,概念混淆批评,而马赫的经验论却被发明量子的濮朗克所讥笑：以为仍是哲学而不是科学。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0004
entity:0bacf98593d1,entity:adc01b1e0494,RELATES_TO,批评,negative,-0.6,0.5,一般批评,丁先生说柏格森说心的绵延如雪的堆积完全是比喻，不能算数。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0004
term:444862b1d437,entity:0bacf98593d1,RELATES_TO,相关,negative,-0.9,0.9,讽刺,这种以矛攻盾，是否科学家的态度呢？,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005
term:444862b1d437,entity:ff64cde28949,RELATES_TO,相关,positive,0.8,0.5,援引权威支持,我现在亦学胡适之先生把孙行者与如来佛的比喻，用在我所敬爱的丁先生身上,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005
entity:0bacf98593d1,entity:feef3d6e6179,RELATES_TO,定义,neutral,0.0,0.5,概念澄清,科学的方法不外将世界的事实分起类来，求他们的秩序。等到分类秩序弄明白了，再想一句最简单明白话来概括这许多事实，这叫做科学公例。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005
entity:0bacf98593d1,entity:ce2a230ac46c,RELATES_TO,定义,neutral,0.0,0.5,概念澄清,等到分类秩序弄明白了，再想一句最简单明白话来概括这许多事实，这叫做科学公例。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005
entity:0bacf98593d1,term:d580ba6fc832,RELATES_TO,主张,neutral,0.0,0.5,不适用,凡是事实都可以用科学方法研究，都可以变做科学。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005
entity:0a5d9170d332,entity:e15aee214cde,RELATES_TO,包含,positive,1.0,0.8,不适用,可见科学自身便有论理，科学不必另外求助于形式论理。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008
entity:0a5d9170d332,entity:e322cf0acc45,RELATES_TO,区分,negative,-0.8,0.7,概念澄清,可见科学自身便有论理，科学不必另外求助于形式论理。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008
entity:e867d428ff3f,entity:0bacf98593d1,RELATES_TO,批评,negative,-0.8,0.6,一般批评,林先生说丁先生的论理思想太旧了，真是实获我心的话。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008
entity:a5d9f1eb114e,entity:e867d428ff3f,RELATES_TO,支持,positive,1.0,0.8,部分肯定,林先生说丁先生的论理思想太旧了，真是实获我心的话。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008
entity:5a903b33d5b2,entity:569ccc854c89,RELATES_TO,归因于,negative,-0.5,0.5,不适用,若果科学的基础是建筑于形式论理的三段论法之上，则科学的正确性必定完全在视其合乎论理方式与否为断了。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008
entity:7ffe974d5497,entity:336646c6774f,RELATES_TO,对比,negative,-0.5,0.5,不适用,但实际上论理学是比较幼稚的，而物理学化学反应比论理学先发达。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008
entity:81cba6ed8e81,entity:bc879e18b072,RELATES_TO,包含,neutral,0.0,0.3,不适用,若把数学归纳在论理里头，则非欧克立德的几何学亦是晚近始出。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008
entity:fc1e6fe4056c,entity:313654ca0151,RELATES_TO,类比,negative,-0.8,0.7,不适用,我尝说亚里士多德的论理与欧克立德的几何一样，到了现在都不够用了。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008
entity:0bacf98593d1,entity:74e6c425fac9,RELATES_TO,自相矛盾,negative,-0.9,0.8,不适用,不料丁先生一方面排斥亚里士多德的玄学，而他方面却默采亚氏以来的传统论理思想。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008
entity:0bacf98593d1,term:86704a68008c,RELATES_TO,主张,positive,1.0,0.6,不适用,凡常人心理的内容，其性质都是相同的。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008
term:444862b1d437,entity:0bacf98593d1,RELATES_TO,质疑,negative,-0.5,0.5,证据不足批评,对于丁先生亦说一句“拿证据来！”,0.9,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009
entity:0bacf98593d1,entity:cdb7d8c1a226,RELATES_TO,相关,positive,0.8,0.6,援引权威,自从塞尔登拿统计的方法来研究生物的现象，成功了所谓生物测量学（Biometrics）,0.9,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009
entity:0bacf98593d1,term:7e3243ec4998,RELATES_TO,作为论据支持,positive,0.8,0.6,不适用,这是事实，不是理论。自从塞尔登拿统计的方法来研究生物的现象，成功了所谓生物测量学（Biometrics）,0.9,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009
entity:0bacf98593d1,term:6d2bf4aa1212,RELATES_TO,作为论据支持,positive,0.8,0.6,不适用,我们所谓‘常人’已经有了统计上的根据。即如英国的常人是五尺八英寸高,0.9,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009
entity:0bacf98593d1,term:883a5e2cb8ca,RELATES_TO,类比,neutral,0.0,0.3,不适用,智慧测量的结果同高度是一样,0.9,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009
entity:0bacf98593d1,term:a55cd7857d9f,RELATES_TO,类比,neutral,0.0,0.3,不适用,他就是一个怪人，同心理上的疯子一样,0.9,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009
entity:0bacf98593d1,term:91eb0bff1823,RELATES_TO,解释,neutral,0.0,0.3,不适用,研究疯人心理的学者，都觉得疯子的性质一部分与天才有几分相似，因为都是感觉特别发展的原故,0.9,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009
term:1f046d98cd14,term:79c77fb5ecc8,RELATES_TO,批评,negative,-0.8,0.7,逻辑反驳,因为张君劢先生并没有主张有不学而能的突飞天才者，所以丁先生的话全是文不对题,0.8,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0010
term:5a3cac7e9599,term:91b5c1b8f508,RELATES_TO,相关,negative,-0.7,0.6,一般批评,则丁先生所谓事实却立刻变为不幸的事实了,0.8,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0010
entity:32931edf20a6,term:a0c22ee3ec11,RELATES_TO,导致,negative,-0.5,0.5,,因为立刻就把丁先生口口声声所说的“常人”的绝对界限推翻了,0.7,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0010
entity:19dd39e35f92,term:156d63e47f4b,RELATES_TO,定义,neutral,0.0,0.3,概念澄清,所谓 Normal 与 Abnormal 只是程度的差别罢了,0.8,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0010
entity:1b6fb2173d16,term:ede4f933e8f9,RELATES_TO,反驳,negative,-0.8,0.7,逻辑反驳,若科学确实性的标准在人心的相同，恐怕相对论即要失了科学的资格，因为百人中就未必能有四个人懂相对论的。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011
entity:52f850792201,term:ede4f933e8f9,RELATES_TO,质疑,negative,-0.9,0.8,事实质疑,难道数学上的二加二是四，其确实性是基于人心的相同么？,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011
term:027f05974266,term:f63b1442c1ea,RELATES_TO,相关,negative,-0.9,0.8,一般批评,可见若说科学的确实性是基于人心的相同，实在危险得很。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011
entity:78b798906628,entity:9586a72edc13,RELATES_TO,包含,negative,-0.7,0.6,不适用,不料货真价实的科学方法却背后先有一个玄学的假定。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011
entity:3cee9a0da2b7,entity:9586a72edc13,RELATES_TO,归因于,negative,-0.7,0.6,不适用,但是削去这个假定，科学的智力实验法亦立不住了。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011
entity:0bacf98593d1,term:775b609eec4f,RELATES_TO,主张,neutral,0.0,0.0,不适用,至于丁先生说凡用科学方法都是科学,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011
entity:78b798906628,entity:e322cf0acc45,RELATES_TO,反驳,negative,-0.9,0.9,归谬,科学方法若即是形式论理，则不但玄学用之，宗教用之，乃至小说戏曲亦都用之。于是普天之下莫非科学。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011
entity:0a5d9170d332,term:7b5d9f640015,RELATES_TO,相关,negative,-0.8,0.7,讽刺,科学既早已如此普遍，丁先生大可不必再费九牛二虎之力以提倡了。,1.0,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011
entity:2693d0610ce6,entity:b5fcb4c1ce96,RELATES_TO,质疑,negative,-0.5,0.5,逻辑反驳,归纳演绎在性质上与三段论法又所差几何呢？,0.9,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012
