node_id,labels,name,node_type,article_id,segment_id,title,text
article_fa9c7a6d14fd00a4,Article,人生观与知识论,Article,甘蛰仙_000_6b354fa0,,人生观与知识论,
author_e3deae01626b6cc4,Author,甘蛰仙,Author,,,,
segment_82bdb4c082349009,Segment,甘蛰仙_000_6b354fa0_s0000,Segment,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000,,"**上篇 人生观及所谓“我知我行之自由”**

（发端）诸君，欲解决人生问题乎？欲建设新人生观乎？如诚欲之，请先自发其对于人生之疑问矣。余小子初不敢言建设，即解决亦每无能为役；然出其所尝发之疑问及其所试答者，以就正于诸君，或亦诸君之所不弃乎？吾以为其先决问题，殆不外乎人生之鹄的问题矣！

（1）人生目的问题就是“活着为的什么？”我的答案：“我们为什么活着？就是为完成我们做小孩时的一片赤心——生来的良心——而活着。”此言良知之完成，乃人生所应求之鹄的也。

（2）人生途径问题就是“应该怎么干去，才不辜负了过活一辈子？”我的答案：“初面既说了是为完成我们做小孩时的一片赤心而活着，自然我们应走的途径，也就是自己或人们向着可能完满实现我们一团赤心底鹄的而踏实进行底了——换句话说，就是为鹄的而设出底到达目的之正当途径了。于可能的范围内，妥为设法，使吾良知美满实现：此种途径，乃人生所应由之术也。质言之，即‘一到良知完成之路’而已。”

惟为实践此术，贯彻此鹄起见，不能不涉及修养，故复涉及第三步：

（3）人生之修养观前种目的（鹄），先民辄名之曰“至善”；前种途径（术），吾亦尝名之曰“勇于为善之途径”。惟在这条长途上行进之时，须得着力“提起”，切实“培养”。设使不提起自力，培养自己的精神；此条长路，恐难坦然走过。设使对于自己所需之资粮，不先有充分之准备；则安知在半途上不起恐慌？吾故曰："
segment_e9f55741a1df8607,Segment,甘蛰仙_000_6b354fa0_s0001,Segment,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001,,"着力“提起”，切实“培养”。设使不提起自力，培养自己的精神；此条长路，恐难坦然走过。设使对于自己所需之资粮，不先有充分之准备；则安知在半途上不起恐慌？吾故曰：
“端须著实提起良知，培养善念，向着勇于为善的途径行将去，以期达到至善之究极目的；而气拘物蔽，都无缘在心地捣乱，以为善端之累。”（十一年十四日，时事新报，学灯）

以言乎“善”耶？抑大难已！若必呆板地在大路旁边建立一个“至善之路从此去”的指路碑耶？万一此碑被人打倒，行者其将何所适从？似此空空悬一客观的至善之标准，终觉难免弄到漫无着落。其与吾所谈之善端，纯从自觉心发出者，固已迥乎不同矣。吾以为：
当起心动念的时候，自己便觉得那念头是善是恶。这种知善知恶的觉心，就是良知。
“良知不是外铄的，是固有的。按照自己固有的准则，提起来，做将去，就是致良知，——就是知行合一，——就是我知我行的真自由。”（同上，十五日）

彼良于行者，纵使其所行之程甚速且远，而仍可不至有所差谬：由他自己彻头彻尾“觉得那念头是善是恶”，能自由行使其去恶从善的选择力，及勇于为善的批判力。此种批判，此种选择，端须纯任自由，丝毫不容他界之强迫；何以故？以“强迫作用，能使人对于善恶不知所择”（同上）故；以强迫作用，能使人忘其“强为善”之责任心，而无繇自下批判故。顾此批判的自由及选择的自由，属道德论耶？抑属本体论耶？于是涉及第四步："
segment_fd2b986f13c1030e,Segment,甘蛰仙_000_6b354fa0_s0002,Segment,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0002,,"善恶不知所择”（同上）故；以强迫作用，能使人忘其“强为善”之责任心，而无繇自下批判故。顾此批判的自由及选择的自由，属道德论耶？抑属本体论耶？于是涉及第四步：

（4）道德的自由论之所从出，窃尝申论之云：
似乎这种自由论，是建筑在道德的基础上的，不妨说为道德的自由论。
我所自信的，是肯定良心的自由，道德上的自由，所以我的道德论底根本观念，是本体论中的自由论！（拙稿，载创造一期五九叶，十一年三月，诚学会出版。）

鄙意欲率自由意志以通本体论与道德学之邮，犹先民所谓“为仁由己”也。我当时之见解，以为从事本体之学，务必以道德学为之辅，乃能按切人生之实际，乃能新建一种健全的人生观。宋明时代的理学家，无自名其学为玄学者，由能“即体为用”；不肯披其坦荡荡之“儒者”胸襟，以当往昔清谈者流所畅之玄风也。——彼“尊德性”之说，似较“道问学”之义，为切于本体矣；然此所谓“尊”，即是对于“德性”所下的工夫：犹前所谓“致”，即是对于“良知”所下的工夫也。——夫人之生也，果何所求而何所由？吾则曰：亦无所为而为之耳。即为“良知”而“致良知”，为“德性”而“尊德性”，即本体以为工夫，亦将不外乎率其一副无所为而为的精神，以从事“学问”；而未见其所“道”者，终不能与其“尊”者，同归一致也。

**中国先哲之人生观及其知识论底一班**

（5）由知识论略释孔孟荀朱陆王诸家之学说："
segment_d06ea632772156f9,Segment,甘蛰仙_000_6b354fa0_s0003,Segment,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0003,,"以从事“学问”；而未见其所“道”者，终不能与其“尊”者，同归一致也。

**中国先哲之人生观及其知识论底一班**

（5）由知识论略释孔孟荀朱陆王诸家之学说：
吾以为“道问学”与“尊德性”，相辅而施，则交尽其美；偏废其一，则跛而难行。惟其所求之鹄的，虽大致相同；而其所由之途径，则确有直捷与纡徐之别；故孟荀分道于前，朱陆异撰于后耳。其取径较直捷者，妙能将知识论与本体论打成一片；而即自建其人生观于此种基础之上。其取径较纡徐者，对于本体，自有相当之了解；惟以知识为解决人生问题所必宜采用之主要方略，故言之特加详焉。

关于知识论方面，吾尝引墨以释荀朱，谓其近于经验论；孟陆阳明，则近于唯理论；要皆有得于仲尼之训条者也。吾谓：
“孔子之论本体也，说性相近，似尚是持唯心论的。……论知识呢？他自命是个‘好古敏以求之，多见而识之，多闻择其善者而从之’底人……，看来，仲尼……就是个亲知说知闻知并重无偏底人。分析说：好古多识（识就是记忆）属于闻知；择之求之，属于说知；多见多闻，简直和……耳目之实之亲知相同了。”

墨子有言：“知：闻，说，亲。”吾引墨释孔，聊为释荀释朱之前提耳；孔子之人生观，其根本观念，实非偏于知识方面者也。荀朱顾何如者？吾以为：
“荀子的知识论，我们从它书里开宗明义第一篇就可看出个头绪来。劝学篇云：‘不登高山，不知天之高也；不临深谿，不知地之厚也；不闻先王之遗言，不知学问之大也。"
segment_a39bf8b92b851e1d,Segment,甘蛰仙_000_6b354fa0_s0004,Segment,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0004,,"以为：
“荀子的知识论，我们从它书里开宗明义第一篇就可看出个头绪来。劝学篇云：‘不登高山，不知天之高也；不临深谿，不知地之厚也；不闻先王之遗言，不知学问之大也。’这由登高临深得来的经验，就是觉官的亲知；由闻先王之遗言得来的知识，就是传授的闻知。又非相篇云：‘欲观千岁，则数今日；欲知亿万，则审一二；欲知上世，则审周道。’这种由审度计数得来的知识，就是一种说知……。”
“至于晦庵的知识论，更是以前的人们，大家‘童而习之’的了。他说：‘欲致吾之知，在即物而穷其理。……必使即凡天下之物，莫不因其已知之理而益穷之，以求至乎其极。’——朱子补大学——由我下个解释：即物穷理，就是亲知；简言之，即物便有了耳目之实了。因其已知之理得来的知识，就是闻知；益穷以求至极，这便是说知。”

由今思之，戴一副墨学的色镜，以观察荀朱，似非纯客观之研究法也；特引伸发明，亦我辈后学所应从事。

爰再就亲知闻知说知三者之交互关系申论之，云：
“我看闻知有时凭于习惯，说知有时靠着联想；而亲知仍复根于经验。经验有时必待习惯联想而后真；犹亲知有时必待闻知说知之补助，才靠得住。”

惟晦庵尝推本伊川“识见得”之意，而力持“真见得”之说；斯诚注重感觉所经验之亲知者也。荀学或亦有类于斯。

然则荀朱之说，非必无关于经验之论据，明矣。乃若关于唯理之论据，则孟陆阳明之说，尤其杰出者也。吾以为："
segment_009e384c91df9a8e,Segment,甘蛰仙_000_6b354fa0_s0005,Segment,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0005,,"之说；斯诚注重感觉所经验之亲知者也。荀学或亦有类于斯。

然则荀朱之说，非必无关于经验之论据，明矣。乃若关于唯理之论据，则孟陆阳明之说，尤其杰出者也。吾以为：
“关于唯理的论据，起源更远且久了：孟子说：‘人之所不学而能者，其良能也；所不虑而知者，其良知也。’这便是中国古代重要的唯理论！既是不学不虑，自然能知的；那就和经验论者所说的耳目之实种种外铄作用的，他们都将不认为知识的本源了。宋代的陆象山，明代的王阳明，颇受了这种学说的影响……。”

此犹言乎对于知识本质问题所持之态度也。其对于知识本源问题，则唯理论纯主先天，而经验则借重后天。其对于知识界限效力问题，似两造均带定断论之色彩。惟彼等主观方面，虽往往尚定断；而于客观方面，则有时消极的存疑。孟子之于武成，取二三策；朱子疑诗小序，其怀疑之实例也。

以言乎求知之方法耶？吾以为象山一派，务持人心之所同然，以驭万殊之事变；其方法近于演绎；晦庵一派，务察零件之物理，以通世界之大全；其方法近于归纳。演绎归纳，交相为用；则于求知之方法，思过半矣。

（6）由人生观略释孔墨孟荀朱陆王之人格态度：
吾前由智识论方面，略释孔孟荀朱陆王诸家之学说，观察是否有当，殊不敢自信；惟吾人于此人生观与知识论之交点上有宜留意者焉：即无论唯理抑经验论，“尊德性”抑“道问学”，要皆以人生观为哲学之主干；孟子固无论已；"
segment_89eca5a2aba01e73,Segment,甘蛰仙_000_6b354fa0_s0006,Segment,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0006,,"说，观察是否有当，殊不敢自信；惟吾人于此人生观与知识论之交点上有宜留意者焉：即无论唯理抑经验论，“尊德性”抑“道问学”，要皆以人生观为哲学之主干；孟子固无论已；即荀朱辈之所以“致知”“穷理”，务“知学问之大”，莫不以解决人生问题为要务，而务新建一种健全的人生观，以自为受用之地。——而其先辈仲尼之人生观，兼优美壮美，尤与墨子相辉映焉。吾以为：
“孔子所说的‘征诸空言，不如见诸行事之深切著明’，与墨子‘士虽有学，而行为本’的话，本是同条共贯的。”

孔墨之实行的精神，班孟坚答宾戏中，“孔席不煖，墨突不黔”二语，最形容得妙。吾尝取之，而更附益救世之指，云：
“……且夫先哲之所为栖栖不遑宁处者，岂不自知安佚之足乐哉？诚为爱群之责任心所驱迫，不能不奋然以援天下溺自负也。是以孔席不暇煖，墨突不得黔；各皆行其心之所安，而不恝然解脱于世法之外；斯乃积极的救世之精神，而为吾辈所宜则效者也。……”

孔墨二家之人生观，颇多相殊异之点；要其救世之责任心，则非不相共通者。惟孟轲于墨子深致不满；墨学自身亦呈破绽；故卒一蹶而不复振耳。

孟子荀子之人生观及其对于人生问题之态度，颇有异征：孟子之批评人生问题也，以积极的“正心”（正人心）为前提。其自道其志也，愿学仲尼，而忧乐天下；以为“当今天下，舍我其谁？”其嘐嘐进取，“自任以天下之重如此”；非“为爱群之责任心所驱迫”，而能有如斯高明壮美之人生观乎？"
segment_ec830e4024e64e8c,Segment,甘蛰仙_000_6b354fa0_s0007,Segment,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0007,,"。其自道其志也，愿学仲尼，而忧乐天下；以为“当今天下，舍我其谁？”其嘐嘐进取，“自任以天下之重如此”；非“为爱群之责任心所驱迫”，而能有如斯高明壮美之人生观乎？荀子之批评人生问题也，以消极的“解蔽”为大纲；其自为学也，务“入乎耳，箸乎心，布乎四体，形乎动静；端而言，蝡而动，一可以为法则。”与孟子书中所称“其为气也，至大至刚，以直养而无害，则塞乎天地之间”，一则为壮美的人格之表现，一则为优美的人格之表现。揆诸孔子“无可无不可”之人生观，盖各得其一义焉。即孟子务积极的尽其救世之责任；而荀子则消极的葆其“修身”之操守也。曰：“使目非是无欲见也，使耳非是无欲闻也，使口非是无欲言也，使心非是无欲虑也。”盖介然有所不为，欲建设一种狷洁优美之人生观焉。

北宋诸子之人生观，若者壮美，若者优美；其说已略见于拙稿“唯美的人格主义”（今年五月四日晨报副镌）篇矣。南宋理学界，自当推朱陆为重要代表。陆子之“先立其大”，得力于孟子；此人所共见也。据我近来所见，其消极的克治工夫，乃多从荀子“解蔽”之说推出：盖适用荀子知识论及人生问题之批评；而移入人生修养之范围内，以为求在外而齐其末者之棒喝也。朱子之“真积力久”近似荀子，此亦人所易喻也。惟其对于物界之知识，务积极的穷究其理，乃颇类于孟子“博学详说，将以反约”之旨：盖适用孟子人生理想之步骤，暂时渡入知识之范围；而以明吾心之体用为人生最后之目的也。"
