node_id,labels,name,node_type,article_id,segment_id,title,text
article_960f9b37b3f3eab9,Article,读张君劢论人生观与科学的两篇 文章后所发生的疑问,Article,朱经农_000_bb34b81c,,读张君劢论人生观与科学的两篇 文章后所发生的疑问,
author_00ca4f7f7171c1b9,Author,朱经农,Author,,,,
segment_506cb9f5b80543b6,Segment,朱经农_000_bb34b81c_s0000,Segment,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0000,,"在我提出疑问以前，先要声明一句，我并没有思想加入科学与玄学的战争，因为我的天性与玄学太不相近，并且对于科学也没有精深的研究，所以不配说话。

不过我在两军阵前偷看双方的枪法，原想从中学一些乖。不料君劢的枪法另有一种门径，看了半天，竟摸不着头脑。我为好奇心所驱，要请君劢指点指点，解除我心里的疑难。将来在君的枪法如有不明白的地方，我也要提出同样的疑问。

(一）君助说，人生观“漫无是非真伪之标准”，“初无论理学公例以限制之”，“无所谓方法”，“不为因果律所支配”。但君助又说：“文化转移之枢纽，不外乎人生观。吾有吾之文化，西洋有西洋之文化。西洋之有益者如何采之，其有害者如何避之；吾国之有益者如何存之，有害者如何革除之；凡此取舍之间，皆决于观点。”在我们浅学的人看起来，人生观既为文化之枢纽，则文化之有益或有害即为人生观是非真伪之标准。凡人生观能发生有益之文化者，则我采之存之，换一句话说，就认他为是的。凡人生观发生有害之文化者，则我避之除之，换一句话说，就认他为非的。怎样还说没有标准呢？况且因有益有害而定存革取舍，明明是有方法的，怎样说无所谓方法呢？因其所生文明之有益或有害，而知人生观之是非，明明就是从前所谓“种好因，得好果；种恶因，得恶果”。怎样还说不受因果律的支配

呢?

(二）君劢说：“何者为正当之人生观……乃不能答复之问题。”“彼此各执一词，决无绝对之是与非。"
segment_048fcbacf1305379,Segment,朱经农_000_bb34b81c_s0001,Segment,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001,,"好因，得好果；种恶因，得恶果”。怎样还说不受因果律的支配

呢?

(二）君劢说：“何者为正当之人生观……乃不能答复之问题。”“彼此各执一词，决无绝对之是与非。”然而又说：“人类之目的……虽变也，不趋于恶。而必趋于善。”既没有是非，怎样会有善恶？在我们浅学的人看起来，“善”即为“是”，“恶”即为“非”。如果有善恶可辨，是非就有了标准。何以君劢判断善恶这样的勇敢，辨别是非又这样的踌躇呢?

(三) 君劢说：“人生观超于科学以上。”“科学之中亦分两项。……物质科学如物理，化学等；精神科学如政治学，生计学，心理学，哲学之类。”照他这样说，人生观是科学范围以外的东西；哲学又是精神科学之一种，是科学范围以内的。他又说：“精神科学……未尝无公例可求。”哲学既为精神科学之一种，当然也有公例可求。然而君劢又说：“若夫人生观或为……悲观主义，或为……乐观主义，或为……修身齐家主义，或为……出世主义：初无论理学之公例以限制之。”试问悲观主义、乐观主义等等非哲学而何？何以哲学有公例可求，而此各种主义独无之?

(四) 君劢说：“夫何谓物，何谓心，诚有争执之可言，然因争执之故，乃并物质科学精神科学之分类而否认之，此世界之所未闻。”但据我所知道的，大凡主张一元论的哲学家总不大愿意把“精神”“物质”两名词来划分科学的门类。所以有些人主张分为自然科学与文化科学。有些人主张分为自然科学与社会科学。"
segment_c44fca8f46ba926b,Segment,朱经农_000_bb34b81c_s0002,Segment,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0002,,"据我所知道的，大凡主张一元论的哲学家总不大愿意把“精神”“物质”两名词来划分科学的门类。所以有些人主张分为自然科学与文化科学。有些人主张分为自然科学与社会科学。所谓“文化”处处有事迹可寻；所谓“社会”事事有利弊可辨；不比“精神”两字完全是“无地楼台”捉摸不定。即翁特自身亦不肯把“物质”与“精神”用作对立的名词，所以只说“确实科学”与“精神科学”。君劢把“确实”二字改作物质。毅然决然说，不用物质精神来分科学门类的为世所未闻，实在使我疑惑起来。“自然科学”、“文化科学”、“社会科学”这几个名词究竟妥

当与否是另外一个问题，但总不能说世界上从来没有听见过这样的分类方法。或者我对于君劢所说的话有些误会，请君劢明以教我。

(五）在我们浅学的人看起来，科学是日进无已的，并不是什么“金科玉律”一成不变的。唯其日进无已，所以前程不可限量。君劢引杜里舒和托摩生的说话来驳达尔文的“进化论”，引“相对论”来证明牛顿的学说不适用于光折之实验，正可以证明科学日进无已。犹之社会上一个青年的学生，他的学问天天在那里进步，谁敢断定他将来一定没有出息！倘使有人这样武断，不但本人不服，就是旁边人也要替他不平。现在君劢说：“人生观问题之解决决非科学所能为力，”一句话把科学的前程断定，人家听了，自然要发生许多疑问。君劢说，他所以能够下此断语是“但论现在不问将来”。"
segment_9dc814932d2a582a,Segment,朱经农_000_bb34b81c_s0003,Segment,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0003,,"不平。现在君劢说：“人生观问题之解决决非科学所能为力，”一句话把科学的前程断定，人家听了，自然要发生许多疑问。君劢说，他所以能够下此断语是“但论现在不问将来”。倘使有人说一个天天在那里进步的青年决没有出息，我们一定要问他何所见而云然？如果他说“但论现在，不问将来”，因为他现在还没有什么成就，所以说他决没有出息。我们对于这个答案能够满意吗？“决”字的意义与“尚”字不同，“尚”字有时间的关系，“决”字是永久不变的。倘使“但论现在”似乎只可以用一个尚字，不能适用一个决字。但不知君劢还有别的解释没有?

(六）君劢说：“纯粹心理，顷刻万变，非科学方法所能支配。”倒底“纯粹心理”的定义是什么，我不大明白，所以不敢乱说。照我们的常识看起来，一个人看见亲友死了，就发生悲哀；得遂自己的志愿，就觉得快乐；受了旁人的欺侮，就要发怒：“衣食足，而后知荣辱”；“凶岁，子弟多暴”。无论喜怒哀乐，凡是一种心理的现象，其起落必有一个原因，社会上必有一种对象引起这种心理。这种社会上的对象，我们有法子可以研究的，不是玄妙不可思议的。徒以“顷刻万变”四字把心理学一笔抹杀，不去细加研究，似乎有些可惜。若说，“人之心理，顷刻万变，故

无所谓态度，因无所谓因果”，难道全世界的大心理学家天天在实验室里做工夫，用科学方法去研究人心，都是疯子吗?

(七）君劢说：“人生之所谓善者皆精神之表现……其所谓恶者皆物质之接触。"
segment_b05be4eb5d77d594,Segment,朱经农_000_bb34b81c_s0004,Segment,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0004,,"因果”，难道全世界的大心理学家天天在实验室里做工夫，用科学方法去研究人心，都是疯子吗?

(七）君劢说：“人生之所谓善者皆精神之表现……其所谓恶者皆物质之接触。”此说我实不能了解。据君劢所下定义，“所谓物质者凡我以外皆属之”（包括父母，妻子，国家，社会等等),倘不与“我以外”者相接触，则精神何由表现？又何以知其为善？例如不与父母接触，何以知其为孝？不为国家社会办事，何以知其有爱国爱群的精神？然则精神之表现与物质之接触实不能分离，何由而判其一为善而一为恶?

(八）君劢说：“自孔孟以至宋元明之理学家，侧重内生活之修养，其结果为精神文明，三百年来之欧洲，侧重以人力支配自然界，故其结果为物质文明。”不知所谓中国的精神文明究竟有那几样是近三百年西洋文明中所没有的？我很希望君劢多举些实例来告诉我们。

我还有一个疑问，就是“内修”的工夫能否不受外力的影响？倘受外力的影响，则其所生结果，能否完全归功于精神，而称之曰精神文明？照我所晓得人类的文化不能不受环境的影响，也不能脱离物质的关系。譬如爱斯克模人（Eskimo）的天才并不低于其他民族，然而他们的文化不能发达到极高的地位，实因自然环境使然。住在冰天雪窟的地方，要想免于冻馁，不能不把全副精神都消磨在衣食问题中间，所以不能有极高的文化。又如在热带温湿之区，物质极丰，谋生过易，不劳而获，人皆习于懒惰，不愿有所作为，故不能产生极高的文化。"
segment_f6c7c3c2f94b9981,Segment,朱经农_000_bb34b81c_s0005,Segment,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005,,"不能不把全副精神都消磨在衣食问题中间，所以不能有极高的文化。又如在热带温湿之区，物质极丰，谋生过易，不劳而获，人皆习于懒惰，不愿有所作为，故不能产生极高的文化。可见人类的文化，不能不受气候物产种种自然环境的影响。又如在交通便利，图书馆，博物院种种设备完善的地方，文化往往很高；在穷乡僻壤，交通不便，耳目闭塞，无书可读的地方，文化大概不十分发达。可见文化的高低与物质上的设备也有密切的关系。总括一句，文明的产生不能全靠精神作用，处处都有物

质的关系，常常要受环境的影响。无论何种文明，我们不把他的物质方面一笔抹杀，单单叫他做精神文明。我要声明一句，我所谓“物质”，完全照君劢所下定义“凡我以外皆属之”。试问那一种文明是与国家社会无关系的？那一种文明是完全属于精神的?

我现在诚诚恳恳的寻求真理，对于君劢并没有挑战的意思；不过把我的浅见老老实实写出来，请君劢指教。我只看见君劢两篇文章，一篇是登在《清华周刊》上的《人生观》，一篇是登在《努力》上的《人生观与科学》上篇，所以我所提出的疑问也只以这两篇文章为限。"
entity_96592052bdb28cd4,概念,人生观,概念,,,,
entity_f7bddc9c16ecc3fc,概念,文化,概念,,,,
entity_32517cfe84af2270,人物,张君劢,人物,,,,
entity_c4c31460d5232809,人物,牛顿,人物,,,,
entity_a1dc0d1ba13bebbd,概念,物质,概念,,,,
entity_5203ab485cbcea36,主义/学说/理论,相对论,主义/学说/理论,,,,
entity_3d506c4d60f07b93,概念,精神文明,概念,,,,
entity_70d107bb72c7c9ee,概念,环境,概念,,,,
entity_5042eb8d3794e0da,阵营/群体,爱斯基摩人,阵营/群体,,,,
entity_6dc77c7df1a7ecde,概念,自然环境,概念,,,,
entity_9adfecb48256c3b1,人物,朱经农,人物,,,,
claim_49789231601eb501,Claim,我并没有思想加入科学与玄学的战争,Claim,朱经农_000_bb34b81c,,,我并没有思想加入科学与玄学的战争
claim_0329aba1a77c5a31,Claim,我的天性与玄学太不相近，并且对于科学也没有精深的研究，所以不配说话,Claim,朱经农_000_bb34b81c,,,我的天性与玄学太不相近，并且对于科学也没有精深的研究，所以不配说话
claim_528f8e5567284d29,Claim,人生观“漫无是非真伪之标准”,Claim,朱经农_000_bb34b81c,,,人生观“漫无是非真伪之标准”
claim_3d95a20632757622,Claim,西洋之有益者如何采之，其有害者如何避之；吾国之有益者如何存之，有害者如何革除之；凡此取舍之间，皆决于观点,Claim,朱经农_000_bb34b81c,,,西洋之有益者如何采之，其有害者如何避之；吾国之有益者如何存之，有害者如何革除之；凡此取舍之间，皆决于观点
claim_4c0a6e57a0b8c827,Claim,人生观既为文化之枢纽，则文化之有益或有害即为人生观是非真伪之标准,Claim,朱经农_000_bb34b81c,,,人生观既为文化之枢纽，则文化之有益或有害即为人生观是非真伪之标准
claim_c2f7dfa5e5aef23e,Claim,凡人生观能发生有益之文化者，则我采之存之，换一句话说，就认他为是的。凡人生观发生有害之文化者，则我避之除之，换一句话说，就认他为非的,Claim,朱经农_000_bb34b81c,,,凡人生观能发生有益之文化者，则我采之存之，换一句话说，就认他为是的。凡人生观发生有害之文化者，则我避之除之，换一句话说，就认他为非的
claim_7151b1d4717784c9,Claim,怎样还说没有标准呢？,Claim,朱经农_000_bb34b81c,,,怎样还说没有标准呢？
claim_afa7531380d52ddc,Claim,因有益有害而定存革取舍，明明是有方法的，怎样说无所谓方法呢？,Claim,朱经农_000_bb34b81c,,,因有益有害而定存革取舍，明明是有方法的，怎样说无所谓方法呢？
claim_40a876cdefff92e5,Claim,何者为正当之人生观……乃不能答复之问题。,Claim,朱经农_000_bb34b81c,,,何者为正当之人生观……乃不能答复之问题。
claim_9d8251aab767f1b3,Claim,彼此各执一词，决无绝对之是与非。,Claim,朱经农_000_bb34b81c,,,彼此各执一词，决无绝对之是与非。
claim_9f821ee0f8126448,Claim,种好因，得好果；种恶因，得恶果。怎样还说不受因果律的支配呢?,Claim,朱经农_000_bb34b81c,,,种好因，得好果；种恶因，得恶果。怎样还说不受因果律的支配呢?
claim_2ca661e28da56f17,Claim,人类之目的……虽变也，不趋于恶。而必趋于善。,Claim,朱经农_000_bb34b81c,,,人类之目的……虽变也，不趋于恶。而必趋于善。
claim_45d6d70d7590ff30,Claim,既没有是非，怎样会有善恶？,Claim,朱经农_000_bb34b81c,,,既没有是非，怎样会有善恶？
claim_6d0803c29216ed90,Claim,“善”即为“是”，“恶”即为“非”。,Claim,朱经农_000_bb34b81c,,,“善”即为“是”，“恶”即为“非”。
claim_f6b3c08c5e17b82f,Claim,如果有善恶可辨，是非就有了标准。,Claim,朱经农_000_bb34b81c,,,如果有善恶可辨，是非就有了标准。
claim_96a1f0a81ef3cc3c,Claim,何以君劢判断善恶这样的勇敢，辨别是非又这样的踌躇呢?,Claim,朱经农_000_bb34b81c,,,何以君劢判断善恶这样的勇敢，辨别是非又这样的踌躇呢?
claim_be706dbd267b4e47,Claim,人生观超于科学以上。,Claim,朱经农_000_bb34b81c,,,人生观超于科学以上。
claim_4631281e9e626517,Claim,科学之中亦分两项。……物质科学如物理，化学等；精神科学如政治学，生计学，心理学，哲学之类。,Claim,朱经农_000_bb34b81c,,,科学之中亦分两项。……物质科学如物理，化学等；精神科学如政治学，生计学，心理学，哲学之类。
claim_0e31c6fac8251981,Claim,照他这样说，人生观是科学范围以外的东西；哲学又是精神科学之一种，是科学范围以内的。,Claim,朱经农_000_bb34b81c,,,照他这样说，人生观是科学范围以外的东西；哲学又是精神科学之一种，是科学范围以内的。
claim_400b3f847d11557d,Claim,精神科学……未尝无公例可求。,Claim,朱经农_000_bb34b81c,,,精神科学……未尝无公例可求。
claim_39225392e7ce5003,Claim,哲学既为精神科学之一种，当然也有公例可求。,Claim,朱经农_000_bb34b81c,,,哲学既为精神科学之一种，当然也有公例可求。
claim_a4512671c8849904,Claim,若夫人生观或为……悲观主义，或为……乐观主义，或为……修身齐家主义，或为……出世主义：初无论理学之公例以限制之。,Claim,朱经农_000_bb34b81c,,,若夫人生观或为……悲观主义，或为……乐观主义，或为……修身齐家主义，或为……出世主义：初无论理学之公例以限制之。
claim_6e6e47e1a65530b7,Claim,试问悲观主义、乐观主义等等非哲学而何？,Claim,朱经农_000_bb34b81c,,,试问悲观主义、乐观主义等等非哲学而何？
claim_a3348b1608d5c896,Claim,何以哲学有公例可求，而此各种主义独无之?,Claim,朱经农_000_bb34b81c,,,何以哲学有公例可求，而此各种主义独无之?
claim_71d428697d0f2c1b,Claim,夫何谓物，何谓心，诚有争执之可言，然因争执之故，乃并物质科学精神科学之分类而否认之，此世界之所未闻。,Claim,朱经农_000_bb34b81c,,,夫何谓物，何谓心，诚有争执之可言，然因争执之故，乃并物质科学精神科学之分类而否认之，此世界之所未闻。
claim_16725ca65a287fc6,Claim,大凡主张一元论的哲学家总不大愿意把“精神”“物质”两名词来划分科学的门类。,Claim,朱经农_000_bb34b81c,,,大凡主张一元论的哲学家总不大愿意把“精神”“物质”两名词来划分科学的门类。
claim_a7b504ba972fa425,Claim,有些人主张分为自然科学与文化科学。有些人主张分为自然科学与社会科学。,Claim,朱经农_000_bb34b81c,,,有些人主张分为自然科学与文化科学。有些人主张分为自然科学与社会科学。
claim_7e8faa107fd088dc,Claim,有些人主张分为自然科学与文化科学,Claim,朱经农_000_bb34b81c,,,有些人主张分为自然科学与文化科学
claim_cc7b85ff808c9d26,Claim,有些人主张分为自然科学与社会科学,Claim,朱经农_000_bb34b81c,,,有些人主张分为自然科学与社会科学
claim_87ae1d29f5ad2032,Claim,所谓“文化”处处有事迹可寻；所谓“社会”事事有利弊可辨；不比“精神”两字完全是“无地楼台”捉摸不定,Claim,朱经农_000_bb34b81c,,,所谓“文化”处处有事迹可寻；所谓“社会”事事有利弊可辨；不比“精神”两字完全是“无地楼台”捉摸不定
claim_8a5db56594fcebc1,Claim,翁特自身亦不肯把“物质”与“精神”用作对立的名词,Claim,朱经农_000_bb34b81c,,,翁特自身亦不肯把“物质”与“精神”用作对立的名词
claim_10420c5e2bdb8b70,Claim,君劢把“确实”二字改作物质,Claim,朱经农_000_bb34b81c,,,君劢把“确实”二字改作物质
claim_36c0646133a94d91,Claim,君劢说，不用物质精神来分科学门类的为世所未闻,Claim,朱经农_000_bb34b81c,,,君劢说，不用物质精神来分科学门类的为世所未闻
claim_08ef44f612f90030,Claim,世界上从来没有听见过这样的分类方法，这个说法不成立,Claim,朱经农_000_bb34b81c,,,世界上从来没有听见过这样的分类方法，这个说法不成立
