node_id,labels,name,node_type,article_id,segment_id,title,text
article_e5e5bcdec6064319,Article,“死狗”的心理学,Article,陆志韦_000_44275f1b,,“死狗”的心理学,
author_52eff47f6aa8a69d,Author,陆志韦,Author,,,,
article_83ebe642152e79c4,Article,东荪按,Article,陆志韦_001_941e994c,,东荪按,
author_61fbbbacbb4cfd55,Author,张东荪,Author,,,,
segment_759591ea38f8d4c2,Segment,陆志韦_000_44275f1b_s0000,Segment,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000,,"科学与玄学的冲突，心理学者看了大不高兴。因为我们为哲学做“走狗”的人实在左右做“狗”难。在他们原或不过无的放矢，然而我们在乱箭之下变了死狗，“玄学鬼”与“科学精”恐怕还不肯放松我们。我们苦得冤枉啊!

心理学的地位比上不足，比下有余，这是我们自己的不争气。他们既已动了干戈，我们遭些无妄之灾，只好忍气吞声。不过狗之将死，其叫也哀。照狗道主义而论，我们希望这两员大将把问题辩得清楚，枪法使得整齐。近来的现象乃真使我们失望极了。

(一）丁在君先生所说的心理学完全不是张君劢先生所说的心理学。一是唯感觉主义的哲学家的口头禅。丁先生明说是Pearson传授的。Pearson我们不承认是心理学家。丁先生引了几句Mach的话，丁先生的主张,Mach未必都能赞同。这是一方面。

又一方面张先生的心理学，看来他的位置介乎 Brentano 与 Wurzburg 学派之间。这种学派原不无一部分的势力（杜里舒也是一个崇拜者),然而决不能代表一切心理学；就是 Wurzburg 派间接的老祖师尚有“非我徒也，小子鸣鼓而攻之可也”的气话。

所以两先生的心理学都是一偏之见。而且你在这一边，他在那一边；你穿上心理学的胃甲，我举起心理学的盾牌，原来所争的都不是那一回事。心理学只算得三十六着中最后一着的

护身符。丁先生呼心理学说，“走狗来”，走狗有时偏不来，于是破口说，“你也造反了，你这哲学的走狗”。"
segment_f8e41d6cca7409d1,Segment,陆志韦_000_44275f1b_s0001,Segment,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001,,"原来所争的都不是那一回事。心理学只算得三十六着中最后一着的

护身符。丁先生呼心理学说，“走狗来”，走狗有时偏不来，于是破口说，“你也造反了，你这哲学的走狗”。张先生把心理狗头上拍了两拍，“好狗好狗”。

我们胆大的说：两先生都没有了解心理学。我们再硬着头皮说：他们原不必牵涉心理学。

(二）然而“法律贱商人，商人已富贵矣”。心理学为哲学与科学开一条来往的路线，本称不来什么功，现在偏受玄学家与科学家的抬举了。只是我们无论反对或是申说，立脚点尽可不同，尽可你推Pearson我奉Mach,事实总须分个明白。这一层上，我们很可惜丁先生出言不慎。譬如说色盲人看玫瑰花是绿的。丁先生信仰而偏袒科学家，甚至把Helmholtz的错误都信以为真理了。又如说天才与疯子都是感觉特别发展，那竟是奉了上谕，捏造证据。张先生不得已而谈心理，我们觉得他的措辞比丁先生稳健得多。他只是述学而不叙事，偏固是偏，还没有钦定现象。

于此我们要在两先生之外，奉劝当代“跻于命妇的地位”的先生们不要再轻谈心理了。张东荪先生是我的知交，他的出言不慎我们也不能为他曲谅。他自己没有读过许多智力测验的理论书，偏说实在没有几本书。他自己赞成Goddard,竟敢说科学的智力测验，除了玄学的假定，就立不住。近来还有一位林宰平先生自己尝了自己的吐涎还没有知道，倒说电流直接引起味觉。这些都是事实的问题。是则是，非则非，无从辩论。"
segment_766925de40b7a7a1,Segment,陆志韦_000_44275f1b_s0002,Segment,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002,,"智力测验，除了玄学的假定，就立不住。近来还有一位林宰平先生自己尝了自己的吐涎还没有知道，倒说电流直接引起味觉。这些都是事实的问题。是则是，非则非，无从辩论。

这一段话并不敢有意挑拨，大家都是初学，孰能无误？譬如志韦的工夫大都消磨在试验心理学里，讲心理学史就不免时有挂漏，决不敢认他人的批评为挑拨。诸公是当代名流，发言轻重，我们但愿诸公不要强不知以为知。再诸公各有专长，在自家田地上著书立说，我们那不佩服。既已屈驾到心理学的领域里，我们当然十分欢迎，不过诸公的发言须对于我们负责任

了。因此诸公不当不满意于我们的不满意。

心理学的受罪恐怕也因为他的名词太普通，不知底蕴人容易滥用，但愿以后普通心理学的名词能像试验心理学的名词的秘奥，或者竟像有机化学的名词的野蛮。

末了，我们再为丁张两先生提起一段故事，以博一笑。《子不语》里有一则题为“鬼球”，心理学就是那球，而先生们自己已有定谳。你们踢了一夜，天亮了，球亦开口说话了。"
segment_95e7e0a5a2d453b1,Segment,陆志韦_001_941e994c_s0000,Segment,陆志韦_001_941e994c,陆志韦_001_941e994c_s0000,,"志韦老友的话是很对，不过我说没有几本书是以我所看见的为限，不然下句便不通了。至于我举过达德是因为丁先生曾对我说过这个人很好的话，其中原有缘故，不是泛论，志韦先生未曾明白，那就难怪了。至于志韦先生这篇文章我亦有引为遗憾的地方：即他始终只说“不是什么”，而没有说“是什么”。现在用一个比喻：例如导淮，非请专门家不可。若是这个专门家来了，只说这个方案不对，那个方案又不对，始终自己不另说一个对的，而只以“是则是，非则非，无从辩论”为结果，这个淮河是导不成了。所以凡不学这一科的人固然不可强不知以为知，而学这一类的人则宜大谈而特谈。双方必相辅相成，若只是一方是不行的。未识志韦以为然否?

—— 转录《时事新报·学灯》——"
entity_6f5c2b5c7f94bd97,人物,丁文江和张君劢,人物,,,,
entity_7b2c68bedc3af840,概念,心理学,概念,,,,
entity_36498d59f2e2c022,概念,科学,概念,,,,
entity_2a9eb3253ebf30e5,人物,张东荪,人物,,,,
entity_cf71a5d508947264,人物,林宰平,人物,,,,
entity_1599a7dd0e252b4b,概念,诸公,概念,,,,
entity_df8013190d1a00fe,概念,智力测验,概念,,,,
entity_8c39d1390fe4b345,概念,玄学的假定,概念,,,,
entity_585dbdadef11ccbb,比喻/类比,球,比喻/类比,,,,
entity_03ab0ede3009f7d2,人物,陆志韦,人物,,,,
entity_b371b8e68bb45437,概念,专门家,概念,,,,
entity_a83e4dbe2268336c,阵营/群体,不学这一科的人,阵营/群体,,,,
entity_39f9f7418026234d,阵营/群体,学这一类的人,阵营/群体,,,,
entity_7848e17f97774e9f,Person,丁文江,Person,,,,
entity_91765cd30cbb3870,Person,张君劢,Person,,,,
entity_0f0656f31de4c7a4,Person,皮尔逊,Person,,,,
entity_28e9c70b35f56b43,Person,马赫,Person,,,,
entity_6e0200730292cbc2,Person,布伦塔诺,Person,,,,
entity_73af0aa7fc91bbc1,School,维尔茨堡学派,School,,,,
entity_89d5b2dc5751413f,Person,杜里舒,Person,,,,
entity_88706cba59205616,Concept,心理学,Concept,,,,
entity_59236cf3489d7275,Concept,唯感觉主义,Concept,,,,
entity_abafba37b91f7f8b,Concept,玄学鬼,Concept,,,,
entity_37452395112f38e4,Concept,科学精,Concept,,,,
entity_1e61832e1a442d16,Concept,走狗,Concept,,,,
entity_49d5bdf166f0128e,学科,心理学,学科,,,,
entity_0eb5bf0470c7e469,Person,Helmholtz,Person,,,,
entity_2b330f81438116fb,Person,张东荪,Person,,,,
entity_b46565dec4538195,Person,林宰平,Person,,,,
entity_5794bec786c0851c,Person,Pearson,Person,,,,
entity_c4aecd8d1b0ce502,Person,Mach,Person,,,,
entity_cb1d44ba0727d25f,Person,Goddard,Person,,,,
entity_e2edd9821767986e,Person,志韦,Person,,,,
entity_fcb2fbd9e6cfcef5,Concept,智力测验,Concept,,,,
entity_4555a7a39b660133,Concept,玄学,Concept,,,,
entity_ea5af19efacd45dc,Concept,试验心理学,Concept,,,,
entity_449de0ae6be7287f,Concept,有机化学,Concept,,,,
entity_1d0ed6ea23d50b63,Work,子不语,Work,,,,
entity_731811cc12fa481f,Concept,鬼球,Concept,,,,
entity_2b467d521cb84865,Person,达德,Person,,,,
entity_8045823466a2c438,Concept,导淮,Concept,,,,
claim_b5583d4d80620f0f,Claim,科学与玄学的冲突，心理学者看了大不高兴。,Claim,陆志韦_000_44275f1b,,,科学与玄学的冲突，心理学者看了大不高兴。
claim_218deee4b1711c89,Claim,心理学的地位比上不足，比下有余，这是我们自己的不争气。,Claim,陆志韦_000_44275f1b,,,心理学的地位比上不足，比下有余，这是我们自己的不争气。
claim_20dc12b0cbfb94b6,Claim,丁在君先生所说的心理学完全不是张君劢先生所说的心理学。,Claim,陆志韦_000_44275f1b,,,丁在君先生所说的心理学完全不是张君劢先生所说的心理学。
claim_45a275278bf4d170,Claim,丁先生所说的心理学是唯感觉主义的哲学家的口头禅。,Claim,陆志韦_000_44275f1b,,,丁先生所说的心理学是唯感觉主义的哲学家的口头禅。
claim_4943aba9a1bc3ce6,Claim,Pearson我们不承认是心理学家。,Claim,陆志韦_000_44275f1b,,,Pearson我们不承认是心理学家。
claim_37eebd62c8464f3f,Claim,"丁先生引了几句Mach的话，丁先生的主张,Mach未必都能赞同。",Claim,陆志韦_000_44275f1b,,,"丁先生引了几句Mach的话，丁先生的主张,Mach未必都能赞同。"
claim_2f1cd5fae579bec4,Claim,张先生的心理学，看来他的位置介乎 Brentano 与 Wurzburg 学派之间。,Claim,陆志韦_000_44275f1b,,,张先生的心理学，看来他的位置介乎 Brentano 与 Wurzburg 学派之间。
claim_d6a731a8c8f08d0d,Claim,Wurzburg 派决不能代表一切心理学。,Claim,陆志韦_000_44275f1b,,,Wurzburg 派决不能代表一切心理学。
claim_2f2401eb7e724fe4,Claim,两先生的心理学都是一偏之见。,Claim,陆志韦_000_44275f1b,,,两先生的心理学都是一偏之见。
claim_d82ec8808857a35b,Claim,丁先生呼心理学说，“走狗来”，走狗有时偏不来，于是破口说，“你也造反了，你这哲学的走狗”。,Claim,陆志韦_000_44275f1b,,,丁先生呼心理学说，“走狗来”，走狗有时偏不来，于是破口说，“你也造反了，你这哲学的走狗”。
claim_d8545d77dfd78d76,Claim,两先生都没有了解心理学,Claim,陆志韦_000_44275f1b,,,两先生都没有了解心理学
claim_6dad17b4798daed7,Claim,他们原不必牵涉心理学,Claim,陆志韦_000_44275f1b,,,他们原不必牵涉心理学
claim_b429424b6b370d4f,Claim,丁先生出言不慎,Claim,陆志韦_000_44275f1b,,,丁先生出言不慎
claim_9f7a0a37557e8e9e,Claim,丁先生信仰而偏袒科学家，甚至把Helmholtz的错误都信以为真理了,Claim,陆志韦_000_44275f1b,,,丁先生信仰而偏袒科学家，甚至把Helmholtz的错误都信以为真理了
claim_5ef333613c1ce040,Claim,说天才与疯子都是感觉特别发展，那竟是奉了上谕，捏造证据,Claim,陆志韦_000_44275f1b,,,说天才与疯子都是感觉特别发展，那竟是奉了上谕，捏造证据
claim_c4c81be60786d85d,Claim,张先生不得已而谈心理，我们觉得他的措辞比丁先生稳健得多,Claim,陆志韦_000_44275f1b,,,张先生不得已而谈心理，我们觉得他的措辞比丁先生稳健得多
claim_fa7eb84e18733ffc,Claim,他只是述学而不叙事，偏固是偏，还没有钦定现象,Claim,陆志韦_000_44275f1b,,,他只是述学而不叙事，偏固是偏，还没有钦定现象
claim_18a09546bdfdb1df,Claim,张东荪先生出言不慎,Claim,陆志韦_000_44275f1b,,,张东荪先生出言不慎
claim_08be95a85ab96366,Claim,他自己没有读过许多智力测验的理论书，偏说实在没有几本书,Claim,陆志韦_000_44275f1b,,,他自己没有读过许多智力测验的理论书，偏说实在没有几本书
claim_0fcdd1c4d9627d30,Claim,"他自己赞成Goddard,竟敢说科学的智力测验，除了玄学的假定，就立不住",Claim,陆志韦_000_44275f1b,,,"他自己赞成Goddard,竟敢说科学的智力测验，除了玄学的假定，就立不住"
claim_bf4a48f9c7d67008,Claim,林宰平先生自己尝了自己的吐涎还没有知道，倒说电流直接引起味觉,Claim,陆志韦_000_44275f1b,,,林宰平先生自己尝了自己的吐涎还没有知道，倒说电流直接引起味觉
claim_ae94c065033016fa,Claim,是则是，非则非，无从辩论,Claim,陆志韦_000_44275f1b,,,是则是，非则非，无从辩论
claim_b7acc9001a5a4472,Claim,智力测验，除了玄学的假定，就立不住,Claim,陆志韦_000_44275f1b,,,智力测验，除了玄学的假定，就立不住
claim_82ceab582ac1b43e,Claim,林宰平自己尝了自己的吐涎还没有知道，倒说电流直接引起味觉，这些都是事实的问题，是则是，非则非，无从辩论,Claim,陆志韦_000_44275f1b,,,林宰平自己尝了自己的吐涎还没有知道，倒说电流直接引起味觉，这些都是事实的问题，是则是，非则非，无从辩论
claim_591353737e7cda6a,Claim,诸公不要强不知以为知,Claim,陆志韦_000_44275f1b,,,诸公不要强不知以为知
claim_5d32617f8ec10084,Claim,诸公既已屈驾到心理学的领域里，发言须对我们负责任,Claim,陆志韦_000_44275f1b,,,诸公既已屈驾到心理学的领域里，发言须对我们负责任
claim_350c8a57c7cfe98d,Claim,心理学的受罪恐怕也因为他的名词太普通，不知底蕴人容易滥用,Claim,陆志韦_000_44275f1b,,,心理学的受罪恐怕也因为他的名词太普通，不知底蕴人容易滥用
claim_1f752fc30b3f31b3,Claim,但愿以后普通心理学的名词能像试验心理学的名词的秘奥，或者竟像有机化学的名词的野蛮,Claim,陆志韦_000_44275f1b,,,但愿以后普通心理学的名词能像试验心理学的名词的秘奥，或者竟像有机化学的名词的野蛮
claim_64783677d920dc6c,Claim,丁张两先生踢了一夜，天亮了，球亦开口说话了,Claim,陆志韦_000_44275f1b,,,丁张两先生踢了一夜，天亮了，球亦开口说话了
claim_eefe7b662441d577,Claim,志韦老友的话是很对,Claim,陆志韦_001_941e994c,,,志韦老友的话是很对
claim_0caa42109e070d38,Claim,我说没有几本书是以我所看见的为限，不然下句便不通了,Claim,陆志韦_001_941e994c,,,我说没有几本书是以我所看见的为限，不然下句便不通了
claim_b9bcddc7b0081af6,Claim,我举过达德是因为丁先生曾对我说过这个人很好的话，其中原有缘故，不是泛论,Claim,陆志韦_001_941e994c,,,我举过达德是因为丁先生曾对我说过这个人很好的话，其中原有缘故，不是泛论
claim_c225ba64d596d722,Claim,志韦先生未曾明白（我举达德的缘故）,Claim,陆志韦_001_941e994c,,,志韦先生未曾明白（我举达德的缘故）
claim_39654e4bda51b32a,Claim,志韦先生这篇文章我亦有引为遗憾的地方：即他始终只说“不是什么”，而没有说“是什么”,Claim,陆志韦_001_941e994c,,,志韦先生这篇文章我亦有引为遗憾的地方：即他始终只说“不是什么”，而没有说“是什么”
claim_79c9b459053c49fc,Claim,凡不学这一科的人固然不可强不知以为知，而学这一类的人则宜大谈而特谈,Claim,陆志韦_001_941e994c,,,凡不学这一科的人固然不可强不知以为知，而学这一类的人则宜大谈而特谈
