source_id,target_id,type,relation,polarity,evidence,confidence,article_id,segment_id
author_52eff47f6aa8a69d,article_e5e5bcdec6064319,WROTE,WROTE,neutral,,,陆志韦_000_44275f1b,
author_61fbbbacbb4cfd55,article_83ebe642152e79c4,WROTE,WROTE,neutral,,,陆志韦_001_941e994c,
article_e5e5bcdec6064319,segment_759591ea38f8d4c2,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
article_e5e5bcdec6064319,segment_f8e41d6cca7409d1,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001
article_e5e5bcdec6064319,segment_766925de40b7a7a1,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002
article_83ebe642152e79c4,segment_95e7e0a5a2d453b1,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陆志韦_001_941e994c,陆志韦_001_941e994c_s0000
segment_759591ea38f8d4c2,entity_7848e17f97774e9f,MENTIONS,MENTIONS,neutral,丁在君先生,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
segment_759591ea38f8d4c2,entity_91765cd30cbb3870,MENTIONS,MENTIONS,neutral,张君劢先生,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
segment_759591ea38f8d4c2,entity_0f0656f31de4c7a4,MENTIONS,MENTIONS,neutral,Pearson,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
segment_759591ea38f8d4c2,entity_28e9c70b35f56b43,MENTIONS,MENTIONS,neutral,Mach,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
segment_759591ea38f8d4c2,entity_6e0200730292cbc2,MENTIONS,MENTIONS,neutral,Brentano,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
segment_759591ea38f8d4c2,entity_73af0aa7fc91bbc1,MENTIONS,MENTIONS,neutral,Wurzburg 学派,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
segment_759591ea38f8d4c2,entity_89d5b2dc5751413f,MENTIONS,MENTIONS,neutral,杜里舒,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
segment_759591ea38f8d4c2,entity_88706cba59205616,MENTIONS,MENTIONS,neutral,心理学,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
segment_759591ea38f8d4c2,entity_59236cf3489d7275,MENTIONS,MENTIONS,neutral,唯感觉主义的哲学家的口头禅,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
segment_759591ea38f8d4c2,entity_abafba37b91f7f8b,MENTIONS,MENTIONS,neutral,玄学鬼,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
segment_759591ea38f8d4c2,entity_37452395112f38e4,MENTIONS,MENTIONS,neutral,科学精,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
segment_759591ea38f8d4c2,entity_1e61832e1a442d16,MENTIONS,MENTIONS,neutral,走狗,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000
segment_f8e41d6cca7409d1,entity_7848e17f97774e9f,MENTIONS,MENTIONS,neutral,丁先生,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001
segment_f8e41d6cca7409d1,entity_91765cd30cbb3870,MENTIONS,MENTIONS,neutral,张先生,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001
segment_f8e41d6cca7409d1,entity_49d5bdf166f0128e,MENTIONS,MENTIONS,neutral,心理学,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001
segment_f8e41d6cca7409d1,entity_0eb5bf0470c7e469,MENTIONS,MENTIONS,neutral,Helmholtz,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001
segment_f8e41d6cca7409d1,entity_2b330f81438116fb,MENTIONS,MENTIONS,neutral,张东荪先生,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001
segment_f8e41d6cca7409d1,entity_b46565dec4538195,MENTIONS,MENTIONS,neutral,林宰平先生,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001
segment_f8e41d6cca7409d1,entity_5794bec786c0851c,MENTIONS,MENTIONS,neutral,Pearson,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001
segment_f8e41d6cca7409d1,entity_c4aecd8d1b0ce502,MENTIONS,MENTIONS,neutral,Mach,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001
segment_f8e41d6cca7409d1,entity_cb1d44ba0727d25f,MENTIONS,MENTIONS,neutral,Goddard,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001
segment_766925de40b7a7a1,entity_b46565dec4538195,MENTIONS,MENTIONS,neutral,原文提到林宰平先生,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002
segment_766925de40b7a7a1,entity_e2edd9821767986e,MENTIONS,MENTIONS,neutral,原文提到志韦,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002
segment_766925de40b7a7a1,entity_7848e17f97774e9f,MENTIONS,MENTIONS,neutral,原文提到丁张两先生，丁指丁文江,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002
segment_766925de40b7a7a1,entity_91765cd30cbb3870,MENTIONS,MENTIONS,neutral,原文提到丁张两先生，张指张君劢,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002
segment_766925de40b7a7a1,entity_88706cba59205616,MENTIONS,MENTIONS,neutral,原文多次提及,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002
segment_766925de40b7a7a1,entity_fcb2fbd9e6cfcef5,MENTIONS,MENTIONS,neutral,原文开头提及,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002
segment_766925de40b7a7a1,entity_4555a7a39b660133,MENTIONS,MENTIONS,neutral,原文提及玄学的假定,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002
segment_766925de40b7a7a1,entity_ea5af19efacd45dc,MENTIONS,MENTIONS,neutral,原文提及,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002
segment_766925de40b7a7a1,entity_449de0ae6be7287f,MENTIONS,MENTIONS,neutral,原文提及,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002
segment_766925de40b7a7a1,entity_1d0ed6ea23d50b63,MENTIONS,MENTIONS,neutral,原文提及《子不语》,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002
segment_766925de40b7a7a1,entity_731811cc12fa481f,MENTIONS,MENTIONS,neutral,原文提及《子不语》里一则题为鬼球,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002
segment_95e7e0a5a2d453b1,entity_e2edd9821767986e,MENTIONS,MENTIONS,neutral,文本中多次提及,,陆志韦_001_941e994c,陆志韦_001_941e994c_s0000
segment_95e7e0a5a2d453b1,entity_7848e17f97774e9f,MENTIONS,MENTIONS,neutral,文本中提及丁先生,,陆志韦_001_941e994c,陆志韦_001_941e994c_s0000
