source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
陈独秀,article:2c4e4e99971b,WROTE,WROTE,neutral,0,0,,,,陈独秀_000_4825c389,
陈独秀,article:dd153b656811,WROTE,WROTE,neutral,0,0,,,,陈独秀_001_d263aca8,
陈独秀,article:ceac6c275e92,WROTE,WROTE,neutral,0,0,,,,陈独秀_002_69a217f6,
article:ceac6c275e92,segment:4d648a5fb637,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_002_69a217f6,陈独秀_002_69a217f6_s0008
article:ceac6c275e92,segment:01fe1fa57389,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_002_69a217f6,陈独秀_002_69a217f6_s0000
article:ceac6c275e92,segment:0a4aebd39a76,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_002_69a217f6,陈独秀_002_69a217f6_s0006
article:ceac6c275e92,segment:3e627a7701ce,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_002_69a217f6,陈独秀_002_69a217f6_s0004
article:dd153b656811,segment:7d80c537f81c,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0008
article:dd153b656811,segment:50cbe623bfe6,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0012
article:ceac6c275e92,segment:77c62f9ad8ab,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_002_69a217f6,陈独秀_002_69a217f6_s0003
article:ceac6c275e92,segment:67e267d57091,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_002_69a217f6,陈独秀_002_69a217f6_s0005
article:dd153b656811,segment:e3734e59fa2f,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0009
article:dd153b656811,segment:9839dc26a3b7,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0006
article:dd153b656811,segment:ad6707db5c11,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0015
article:2c4e4e99971b,segment:b95d5a36f32b,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0004
article:2c4e4e99971b,segment:f540a101ceb3,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0007
article:2c4e4e99971b,segment:5e0642839be0,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0008
article:ceac6c275e92,segment:97b88a84bfff,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_002_69a217f6,陈独秀_002_69a217f6_s0001
article:2c4e4e99971b,segment:d3072b79093d,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0003
article:dd153b656811,segment:195784f486ca,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0007
article:2c4e4e99971b,segment:ed2f414b52cc,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0009
segment:d3072b79093d,entity:ee562c752f78,MENTIONS,MENTIONS,neutral,0,0,,孔德三时代说是社会科学上一种定律,0.9,陈独秀_000_4825c389,陈独秀_000_4825c389_s0003
segment:d3072b79093d,entity:fe901cfcc616,MENTIONS,MENTIONS,neutral,0,0,,张君劢是个饱学秀才,1.0,陈独秀_000_4825c389,陈独秀_000_4825c389_s0003
segment:d3072b79093d,entity:b14c5483a866,MENTIONS,MENTIONS,neutral,0,0,,他的未尝学问的家族要去求符咒仙方,0.9,陈独秀_000_4825c389,陈独秀_000_4825c389_s0003
segment:d3072b79093d,entity:0bacf98593d1,MENTIONS,MENTIONS,neutral,0,0,,他的朋友丁在君方从外国留学回来,1.0,陈独秀_000_4825c389,陈独秀_000_4825c389_s0003
segment:d3072b79093d,entity:d24f2e6a4ba4,MENTIONS,MENTIONS,neutral,0,0,,说汉医靠不住,0.9,陈独秀_000_4825c389,陈独秀_000_4825c389_s0003
segment:d3072b79093d,entity:096931e5c9b3,MENTIONS,MENTIONS,neutral,0,0,,坚劝他去请西医,0.9,陈独秀_000_4825c389,陈独秀_000_4825c389_s0003
segment:d3072b79093d,entity:a57a9c2a06cf,MENTIONS,MENTIONS,neutral,0,0,,还是符咒仙方好,0.9,陈独秀_000_4825c389,陈独秀_000_4825c389_s0003
segment:d3072b79093d,entity:67821481a750,MENTIONS,MENTIONS,neutral,0,0,,他们如此不同的人生观,0.9,陈独秀_000_4825c389,陈独秀_000_4825c389_s0003
segment:d3072b79093d,entity:bb8fccc3a636,MENTIONS,MENTIONS,neutral,0,0,,都是他们所遭客观的环境造成的,0.9,陈独秀_000_4825c389,陈独秀_000_4825c389_s0003
segment:d3072b79093d,entity:94cbd04120d2,MENTIONS,MENTIONS,neutral,0,0,,决不是天外飞来主观的意志造成的,0.9,陈独秀_000_4825c389,陈独秀_000_4825c389_s0003
segment:d3072b79093d,entity:4b7d4cc8947c,MENTIONS,MENTIONS,neutral,0,0,,这本是社会科学可以说明的,0.9,陈独秀_000_4825c389,陈独秀_000_4825c389_s0003
segment:d3072b79093d,entity:f8d558b4fa86,MENTIONS,MENTIONS,neutral,0,0,,决不是形而上的玄学可以说明的,0.9,陈独秀_000_4825c389,陈独秀_000_4825c389_s0003
segment:d3072b79093d,entity:eb4ceeaf84db,MENTIONS,MENTIONS,neutral,0,0,,张君劢举出九项人生观,0.9,陈独秀_000_4825c389,陈独秀_000_4825c389_s0003
segment:d3072b79093d,entity:30ff4991a20e,MENTIONS,MENTIONS,neutral,0,0,,第一，大家族主义和小家族主义,0.9,陈独秀_000_4825c389,陈独秀_000_4825c389_s0003
segment:d3072b79093d,entity:a1516bbf59cf,MENTIONS,MENTIONS,neutral,0,0,,纯粹是由农业经济宗法社会进化到工业经济军国社会之自然的现象,0.9,陈独秀_000_4825c389,陈独秀_000_4825c389_s0003
