source_id,target_id,type,relation,polarity,evidence,confidence,article_id,segment_id
author_447a6e18341d4dee,article_38a46dd33aea2528,WROTE,WROTE,neutral,,,王平陵_000_d1d9c442,
article_38a46dd33aea2528,segment_89425913cee726dc,HAS_SEGMENT,HAS_SEGMENT,neutral,,,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000
article_38a46dd33aea2528,segment_0f79b5821a0a66f4,HAS_SEGMENT,HAS_SEGMENT,neutral,,,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001
article_38a46dd33aea2528,segment_a5e8bf6fecf71d0d,HAS_SEGMENT,HAS_SEGMENT,neutral,,,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0002
segment_89425913cee726dc,entity_52eb1f3b41a422db,MENTIONS,MENTIONS,neutral,第一段首句,,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000
segment_89425913cee726dc,entity_404a38e650cffe16,MENTIONS,MENTIONS,neutral,第二段首句,,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000
segment_89425913cee726dc,entity_d06e2daa80ad91cb,MENTIONS,MENTIONS,neutral,第一段提及,,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000
segment_89425913cee726dc,entity_c2318e8c38c42fac,MENTIONS,MENTIONS,neutral,第一段提及,,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000
segment_89425913cee726dc,entity_660b0ca602fa5a1c,MENTIONS,MENTIONS,neutral,第一段提及,,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000
segment_89425913cee726dc,entity_36498d59f2e2c022,MENTIONS,MENTIONS,neutral,全文核心概念,,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000
segment_89425913cee726dc,entity_b26a5bc978b0122e,MENTIONS,MENTIONS,neutral,全文核心概念,,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000
segment_89425913cee726dc,entity_c13438443a4922cd,MENTIONS,MENTIONS,neutral,第一段提及,,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000
segment_0f79b5821a0a66f4,entity_36498d59f2e2c022,MENTIONS,MENTIONS,neutral,全文核心概念,,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001
segment_0f79b5821a0a66f4,entity_b26a5bc978b0122e,MENTIONS,MENTIONS,neutral,全文核心概念,,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001
segment_0f79b5821a0a66f4,entity_a1dc0d1ba13bebbd,MENTIONS,MENTIONS,neutral,物理学假定物质为常在,,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001
segment_0f79b5821a0a66f4,entity_72be496ac030d481,MENTIONS,MENTIONS,neutral,心理学假定精神为真有,,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001
