source_id,target_id,type,relation,polarity,evidence,confidence,article_id,segment_id
author_59934c803a81724d,article_3bc79bb307d377c6,WROTE,WROTE,neutral,,,章演存_000_aa7de44c,
article_3bc79bb307d377c6,segment_9c6cad91421f8f79,HAS_SEGMENT,HAS_SEGMENT,neutral,,,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000
article_3bc79bb307d377c6,segment_4074505b7f41d6f2,HAS_SEGMENT,HAS_SEGMENT,neutral,,,章演存_000_aa7de44c,章演存_000_aa7de44c_s0001
article_3bc79bb307d377c6,segment_83aeca330fd88bc8,HAS_SEGMENT,HAS_SEGMENT,neutral,,,章演存_000_aa7de44c,章演存_000_aa7de44c_s0002
article_3bc79bb307d377c6,segment_d9d539d9964b840d,HAS_SEGMENT,HAS_SEGMENT,neutral,,,章演存_000_aa7de44c,章演存_000_aa7de44c_s0003
article_3bc79bb307d377c6,segment_518fa8657424f008,HAS_SEGMENT,HAS_SEGMENT,neutral,,,章演存_000_aa7de44c,章演存_000_aa7de44c_s0004
article_3bc79bb307d377c6,segment_6d5ce2dd664e7273,HAS_SEGMENT,HAS_SEGMENT,neutral,,,章演存_000_aa7de44c,章演存_000_aa7de44c_s0005
entity_73639e532aa27761,entity_61e6036c4a7908db,RELATES_TO,作为论据支持,positive,但是现在有了“相对论”，却不能说科学纯为客观的，并且可以说是主观的了,1.0,章演存_000_aa7de44c,s0000
entity_61e6036c4a7908db,entity_96592052bdb28cd4,RELATES_TO,类比,neutral,人生观里最不容易统一的，就是一种情感作用；科学里边也有一种不容易统一的，就是广义的重力作用。,0.9,章演存_000_aa7de44c,s0001
entity_61e6036c4a7908db,entity_55b7a63b2fa24bed,RELATES_TO,相关,positive,庄子说：“有人之形，无人之情，”这就是去求人生原则的方法。,0.8,章演存_000_aa7de44c,s0001
entity_a8c752ba5332bbf9,entity_1560404be6c4de19,RELATES_TO,区分,neutral,意见和原则，性质完全不是一样的，所以不能比较。,1.0,章演存_000_aa7de44c,s0002
entity_13dd9d0ddd731f67,entity_36498d59f2e2c022,RELATES_TO,属于,neutral,科学为因果律所支配,0.9,章演存_000_aa7de44c,s0003
entity_5747f2c68bd725d2,entity_96592052bdb28cd4,RELATES_TO,属于,neutral,人生观则为自由意志的,0.9,章演存_000_aa7de44c,s0003
entity_61e6036c4a7908db,entity_32517cfe84af2270,RELATES_TO,批评,negative,张君提倡人生观，就是证明张君是先觉，豪杰，创造，天才吗？,0.9,章演存_000_aa7de44c,s0005
entity_61e6036c4a7908db,entity_32517cfe84af2270,RELATES_TO,质疑,negative,张君举出来的人生观对科学的五个异点，我们既然还有疑问，此外他说的“我”对“非我”九个问题，也就无从去讨论了。,0.9,章演存_000_aa7de44c,s0005
entity_61e6036c4a7908db,entity_9280d856e2205d37,RELATES_TO,归因于,negative,这个是非从什么地方产出来的？就是从张君“皆以我为中心”一句话产出来的。,0.9,章演存_000_aa7de44c,s0005
