node_id,labels,name,node_type,article_id,segment_id,title,text
article:22d8af5001cc,Article,人格与教育,Article,菊农_000_b90d5dfb,,人格与教育,
author:15a27e1dd01f,Author,菊农,Author,,,,
segment:aedfb7fbc7d5,Segment,菊农_000_b90d5dfb_s0008,Segment,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0008,,"而亦无之；只是一大调和。自然界一切事物，对于我都有精神的意义。个人不是要克制自然乃是要与自然和洽。小己人格充分实现时，便与宇宙融合无间了。这正是我们的理想。

教育的真意义，便是求这种理想的实现。人无教育，便不免为物所蔽，便不能得人格的实现。现代教育却只见得下层，不曾见到上层，所以将自然与个人对峙起来，社会与个人对峙起来；一部教育史，只有偏重个人或偏重社会的许多次反动。始终不能超过一层，从精神生活出发来做教育事业。所以我们的教育理想，似乎始终不曾实现过。

# (五)

现代的教育——在个人主义机械主义下的教育——完全是削足适履的教育，将个人的人格磨灭净了。好像南边人做糕点的有花样的印糕板一样，和好了灰面，只是在印糕板上一拍，便成了一块糕。印糕板只有一块，做出来的糕饼，便也是千块一律，花样相同，形式一致，做糕的人得意极了。现代教育也是这般。定一格式，务使受教育的都变成与这格式合式的，千人万人都一律，他们以为能事尽了。只可惜个人各有个性，各有人格，万不能强同，这一层他们却不问。只求形式，办的是教育制度，何尝是培养个性，扩大人格。

现在教育的大病，在太偏重知识，而忽略人生的别方面；即使知识方面的教育登峰造极，也只是畸形的发展。

现代教育之一大特色自然是科学。科学对于人类的贡献，我们不能否认，科学方法为求真之一种准备的方法，亦无疑义。"
segment:a037279e40c9,Segment,菊农_000_b90d5dfb_s0011,Segment,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0011,,"…但总觉得不对。只得先将自己的意见写出来再说。



这张表我自己并不满意，因为还有许多不完全的地方。个人生活至少有身心两方面，身便是身体，心是广义的心理生活。个人心理生活分情知意三部分，但是还有超乎知情意三分之上之精神生活，这是心理生活之最深处，人格活动之源泉。我以这种标准分教育为五大部分，即精神教育、意志教育、艺术教育、知识教育与体育。兹分别论之。

（一）体育 我所谓体育不仅是求身体的康健，是要求身体的健康与物质生活之满足。这是必须的。人生在世界上，便有他的生存权，应当满足他的物质生活。这一层现代教育是注意到的，不过也不能说是已经完全了。

（二）知识教育 从来教育皆是主知，现代教育更偏重这一层。知识固然是必要的。人有求知的要求；在这一方面，科学应努力前进，在他的范围内，应用他的方法求取真理。

（三）艺术教育 人是情感的动物，教育应当训练人的情感使情感得以发扬。培养情感的东西便是艺术。这句话并不是希望人人做艺术家，但人生却务必要使之艺术化。个人为培养情感起见，应生息于能与自然接触的境遇下，与自然融洽无间，不但使人生美化，亦可以窥见宇宙的神秘，领略到超人格活动的意义。

（四）意志教育 我们相信意志自由；要使人人自觉到这一点，靠行为实现他的理想。"
segment:b9b2563172e7,Segment,菊农_000_b90d5dfb_s0009,Segment,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0009,,"面；即使知识方面的教育登峰造极，也只是畸形的发展。

现代教育之一大特色自然是科学。科学对于人类的贡献，我们不能否认，科学方法为求真之一种准备的方法，亦无疑义。所以科学的好方面，一则是给我们以比较正确的知识，一则是给我们以从事实下手的归纳方法。但是说到科学似乎应该分四层：一是科学精神，一是科学方法，一是科学本身，一是科学的应用。所谓科学精神，便是实事求是的态度；科学方法便是试验的方法。现在所谓科学教育，其实只是后两层，不过是课程上增加课目而已。也不是向壁虚造的，只要看欧美各国学校里的科学课程便很清楚了。

但是我们可以很简单的说，科学教育是不够的。何以呢？这也有几种理由。

(一）常听见科学家说科学方法无所不能。科学方法便是

从事实归纳求公例的方法。科学方法注重实验，以为非实验得来的便靠不住。实验便只有以官觉所及的为基础，因此而否认官觉以外的存在。但人生决不仅是感觉与经验，假如学生仅以此为满足，则对于精神生活便不能了解，而为物界所限。

(二）科学家研究的对象是自然的各方面，科学家研究自然，必须假定自然是死的，否则无从下手。但因此便为人类设了一敌，却不道根本上原是调和的。若不能了解这根本上的调和，更何从而说到人格的实现。

(三）科学教育的最大贡献，是在理知方面的，是知识方面的；但是人决不仅是知识方面，知识最多只教人如何应付实际问题，是为应用的，本来理知便是为应用的。"
segment:7b105ccddf28,Segment,菊农_000_b90d5dfb_s0001,Segment,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0001,,"复兴；文艺复兴在艺术、文学与哲学，乃至于科学上的成功我们不能亦不愿意否认。但是他所酿成的痛苦与烦闷却亦不容不承认。

吃苦最利害的当然要算经济方面和教育方面了。在自由竞争的经济制度上那里能有真幸福与真自由；欧洲的大战和近十余年来猛烈的社会改造运动，以及劳动界的不安宁，都是“不打自招的供状”。教育方面呢，虽然“纸糊老虎”远看似乎看不出丝毫破绽来，但近看已经有无数的破洞了。现在要研究的便是教育问题。

前面已经略略提到各种社会活动，大部分是由时代的人生哲学所形成，教育亦不能外此。所以如果对于现代教育怀疑时，应当从根本上研究明了其所以致此之由，不应当仅仅在表面上批评他的制度乃至于课程，这样的批评，一定是搔痒不着。现代教育是文艺复兴后的产物，有好处呢，固然要谢文艺复兴；但是如果有坏处呢，亦是文艺复兴的责任。假如这句话不错，那么至少可以说，在现代教育的背后牵线的便是文艺复兴的两大精神，进一步说，现在教育是个人主义机械主义的教育；好处或者固然亦有，但是这两种人生态度的坏处，现代的教育却完全承受了。在个人主义机械主义之下，当然发生这样的教育；所以我们可以断言，改良现代的教育决不仅是形式的改革，科目的增删；须要根本上打破个人主义机械主义的人生观，建设新的人生哲学，从这新的人生哲学上出发，教育乃可以言改革。"
segment:3c2703aa030b,Segment,菊农_000_b90d5dfb_s0000,Segment,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000,,"(一)

中国近来的学问界寂寞的很，许久不曾看见辩论学问的文字。最近丁在君先生和张君劢先生忽然提出人生观与科学的问题来讨论，学问的花园里，渐渐有些春气了。君勋先生的文章上提到教育问题，他对于现代教育表示不满意的态度；这真是实际上极重要的问题，对于人类之未来有极重要的关系，所以我也乘此机会说几句话。至于他们所讨论的中心问题，也有些意见，且等以后再说。

我们立在理想主义的立足点上看，以为现代的悲哀、人生的烦闷、文化的停滞都是由西方文艺复兴的两种精神所酿成。我们常听见研究文艺复兴的历史家说，文艺复兴有两大意义，即新人与新宇宙之发现。主观方面是个人之发现，客观方面是宇宙之发现。换言之，便是个人主义与机械主义。假如我们听了历史家的话承认现代文明是文艺复兴的产物，那么现代的文明便是个人主义和机械主义的文明。

一个人的生活态度便足以规定他的一生；一时代的生活态度亦可以规定他各方面的社会制度和社会活动。个人主义与机械主义是近数百年来文艺复兴以后一般人对于生活的态度，这两种态度便形成了近数百年来的历史。无论在政治方面，经济方面，伦理方面，乃至于教育方面，都表现出这种人生观的根

据来。我们不愿意咒咀文艺复兴；文艺复兴在艺术、文学与哲学，乃至于科学上的成功我们不能亦不愿意否认。但是他所酿成的痛苦与烦闷却亦不容不承认。

吃苦最利害的当然要算经济方面和教育方面了。"
segment:8d86bcac7b25,Segment,菊农_000_b90d5dfb_s0007,Segment,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0007,,"不能分开说的，因为原是不能分开的，原是整个的。社会和个人是一全体的两方面。在我们经验所及的范围里，谁又见过纯粹独立的个人？谁又见过脱离个人的社会？个人与社会

都是一件事实的变形，这件事便是人生。人类生活之集合方面便是社会，特指方面便是个人。社会和个人并不是不同的现象，不过因人们观点的不同，便当做两件东西一般。实在是一件有生机、有目的、有自由、无时不创造的全体的表现。我们从人生全体看来，那里还有分别。如果自己要造出一堵墙来，要隔开两方面，注重所谓社会一方面便构成了社会压迫个性的状态；注重个人一方面便又构成自大的个人主义。无论是那一方面上占上风，人类生活的全体，却受了莫大的痛苦。教育的结果，便是畸形的发展。

我们这些话并不是什么特别的话；因为我们根本认定生活是一全体。社会是个人的全体，个人是全体的部分。部分的活动的全体，便是全体的创造。便是对于宇宙与个人的问题，也是这样的解答。

在机械的宇宙观之下，几乎认宇宙为敌，努力以求克制之道，科学之发达，这也是一个原因；但是为人之道却太苦；人生无时无刻不在防御自然压迫之中；个人无时无刻不在与自然为敌，因此而狭义的个人主义极发达。但是我们以为个人与宇宙在超越世界里并主客之分而亦无之；只是一大调和。自然界一切事物，对于我都有精神的意义。个人不是要克制自然乃是要与自然和洽。小己人格充分实现时，便与宇宙融合无间了。这正是我们的理想。"
segment:1bb640ca50c6,Segment,菊农_000_b90d5dfb_s0012,Segment,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0012,,"自然融洽无间，不但使人生美化，亦可以窥见宇宙的神秘，领略到超人格活动的意义。

（四）意志教育 我们相信意志自由；要使人人自觉到这一点，靠行为实现他的理想。

（五）精神教育 此最重要，要使人人了解人生的意义与价值，领会了解超人格的活动，实现个人与宇宙的调和，这一点，本能为力的地方很少，非用默想工夫不可。

个人能得这五方面的完全的调和的发展，便是人格的实现，这便是达到教育的目的。但是最后一句话，在机械主义的人生观下，这种理想是否可能呢，这却要大家去想一想的了。

—— 转录《晨报》副刊 ——"
segment:205336dc50eb,Segment,菊农_000_b90d5dfb_s0003,Segment,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0003,,"，希望用教育的方法，使未来的受教育的人能与这种理想适合。便是一般主张教育的目的是造成公民的教育家，也有他们的理想；他们的理想，便是要个个人都养成他心目中的公民。所以我们可以说因为要使理想实现，所以要教育。现代的教育便是硬将个人和社会分开，定一些标准说社会要合乎这些标准的个人，否则社会不敢欢迎，而这些标准，却并不能算做标准。

我们不妨老实的说，我们以为人生的理想便是教育的理想，理想的教育实现，便是理想的人生实现。人生的各方面便

是教育的方面，决不能离开人生谈教育。但是我们所谓人生不仅是那物质方面的生活，物质生活之上更有精神生活；不仅是外生活，更有内生活。

既然说到教育，必定是两个前提之下才谈得到。用极普通的话说，教育是求进步，但在“进步”这两个字之下，至少是从此一地位换到彼一地位，其中的意义便是“变”，如果宇宙的行历不是变，个人不能变，便根本上谈不到教育。幸而宇宙不是如此。我们以为宇宙自身便是在变化中，即变即本体，即此便是宇宙行历的意义；宇宙的行历，便是生活的创新，个人亦无日不在变中。所以变完全是可能的。但是假如宇宙虽是变化无已，而个人却完全受外围支配，则又何如？因为如果这样教育依然是不可能的。最要紧的是我们认定人们有自由意志，自由意志便是中心的创造力。换言之，我们承认内心心力可以使个人向上；如果内心对于人生之理想有了解和领会，内心之努力，便可以使理想实现。"
