source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
孙伏园,article:0557e2c0461f,WROTE,WROTE,neutral,0,0,,,,孙伏园_000_50fcd0d8,
term:5ada5c1c9764,term:443b32eb3dd4,RELATES_TO,导致,negative,-0.5,0.5,不适用,因为两方似乎并不攻守一个要塞，未免令观战人不十分痛快，参战人也不十分踊跃,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
term:da4572fa708f,term:b85ffed7e99b,RELATES_TO,主张,negative,-0.5,0.5,不适用,我以为现在两方都还没有注意到首先应该注意的三个问题,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
term:da4572fa708f,term:c556f8815d61,RELATES_TO,主张,positive,0.8,0.6,不适用,双方都应该宣布自己对于这三个名词的定义,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
term:da4572fa708f,entity:208bf0d99c76,RELATES_TO,定义,positive,1.0,0.8,概念澄清,玄学是整个地研究宇宙,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
term:da4572fa708f,entity:935ecd892d4a,RELATES_TO,定义,positive,1.0,0.8,概念澄清,科学是分别地研究宇宙,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
term:da4572fa708f,entity:8a958eb3bd82,RELATES_TO,定义,positive,1.0,0.8,概念澄清,人生观是某一个人（或某一派人）对于人生的见解与态度,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
term:da4572fa708f,term:6e24900ab8da,RELATES_TO,主张,positive,0.8,0.6,不适用,人生观对于玄学或科学的关系，远不如对于哲学的那样重要,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
term:da4572fa708f,entity:fa4ce2bd1b90,RELATES_TO,定义,positive,1.0,0.8,概念澄清,哲学是整个地和分别地研究人生,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
term:19491195c687,entity:e82c734cfca7,RELATES_TO,属于,neutral,0.0,0.0,不适用,其中第二部分，就是现在所谓晚出的科学,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
term:444862b1d437,entity:09d93e258179,RELATES_TO,支持,positive,0.8,0.6,部分肯定,如任君所论，人生观受科学方法的影响，我是极以为然的。,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002
term:444862b1d437,entity:0bacf98593d1,RELATES_TO,反对,negative,-0.6,0.5,一般批评,如丁君所论，人生观将来能不能统一是一事，言外是说人生观将来能统一的，我是不很希望的。,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002
term:444862b1d437,term:44898848a112,RELATES_TO,区分,neutral,0.0,0.3,概念澄清,再说，人生观受科学影响与受科学支配并不是一件事。,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002
term:444862b1d437,term:9c084cb0fe0c,RELATES_TO,批评,negative,-0.9,0.8,归谬,如果凡属思想都要受科学的支配，那么许多文学美术上极有价值的空想，都要宣告死刑了。,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002
term:444862b1d437,term:edb9d705784e,RELATES_TO,批评,negative,-0.9,0.8,归谬,如果各个人的人生观都要统一起来，那么思想没有自由发展的余地，人生只是呆板的干燥的单调的动物生活罢了。,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002
term:444862b1d437,entity:0bacf98593d1,RELATES_TO,批评,negative,-0.5,0.4,一般批评,丁君于讨论玄学与科学时大骂陆王固可不必，张君答辩时竟主张排斥汉学提倡宋学似乎更可不必。,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002
term:444862b1d437,entity:fe901cfcc616,RELATES_TO,批评,negative,-0.5,0.4,一般批评,丁君于讨论玄学与科学时大骂陆王固可不必，张君答辩时竟主张排斥汉学提倡宋学似乎更可不必。,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002
term:444862b1d437,term:2c862e4a75b2,RELATES_TO,相关,negative,-0.7,0.6,一般批评,我们回头看看历史上这种争论，已觉得多属无谓，难道还要自告奋勇跳入死尸队中去参战吗?,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002
