source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
章演存,article:f1078fc56c16,WROTE,WROTE,neutral,0,0,,,,章演存_000_aa7de44c,
entity:0bacf98593d1,entity:fe901cfcc616,RELATES_TO,批评,negative,-0.8,0.7,道德指责,弟对张君劢《人生观》提倡玄学与科学为敌，深恐有误青年学生，不得已而为此文,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000
entity:0bacf98593d1,entity:fe901cfcc616,RELATES_TO,回应,negative,-0.8,0.7,一般批评,弟对张君劢《人生观》提倡玄学与科学为敌，深恐有误青年学生，不得已而为此文,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000
entity:0bacf98593d1,term:3f57ffff253a,RELATES_TO,主张,positive,0.5,0.4,不适用,亦深望同人加入讨论,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000
term:3a603ffb0b3b,entity:0a5d9170d332,RELATES_TO,相关,negative,-0.3,0.4,部分批评,余本来不是十分满足现在的科学的,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000
term:3a603ffb0b3b,entity:feef3d6e6179,RELATES_TO,相关,negative,-0.3,0.4,部分批评,就是他的方法，也还不敢说是无所不能,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000
term:3a603ffb0b3b,entity:fe901cfcc616,RELATES_TO,相关,negative,-0.5,0.5,一般批评,再回过来看看张君的“人生观”，却论得太浑沌一点,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000
entity:fe901cfcc616,term:7028faba5476,RELATES_TO,主张,negative,-0.5,0.6,不适用,张君说人生的问题，决不是科学所能解决的,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000
entity:fe901cfcc616,term:7822bbd25613,RELATES_TO,主张,neutral,0.0,0.3,不适用,因为人生观和科学比较起来，有五个异点,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000
entity:fe901cfcc616,term:9263f8ee519b,RELATES_TO,主张,neutral,0.0,0.3,不适用,说是“东西万国，上下古今，无一定之解决”的,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000
term:3a603ffb0b3b,entity:9a186e499bcd,RELATES_TO,质疑,negative,-0.5,0.5,事实质疑,我们首先要和张君讨论的，就是人生观和科学的五个异点是对不对？有没有疑问?,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000
entity:fe901cfcc616,term:a62cff391c05,RELATES_TO,主张,neutral,0.0,0.3,不适用,第一个异点:科学为客观的，人生观为主观的,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000
term:3a603ffb0b3b,term:a62cff391c05,RELATES_TO,反驳,negative,-0.7,0.6,逻辑反驳,但是现在有了“相对论”，却不能说科学纯为客观的，并且可以说是主观的了,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000
entity:fe901cfcc616,term:b117293c67f6,RELATES_TO,主张,neutral,0.0,0.3,不适用,张君说：“同为人生，因彼此观察点不同而意见各异；”,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000
term:3a603ffb0b3b,term:f864c6132131,RELATES_TO,类比,neutral,0.0,0.3,不适用,“相对论”也说：“同一件事情，因彼此观察点不同而所见各异；”,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000
entity:c5790a7a1ed5,term:f864c6132131,RELATES_TO,主张,neutral,0.0,0.0,不适用,“相对论”也说：“同一件事情，因彼此观察点不同而所见各异；”,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0001
term:444862b1d437,entity:9ee1f1235059,RELATES_TO,相关,positive,0.8,0.5,援引权威支持,庄子说：“有人之形，无人之情，”这就是去求人生原则的方法。,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0001
term:444862b1d437,entity:fe901cfcc616,RELATES_TO,批评,negative,-0.8,0.7,概念混淆批评,张君往往把对于人生的意见和科学的原则去比较，其实意见自意见，原则自原则，不能相提并论的,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0001
term:444862b1d437,entity:fe901cfcc616,RELATES_TO,相关,neutral,0.0,0.0,作为批评对象,我们可以用张君答在君的话来说明：张君说：“常求所以变革之，以达于至善之境。”,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0001
term:444862b1d437,term:03f51a11b51b,RELATES_TO,区分,negative,-0.7,0.6,概念澄清,意见和原则，性质完全不是一样的，所以不能比较。,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0001
entity:3c0529812a62,entity:1833175dbdc3,RELATES_TO,归因于,negative,-0.8,0.8,不适用,潜心于西方学术之源流是果。这不是张君的人生观已经受了因果律的支配吗,0.9,章演存_000_aa7de44c,章演存_000_aa7de44c_s0004
term:3a603ffb0b3b,entity:fe901cfcc616,RELATES_TO,反驳,negative,-0.8,0.8,逻辑反驳,潜心于西方学术之源流是果。这不是张君的人生观已经受了因果律的支配吗,0.9,章演存_000_aa7de44c,章演存_000_aa7de44c_s0004
term:3a603ffb0b3b,entity:fe901cfcc616,RELATES_TO,质疑,negative,-0.7,0.7,逻辑反驳,张君提倡人生观，就是证明张君是先觉，豪杰，创造，天才吗,0.9,章演存_000_aa7de44c,章演存_000_aa7de44c_s0004
term:e369cef8b9b4,entity:fe901cfcc616,RELATES_TO,质疑,negative,-0.8,0.7,逻辑反驳,张君提倡人生观，就是证明张君是先觉，豪杰，创造，天才吗？,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0005
term:3a603ffb0b3b,entity:fe901cfcc616,RELATES_TO,批评,negative,-0.7,0.6,一般批评,我不知道张君的意思是这样否？但从张君的文字解释起来，确是这样的。,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0005
term:3a603ffb0b3b,entity:375d8d193bca,RELATES_TO,相关,neutral,0.0,0.0,援引权威,《庄子》的《齐物论》说：“物无非彼，物无非是，自彼则不见，自知则知之。……是亦彼也，彼亦是也。彼亦一是非，此亦一是非。果且有彼是乎哉？果且无彼是乎哉？”,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0005
term:3a603ffb0b3b,entity:375d8d193bca,RELATES_TO,解释,neutral,0.0,0.0,不适用,“是”就是“我”，“彼”是“非我”；一切是非，都从“彼是”出来，——就是都从“我”和“非我”的分别出来。,1.0,章演存_000_aa7de44c,章演存_000_aa7de44c_s0005
