node_id,labels,name,node_type,article_id,segment_id,title,text
article:ceb19a8021b7,Article,心理现象与因果律,Article,唐钺_000_b5cd146b,,心理现象与因果律,
author:fe8695ee7eff,Author,唐钺,Author,,,,
article:85df12bc7941,Article,“玄学与科学”论争的所给的暗示,Article,唐钺_001_c4e36ba4,,“玄学与科学”论争的所给的暗示,
article:58ae12f69245,Article,一个痴人的说梦 ——情感真是超科学的吗？,Article,唐钺_002_5e996979,,一个痴人的说梦 ——情感真是超科学的吗？,
article:a9c89b9230d3,Article,科学的范围,Article,唐钺_003_1292971a,,科学的范围,
article:7605b71c781d,Article,读了《评所谓“科学与玄学之争”》以后,Article,唐钺_004_0712956a,,读了《评所谓“科学与玄学之争”》以后,
segment:9e5700c5f373,Segment,唐钺_003_1292971a_s0001,Segment,唐钺_003_1292971a,唐钺_003_1292971a_s0001,,"要受试验者的制裁。就是不能试验的现象，也要用归纳五术等等以排除不相关的事实。人类的日常生活，条件过于复杂，并且事机迫不及待；这种真正的科学方法，不能够完全应用。所以我们做人处事的根据，多少含些臆测在内，不是真正的科学方法（这话，读者不要误解以为日常生活是“超科学的”，因为我们不能够完全应用，同科学方法之不可用，及我们应该尽量应用此法，是不同的命题）；所以无论一个人做人怎样诚实有条理，我们不能称他做科学家。林先生不过假定有这么一个完全应用科学方法去做人的人，然而实际上是没有。假如果然有这么一个人，我们很情愿称他做“做人的科学家”。第二，通常所谓科学家，单指用科学方法去研究事实而得他们的因果关系的人，不包括应用科学方法去创造（如艺术）或变更物我间的关系（如“做人”）的人。我们通常称呼，是照此例。若是严守此例，那末，就是有真正用科学方法去做人的人，也可以不称他做科学家了。

林先生又说“若谓绘画等，……既是应用科学的方法，总可谓之科学。其实这句话只可说：绘画等也未尝不可用科学的方法来研究；至于绘画自身……要说他是科学，就很费解的了”。林先生既然承认绘画可以用科学方法来研究，那末，当然可以有绘画的科学——即关于绘画的事实之科学的研究。这个绘画的科学，与绘画自身——即艺术品的创造——不是不相容的东西。至于绘画自身，虽然应用科学如透视学等，而实在是艺术，从来没有人称他做科学。"
segment:60c41feca7a6,Segment,唐钺_000_b5cd146b_s0010,Segment,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0010,,"本公例，是比在自然界难些。但是，心理界有如此的一律性，是无可疑的。两界中都没有孤立或无定律的元素；每一个元素，是与前此的、同时的、及此后的许多元素有确定的关系。任何地方，我们不容易化这些关系为数学的公式；但是这些关系的存在，是随在明白可见的。人默默地假定在完全相同之内部的及外界的情境之下，一定有相同的结果：一样的观念，一样的情绪，一样的意志，必随一样的刺激而起。自由与得正当了解的因果性，完全没有冲突的；自由不是超越法律的支配。伦理学对于一种内生活的自由，等于无定律无条贯的，实在没有趣味。反之，绝对不相连系的元素，与过去未来没有因果关系的孤立的意志，假如真有，就是意志的错乱；不！就是心灵生活的完全破坏。假如后事一点儿不为前事所决定，那末当然不能有练习与经验这种的事情，主义与决心，教育与公共制度，也没有效力。总而言之，没有因果性，就没有目的性。”（F. Paulsen, Introduction to Philosophy, translated by F. Thilly, P. 221）

---"
segment:82d764185d8e,Segment,唐钺_003_1292971a_s0000,Segment,唐钺_003_1292971a,唐钺_003_1292971a_s0000,,"自丁在君先生发表“凡是用科学方法的研究都是科学”（这是大意，原文见他的《玄学与科学》篇中）的意思以后，许多人大起恐慌，以为这样一来，学术界的地盘，都被科学占尽了。林宰平先生似乎就是有这样的感想的。他说：“其结果必至天地间无一不是科学罢了。”我的浅见，以为这样的结论，不能从丁先生的主张演绎出来。充丁先生的话的结果，不过说“天地间无一不是科学的材料”罢了。这样说是没有甚么不可通的地方。丁先生在他那篇《玄学与科学讨论的余兴》上说，他那方面的辩论“已经可以宣告终了”，我所以不怕读者讨厌，又提起这个问题的缘故，是因为我知道很多人有上述那样的恐慌的，我不妨将个人的浅见写出来同大家商量。我就把林先生的话做讨论的出发点，而旁及其他关于本题的意见。

林先生说：“譬如一步一步的先搜集材料，次假定公例，又次试验证明，这样诚实有条理，固然应用到那一方面都相宜。然科学若仅指这种空空洞洞的方法，那么凡做人能够诚实有条理的（按林先生的意思，应该说能够用假定，证明等方法的），都可称他是科学家么？”这有两层解答。第一，科学方法中所谓试验证明，是极其谨严的。试验时的一切条件，都要受试验者的制裁。就是不能试验的现象，也要用归纳五术等等以排除不相关的事实。人类的日常生活，条件过于复杂，并且事机迫不及待；这种真正的科学方法，不能够完全应用。"
segment:cc6eb748f06e,Segment,唐钺_003_1292971a_s0003,Segment,唐钺_003_1292971a,唐钺_003_1292971a_s0003,,"的“妖怪”的定义怎样。我们若以为妖怪是天地间一种实在的东西，同猴子、猫头鹰一样实在；那末，他的有无，还不可知。“皮之不存，毛将安傅”，当然不能有研究妖怪的科学。假如我们不过把“妖怪”代表某种非常现象，而用科学方法去制裁他们发生的条件而研究他们的性质，（或者结果证明‘妖怪’不过是变态心理作用），这种的研究，当然称为科学。

林先生以为丁先生说“胡适之讲《红楼梦》，也是科学”，是可笑的话。其实没有甚么可笑的，假如胡先生的讲《红楼梦》，是用真正科学方法以求得关于此书的事实，那当然是科学；假如他不过说欣赏的话头，那就不是科学。讲《红楼梦》之是否科学，要看他所用的方法怎样，不能因为讲的是《红楼梦》，而说他不是科学。

我的浅见，以为天地间所有现象，都是科学的材料。天地间有人，我们就有人类学、人种学、人类心理学等。天地间有鱼，我们就有鱼学。天地间有艺术，我们就可以有艺术学。天地间有宗教，我们就可以有宗教学。（现在所谓“艺术学”，“宗教学”是不是真正科学，与本题无关。）说艺术宗教的科学的研究是科学，不是说艺术宗教就是科学，同说鱼的科学研究是科学，不是说鱼就是科学一样。

很多人反对以艺术宗教为科学的材料，因为恐怕一经科学方法的解剖，宗教艺术都没有价值了。除非我们能够证明凡是经科学方法分析过的东西，都是没有价值的；我们尽可以宽怀过活，不必抱杞人之忧。"
segment:7183b22296f4,Segment,唐钺_002_5e996979_s0003,Segment,唐钺_002_5e996979,唐钺_002_5e996979_s0003,,"不尽意”），并不是不可分析，也并不是超乎理智的作用。

就是一时不能完全分析美感，但却不可不用分析方法来驾驭他。因为用所谓“直觉”，“综合”等方法，是无结果的。譬如杜甫的诗，用分析的方法，如《杜工部诗话》所采集来的材料中一部分，虽然不精密，还有可以使人了悟的地方。若不用分析法，简直一天到晚说他怎样沉郁，怎样浑雄，岂不是越说越糊涂了吗？

美的分析，现在虽然不精密，但是我们知道美一定不是不可分析的。我们知道野蛮人同小孩常常喜欢浓艳眩目的颜色，如深红，浓绿等，而且不管他们怎样配合。至于受过陶冶的人就喜欢“清微淡远”的颜色——如青，紫，及浅红，淡黄之类——并且注意他们的配合。这可见美不是超乎理智的东西，美感是随理智的进步而变化的。这种理智的成分，可以用科学方法支配的。其不可分析的部分，就是美的直接经验的性质；那是科学的起点，而且理智事项也都有这种不可分析的起点的。这种起点，就是所谓“所与性”。“所与性”的本身，不特不可分析，也是不必分析；我们所要分析的，是一个“所与”同别的“所与”的关系，就是要有什么其他“所与”而这一个“所与”才能发生。至于要分析“所与”的本体，是无意义的问题，好像问白色为什么是白色，或是问第一个以前还有第一个没有一样。

任公由美说到爱，他的浪漫的笔锋更起劲了。他说：“至于‘爱’，那更‘玄之又玄’了。假令有两位青年男女相约为‘科学的恋爱’，岂不令人喷饭？"
segment:607b140505f6,Segment,唐钺_000_b5cd146b_s0004,Segment,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0004,,"经验，可以说他们一定有因的。这一层，我在上节说过了。至于以为他们一定是无因的，一点根据都没有。他们又说，我们的直接经验，觉得他们是无因的。这“觉得”是靠不住的。野蛮人觉得雷一定是天神的发脾气，信鬼的觉得一定有鬼，我们不能承认他们的“觉得”是一种理由。

（乙）无因论者说，物质是死的，固定的，凝滞不变的，所以有因果可言；心理现象是活的，顷刻万变的，一定没有因果可言。这种的议论现代大多数思想家已经不承认。所谓物质，不过是“常久的感觉的可能”。这是穆勒约翰所下的定义，是现代人普遍承认的。近来爱因斯坦的相对论出来，更可以证明物质现象就是心理现象，不是死而固定的，比如风的方向速度是顷刻变化的，但是不能说他是没有因果可言；心理现象也是这样。

（丙）无因论者又说，心理现象就是柏格森所谓“纯粹绵延”。因为他是绵延，所以不能把他分作各个的状态。既然不能有各个的状态，当然不能说某状态是某别状态的因或果。这也是附会之说。心理现象不是永久绵延，也有间断的。杜里舒说：“以我观之，体验者乃断断续续的，而非永续的。故当比之于电光之烁闪，不得名曰河流。‘我有’、‘我体验’既为点的，则此断续势不能熔成一片，如不尽之江河。”（杜里舒《讲演录》《近世心理问题》第四期第二十一页）所以他不容纳“意识之流”的用语。杜氏在别地方与柏氏同意的很多，他的话当然不是门户之见。据我的经验，心理现象是断续无常的。"
segment:ad17e87804ab,Segment,唐钺_002_5e996979_s0006,Segment,唐钺_002_5e996979,唐钺_002_5e996979_s0006,,"死的时候，最受知遇的康有为却没有攀龙髯而去；康氏的为人不必论，但是这一点却不是他的坏处。田横岛上五百人的自杀，动机无可取，方法更无论，岂可看做极优的人生观？

至于“孔席不暖，墨突不黔，释迦割臂饲鹰（这是无稽的神话，我只是不相信），基督钉十字架替人赎罪（替人赎罪也是神话）”，这四个人是理智极高，感情极富的，于“民胞物与”的道理见得深切，所以有偌大的愿力，并没有什么不可思议的地方。这种极伟大的人物同冥顽不灵及穷凶极恶的人，一样是变态的，一样是可以分析他的成因的；不过现有的史料不够做根据罢了。这些人是经过后人多量的理想化的，所以我们觉得他们有神妙不可测的地方。请看《论衡·实知篇》，就知道汉时已经把孔子当做神人，能后知万世的了。耶稣、释迦的理想化，当然是更厉害。

至于“人类活历史，却什有八九从这种神秘（指‘一个人对于所信仰的宗教，对于所崇拜的人或主义，那种狂热情绪’）中创造出来”，这不能成为一种理由。热情生出活历史，固然是事实；但是，热情不可分析，又是一个问题，不能以前者证后者。这里，我可以带说一句话，就是这些热情所创造的活历史，至少一半是糟糕的。中国历朝的女祸，欧洲宗教的残杀史，就是因为热情脱离理智的羁绊的结果。这种“脱羁”的情绪，我们不必去鼓励他们。

我们所以看得爱这样神秘，是：（一）因为他的成因比别的心理事项复杂，一时不能分析得精密；"
segment:693c574c8c24,Segment,唐钺_000_b5cd146b_s0000,Segment,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0000,,"### 引言

在讨论以前，我要声明两件事：

第一，我这篇文的主意，在说明一切心理现象是受因果律所支配的；所有议论，其中很多是人家说过的，不过我把他们应用于本题罢了。

第二，篇中关于心理学内部的问题，都没有精密详细的讨论。这是没有法子的，因为篇幅所限，只能说个大概，以便做讨论的材料而已。

### 前论

#### （一）因果律的性质

我所谓因果律，就是说：一切现象，都有原因。比方我们遇了甲现象，随后就有乙现象发生；如没有甲，乙就不会发生；那末，我们就说，甲是乙的因。浅显的例，就如雪见日光就溶化，日光是雪化的因，这是知识没到十分精密时的说法。到了精密的时期，我们就有一个数学的公式来表达这种关系。再用前例说，我们有一个公式表明日光的热度与雪溶的速率的关系。到了这时候，我们可以不说前因后果，只说甲乙两种现象相待为变就是了。牛顿的万有引力公式，就是如此。但是无论如何，我们可以说，因果的关系，不过是可以互从推知的意思。换言之，遇甲现象发生，知道乙也要发生；见甲现象到某程度，就知道乙现象到某相当的程度。

因果律有几种应该注意的地方，可以略说一下子：

（甲）因果律是从经验得来的。初民及幼儿每每不知道有因果律，所以往往有可笑的幻想同奢望。但是，无因论者（为便利起见，我称主张心理现象是不受因果律所支配的人做无因论者；"
segment:a80c93061738,Segment,唐钺_004_0712956a_s0005,Segment,唐钺_004_0712956a,唐钺_004_0712956a_s0005,,"森在他的《伦理体系》第二卷第九章中把他分称心理的及玄学的。他说：“前者是指以自己的意志起决心及行为的能力（抉择的自由），后者是说意志或各特殊决心的自身没有原因。”（F. Paulsen, A System of Ethics, Bk. I Chap. IX）他在同章又说：“道德上的负责及法律上的负责不过根据于心理的自由。”我在《心理现象与因果律》里所否认的只是意志的玄学的自由（即意志无因），并没有否认心理上的自由。怎么可以说我否认道德上责任呢？

（乙）倘是有人说：我的意志既是为某些原因所制约，那末，你们去请那些原因负责好了，不要问我。然而我们所谓要一个人负责，不过说我们可以因他的行为的恶果而加以相当的科罚。这科罚的目的，正是要对治那些原因。因为意志的这些原因是在那个人的身上，因之，科罚也加在那个人的身上，期望能消灭这些原因或防阻他使不至妄发。所以我们如知道恶果的原因不在他的身上，如一个人饿了五六日以后，偷了三块饼吃之类，我们就不加罚于他，而只设法改良他的环境；因为这行为的主要原因不在他而在环境。又如白痴的人做坏事，我们不施刑罚；因为在这种人，施刑不能对治做坏事的原因。若说作恶既然是全由因果的必然关系，何以要对治。我们可以答说，社会的对治，也是因果的必然关系。

（丙）以上所说，或者有人以为只能说明意志有因不悖于负责原理，而不能免去把人生弄成毫无意味的结局。"
