source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
王星拱,article:2e2a0f76d038,WROTE,WROTE,neutral,0,0,,,,王星拱_000_4d6fdc04,
term:cf40a6166eff,entity:3d028da91b05,RELATES_TO,主张,neutral,0.0,0.0,不适用,张君劢先生和丁在君先生为了这个问题，打了一个月的恶战,1.0,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
term:444862b1d437,entity:d0d1106847ad,RELATES_TO,支持,positive,0.8,0.6,部分肯定,我早已也想摇旗呐喊，加入拥护科学的战团,1.0,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
term:444862b1d437,entity:86e7ddfcace5,RELATES_TO,回应,negative,-0.8,0.7,一般批评,这实在是误解科学方法,1.0,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
term:444862b1d437,entity:86e7ddfcace5,RELATES_TO,反驳,negative,-0.8,0.7,概念澄清,科学方法不是形式的逻辑，其中有许多精密严毅的手续,1.0,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
term:444862b1d437,entity:dff2e629a329,RELATES_TO,定义,neutral,0.0,0.5,概念澄清,科学方法不是形式的逻辑，其中有许多精密严毅的手续,1.0,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
term:444862b1d437,entity:06f2b674aa94,RELATES_TO,定义,neutral,0.0,0.5,概念澄清,广义的科学是：凡由科学方法制造出来的，都是科学,1.0,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
entity:86e7ddfcace5,entity:d484ddafe66e,RELATES_TO,相关,neutral,0.0,0.3,援引权威,见张东荪先生的《劳而无功》论文,0.9,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
term:444862b1d437,entity:dff2e629a329,RELATES_TO,区分,neutral,0.0,0.5,概念澄清,科学方法不是形式的逻辑,1.0,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
entity:0a5d9170d332,entity:f25b4dde188d,RELATES_TO,包含,positive,1.0,0.5,不适用,科学所凭藉以构造起来的，有两个原理:(一）是因果之原理（Causality）,0.9,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002
entity:0a5d9170d332,entity:11ba5407cd84,RELATES_TO,包含,positive,1.0,0.5,不适用,"科学所凭藉以构造起来的，有两个原理:(一）是因果之原理（Causality）,(二）是齐一之原理（Uniformity）。",0.9,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002
entity:f25b4dde188d,entity:ee18ae27c4f8,RELATES_TO,包含,positive,1.0,0.5,不适用,这个原理里边，包含着可分之原理（Divisibility）或多元之原理（Pluralism）。,0.9,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002
entity:f25b4dde188d,entity:79495b10c88c,RELATES_TO,包含,positive,1.0,0.5,不适用,这个原理里边，包含着可分之原理（Divisibility）或多元之原理（Pluralism）。,0.9,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002
term:7c07c17c1b32,entity:f25b4dde188d,RELATES_TO,反对,negative,-0.8,0.8,逻辑反驳,有些哲学家以为宇宙是不可分的，故对于这个原理，极端反对。,0.9,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002
entity:a46ccec33048,entity:d5337eb5fc05,RELATES_TO,作为论据支持,positive,0.8,0.6,援引权威,姑举一例而言：布拉德烈（Bradley）说：我不懂得何以糖是甜的？,0.9,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002
entity:9ee1f1235059,entity:d5337eb5fc05,RELATES_TO,作为论据支持,positive,0.8,0.6,援引权威,庄子说：“今日适越而昔至”“庸讵知天之非人乎？庸讵知人之非天乎？”也是宇宙不可分析的意思。,0.9,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002
term:8d1e62bfe56f,term:43946ee33668,RELATES_TO,导致,positive,0.5,0.5,不适用,因为糖中有糖质，所以糖是甜的。,0.9,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002
term:8d1e62bfe56f,term:43946ee33668,RELATES_TO,归因于,positive,0.5,0.5,不适用,因为糖中有糖质，所以糖是甜的。,0.9,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002
entity:9ee1f1235059,entity:d5337eb5fc05,RELATES_TO,主张,neutral,0.0,0.0,不适用,庄子说：“今日适越而昔至”“庸讵知天之非人乎？庸讵知人之非天乎？”也是宇宙不可分析的意思。,1.0,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0003
