source_id,target_id,type,relation,polarity,evidence,confidence,article_id,segment_id
author_8cad7462b50b20ed,article_7b1072bc5401c5b8,WROTE,WROTE,neutral,,,林宰平_000_acbbe922,
article_7b1072bc5401c5b8,segment_51bfe9f20a865586,HAS_SEGMENT,HAS_SEGMENT,neutral,,,林宰平_000_acbbe922,林宰平_000_acbbe922_s0000
article_7b1072bc5401c5b8,segment_7076fee3fb13c77d,HAS_SEGMENT,HAS_SEGMENT,neutral,,,林宰平_000_acbbe922,林宰平_000_acbbe922_s0001
article_7b1072bc5401c5b8,segment_8950d232d2833621,HAS_SEGMENT,HAS_SEGMENT,neutral,,,林宰平_000_acbbe922,林宰平_000_acbbe922_s0002
article_7b1072bc5401c5b8,segment_4b22506b4308b3f9,HAS_SEGMENT,HAS_SEGMENT,neutral,,,林宰平_000_acbbe922,林宰平_000_acbbe922_s0003
article_7b1072bc5401c5b8,segment_6d9b1faaecea1b96,HAS_SEGMENT,HAS_SEGMENT,neutral,,,林宰平_000_acbbe922,林宰平_000_acbbe922_s0004
article_7b1072bc5401c5b8,segment_40c621f5a06452ff,HAS_SEGMENT,HAS_SEGMENT,neutral,,,林宰平_000_acbbe922,林宰平_000_acbbe922_s0005
article_7b1072bc5401c5b8,segment_c64dabcfded818b0,HAS_SEGMENT,HAS_SEGMENT,neutral,,,林宰平_000_acbbe922,林宰平_000_acbbe922_s0006
article_7b1072bc5401c5b8,segment_dc68eb9548b3f633,HAS_SEGMENT,HAS_SEGMENT,neutral,,,林宰平_000_acbbe922,林宰平_000_acbbe922_s0007
article_7b1072bc5401c5b8,segment_70f91b1099bb4d8d,HAS_SEGMENT,HAS_SEGMENT,neutral,,,林宰平_000_acbbe922,林宰平_000_acbbe922_s0008
article_7b1072bc5401c5b8,segment_56bdc80d658e9be4,HAS_SEGMENT,HAS_SEGMENT,neutral,,,林宰平_000_acbbe922,林宰平_000_acbbe922_s0009
article_7b1072bc5401c5b8,segment_a5b11e13b02afa34,HAS_SEGMENT,HAS_SEGMENT,neutral,,,林宰平_000_acbbe922,林宰平_000_acbbe922_s0010
article_7b1072bc5401c5b8,segment_3ba88bd2b04a196d,HAS_SEGMENT,HAS_SEGMENT,neutral,,,林宰平_000_acbbe922,林宰平_000_acbbe922_s0011
article_7b1072bc5401c5b8,segment_fc2f5c8ec6c38cb6,HAS_SEGMENT,HAS_SEGMENT,neutral,,,林宰平_000_acbbe922,林宰平_000_acbbe922_s0012
article_7b1072bc5401c5b8,segment_1eaa5329a08ba155,HAS_SEGMENT,HAS_SEGMENT,neutral,,,林宰平_000_acbbe922,林宰平_000_acbbe922_s0013
article_7b1072bc5401c5b8,segment_1186d41dfb7c71bf,HAS_SEGMENT,HAS_SEGMENT,neutral,,,林宰平_000_acbbe922,林宰平_000_acbbe922_s0014
article_7b1072bc5401c5b8,segment_9c8ee1f2e5740105,HAS_SEGMENT,HAS_SEGMENT,neutral,,,林宰平_000_acbbe922,林宰平_000_acbbe922_s0015
article_7b1072bc5401c5b8,segment_8b2fafc6aefc2d9d,HAS_SEGMENT,HAS_SEGMENT,neutral,,,林宰平_000_acbbe922,林宰平_000_acbbe922_s0016
