source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
穆,article:aa08800b1bb6,WROTE,WROTE,neutral,0,0,,,,穆_000_d6755881,
entity:1510da51543f,term:65def9fee5db,RELATES_TO,主张,negative,-0.5,0.5,不适用,"神秘派的感情派的伦理派的人们，对于外界事实,往往有一种直率的口吻，说这是自然有的，或是说道是不应该有的",1.0,穆_000_d6755881,穆_000_d6755881_s0002
entity:f0e3a9838a47,entity:1510da51543f,RELATES_TO,反驳,negative,-0.8,0.7,逻辑反驳,但是在科学家的口里，他们决不如此说。,1.0,穆_000_d6755881,穆_000_d6755881_s0002
entity:f0e3a9838a47,term:8274d305dbb3,RELATES_TO,主张,positive,1.0,0.7,不适用,科学家只叫人知道，在如何条件之下，某事实便会有，在如何条件之下，某事实便会无。,1.0,穆_000_d6755881,穆_000_d6755881_s0002
term:fbabb0136e43,entity:67821481a750,RELATES_TO,导致,positive,0.8,0.6,不适用,这种态度，应用人生观上，当正可有绝大之影响。,1.0,穆_000_d6755881,穆_000_d6755881_s0002
term:60f574b27f2c,term:ca51aab08ae9,RELATES_TO,导致,negative,-0.7,0.6,不适用,譬如论到家庭问题，说他是天然的罢，便懒了人们改革的心愿,1.0,穆_000_d6755881,穆_000_d6755881_s0002
term:83b5cb490814,term:308a21dc9fa5,RELATES_TO,导致,positive,0.8,0.7,不适用,现在晓得家庭的组织，并不是天生便如此了，并不是理所当然了，鼓动起人们改革的希望和勇气。,1.0,穆_000_d6755881,穆_000_d6755881_s0002
entity:850aa375b113,term:e6735f90bd72,RELATES_TO,主张,negative,-0.5,0.5,不适用,一般人怪他是物质生活之流弊，是科学教育之传主母,1.0,穆_000_d6755881,穆_000_d6755881_s0002
term:444862b1d437,entity:850aa375b113,RELATES_TO,反驳,negative,-0.8,0.7,逻辑反驳,我想科学那肯承受呢？,1.0,穆_000_d6755881,穆_000_d6755881_s0002
term:494a1df88656,term:16b9cde7fc33,RELATES_TO,导致,positive,0.7,0.6,不适用,"只因他因果的观念深了，所以不看得事实的善恶（都是条件下的产儿),不见得吾心之好恶（都要在条件下去解决)",1.0,穆_000_d6755881,穆_000_d6755881_s0002
term:444862b1d437,term:ecedda90c862,RELATES_TO,主张,positive,1.0,0.8,不适用,我所以说科学家人生观的第三条件，应该是条理密察。,1.0,穆_000_d6755881,穆_000_d6755881_s0002
term:444862b1d437,entity:0bacf98593d1,RELATES_TO,质疑,negative,-0.6,0.5,事实质疑,否则何以丁先生站在科学的地位，而用神秘派感情派的口吻,1.0,穆_000_d6755881,穆_000_d6755881_s0004
term:444862b1d437,entity:65aee8160ea6,RELATES_TO,相关,negative,-0.7,0.6,一般批评,法宝虽灵，依我看来，至多把来做一个护身符，不给玄学鬼迷上，若要收服玄学鬼，恐怕还非这件法宝的能事,1.0,穆_000_d6755881,穆_000_d6755881_s0004
term:444862b1d437,entity:0bacf98593d1,RELATES_TO,批评,negative,-0.7,0.6,一般批评,丁先生自己先不肯低首下心的承认事实，平心静气的把事实研究，而想一个合理的解决方法来,1.0,穆_000_d6755881,穆_000_d6755881_s0004
entity:fe901cfcc616,entity:0a5d9170d332,RELATES_TO,反对,negative,-1.0,0.8,一般批评,张先生反对科学,1.0,穆_000_d6755881,穆_000_d6755881_s0004
entity:fe901cfcc616,entity:8ca0142bb90d,RELATES_TO,归因于,negative,-0.5,0.5,不适用,说近世国家主义也是科学之流弊所致,1.0,穆_000_d6755881,穆_000_d6755881_s0004
entity:fe901cfcc616,term:a1e5a69a0712,RELATES_TO,主张,positive,0.8,0.6,不适用,所以要提出形上的内心生活来补偏救弊,1.0,穆_000_d6755881,穆_000_d6755881_s0004
