node_id,labels,name,node_type,article_id,segment_id,title,text
article_1e40504b06f11457,Article,劳而无功 —— 评丁在君先生口中的科学,Article,张东荪_000_a9bf05ee,,劳而无功 —— 评丁在君先生口中的科学,
author_61fbbbacbb4cfd55,Author,张东荪,Author,,,,
segment_4b3e860472c1d2b0,Segment,张东荪_000_a9bf05ee_s0000,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0000,,"丁在君先生为反对张君劢先生的“人生观”，于是拿了“科学”来打“玄学”。迄至昨日止，我已拜读了他的洋洋大文两篇了。我读了他的第一篇文章时候，就觉得有许多话非说不可，但我仍是暂时忍着。后来看见林宰平先生一篇文章，我真跳起来。凡我所蓄于肚里，所要说的话差不多都被林先生说出来了。我十分佩服林先生，却又十分感激林先生，因为这一下我既可不闷得难受，又可不必写得手酸。我肚里的意思虽经林先生发泄了十分之九，然尚有一分，似乎亦应得吐出，方能痛快。所以我看见林先生的文章后即加了一些按语；继而一想，按语总不十分畅达。因此我把按语拿来改编，以成此篇。

我于开始以前有一个重要的声明：就是我对于丁、张两先生都是朋友；我今天只驳丁先生而不驳张先生并不是由于友谊有厚薄。只因为我有个脾气是不欢喜锦上添花而只欢喜雪中送炭。在丁先生第一篇文章初发表时，就有人来报告于我，说丁先生方面已预备有许多人对于张先生一个人来“群起而攻之”。（这个话本是谣言，不过《努力周报》迄至今日却除张先生自己的文章外，所有谈到“科玄之战”的无一不是反对张先生的。）我当时听了这个传闻，虽明知不可靠，但却预料丁先生方面（即攻击张君劢的方面）总不会寂寞了，用不着我来凑热闹。于是我决定对于丁先生来烧一烧冷灶。想不到素来不甚做文

章的林先生居然放了一鸣惊人的响炮，把我的文章十分之九都抢了去了。"
segment_3b003214827746af,Segment,张东荪_000_a9bf05ee_s0001,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001,,"的方面）总不会寂寞了，用不着我来凑热闹。于是我决定对于丁先生来烧一烧冷灶。想不到素来不甚做文

章的林先生居然放了一鸣惊人的响炮，把我的文章十分之九都抢了去了。对于丁先生所应当说的话十分之九既被林先生道破了，我今天所说只是一些余义。既是余义，便是“附言”的性质，所以很难标个题目。若标题为“反诘丁先生”罢，或“对于丁先生的怀疑”罢，则所应反诘的所挟疑问的决不止此数。所以我不得已，便拿我这篇文章的结尾上一句话为题目。这原是由于想不出好题目来的缘故。

为叙述简明计，我先说明我对于丁先生的态度，然后加以理由。现在即列举如下:

(甲）我认为丁先生不是真正拿科学来攻玄学，而只是采取与自己性质相近的一种哲学学说而攻击与自己性质相远的那种哲学学说。

(乙）我认为丁先生对于科学的真正性质没有说明白。

(丙）我认为丁先生对于科学，与汉学家的考据混为一谈，这样宣传科学是有害无益的。

纲领既定，请加以说明。先讲第一点。丁先生第一篇题目是《科学与玄学》，第二篇亦离不了科玄字样，当然以科学为符箓而拘拿那个名叫“玄学”的鬼了。可是玄学这个鬼却亦非常调皮，他一躲便躲在名叫“哲学”的人身上，丁先生投鼠忌器起来，于是枪法就乱了。丁先生对于玄学始终不下一个明切的定义；对于玄学与哲学的关系亦始终无一字提及。敌人尚未认清，就先开炮，我真佩服丁先生的勇敢。要是换了小弟兄，万万办不到。其实玄学的性质亦很易明白。"
segment_e6ba8557225e83df,Segment,张东荪_000_a9bf05ee_s0002,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002,,"终不下一个明切的定义；对于玄学与哲学的关系亦始终无一字提及。敌人尚未认清，就先开炮，我真佩服丁先生的勇敢。要是换了小弟兄，万万办不到。其实玄学的性质亦很易明白。哲学向来分三部：即认识论、本体论、宇宙论便是。因旧日的沿习，学者往往名本体论与宇宙论为玄学。可见玄学就是哲学，不过范围较狭而已。哲学中本来有两派：一派始终没有深入本体论的野心；一派有这种野心。丁先生最喜欢听胡适之先生的话，胡先生凡事都取历史的观察态度。我希望丁先生亦学一学胡先生，把自从希腊以来的思想史一看，便是这两派的由来了。我以为这两派的战

如外国人不必参加我们的朱陆异同一样。哲学一天发达一天，玄学的意味早已变迁了。丁先生还要俯拾当时攻击玄学（其实当时的玄学只是神学）的话来说，未免近于无的放矢。丁先生崇拜詹姆士，我请拿詹氏的话来告诉丁先生。詹氏在他的《哲学之几问题》一书第一讲上就说玄学在最初的意思是与科学相反，其实我们应得变更原有的意思。"
segment_2a5626710832c2ab,Segment,张东荪_000_a9bf05ee_s0003,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0003,,"近于无的放矢。丁先生崇拜詹姆士，我请拿詹氏的话来告诉丁先生。詹氏在他的《哲学之几问题》一书第一讲上就说玄学在最初的意思是与科学相反，其实我们应得变更原有的意思。（按原文如下:In the modern sense of something contrasted with science, philosophy means metaphysics. The older sense is the more worthy sense, and as the results of science get more available for co-ordination, and conditions for finding truth in different kinds of question get more methodically defined, we may hope that the term will revert to its original meaning, science, metaphysics and religion may then again form a single body of wisdom, and lend each other mutual support.）不仅如此，他并且说哲学对于人生非常重要，不能反对。"
segment_640b4fffdc6f5d4f,Segment,张东荪_000_a9bf05ee_s0004,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0004,,"le body of wisdom, and lend each other mutual support.）不仅如此，他并且说哲学对于人生非常重要，不能反对。丁先生若不推崇詹姆士，我原不敢拿他来做挡箭牌。只因为丁先生好像是个詹姆士的知己，知道他称赞柏格森是一种虚让，不是由衷之言。但詹姆士的话如上述的，我却不敢包是违心之论，所以仍旧举了出来，请丁先生再鉴定一下。但是我不由得要说一句笑话：就是张先生拉了兰克司德，而偏偏丁先生不争气亦拉了一个詹姆士，真是无独有偶了。虽然，我本来亦晓得哲学与科学的界限是难分的：如牛顿的绝对运动论在当时何尝不是科学，然而马赫便说是哲学而不是科学。而马赫的经验论却被发明量子的濮朗克所讥笑：以为仍是哲学而不是科学。马赫攻牛顿，濮朗克再攻马赫，难保不再有人攻濮朗克么？所以这种争论实是无谓。我以为我们东方人学西方思想却不必并此无谓的东西亦学了来。我现在

更举一个好例，这个例就是丁先生的话。丁先生说柏格森说心的绵延如雪的堆积完全是比喻，不能算数。诚然，但请问丁先生为何对于马赫所说思想和天响雷一样（按原文为We should say ""it thinks"" just as we say ""it lightens"",今照丁先生译文),即不认为比喻呢？难道不是同一比喻么？何以对于一个比喻存而疑之，对于另一个比喻则存而不疑？"
segment_78776ba2536567b2,Segment,张东荪_000_a9bf05ee_s0005,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005,,"st as we say ""it lightens"",今照丁先生译文),即不认为比喻呢？难道不是同一比喻么？何以对于一个比喻存而疑之，对于另一个比喻则存而不疑？何以对于一个比喻则引为攻击之的，对于另一个比喻则引为攻击之具呢？这种以矛攻盾，是否科学家的态度呢？所以我劝丁先生不必高谈科学，老老实实自认是对于某种哲学因与自己的性质相近而欢喜，对于某种哲学因性质相远而厌恶罢了。近来精神分析学研究人把性情志愿假装为理论以发表，名曰“理由化”。我看丁先生的这种科学论完全是理由化。须知“心”“物”等问题不谈则已，一谈便就到了哲学里头去了。从正面肯定，固然是哲学，而从反面否定，亦离不了哲学。我现在亦学胡适之先生把孙行者与如来佛的比喻，用在我所敬爱的丁先生身上：哲学就好譬如来佛的掌心，丁先生一个舫斗翻了十万八千里，以为出了哲学的范围，其实还在如来佛掌心里。

说到第二点，则是全篇主旨所在了。丁先生对于科学的性质，与科学的确实性，所说的话皆不能使我满意。先讲科学的性质。丁先生在他的第一篇中说了，又在第二篇中重言以申明之。其原文如下:

“科学的方法不外将世界的事实分起类来，求他们的秩序。等到分类秩序弄明白了，再想一句最简单明白话来概括这许多事实，这叫做科学公例。凡是事实都可以用科学方法研究，都可以变做科学。”

我现在要求读者重读的即是“对于事实，分类以求其秩序”，与“拿简明的话概括许多事实”这两句。"
segment_b5353f1f24a12eba,Segment,张东荪_000_a9bf05ee_s0006,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0006,,"，这叫做科学公例。凡是事实都可以用科学方法研究，都可以变做科学。”

我现在要求读者重读的即是“对于事实，分类以求其秩序”，与“拿简明的话概括许多事实”这两句。以浅陋如我的人看来，我们的常识就是分类以求秩序和用简明的话以概括许多事实。如我们说“金”、“银”、“铜”、“铁”便可算对于自然的事实

为之分类，并且这四个字便是简明的话可以概括许多事实。设我这个解释没有误会，岂不是科学与常识相同么？但实际上取得科学资格最早的是物理学，物理学就不仅是对于自然的万物分起类来以求他们的秩序。如“金”、“银”等是常识的分类，科学上却只是原子，并且近来电学进步了，知道原子的不同是由于阴电子的数目。若果科学的能事仅是分类，实际上却愈分而类愈不立，换言之，即所谓“类”反而逐渐消灭了，难道科学不亦要跟着消灭么？如晚近的相对论，其生命就在几个公式，我们实在看不出他是对于何种事实分类。科学发达的结果得着了一个“有教无类”，则说科学就是分类未免太初步了罢。再如植物学、动物学，好像是完全基于分类的；其实植物学中另有植物分类学，而这个植物分类学在植物学全体中并不占第一把交椅，则其故可以思了。至于丁先生这种论调，我知道是本于皮尔逊，不过丁先生也太无抉择了罢。所以我不能不立一个代替说以补丁先生的不足，我的话曾附载于梁任公先生文章的骥尾，现在再抄录如下:"
segment_bedffc41d4c50ea0,Segment,张东荪_000_a9bf05ee_s0007,Segment,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0007,,"丁先生这种论调，我知道是本于皮尔逊，不过丁先生也太无抉择了罢。所以我不能不立一个代替说以补丁先生的不足，我的话曾附载于梁任公先生文章的骥尾，现在再抄录如下:

“据我所见，科学乃是对于杂乱无章的经验以求其中的‘比较不变的关系’。这个即名为法式或法则（也许是暂定的）。如两个人加两个狗是四，而两个猫加两个鼠亦是四，都可用一个加号来表示。因为经验的内容总是只有一次的，如我今天写字便与昨天写字不同，所以科学并不十分注重于内容，而注重于方式，即是关系，即是关系的定式。所以分类乃仍是初步，而不是最后的。至于得了这个‘比较不变的关系’的定式便用一个简单明白的表号，但这个却不是‘概括这些许多事实’。”

照我这样说，设没有大错，则我们便知道科学的公例不是概括许多事实的一个简明话，乃是表示与内容无甚关系的方式。上文所述的猫狗等都是关系者，都是内容，而科学的目的则不在问任何关系者而求比较不变的关系，不问任何内容而求比较确定的方式。但科学并非对于内容诿为不知，却以为一切

内容都是关系所造。相对论便是顺着这个趋向而得成功的。所以科学能昂首天外，亦正在此。得了这个定式，便可自由操纵一切。

可见科学自身便有论理，科学不必另外求助于形式论理。这一点我觉得自命担负宣传科学的大责任的丁先生却没有看清楚。林先生说丁先生的论理思想太旧了，真是实获我心的话。"
