source_id,target_id,type,relation,polarity,evidence,confidence,article_id,segment_id
author_26b783b382197209,article_5a3e9f318898b03f,WROTE,WROTE,neutral,,,王星拱_000_4d6fdc04,
article_5a3e9f318898b03f,segment_9ca4ea06f58891d8,HAS_SEGMENT,HAS_SEGMENT,neutral,,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
article_5a3e9f318898b03f,segment_e85294555d058ec5,HAS_SEGMENT,HAS_SEGMENT,neutral,,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0001
article_5a3e9f318898b03f,segment_129aeb0a3e3c94d5,HAS_SEGMENT,HAS_SEGMENT,neutral,,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002
article_5a3e9f318898b03f,segment_a0ed62ef2a712d1f,HAS_SEGMENT,HAS_SEGMENT,neutral,,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0003
article_5a3e9f318898b03f,segment_fca660f1e8fd9a88,HAS_SEGMENT,HAS_SEGMENT,neutral,,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0004
article_5a3e9f318898b03f,segment_3d9f32d74b2ede0d,HAS_SEGMENT,HAS_SEGMENT,neutral,,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0005
article_5a3e9f318898b03f,segment_bfb5dff8da13bb6a,HAS_SEGMENT,HAS_SEGMENT,neutral,,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0006
article_5a3e9f318898b03f,segment_64affdbbce39e1e2,HAS_SEGMENT,HAS_SEGMENT,neutral,,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0007
article_5a3e9f318898b03f,segment_bdd2f670a77aa148,HAS_SEGMENT,HAS_SEGMENT,neutral,,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0008
article_5a3e9f318898b03f,segment_68a2a75fa941c21e,HAS_SEGMENT,HAS_SEGMENT,neutral,,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0009
article_5a3e9f318898b03f,segment_73ed4266ee33f28a,HAS_SEGMENT,HAS_SEGMENT,neutral,,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0010
article_5a3e9f318898b03f,segment_e26e8a0aa7ce077f,HAS_SEGMENT,HAS_SEGMENT,neutral,,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0011
article_5a3e9f318898b03f,segment_884d35c3056d0afd,HAS_SEGMENT,HAS_SEGMENT,neutral,,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0012
article_5a3e9f318898b03f,segment_db70509026d325c2,HAS_SEGMENT,HAS_SEGMENT,neutral,,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0013
article_5a3e9f318898b03f,segment_b87d7930ed3c67dc,HAS_SEGMENT,HAS_SEGMENT,neutral,,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0014
segment_9ca4ea06f58891d8,entity_91765cd30cbb3870,MENTIONS,MENTIONS,neutral,原始文本第一句,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
segment_9ca4ea06f58891d8,entity_7848e17f97774e9f,MENTIONS,MENTIONS,neutral,原始文本第一句,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
segment_9ca4ea06f58891d8,entity_5d1330f8bbc558cc,MENTIONS,MENTIONS,neutral,原始文本中提及,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
segment_9ca4ea06f58891d8,entity_2b330f81438116fb,MENTIONS,MENTIONS,neutral,原始文本中提及,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
segment_9ca4ea06f58891d8,entity_36498d59f2e2c022,MENTIONS,MENTIONS,neutral,核心讨论概念,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
segment_9ca4ea06f58891d8,entity_96592052bdb28cd4,MENTIONS,MENTIONS,neutral,核心讨论概念,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
segment_9ca4ea06f58891d8,entity_b7193697ef07a82a,MENTIONS,MENTIONS,neutral,原始文本中定义,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
segment_9ca4ea06f58891d8,entity_2e2b7c5f6dab038b,MENTIONS,MENTIONS,neutral,原始文本中提及,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
segment_9ca4ea06f58891d8,entity_caf0b96241857724,MENTIONS,MENTIONS,neutral,原始文本中提及,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
segment_9ca4ea06f58891d8,entity_d6195f34eaa380aa,MENTIONS,MENTIONS,neutral,原始文本中提及,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
segment_9ca4ea06f58891d8,entity_1a728299f229a465,MENTIONS,MENTIONS,neutral,原始文本中比喻,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
segment_9ca4ea06f58891d8,entity_5a66e9dab8a3dd8d,MENTIONS,MENTIONS,neutral,原始文本中比喻,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
segment_9ca4ea06f58891d8,entity_46b9c48a309aeb1c,MENTIONS,MENTIONS,neutral,原始文本中提及,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000
segment_129aeb0a3e3c94d5,entity_ea5b23d49505fb35,MENTIONS,MENTIONS,neutral,文本中明确提到,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002
segment_129aeb0a3e3c94d5,entity_79e2daba61fab37f,MENTIONS,MENTIONS,neutral,文本中明确提到,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002
segment_129aeb0a3e3c94d5,entity_7edc85e3f3864aa5,MENTIONS,MENTIONS,neutral,文本中明确提到,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002
segment_129aeb0a3e3c94d5,entity_93cb170eb406c8be,MENTIONS,MENTIONS,neutral,文本中明确提到,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002
segment_129aeb0a3e3c94d5,entity_3400cf8737616c1e,MENTIONS,MENTIONS,neutral,文本中明确提到,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002
segment_129aeb0a3e3c94d5,entity_55b7a63b2fa24bed,MENTIONS,MENTIONS,neutral,文本中明确提到,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002
segment_129aeb0a3e3c94d5,entity_ffee678b1b234037,MENTIONS,MENTIONS,neutral,文本中明确提到,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002
segment_129aeb0a3e3c94d5,entity_a84f81e17b3fd5f0,MENTIONS,MENTIONS,neutral,文本中明确提到,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002
segment_129aeb0a3e3c94d5,entity_429254b784d23815,MENTIONS,MENTIONS,neutral,文本中明确提到,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002
segment_a0ed62ef2a712d1f,entity_055848613d63ddb4,MENTIONS,MENTIONS,neutral,原文引用庄子言论,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0003
segment_a0ed62ef2a712d1f,entity_27d5de8a6829b454,MENTIONS,MENTIONS,neutral,原文提及Democritus,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0003
segment_a0ed62ef2a712d1f,entity_0000c6ea345fe9df,MENTIONS,MENTIONS,neutral,原文提及Monad,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0003
segment_a0ed62ef2a712d1f,entity_0f95fa63279dd905,MENTIONS,MENTIONS,neutral,原文提及创化论,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0003
segment_a0ed62ef2a712d1f,entity_ce990c44c6cb0b3b,MENTIONS,MENTIONS,neutral,原文引用结论,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0003
segment_a0ed62ef2a712d1f,entity_0f95b39416cab2c4,MENTIONS,MENTIONS,neutral,原文提及庄子观点,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0003
segment_a0ed62ef2a712d1f,entity_43cc4b89a90079f8,MENTIONS,MENTIONS,neutral,原文科学立场,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0003
segment_a0ed62ef2a712d1f,entity_19e3552002ad89e1,MENTIONS,MENTIONS,neutral,原文定义同因同果,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0003
segment_a0ed62ef2a712d1f,entity_c2b06d246a2f42e7,MENTIONS,MENTIONS,neutral,原文提及推翻因果,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0003
segment_a0ed62ef2a712d1f,entity_8b9931e791015cf6,MENTIONS,MENTIONS,neutral,原文柏格森理论,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0003
segment_a0ed62ef2a712d1f,entity_a030406b5aff47ca,MENTIONS,MENTIONS,neutral,原文Democritus,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0003
segment_a0ed62ef2a712d1f,entity_935b7b9ed85e832a,MENTIONS,MENTIONS,neutral,原文莱布尼茨,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0003
segment_a0ed62ef2a712d1f,entity_7d40acf409e6e448,MENTIONS,MENTIONS,neutral,原文力学,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0003
segment_a0ed62ef2a712d1f,entity_5d65638379fee466,MENTIONS,MENTIONS,neutral,原文物理学,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0003
segment_a0ed62ef2a712d1f,entity_c631e36604091322,MENTIONS,MENTIONS,neutral,原文化学,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0003
segment_a0ed62ef2a712d1f,entity_9bf132d59d731be7,MENTIONS,MENTIONS,neutral,原文生物学,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0003
segment_a0ed62ef2a712d1f,entity_36bbcc02a71da8a0,MENTIONS,MENTIONS,neutral,原文数学,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0003
segment_a0ed62ef2a712d1f,entity_4c3cfff3bc3fa3ff,MENTIONS,MENTIONS,neutral,原文比喻,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0003
segment_fca660f1e8fd9a88,entity_047f4206eefb3f84,MENTIONS,MENTIONS,neutral,套佛家一句话来说,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0004
segment_fca660f1e8fd9a88,entity_986ce94b7c700d4f,MENTIONS,MENTIONS,neutral,科学的意见,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0004
segment_fca660f1e8fd9a88,entity_b948c12311cb3c72,MENTIONS,MENTIONS,neutral,形式逻辑与数学中之类的性质,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0004
segment_fca660f1e8fd9a88,entity_2f006e37d31d2859,MENTIONS,MENTIONS,neutral,形式逻辑与数学中之类的性质,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0004
segment_fca660f1e8fd9a88,entity_a2455e1eaaee4551,MENTIONS,MENTIONS,neutral,在社会学中,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0004
segment_fca660f1e8fd9a88,entity_4a4f90e9527c287e,MENTIONS,MENTIONS,neutral,在生物学中也是如此,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0004
segment_fca660f1e8fd9a88,entity_778c0cafed17b601,MENTIONS,MENTIONS,neutral,即在物理学化学中也是如此,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0004
segment_fca660f1e8fd9a88,entity_13dd0ffbd3e006a6,MENTIONS,MENTIONS,neutral,即在物理学化学中也是如此,,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0004
