source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
任叔永,article:1db0a759c06b,WROTE,WROTE,neutral,0,0,,,,任叔永_000_7ab49e99,
朱经农,article:bca810c63769,WROTE,WROTE,neutral,0,0,,,,朱经农_000_bb34b81c,
菊农,article:22d8af5001cc,WROTE,WROTE,neutral,0,0,,,,菊农_000_b90d5dfb,
陆志韦,article:b8d5a5bcc0c2,WROTE,WROTE,neutral,0,0,,,,陆志韦_000_44275f1b,
张东荪,article:875a00a9bdf4,WROTE,WROTE,neutral,0,0,,,,陆志韦_001_941e994c,
article:22d8af5001cc,segment:aedfb7fbc7d5,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0008
article:22d8af5001cc,segment:3c2703aa030b,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000
article:bca810c63769,segment:1bb6b96f6ea1,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005
article:1db0a759c06b,segment:4a26b1089efd,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0003
article:bca810c63769,segment:0f8bb86651b9,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0003
article:875a00a9bdf4,segment:afd212957017,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陆志韦_001_941e994c,陆志韦_001_941e994c_s0000
article:22d8af5001cc,segment:02b1f9bcc496,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0005
article:b8d5a5bcc0c2,segment:5edd323dbb82,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001
article:1db0a759c06b,segment:cdef5eb29f7e,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001
article:b8d5a5bcc0c2,segment:8a0d35afec31,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002
