node_id,labels,name,node_type,article_id,segment_id,title,text
article:2e2a0f76d038,Article,科学与人生观,Article,王星拱_000_4d6fdc04,,科学与人生观,
author:fe5587a45a64,Author,王星拱,Author,,,,
segment:21f5e633531d,Segment,王星拱_000_4d6fdc04_s0013,Segment,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0013,,"是考察各人所受过的教育。若能明白知道一班人所受过的教育都有大致相同的，他们的人生观，也可以测度得大致不差，而可以得一个平均代表，和在科学（狭义的）里的定律一样。不过因为有一部分因子没有预先明白，所以它的准确程度稍逊一筹而已。

我的结论是：科学是凭藉因果和齐一两个原理而构造起来的；人生问题无论为生命之观念，或生活之态度，都不能逃出这两个原理的金刚圈，所以科学可以解决人生问题。

科学之本质已经讨论过了，科学之价值也不能一笔抹煞。实验主义家把价值和本质混在一处，固然也有可以訾议的地方。然而我们却也不能把科学之明物致用的价值，卑之无甚高论。因为我们是要生活在世界上的，并且是要改良现在的生活，而求得较好的生活的。我们既不能“返朴归真”脱离这个世界，我们应当把这个世界上的人类生活切切实实的维持，一步步的改良。吴稚晖先生说得好：我们生活在这个世界上，是要把这个世界实现的东西，弄得很美满的，原来我们生活在这里就是这样的一回事。智慧之维持生活与改良生活，在经常的状况之下，总要比本能高千万倍。科学为智慧发达之最高点。而且我们中国一班穿长衫的先生们，向来都欢喜偷懒逃入于“此天地之所以为大也”一个笼统的橡皮性的玻璃球里边，不肯切切实实底做去。一个首善的北京城，连一个消费场都没有，到了暑热的天气，还有许多粪车在街上横行。贫民窟的贫民，都穷到不成人样子。我们天天所用的物品，都是直接底或间接底从外国输入的。"
segment:dda8014a84ab,Segment,王星拱_000_4d6fdc04_s0012,Segment,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0012,,"面，对于同一的境遇，乐观者以为可喜，悲观者以为可忧。对于同一的事体，“仁者见谓之仁，智者见谓之智”。张君劢先生说科学与人生观无关，丁在君先生说科学与人生观有关。科学里没有什么公式，把大家的意见都可以囊括而无遗。固然，各人有各人的天性，由先天遗传而得来；各人有各人的学识（指所有的知识，不必是科学知识),由后天教育而得来。各人的观察点不同，当然各人的人生观不同。而且我们并不希望世界上各人的人生观，都是相同的。如果世界上各人的人生观都是相同的，那样“清一色”的世界，又有什么趣味呢？但是甲有如此如此的遗传与教育，所以甲有如此如此的人生观，乙有如彼如彼的遗传与教育，所以乙有如彼如彼的人生观。张君劢先生有他的遗传与教育，所以他主张科学与人生观无关。丁在君先生有他的遗传与教育，所以他主张科学可以完全应用于人生问题。而且凡是与张先生受过相类似的教育的，其主张大概都与张先生的相同。凡是与丁先生受过相类似的教育的，其主张大概都与丁先生的相同。人生观虽不能统一，但是人生观由于遗传与教育而定，这一个原理，是统一的。若能将各人的遗传与教育明白底知道了，他的人生观，也可以一索而得。但是我们所比较容易做到的是考察各人所受过的教育。若能明白知道一班人所受过的教育都有大致相同的，他们的人生观，也可以测度得大致不差，而可以得一个平均代表，和在科学（狭义的）里的定律一样。"
segment:f58af0071f24,Segment,王星拱_000_4d6fdc04_s0002,Segment,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002,,"的态度，与宗教家及美术家的态度实在是不同的。现在我也要从这两个意义上面，略为讨论一番。

我们把这两个名词的界说陈述明白了，我们再来讨论科学是否能应用于人生观？换一句话说：科学是否能够应用以解决人生问题？我们要想讨论这个问题，必须先看科学所凭藉以构造起来的是些什么?

科学所凭藉以构造起来的，有两个原理:(一）是因果之原理（Causality),(二）是齐一之原理（Uniformity）。

因果之原理是说：宇宙中之各种现象，必定有因果的关系，没有无因而至的，也没有不生效果的。这个原理里边，包含着可分之原理（Divisibility）或多元之原理（Pluralism）。因为辨别出来何者为因，何者为果，那已经把宇宙分成零零碎碎的

块片了。有些哲学家以为宇宙是不可分的，故对于这个原理，极端反对。姑举一例而言：布拉德烈（Bradley）说：我不懂得何以糖是甜的？把他的意思引伸出来，是：糖是一件东西，甜是一件东西，这两件东西如何发生关系起来？依因果之原理来讲：因为糖中有糖质，所以糖是甜的。但是这里又要发生两个问题：一是何以糖中有糖质？二是何以糖质是甜的？再往下追寻可以至于无限，而糖与甜两个的因果关系，永远接续不起来。所以他的结论是：“原来就没有糖是甜的这样一回事。”庄子说：“今日适越而昔至”“庸讵知天之非人乎？庸讵知人之非天乎？”也是宇宙不可分析的意思。"
segment:da1cac99ce33,Segment,王星拱_000_4d6fdc04_s0000,Segment,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000,,"张君劢先生和丁在君先生为了这个问题，打了一个月的恶战，并且引起许多人加入战团，于是战线因之而延长，战地亦因之而扩大，所争论的问题，愈弄愈复杂了。一直到了旧历的端阳佳节，还没有打得一个决定的结果出来，或者纵令打到无限年的端阳佳节，也不能有一个决定的结果出来！我早已也想摇旗呐喊，加入拥护科学的战团；但是因授课过于忙碌，没有做到这一层。今天因为傅佩青先生找我来讲演，我于是抽出若干的时间，把我自己的意思，组织成一个局部的系统，写一篇出来。我这一次的加入战团，固然不敢比较美国的对德宣战，把德国打到落花流水，然而却希望可以比较中国的对德宣战，仅仅发出一篇宣言，而能处理中德邦交之局部问题。

这个问题中有两个名词，一是“科学”，二是“人生观”。我们先把这两个名词的意义确定下来，然后来讨论它俩有无关系及其关系若何。科学有两个意义：一是广义的，一是狭义的。广义的科学是：凡由科学方法制造出来的，都是科学。这句话有一些人不承认。他们说：“科学之所以成为科学者，以其内容，非以其方法也。”他们的意思似乎是：科学方法是形式的逻辑，这个形式的逻辑，宗教中也用它，小说中也用它，难道宗教小说都可以叫做科学吗?(见张东荪先生的《劳而无功》论文。）这实在是误解科学方法。科学方法不是形式的逻辑，其中有许多精密严毅的手续。所谓精密者，是层层不漏空；所谓严毅者，是不以感情而定去取。宗教家小说家实在没有过这个方法，而"
segment:01e1ef19aab2,Segment,王星拱_000_4d6fdc04_s0009,Segment,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0009,,"有一种试验，虽不能证明，然而却可指示生物如何从矿物进化而来之途径。波特罗 (Butler) 把一种胶体物质，放在极紫光中，此胶体物质之动，颇类似单细胞生命之动。极紫光是富于能力的，多数胶体物质之原子，是很大的。由此我们可以猜度：无生命的物质，若依一定的成分之配合，再经受一定的势力之传递，是可以变成有生命的。这种配合与传递，自然是现在科学家所做不到的。但是我们不能因为现在科学家做不到，就相信有一个神秘的力量在里边主持。天地之间，科学家所做不到的事，还多得很咧！即就无机界而论，我们还不能用人力去发生和支配镭类原质之放射的变迁。试问我们可能相信镭类原质里边，也有一个生命之力或与生命之力有同等神秘意味的力在那里主持吗？斯宾塞尔虽信宗教，然而因为受了赫胥黎的影响，对于生命问题，到底主张是各部分之互组 (Corroboration of Parts）。我们解决这个问题，实在用不着像唐马森另外加一个生命力到生物界里边，也用不着像赫克尔主张万物皆有生命。无生命的物质，在地质历史时期中，有一定的组织，经受一种特别环境之刺激（这个环境也许在现在和将来的地球上天然状况之中，不能重行发见了),就进化而成生物，并不是不可能的事情。下等动物不过用本能的反应去求生，到了高等动物，遂进化而用概念之选择与组织——即智慧的活动，我们也不

必另外加入一个灵魂，去解决高等动物的智慧之问题。"
segment:1050d1b4205c,Segment,王星拱_000_4d6fdc04_s0004,Segment,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0004,,"过去的现象，都是现在现象发生的原因；套佛家一句话来说，就是所有过去都成现在。但是宇宙间所有过去的现象之共总，是时时刻刻不同的,

所以宇宙间永远没有同因的现象。既没有同因的现象，那里能有因果的现象呢！那么，同因必生同果，不过是一句便利的虚诞。然而科学的意见，却不与此相同，试为叙述于下:

一件东西的性质，可以从两方面看待：一从个体方面看待，是为个体的性质；二从类的方面看待，是为类的性质。个体的性质，是一件东西所有无限的性质；把这些无限的性质集合起来，就是这一件东西——物。类的性质，是一类中之分子所共有的若干性质，把这些共有的性质集合起来，就是类。科学的定律，是建筑在类的性质上面的。

类的性质，可以分为两种:(一）是一类中之分子必有的性质;(二）是一类中之分子性质之平均代表。形式逻辑与数学中之类的性质，都归第一种，例如凡甲皆归甲类，凡非甲皆归非甲类；凡是单独的（不一定是物质）都归“一”类，凡是成双的都归“二”类，凡是没有的都归零类，凡是无限的都归无限类。但是在沾滞物质的科学之中，类之性质都归第二种，——都是平均代表，却可以有例外。在社会学中，固然是如此，在生物学中也是如此，即在物理学化学中也是如此。这种平均代表的类的性质，又有二种：一是定性的平均代表，例如凡物受热则膨胀，是物类之类的性质，然而水在零度四度之间，受热则反收缩，有一种镍渗金，受热亦不膨胀，受冷亦不收缩。"
segment:fb2bcf436fe8,Segment,王星拱_000_4d6fdc04_s0003,Segment,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0003,,"系，永远接续不起来。所以他的结论是：“原来就没有糖是甜的这样一回事。”庄子说：“今日适越而昔至”“庸讵知天之非人乎？庸讵知人之非天乎？”也是宇宙不可分析的意思。科学以为宇宙是可分的，德毛克里脱司（Democritus）所讲的原子，几何学中所讲的点，莱柏氏所讲的单子（Monad),力学所讲的力线，物理学所讲的电子量子，化学所讲的分子原子，生物学所讲的单位性质，都是在宇宙可分之原理上立论。固然，拿时间空间物质或其他存体逐渐分析，是无限的，然而无限无碍于分析，这是算学中群论所发见的。凡我们经验所分得到的，总是有限的，但是又可以用理智分至无限。无限之外可以有有限，例如○与一之间，有无限的分数，然而一却是有限的整数。若是宇宙是一个混沌圆软的东西，那么科学就不能成立了。

齐一之原理是说：同因必生同果。假使没有这个原理，则宇宙之间只有千千万万一点一滴的事实，我们很难寻觅因果关系出来，那么，科学也无从构造了。历史告诉我们：科学可以从许多现象上看出同点，而把这些同点综合起来，就成为定律。有一些哲学家也极力的想方法去推翻这个原理。然而比推翻因果原理，却还要困难得多。其中最时髦最有力的论调，就是柏格森的创化。他的意思是：宇宙间所有过去的现象，都是现在现象发生的原因；套佛家一句话来说，就是所有过去都成现在。但是宇宙间所有过去的现象之共总，是时时刻刻不同的,

所以宇宙间永远没有同因的现象。"
entity:fe901cfcc616,人物,张君劢,人物,王星拱_000_4d6fdc04,s0000,,
