node_id,labels,name,node_type,article_id,segment_id,title,text
article:2e2a0f76d038,Article,科学与人生观,Article,王星拱_000_4d6fdc04,,科学与人生观,
author:fe5587a45a64,Author,王星拱,Author,,,,
entity:fe901cfcc616,人物,张君劢,人物,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000,,
entity:0bacf98593d1,人物,丁文江,人物,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000,,
entity:3d028da91b05,问题,科学与人生观问题,问题,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000,,
entity:789d263fdc85,阵营/群体,许多人,阵营/群体,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000,,
entity:d0d1106847ad,阵营/群体,拥护科学的战团,阵营/群体,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000,,
entity:af06c4a7f959,人物,傅佩青,人物,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000,,
entity:0a5d9170d332,概念,科学,概念,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000,,
entity:67821481a750,概念,人生观,概念,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000,,
entity:06f2b674aa94,概念,广义的科学,概念,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000,,
entity:d7ac9b656911,概念,狭义的科学,概念,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000,,
entity:dff2e629a329,方法,科学方法,方法,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000,,
entity:86e7ddfcace5,阵营/群体,一些人,阵营/群体,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000,,
entity:ec97754419d8,概念,形式的逻辑,概念,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000,,
entity:1b6bf6f8f873,概念,宗教,概念,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000,,
entity:acdd84b632a2,概念,小说,概念,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000,,
entity:d484ddafe66e,文章,张东荪《劳而无功》,文章,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000,,
