source_id,target_id,type,relation,polarity,evidence,confidence,article_id,segment_id
author_be4adf53e9788563,article_1befccfc17fa192f,WROTE,WROTE,neutral,,,任叔永_000_7ab49e99,
article_1befccfc17fa192f,segment_5b4eefea93bd305d,HAS_SEGMENT,HAS_SEGMENT,neutral,,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0000
article_1befccfc17fa192f,segment_f38df74982ac952f,HAS_SEGMENT,HAS_SEGMENT,neutral,,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001
article_1befccfc17fa192f,segment_b2b56461346f09e5,HAS_SEGMENT,HAS_SEGMENT,neutral,,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0002
article_1befccfc17fa192f,segment_91f371023532bc31,HAS_SEGMENT,HAS_SEGMENT,neutral,,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0003
article_1befccfc17fa192f,segment_759a1bef43a1436a,HAS_SEGMENT,HAS_SEGMENT,neutral,,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0004
article_1befccfc17fa192f,segment_9545aa04f8b54121,HAS_SEGMENT,HAS_SEGMENT,neutral,,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0005
article_1befccfc17fa192f,segment_262b6b76686324bf,HAS_SEGMENT,HAS_SEGMENT,neutral,,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0006
segment_5b4eefea93bd305d,entity_91765cd30cbb3870,MENTIONS,MENTIONS,neutral,文本中多次提及,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0000
segment_5b4eefea93bd305d,entity_7848e17f97774e9f,MENTIONS,MENTIONS,neutral,文本中提及,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0000
segment_5b4eefea93bd305d,entity_64d31dc43fa9c897,MENTIONS,MENTIONS,neutral,张君劢讲演地点,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0000
segment_5b4eefea93bd305d,entity_abafba37b91f7f8b,MENTIONS,MENTIONS,neutral,丁文江批评张君劢的用语,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0000
segment_f38df74982ac952f,entity_7848e17f97774e9f,MENTIONS,MENTIONS,neutral,丁君,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001
segment_f38df74982ac952f,entity_91765cd30cbb3870,MENTIONS,MENTIONS,neutral,张君,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001
segment_f38df74982ac952f,entity_89e760916c9e439a,MENTIONS,MENTIONS,neutral,孔子的行键,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001
segment_f38df74982ac952f,entity_b0aa5a953bd81620,MENTIONS,MENTIONS,neutral,老子的无为,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001
segment_f38df74982ac952f,entity_996379c64fa6a65d,MENTIONS,MENTIONS,neutral,孟子的性善,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001
segment_f38df74982ac952f,entity_6f4b83228fc8d45c,MENTIONS,MENTIONS,neutral,荀子的性恶,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001
segment_f38df74982ac952f,entity_bd3b9319711e8c07,MENTIONS,MENTIONS,neutral,康德的义务观念,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001
segment_f38df74982ac952f,entity_0267e5d2d0a4213b,MENTIONS,MENTIONS,neutral,边沁的功利主义,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001
segment_f38df74982ac952f,entity_d06e2daa80ad91cb,MENTIONS,MENTIONS,neutral,达尔文的生存竞争论,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001
segment_f38df74982ac952f,entity_473b774b261f156d,MENTIONS,MENTIONS,neutral,哥罗巴金的互助主义,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001
segment_f38df74982ac952f,entity_dd8129586c840559,MENTIONS,MENTIONS,neutral,叔本华、哈德们的悲观主义,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001
segment_f38df74982ac952f,entity_cef05b37c648a4c1,MENTIONS,MENTIONS,neutral,叔本华、哈德们的悲观主义,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001
segment_f38df74982ac952f,entity_0000c6ea345fe9df,MENTIONS,MENTIONS,neutral,兰勃尼慈、黑智儿的乐观主义,,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001
