node_id,labels,name,node_type,article_id,segment_id,title,text
article_64566c9882f98e9d,Article,序一,Article,陈独秀_000_4825c389,,序一,
author_318ec22d130acca4,Author,陈独秀,Author,,,,
article_72756e4919cb769f,Article,答适之,Article,陈独秀_001_d263aca8,,答适之,
article_4f4383df556febc5,Article,答张君劢及梁任公,Article,陈独秀_002_69a217f6,,答张君劢及梁任公,
entity_e219c55d63411239,概念,社会科学,概念,,,,
entity_32517cfe84af2270,人物,张君劢,人物,,,,
entity_6a403a92730b6c84,人物,梁启超,人物,,,,
entity_aa33e7aa47ad4d8b,人物,范寿康,人物,,,,
entity_cecdc01556928a58,人物,丁文江,人物,,,,
entity_36498d59f2e2c022,概念,科学,概念,,,,
entity_96592052bdb28cd4,概念,人生观,概念,,,,
entity_8f43a39c4931309b,主义/学说/理论,历史唯物论,主义/学说/理论,,,,
entity_bec66194e0569f73,人物,胡适,人物,,,,
entity_1dba7bf79e4a6aca,概念,自然科学,概念,,,,
entity_d476e097e1b505d8,概念,经济学,概念,,,,
entity_51884e3c83637718,概念,社会学,概念,,,,
entity_f4ca58fd471cf1ea,概念,历史学,概念,,,,
entity_7b2c68bedc3af840,概念,心理学,概念,,,,
entity_b26a5bc978b0122e,概念,哲学,概念,,,,
entity_6abac119ca7ae09e,概念,玄学,概念,,,,
entity_ec02f4f382f33afc,主义/学说/理论,唯心论,主义/学说/理论,,,,
entity_fdda9041515ccd6c,人物,哥白尼,人物,,,,
entity_b7c04ecc38817a16,人物,孟子,人物,,,,
entity_87461fb68ac727ce,阵营/群体,玄学家,阵营/群体,,,,
entity_13dd9d0ddd731f67,概念,因果律,概念,,,,
entity_b264a29c10dbff49,概念,男女尊卑及婚姻制度,概念,,,,
entity_e02f74365a6e0ff1,概念,女权运动,概念,,,,
entity_0ca870d36f82f743,概念,农业宗法社会,概念,,,,
entity_03abdecd15d68781,概念,工业社会,概念,,,,
entity_4378998e77336f06,概念,农业社会,概念,,,,
entity_f616f367d81268bc,概念,私有财产观念,概念,,,,
entity_21561964762e836e,概念,公有财产观念,概念,,,,
entity_2f607e4e65c11065,概念,守旧维新之争持,概念,,,,
entity_88d327cf3dfde7f3,概念,经济的变化,概念,,,,
entity_718c034a85321611,概念,直觉,概念,,,,
entity_5747f2c68bd725d2,概念,自由意志,概念,,,,
entity_3d506c4d60f07b93,概念,精神文明,概念,,,,
entity_0318add9cae2debc,主义/学说/理论,社会主义,主义/学说/理论,,,,
entity_cfe142359cca5e18,概念,公有财产制,概念,,,,
entity_c57dac4108ff7805,概念,人性,概念,,,,
entity_bb2be0b31c9b1553,概念,为我利他,概念,,,,
entity_bcd737df9ee8c97a,概念,无神非宗教之说,概念,,,,
entity_a810a92c978ca41e,人物,唐钺,人物,,,,
entity_3eb96e3c97d18bea,概念,因果,概念,,,,
entity_3d18861798e67412,概念,先天的形式,概念,,,,
entity_d44a499aa9b499be,概念,良心,概念,,,,
entity_6fb7501f62487c1d,概念,农业的宗法社会,概念,,,,
entity_51bbb94f8a008a2a,概念,封建时代,概念,,,,
entity_60eaffe879c270fc,概念,社会的暗示,概念,,,,
entity_71994b02f80814c6,人物,赫胥黎,人物,,,,
entity_4ef5b28c9ae0497e,人物,斯宾塞,人物,,,,
entity_9130fe791d6d97f0,主义/学说/理论,存疑的唯心论,主义/学说/理论,,,,
entity_f494fd1248bbe9ef,概念,物质文明,概念,,,,
entity_81275a6279939f9b,历史事件,欧洲大战,历史事件,,,,
entity_6795f794c0bfb680,概念,英德两大工业资本,概念,,,,
entity_84b3271fef4fa263,概念,客观的物质原因,概念,,,,
entity_3c83b0d37993b0ab,概念,心的现象,概念,,,,
entity_e09a3478a24a9386,概念,精神现象,概念,,,,
entity_d219277f2a35bfe0,概念,思想,概念,,,,
entity_f7bddc9c16ecc3fc,概念,文化,概念,,,,
entity_caf0b96241857724,概念,宗教,概念,,,,
entity_ae0f792367ac0ce9,概念,道德,概念,,,,
entity_ad5d1f5fc642d7c9,概念,教育,概念,,,,
entity_74a90d82abd4cad8,概念,历史,概念,,,,
