source_id,target_id,type,relation,polarity,evidence,confidence,article_id,segment_id
author_318ec22d130acca4,article_64566c9882f98e9d,WROTE,WROTE,neutral,,,陈独秀_000_4825c389,
author_318ec22d130acca4,article_72756e4919cb769f,WROTE,WROTE,neutral,,,陈独秀_001_d263aca8,
author_318ec22d130acca4,article_4f4383df556febc5,WROTE,WROTE,neutral,,,陈独秀_002_69a217f6,
article_64566c9882f98e9d,segment_14da3a3c01d76d5e,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0000
article_64566c9882f98e9d,segment_2332e3f11a6d2721,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0001
article_64566c9882f98e9d,segment_0d4abfa53a20038f,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0002
article_64566c9882f98e9d,segment_7be20389a1b92ee2,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0003
article_64566c9882f98e9d,segment_b997318bdeb1beb7,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0004
article_64566c9882f98e9d,segment_1e1cd06b68207259,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0005
article_64566c9882f98e9d,segment_064d6d68422f832c,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0006
article_64566c9882f98e9d,segment_04dd956a245c2e5a,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0007
article_64566c9882f98e9d,segment_bdc54414a75c644a,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0008
article_64566c9882f98e9d,segment_875c07452fbded78,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_000_4825c389,陈独秀_000_4825c389_s0009
article_72756e4919cb769f,segment_535660250cee6ecb,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0000
article_72756e4919cb769f,segment_cbb2e47e10fae4da,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0001
article_72756e4919cb769f,segment_dfb0265e2f40dc9e,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0002
article_72756e4919cb769f,segment_94cddc55c6c34243,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0003
article_72756e4919cb769f,segment_b786ece30b9e358d,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0004
article_72756e4919cb769f,segment_f3a612da32e67063,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0005
article_72756e4919cb769f,segment_76f2ccb130ffc7a0,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0006
article_72756e4919cb769f,segment_97d4e5c4e46fd640,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0007
article_72756e4919cb769f,segment_69de614ad0c324fa,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0008
article_72756e4919cb769f,segment_8257db695e4feac0,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0009
article_72756e4919cb769f,segment_f0614a03ec3c36e8,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0010
article_72756e4919cb769f,segment_bb200f3060cd46dc,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0011
article_72756e4919cb769f,segment_4b48450dc536ba41,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0012
article_72756e4919cb769f,segment_f27f4fe407d1dae3,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0013
article_72756e4919cb769f,segment_f3fd6d549d7accfd,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0014
article_72756e4919cb769f,segment_36ea5f7a5c79c9e4,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0015
article_4f4383df556febc5,segment_1e11421605cc59e9,HAS_SEGMENT,HAS_SEGMENT,neutral,,,陈独秀_002_69a217f6,陈独秀_002_69a217f6_s0000
