node_id,labels,name,node_type,article_id,segment_id,title,text
article:b8d5a5bcc0c2,Article,“死狗”的心理学,Article,陆志韦_000_44275f1b,,“死狗”的心理学,
author:c76e249bfc7e,Author,陆志韦,Author,,,,
article:875a00a9bdf4,Article,东荪按,Article,陆志韦_001_941e994c,,东荪按,
author:56a8e92c91b4,Author,张东荪,Author,,,,
entity:618ef5fd0d7c,人物,丁文江和张君劢,人物,陆志韦_000_44275f1b,s0000,,
entity:c8b98890c241,概念,心理学,概念,陆志韦_000_44275f1b,s0000,,
entity:0a5d9170d332,概念,科学,概念,陆志韦_000_44275f1b,s0000,,
entity:a5d9f1eb114e,人物,张东荪,人物,陆志韦_000_44275f1b,s0001,,
entity:e867d428ff3f,人物,林宰平,人物,陆志韦_000_44275f1b,s0001,,
entity:ac0864d806e7,概念,诸公,概念,陆志韦_000_44275f1b,s0002,,
entity:62fe7e6b89d5,概念,智力测验,概念,陆志韦_000_44275f1b,s0002,,
entity:9586a72edc13,概念,玄学的假定,概念,陆志韦_000_44275f1b,s0002,,
entity:ece3a2fe5a1d,比喻/类比,球,比喻/类比,陆志韦_000_44275f1b,s0002,,
entity:23aab0ef8c3e,人物,陆志韦,人物,陆志韦_001_941e994c,s0000,,
entity:ec1da6d15fd6,概念,专门家,概念,陆志韦_001_941e994c,s0000,,
entity:22a2acfa80c2,阵营/群体,不学这一科的人,阵营/群体,陆志韦_001_941e994c,s0000,,
entity:d79cf2d54d17,阵营/群体,学这一类的人,阵营/群体,陆志韦_001_941e994c,s0000,,
entity:0bacf98593d1,人物,丁文江,人物,陆志韦_000_44275f1b,s0001,,
claim:c7a14baaa56d,Claim,科学与玄学的冲突，心理学者看了大不高兴。,Claim,陆志韦_000_44275f1b,,,科学与玄学的冲突，心理学者看了大不高兴。
claim:d023c4a60d51,Claim,心理学的地位比上不足，比下有余，这是我们自己的不争气。,Claim,陆志韦_000_44275f1b,,,心理学的地位比上不足，比下有余，这是我们自己的不争气。
claim:f43a2373be7d,Claim,丁在君先生所说的心理学完全不是张君劢先生所说的心理学。,Claim,陆志韦_000_44275f1b,,,丁在君先生所说的心理学完全不是张君劢先生所说的心理学。
claim:8435968eb16a,Claim,丁先生所说的心理学是唯感觉主义的哲学家的口头禅。,Claim,陆志韦_000_44275f1b,,,丁先生所说的心理学是唯感觉主义的哲学家的口头禅。
claim:01cfafeb7308,Claim,Pearson我们不承认是心理学家。,Claim,陆志韦_000_44275f1b,,,Pearson我们不承认是心理学家。
claim:50df0a652f1b,Claim,"丁先生引了几句Mach的话，丁先生的主张,Mach未必都能赞同。",Claim,陆志韦_000_44275f1b,,,"丁先生引了几句Mach的话，丁先生的主张,Mach未必都能赞同。"
claim:8a144504f9f4,Claim,张先生的心理学，看来他的位置介乎 Brentano 与 Wurzburg 学派之间。,Claim,陆志韦_000_44275f1b,,,张先生的心理学，看来他的位置介乎 Brentano 与 Wurzburg 学派之间。
claim:3e778dc3ade0,Claim,Wurzburg 派决不能代表一切心理学。,Claim,陆志韦_000_44275f1b,,,Wurzburg 派决不能代表一切心理学。
claim:6e55e1c14bc8,Claim,两先生的心理学都是一偏之见。,Claim,陆志韦_000_44275f1b,,,两先生的心理学都是一偏之见。
claim:91d4353b4c58,Claim,丁先生呼心理学说，“走狗来”，走狗有时偏不来，于是破口说，“你也造反了，你这哲学的走狗”。,Claim,陆志韦_000_44275f1b,,,丁先生呼心理学说，“走狗来”，走狗有时偏不来，于是破口说，“你也造反了，你这哲学的走狗”。
claim:8aa042b5aa21,Claim,两先生都没有了解心理学,Claim,陆志韦_000_44275f1b,,,两先生都没有了解心理学
claim:c545953dd71c,Claim,他们原不必牵涉心理学,Claim,陆志韦_000_44275f1b,,,他们原不必牵涉心理学
claim:535e5b3d7fbb,Claim,丁先生出言不慎,Claim,陆志韦_000_44275f1b,,,丁先生出言不慎
claim:118393002db9,Claim,丁先生信仰而偏袒科学家，甚至把Helmholtz的错误都信以为真理了,Claim,陆志韦_000_44275f1b,,,丁先生信仰而偏袒科学家，甚至把Helmholtz的错误都信以为真理了
claim:993815bf6e24,Claim,说天才与疯子都是感觉特别发展，那竟是奉了上谕，捏造证据,Claim,陆志韦_000_44275f1b,,,说天才与疯子都是感觉特别发展，那竟是奉了上谕，捏造证据
claim:21174f7eac6a,Claim,张先生不得已而谈心理，我们觉得他的措辞比丁先生稳健得多,Claim,陆志韦_000_44275f1b,,,张先生不得已而谈心理，我们觉得他的措辞比丁先生稳健得多
claim:f39ca4f31c1b,Claim,他只是述学而不叙事，偏固是偏，还没有钦定现象,Claim,陆志韦_000_44275f1b,,,他只是述学而不叙事，偏固是偏，还没有钦定现象
claim:7f5929a60d25,Claim,张东荪先生出言不慎,Claim,陆志韦_000_44275f1b,,,张东荪先生出言不慎
claim:84d4ba052a7f,Claim,他自己没有读过许多智力测验的理论书，偏说实在没有几本书,Claim,陆志韦_000_44275f1b,,,他自己没有读过许多智力测验的理论书，偏说实在没有几本书
claim:3b1da6e56c05,Claim,"他自己赞成Goddard,竟敢说科学的智力测验，除了玄学的假定，就立不住",Claim,陆志韦_000_44275f1b,,,"他自己赞成Goddard,竟敢说科学的智力测验，除了玄学的假定，就立不住"
claim:7429472809c4,Claim,林宰平先生自己尝了自己的吐涎还没有知道，倒说电流直接引起味觉,Claim,陆志韦_000_44275f1b,,,林宰平先生自己尝了自己的吐涎还没有知道，倒说电流直接引起味觉
claim:6df314720d38,Claim,是则是，非则非，无从辩论,Claim,陆志韦_000_44275f1b,,,是则是，非则非，无从辩论
claim:6bd034fe47d4,Claim,智力测验，除了玄学的假定，就立不住,Claim,陆志韦_000_44275f1b,,,智力测验，除了玄学的假定，就立不住
claim:ef4c1c0286de,Claim,林宰平自己尝了自己的吐涎还没有知道，倒说电流直接引起味觉，这些都是事实的问题，是则是，非则非，无从辩论,Claim,陆志韦_000_44275f1b,,,林宰平自己尝了自己的吐涎还没有知道，倒说电流直接引起味觉，这些都是事实的问题，是则是，非则非，无从辩论
claim:dfd162dcbe5d,Claim,诸公不要强不知以为知,Claim,陆志韦_000_44275f1b,,,诸公不要强不知以为知
claim:e5dc15d172d2,Claim,诸公既已屈驾到心理学的领域里，发言须对我们负责任,Claim,陆志韦_000_44275f1b,,,诸公既已屈驾到心理学的领域里，发言须对我们负责任
claim:675e1c152eb5,Claim,心理学的受罪恐怕也因为他的名词太普通，不知底蕴人容易滥用,Claim,陆志韦_000_44275f1b,,,心理学的受罪恐怕也因为他的名词太普通，不知底蕴人容易滥用
claim:1e31261acda3,Claim,但愿以后普通心理学的名词能像试验心理学的名词的秘奥，或者竟像有机化学的名词的野蛮,Claim,陆志韦_000_44275f1b,,,但愿以后普通心理学的名词能像试验心理学的名词的秘奥，或者竟像有机化学的名词的野蛮
claim:0eeecee47ba2,Claim,丁张两先生踢了一夜，天亮了，球亦开口说话了,Claim,陆志韦_000_44275f1b,,,丁张两先生踢了一夜，天亮了，球亦开口说话了
claim:61649796d8b5,Claim,志韦老友的话是很对,Claim,陆志韦_001_941e994c,,,志韦老友的话是很对
claim:d7c05c915e2b,Claim,我说没有几本书是以我所看见的为限，不然下句便不通了,Claim,陆志韦_001_941e994c,,,我说没有几本书是以我所看见的为限，不然下句便不通了
claim:19ea94cf32fc,Claim,我举过达德是因为丁先生曾对我说过这个人很好的话，其中原有缘故，不是泛论,Claim,陆志韦_001_941e994c,,,我举过达德是因为丁先生曾对我说过这个人很好的话，其中原有缘故，不是泛论
claim:b79bdb2fff08,Claim,志韦先生未曾明白（我举达德的缘故）,Claim,陆志韦_001_941e994c,,,志韦先生未曾明白（我举达德的缘故）
claim:98e970dba42d,Claim,志韦先生这篇文章我亦有引为遗憾的地方：即他始终只说“不是什么”，而没有说“是什么”,Claim,陆志韦_001_941e994c,,,志韦先生这篇文章我亦有引为遗憾的地方：即他始终只说“不是什么”，而没有说“是什么”
claim:d90090a1aee2,Claim,凡不学这一科的人固然不可强不知以为知，而学这一类的人则宜大谈而特谈,Claim,陆志韦_001_941e994c,,,凡不学这一科的人固然不可强不知以为知，而学这一类的人则宜大谈而特谈
claim:bb70595b1d12,Claim,双方必相辅相成，若只是一方是不行的,Claim,陆志韦_001_941e994c,,,双方必相辅相成，若只是一方是不行的
claim:19a46c6cc21c,Claim,心理学是唯感觉主义的,Claim,陆志韦_000_44275f1b,,,心理学是唯感觉主义的
claim:a0a199cbd099,Claim,心理学介于Brentano与Wurzburg学派之间,Claim,陆志韦_000_44275f1b,,,心理学介于Brentano与Wurzburg学派之间
claim:63a1d65aa84b,Claim,丁张二人的心理学都是一偏之见,Claim,陆志韦_000_44275f1b,,,丁张二人的心理学都是一偏之见
claim:2a7d6e2ee373,Claim,心理学是哲学的走狗,Claim,陆志韦_000_44275f1b,,,心理学是哲学的走狗
claim:61988b818b64,Claim,心理学是好狗,Claim,陆志韦_000_44275f1b,,,心理学是好狗
claim:f4e058872562,Claim,丁先生出言不慎，把Helmholtz的错误都信以为真理,Claim,陆志韦_000_44275f1b,,,丁先生出言不慎，把Helmholtz的错误都信以为真理
claim:35a8020df3b6,Claim,张东荪出言不慎，没有读过许多智力测验理论书却偏说实在没有几本书,Claim,陆志韦_000_44275f1b,,,张东荪出言不慎，没有读过许多智力测验理论书却偏说实在没有几本书
claim:424a96094abb,Claim,林宰平自己尝了自己的吐涎还没有知道，倒说电流直接引起味觉,Claim,陆志韦_000_44275f1b,,,林宰平自己尝了自己的吐涎还没有知道，倒说电流直接引起味觉
claim:c4dcf419d7ae,Claim,志韦的工夫大都消磨在试验心理学里，讲心理学史就不免时有挂漏,Claim,陆志韦_000_44275f1b,,,志韦的工夫大都消磨在试验心理学里，讲心理学史就不免时有挂漏
claim:8fa785d3f9c5,Claim,诸公的发言须对于我们负责任,Claim,陆志韦_000_44275f1b,,,诸公的发言须对于我们负责任
claim:63882d789216,Claim,心理学的名词太普通，不知底蕴人容易滥用,Claim,陆志韦_000_44275f1b,,,心理学的名词太普通，不知底蕴人容易滥用
claim:ef55d17994de,Claim,心理学就是那球，而先生们自己已有定谳。你们踢了一夜，天亮了，球亦开口说话了,Claim,陆志韦_000_44275f1b,,,心理学就是那球，而先生们自己已有定谳。你们踢了一夜，天亮了，球亦开口说话了
claim:3f1d2d9e609f,Claim,志韦老友的话是很对，不过我说没有几本书是以我所看见的为限，不然下句便不通了。,Claim,陆志韦_001_941e994c,,,志韦老友的话是很对，不过我说没有几本书是以我所看见的为限，不然下句便不通了。
claim:adab115c1acc,Claim,至于我举过达德是因为丁先生曾对我说过这个人很好的话，其中原有缘故，不是泛论，志韦先生未曾明白，那就难怪了。,Claim,陆志韦_001_941e994c,,,至于我举过达德是因为丁先生曾对我说过这个人很好的话，其中原有缘故，不是泛论，志韦先生未曾明白，那就难怪了。
claim:54a25e911192,Claim,至于志韦先生这篇文章我亦有引为遗憾的地方：即他始终只说“不是什么”，而没有说“是什么”。,Claim,陆志韦_001_941e994c,,,至于志韦先生这篇文章我亦有引为遗憾的地方：即他始终只说“不是什么”，而没有说“是什么”。
claim:da8bbd31ae69,Claim,现在用一个比喻：例如导淮，非请专门家不可。若是这个专门家来了，只说这个方案不对，那个方案又不对，始终自己不另说一个对的，而只以“是则是，非则非，无从辩论”为结果,Claim,陆志韦_001_941e994c,,,现在用一个比喻：例如导淮，非请专门家不可。若是这个专门家来了，只说这个方案不对，那个方案又不对，始终自己不另说一个对的，而只以“是则是，非则非，无从辩论”为结果，这个淮河是导不成了。
claim:a59e5286c963,Claim,所以凡不学这一科的人固然不可强不知以为知，而学这一类的人则宜大谈而特谈。双方必相辅相成，若只是一方是不行的。,Claim,陆志韦_001_941e994c,,,所以凡不学这一科的人固然不可强不知以为知，而学这一类的人则宜大谈而特谈。双方必相辅相成，若只是一方是不行的。
term:a565d5861cf8,观点,两先生都没有了解心理学,观点,,,,
term:91d29c274e1d,观点,他们原不必牵涉心理学,观点,,,,
term:dc928adb1e25,观点,心理学的受罪恐怕也因为他的名词太普通,观点,,,,
