source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
朱经农,article:bca810c63769,WROTE,WROTE,neutral,0,0,,,,朱经农_000_bb34b81c,
term:9f9ade1871bd,entity:fe901cfcc616,RELATES_TO,相关,negative,-0.5,0.5,一般批评,君劢的枪法另有一种门径，看了半天，竟摸不着头脑,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0000
term:9f9ade1871bd,term:05671d3321dd,RELATES_TO,质疑,negative,-0.8,0.8,逻辑反驳,怎样还说没有标准呢,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0000
term:9f9ade1871bd,term:5aac0df1beee,RELATES_TO,质疑,negative,-0.8,0.8,逻辑反驳,怎样说无所谓方法呢,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0000
term:9f9ade1871bd,term:194b1bf3c910,RELATES_TO,质疑,negative,-0.8,0.8,逻辑反驳,怎样还说不受因果律的支配呢,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0000
term:48997e86d4d7,term:aece82c326e1,RELATES_TO,作为论据支持,positive,0.8,0.7,不适用,在我们浅学的人看起来，人生观既为文化之枢纽，则文化之有益或有害即为人生观是非真伪之标准,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0000
term:aece82c326e1,term:3fce81c48cc3,RELATES_TO,推出,positive,0.8,0.7,不适用,凡人生观能发生有益之文化者，则我采之存之，换一句话说，就认他为是的,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0000
term:aece82c326e1,term:2dd3be619759,RELATES_TO,推出,positive,0.8,0.7,不适用,凡人生观发生有害之文化者，则我避之除之，换一句话说，就认他为非的,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0000
term:a97f8bfb7d81,term:5aac0df1beee,RELATES_TO,反驳,negative,-0.8,0.8,逻辑反驳,因有益有害而定存革取舍，明明是有方法的，怎样说无所谓方法呢,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0000
term:54931f476e65,term:194b1bf3c910,RELATES_TO,反驳,negative,-0.8,0.8,逻辑反驳,因其所生文明之有益或有害，而知人生观之是非，明明就是从前所谓“种好因，得好果；种恶因，得恶果”。怎样还说不受因果律的支配呢,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0000
term:f5cd9fc8f3b9,entity:1833175dbdc3,RELATES_TO,属于,neutral,0.0,0.0,不适用,好因，得好果；种恶因，得恶果”。怎样还说不受因果律的支配呢？,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001
term:9f9ade1871bd,entity:fe901cfcc616,RELATES_TO,质疑,negative,-0.8,0.7,逻辑反驳,既没有是非，怎样会有善恶？,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001
term:9f9ade1871bd,entity:fe901cfcc616,RELATES_TO,反驳,negative,-0.7,0.6,概念混淆批评,大凡主张一元论的哲学家总不大愿意把“精神”“物质”两名词来划分科学的门类。,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001
entity:fe901cfcc616,term:8a2d09d35fc8,RELATES_TO,主张,neutral,0.0,0.0,不适用,君劢说：“人生观超于科学以上。”,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001
entity:fe901cfcc616,term:c151e1ef842b,RELATES_TO,主张,neutral,0.0,0.0,不适用,“精神科学……未尝无公例可求。”,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001
entity:fe901cfcc616,term:09f4f9bebaba,RELATES_TO,主张,neutral,0.0,0.0,不适用,君劢说：“何者为正当之人生观……乃不能答复之问题。”,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001
entity:fe901cfcc616,term:3d09ca93510e,RELATES_TO,主张,neutral,0.0,0.0,不适用,“彼此各执一词，决无绝对之是与非。”,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001
entity:fe901cfcc616,term:985b5db160e7,RELATES_TO,主张,neutral,0.0,0.0,不适用,“人类之目的……虽变也，不趋于恶。而必趋于善。”,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001
term:9f9ade1871bd,term:22d68a0ca5f9,RELATES_TO,定义,neutral,0.0,0.0,概念澄清,在我们浅学的人看起来，“善”即为“是”，“恶”即为“非”。,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001
term:9f9ade1871bd,term:31921c10443e,RELATES_TO,主张,neutral,0.0,0.0,不适用,如果有善恶可辨，是非就有了标准。,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001
term:9f9ade1871bd,term:e3bcd09f62b1,RELATES_TO,主张,neutral,0.0,0.0,不适用,所以有些人主张分为自然科学与文化科学。,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001
term:9f9ade1871bd,term:fd3eb465ac06,RELATES_TO,主张,neutral,0.0,0.0,不适用,有些人主张分为自然科学与社会科学。,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0001
entity:fe901cfcc616,entity:4dba16216761,RELATES_TO,主张,negative,-1.0,0.8,不适用,现在君劢说：“人生观问题之解决决非科学所能为力，”,1.0,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0003
term:444862b1d437,entity:fe901cfcc616,RELATES_TO,质疑,negative,-0.8,0.7,逻辑反驳,倘使“但论现在”似乎只可以用一个尚字，不能适用一个决字。但不知君劢还有别的解释没有?,1.0,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0003
entity:fe901cfcc616,entity:1fe753e3a13d,RELATES_TO,主张,negative,-1.0,0.8,不适用,君劢说：“纯粹心理，顷刻万变，非科学方法所能支配。”,1.0,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0003
term:444862b1d437,entity:1fe753e3a13d,RELATES_TO,反驳,negative,-0.8,0.7,事实质疑,照我们的常识看起来，一个人看见亲友死了，就发生悲哀；得遂自己的志愿，就觉得快乐；受了旁人的欺侮，就要发怒：“衣食足，而后知荣辱”；“凶岁，子弟多暴”。无论喜怒哀乐，凡是一种心理的现象，其起落必有一个原因，社会上必有一种对象引起这种心理。,1.0,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0003
term:444862b1d437,entity:fe901cfcc616,RELATES_TO,反驳,negative,-0.9,0.9,归谬,难道全世界的大心理学家天天在实验室里做工夫，用科学方法去研究人心，都是疯子吗?,1.0,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0003
entity:fe901cfcc616,entity:e9f0ed393f5c,RELATES_TO,主张,positive,1.0,0.8,不适用,君劢说：“人生之所谓善者皆精神之表现……其所谓恶者皆物质之接触。,1.0,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0003
entity:fe901cfcc616,entity:4747ce3f6ea2,RELATES_TO,主张,negative,-1.0,0.8,不适用,君劢说：“人生之所谓善者皆精神之表现……其所谓恶者皆物质之接触。,1.0,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0003
term:9f9ade1871bd,term:88f7c0ceaf51,RELATES_TO,作为论据支持,positive,1.0,0.8,不适用,譬如爱斯克模人（Eskimo）的天才并不低于其他民族，然而他们的文化不能发达到极高的地位，实因自然环境使然。,1.0,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0004
entity:59e72f003833,term:b52178438a0f,RELATES_TO,导致,negative,-0.5,0.6,不适用,不能不把全副精神都消磨在衣食问题中间，所以不能有极高的文化。,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005
term:d419d1f8df01,term:e8287a0b4fd4,RELATES_TO,导致,negative,-0.5,0.6,不适用,又如在热带温湿之区，物质极丰，谋生过易，不劳而获，人皆习于懒惰，不愿有所作为，故不能产生极高的文化。,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005
entity:355555234ae2,entity:c02eba82a501,RELATES_TO,导致,positive,0.5,0.5,不适用,可见人类的文化，不能不受气候物产种种自然环境的影响。,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005
entity:f59183264286,entity:92d16567b9a2,RELATES_TO,导致,positive,0.5,0.5,不适用,又如在交通便利，图书馆，博物院种种设备完善的地方，文化往往很高；在穷乡僻壤，交通不便，耳目闭塞，无书可读的地方，文化大概不十分发达。,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005
entity:1d0c00911421,entity:5681f6472691,RELATES_TO,导致,negative,-0.5,0.5,不适用,在穷乡僻壤，交通不便，耳目闭塞，无书可读的地方，文化大概不十分发达。,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005
term:1beefdc7379e,term:f2de67fa31ab,RELATES_TO,导致,positive,0.5,0.5,不适用,可见文化的高低与物质上的设备也有密切的关系。,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005
entity:2f547f2ee1ec,entity:9aec86010909,RELATES_TO,导致,negative,-0.5,0.6,不适用,文明的产生不能全靠精神作用，处处都有物质的关系，常常要受环境的影响。,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005
entity:322cbabb5f0b,entity:9aec86010909,RELATES_TO,导致,positive,0.5,0.6,不适用,文明的产生不能全靠精神作用，处处都有物质的关系，常常要受环境的影响。,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005
entity:413274ff94e8,entity:9aec86010909,RELATES_TO,导致,positive,0.5,0.6,不适用,文明的产生不能全靠精神作用，处处都有物质的关系，常常要受环境的影响。,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005
term:9f9ade1871bd,entity:c3290e5df355,RELATES_TO,定义,neutral,0.0,0.3,概念澄清,我所谓“物质”，完全照君劢所下定义“凡我以外皆属之”。,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005
term:9f9ade1871bd,entity:14d40a1df182,RELATES_TO,回应,negative,-0.5,0.5,一般批评,无论何种文明，我们不把他的物质方面一笔抹杀，单单叫他做精神文明。,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005
term:9f9ade1871bd,term:a879eb000af2,RELATES_TO,质疑,negative,-0.5,0.5,事实质疑,试问那一种文明是与国家社会无关系的？那一种文明是完全属于精神的?,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005
term:9f9ade1871bd,entity:fe901cfcc616,RELATES_TO,回应,positive,0.5,0.4,一般批评,我现在诚诚恳恳的寻求真理，对于君劢并没有挑战的意思；不过把我的浅见老老实实写出来，请君劢指教。,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005
term:9f9ade1871bd,entity:76f276230722,RELATES_TO,相关,neutral,0.0,0.2,中性提及,一篇是登在《清华周刊》上的《人生观》,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005
term:9f9ade1871bd,entity:916743f0e19b,RELATES_TO,相关,neutral,0.0,0.2,中性提及,一篇是登在《努力》上的《人生观与科学》上篇,0.9,朱经农_000_bb34b81c,朱经农_000_bb34b81c_s0005
