node_id,labels,name,node_type,article_id,segment_id,title,text
article:9bfd9ecc020f,Article,评所谓“科学与玄学之争”,Article,范寿康_000_14d2ac72,,评所谓“科学与玄学之争”,
author:e6ac518c8e8a,Author,范寿康,Author,,,,
entity:fe901cfcc616,人物,张君劢,人物,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:de1813164d23,著作,《清华周刊》第二七二期,著作,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:76f276230722,文章,《人生观》,文章,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:440075fab86b,阵营/群体,我国学术界,阵营/群体,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:efcde83f70d9,概念,所谓“科学与玄学之争”,概念,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:0bacf98593d1,人物,丁文江,人物,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:a252ef6e0c94,人物,梁启超,人物,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:09d93e258179,人物,任鸿隽,人物,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:ff64cde28949,人物,胡适,人物,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:da4572fa708f,人物,孙伏园,人物,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:e867d428ff3f,人物,林宰平,人物,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:a5d9f1eb114e,人物,张东荪,人物,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:3a603ffb0b3b,人物,章演存,人物,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:9f9ade1871bd,人物,朱经农,人物,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:6f60dd1dde5c,人物,唐钺,人物,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:932b293abae4,人物,甘蛰仙,人物,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:e2e4dccffb9b,人物,王星拱,人物,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:eaa420e0245d,概念,学术上的讨论,概念,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:22bfe3dff483,概念,这次讨论的内容,概念,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:fbacb7e05de3,概念,真理,概念,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:2bc950951d30,概念,学术,概念,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:8b95bbabff9a,比喻/类比,这笔总账,比喻/类比,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:21d6e037320d,概念,这次论争的中心,概念,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:92e719a666f6,问题,人生观与科学的关系,问题,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:3691eeab8aae,概念,讨论的程次和范围,概念,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:866d6b008e56,文章,《人生观与科学》,文章,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:67821481a750,概念,人生观,概念,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:0a5d9170d332,概念,科学,概念,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:8286a58e1bd9,评价,梁氏这段评论,评价,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,
entity:7b6e79594c23,人物,伏园氏,人物,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0001,,
entity:ab5f008cd73e,概念,玄学,概念,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0001,,
entity:a5902cbd02aa,概念,哲学,概念,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0001,,
entity:d7ac9b656911,概念,狭义的科学,概念,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0001,,
entity:06f2b674aa94,概念,广义的科学,概念,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0001,,
entity:bdb71f6700ca,文章,《科学与人生观》,文章,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0001,,
entity:16df48a33de8,概念,悲观论,概念,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0002,,
entity:8b5599537b9f,概念,乐观论,概念,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0002,,
entity:a760916ba9a5,概念,快乐论,概念,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0002,,
entity:0b54e13994ed,概念,直觉论,概念,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0002,,
